sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A4	A3	A4a	C31	C17d	C21	C21ac	C31a	1365_C	C17e	1366_C	C17	C17f	C17.2	C31.9	1369_C	1370_C	1367_C	C21k	1385_C	1368_C	1386_C	1374_C	1371_C	C31.1	C3	1372_C	1376_C	1373_C	C31.10	1387_C	1378_C	1375_C	1388_C	1377_C	1400_C	1404_C	1395_C	1389_C	1390_C	1396_C	1393_C	1401_C	1391_C	1409_C	1405_C	1406_C	1410_C	D1	D4	D6	D1ab	D17d	D17j	1379_D	1380_D	D17e	D17c	D4d	1381_D	D17l	1384_D	1383_D	D17k	1382_D	D5m	D17	1392_D	1397_D	1394_D	1399_D	1402_D	1403_D	D1r	1398_D	1408_D	1407_D
191	WSH052	WSH052_S43_L001_R1_001.fastq.gz	6cb7db231f290f96dfd2bde030e192c0bc174f6658619e2edfac2f1fb7a893d4	WSH052_S43_L001_R2_001.fastq.gz	2e7de24dd7672f407bd5150f0c1d3f65637d34c81d55037ac87b79b98af18dea	72686	37224	771	36752	756	381	9	91	6	33530	48	0	0	2453	838	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData	6	0	0	9043	3810	2052	817	801	307	304	290	171	218	211	293	194	176	128	169	0	151	140	128	107	105	249	136	109	127	138	0	95	126	0	124	0	0	0	0	0	0	0	0	115	0	0	0	0	4344	3972	2201	477	229	223	267	103	119	117	0	114	74	76	109	96	104	0	0	65	0	0	0	0	0	0	0	0	0
199	WSH060	WSH060_S44_L001_R1_001.fastq.gz	06a49cc53ad2e022ef3f9f27057aa2d2a326a067143ce9117a56191473749904	WSH060_S44_L001_R2_001.fastq.gz	fadc4c5d5e5b7bc2d493a733a2b5ea0a545e044c64d2679941c269bd6b0d604d	129155	66721	1360	66465	1342	186	10	70	8	58846	48	0	0	3871	1908	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData	0	0	0	15620	6231	2731	1748	1164	760	572	430	315	187	411	481	271	416	246	349	299	0	257	229	0	273	0	207	0	0	199	0	183	185	196	192	0	0	0	0	0	0	0	0	0	0	0	0	0	9502	6173	3219	1146	613	469	456	213	301	274	359	163	189	344	230	147	152	259	135	124	117	0	0	0	0	0	109	0	0
223	WSH084	WSH084_S47_L001_R1_001.fastq.gz	af1f9d1ed9091f5385ebe2e6140e6077cf52fba83bfca849b4238771bff92aaf	WSH084_S47_L001_R2_001.fastq.gz	0094cc17ab9fb9cde8e9e14ab0f2c017f6b98b1eebfd0ce3f5f6e17eba0a3c46	64138	31751	722	31317	708	418	11	16	3	28159	45	0	0	1711	836	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData	0	0	0	7354	3087	1264	632	613	346	285	185	185	183	233	230	106	194	92	94	132	81	118	80	0	153	0	109	0	0	92	0	0	100	89	79	0	0	0	0	0	0	0	0	0	0	0	0	0	4799	2946	1805	554	208	147	218	212	119	102	199	114	84	114	87	73	91	92	79	0	0	0	0	0	0	0	0	0	0
197	WSH058	WSH058_S20_L001_R1_001.fastq.gz	760f727b331bc797a723bcece4aa21b7a27aa495ce824a4fec78b5a80bc6679a	WSH058_S20_L001_R2_001.fastq.gz	5c327478af7514bfe3ae4066ed10c141908575bc6eb816fef27c632257a25666	57366	28834	656	28425	644	353	10	56	2	25766	48	0	0	1622	756	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData	0	0	0	6661	2714	1364	583	558	291	292	198	147	153	204	119	126	121	86	103	114	108	122	72	69	180	0	81	0	0	127	0	0	0	81	70	0	0	0	0	0	0	83	0	0	0	0	0	0	4081	2674	1521	528	461	155	195	92	146	100	196	126	71	98	93	97	51	96	57	49	0	52	0	0	0	0	0	0	0
190	WSH051	WSH051_S31_L001_R1_001.fastq.gz	1befb5b7624aadb2dad741a07e2c4db7fb7f3eb92c0759c396c6c143c5dc99c7	WSH051_S31_L001_R2_001.fastq.gz	f538d9f949d5fa1c8a3faca20f429ca2c5258bf10f0e631bed1cf81b27be3f58	80296	40809	844	40463	826	328	14	18	4	36655	45	0	0	2739	1127	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData	0	0	0	9359	3381	1873	951	734	424	225	274	249	224	263	348	146	285	103	151	182	171	180	0	0	125	272	140	0	122	0	131	0	130	137	106	0	0	0	110	98	0	0	0	0	0	0	0	0	5534	4994	2504	587	266	228	300	282	164	114	0	139	118	123	126	125	157	0	0	0	0	0	0	0	0	0	0	0	0
196	WSH057	WSH057_S8_L001_R1_001.fastq.gz	79a583ae6ec69beed68548f5370c2c1ab1acc3d7c1de2b932afae37d09c72746	WSH057_S8_L001_R2_001.fastq.gz	21f5d4b1a24bd4c5ff6033f3d244c1d303f624b19a3ea4af853dd2d9658f0b42	46758	24309	599	24217	589	74	7	18	3	21830	50	0	0	1714	665	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData	0	0	0	5489	1937	913	478	417	280	235	140	118	84	220	151	91	158	77	114	99	64	108	0	0	152	0	65	0	86	68	76	66	86	93	0	0	105	57	63	0	0	0	0	0	0	0	0	0	3824	2279	1387	490	231	177	169	161	112	113	170	78	81	86	78	71	51	89	51	0	0	0	0	0	0	0	42	0	0
215	WSH076	WSH076_S46_L001_R1_001.fastq.gz	9e10db99c071b560132f25fcd3d3fa22afa1a54a37c970b4289150b6d7d8dd30	WSH076_S46_L001_R2_001.fastq.gz	34b57700c441559e482fd448e543076794d4fa9e9d25ec84e1aa30dbc865bb14	70131	37940	839	36995	815	912	18	33	6	32939	48	0	0	2065	1060	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData	0	0	0	8192	4360	1991	765	564	446	314	315	307	304	284	283	163	0	148	156	171	124	161	113	113	110	0	96	114	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4813	3000	1596	662	723	291	163	125	199	170	269	126	162	95	89	105	85	132	62	62	90	0	61	101	0	0	0	63	0
186	WSH047	WSH047_S78_L001_R1_001.fastq.gz	2c79208e2ca09f0b949fc84f5b9b2abe1d9da1a105ee0540f0a65f1d4a182fa9	WSH047_S78_L001_R2_001.fastq.gz	1e22c12d95ea8f660d8df9fb9ef399fd7ed9555791e864b4765f85a89818cfc4	59374	29534	647	29229	634	290	11	15	2	26560	42	0	0	1683	683	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData	0	0	0	6535	2785	1422	663	485	281	311	180	180	202	207	218	129	196	90	106	148	103	127	0	85	138	195	93	0	0	0	0	0	94	87	0	0	0	0	0	70	0	0	0	0	0	0	0	0	3836	3670	1757	429	421	234	236	118	131	100	0	103	89	83	90	80	0	0	0	53	0	0	0	0	0	0	0	0	0
222	WSH083	WSH083_S35_L001_R1_001.fastq.gz	9726790516cd6bd4f1520c86b7dd49fdfe932b65559c58389f7420e88de34fd9	WSH083_S35_L001_R2_001.fastq.gz	dcab75c8e05abe611874ce5e7248d58217b9a52a5de934963493f05c2d2571c2	73978	36838	796	36362	780	451	11	25	5	32705	49	0	0	2726	1122	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData	0	0	0	8027	4488	2260	916	682	499	277	320	373	317	232	292	242	0	150	144	168	196	231	147	138	193	0	115	107	191	118	0	121	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	4343	2707	1408	448	527	254	208	117	169	156	188	104	93	112	85	113	167	132	0	83	93	0	63	90	0	0	0	0	0
187	WSH048	WSH048_S90_L001_R1_001.fastq.gz	14214538d96c5b30c7a94ecc02a8754def00ab2124f089cd1b57cb361ce3ea16	WSH048_S90_L001_R2_001.fastq.gz	d42fbdeb74fcf141b79b11b1cf469d69709232707155684a5bfea02a0955772a	57304	27691	648	27434	637	247	8	10	3	24943	46	0	0	1652	715	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData	0	0	0	6034	2515	1180	681	522	288	243	116	157	127	167	203	140	117	98	103	137	85	123	89	0	0	208	103	0	0	76	134	0	75	83	64	0	0	0	0	0	0	0	0	0	0	0	0	0	3827	3093	1667	336	456	247	208	123	179	114	148	97	95	55	77	85	102	113	0	53	0	0	0	0	0	0	0	0	0
