Accession	Sample Name	SPUID	Organism	Tax ID	BioProject
SAMN31685106	AH1	AH1	coral metagenome	496922	PRJNA900235
SAMN31685107	AH2	AH2	coral metagenome	496922	PRJNA900235
SAMN31685108	AH3	AH3	coral metagenome	496922	PRJNA900235
SAMN31685109	AH4	AH4	coral metagenome	496922	PRJNA900235
SAMN31685110	AH5	AH5	coral metagenome	496922	PRJNA900235
SAMN31685111	AH6	AH6	coral metagenome	496922	PRJNA900235
SAMN31685112	AH7	AH7	coral metagenome	496922	PRJNA900235
SAMN31685113	AH8	AH8	coral metagenome	496922	PRJNA900235
SAMN31685114	AH9	AH9	coral metagenome	496922	PRJNA900235
SAMN31685115	AH10	AH10	coral metagenome	496922	PRJNA900235
SAMN31685116	AH11	AH11	coral metagenome	496922	PRJNA900235
SAMN31685117	AH12	AH12	coral metagenome	496922	PRJNA900235
SAMN31685118	AH13	AH13	coral metagenome	496922	PRJNA900235
SAMN31685119	AH14	AH14	coral metagenome	496922	PRJNA900235
SAMN31685120	AH15	AH15	coral metagenome	496922	PRJNA900235
SAMN31685121	AH16	AH16	coral metagenome	496922	PRJNA900235
SAMN31685122	AH17	AH17	coral metagenome	496922	PRJNA900235
SAMN31685123	AH18	AH18	coral metagenome	496922	PRJNA900235
SAMN31685124	AH19	AH19	coral metagenome	496922	PRJNA900235
SAMN31685125	AH20	AH20	coral metagenome	496922	PRJNA900235
SAMN31685126	AH21	AH21	coral metagenome	496922	PRJNA900235
SAMN31685127	AH22	AH22	coral metagenome	496922	PRJNA900235
SAMN31685128	AH23	AH23	coral metagenome	496922	PRJNA900235
SAMN31685129	AH24	AH24	coral metagenome	496922	PRJNA900235
SAMN31685130	AH25	AH25	coral metagenome	496922	PRJNA900235
SAMN31685131	AH26	AH26	coral metagenome	496922	PRJNA900235
SAMN31685132	AH27	AH27	coral metagenome	496922	PRJNA900235
SAMN31685133	AH28	AH28	coral metagenome	496922	PRJNA900235
SAMN31685134	AH29	AH29	coral metagenome	496922	PRJNA900235
SAMN31685135	AH30	AH30	coral metagenome	496922	PRJNA900235
SAMN31685136	AH31	AH31	coral metagenome	496922	PRJNA900235
SAMN31685137	AH32	AH32	coral metagenome	496922	PRJNA900235
SAMN31685138	AH33	AH33	coral metagenome	496922	PRJNA900235
SAMN31685139	AH34	AH34	coral metagenome	496922	PRJNA900235
SAMN31685140	AH35	AH35	coral metagenome	496922	PRJNA900235
SAMN31685141	AH36	AH36	coral metagenome	496922	PRJNA900235
SAMN31685142	AH37	AH37	coral metagenome	496922	PRJNA900235
SAMN31685143	AH38	AH38	coral metagenome	496922	PRJNA900235
SAMN31685144	AH39	AH39	coral metagenome	496922	PRJNA900235
