accession	message	sample_name	sample_title	bioproject_accession	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	altitude	chem_administration	depth	elev	gravidity	host_age	host_blood_press_diast	host_blood_press_syst	host_body_habitat	host_body_product	host_body_temp	host_color	host_diet	host_disease	host_dry_mass	host_family_relationship	host_genotype	host_growth_cond	host_height	host_infra_specific_name	host_infra_specific_rank	host_last_meal	host_length	host_life_stage	host_phenotype	host_sex	host_shape	host_subject_id	host_substrate	host_taxid	host_tissue_sampled	host_tot_mass	isolation_source	misc_param	omics_observ_id	organism_count	oxy_stat_samp	perturbation	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_salinity	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	size_frac	source_material_id	temp	description
SAMN31685106	Successfully loaded	AH1	Egg_1hpf_rep1	PRJNA900235	Montipora capitata coral holobiont	2020-07-20	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Egg_1hpf_rep1																		Egg_1hpf_rep1							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685107	Successfully loaded	AH2	Embryo_38hpf_rep1	PRJNA900235	Montipora capitata coral holobiont	2020-07-22	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_38hpf_rep1																		Embryo_38hpf_rep1							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685108	Successfully loaded	AH3	Embryo_38hpf_rep2	PRJNA900235	Montipora capitata coral holobiont	2020-07-22	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_38hpf_rep2																		Embryo_38hpf_rep2							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685109	Successfully loaded	AH4	Embryo_38hpf_rep3	PRJNA900235	Montipora capitata coral holobiont	2020-07-22	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_38hpf_rep3																		Embryo_38hpf_rep3							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685110	Successfully loaded	AH5	Embryo_65hpf_rep1	PRJNA900235	Montipora capitata coral holobiont	2020-07-23	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_65hpf_rep1																		Embryo_65hpf_rep1							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685111	Successfully loaded	AH6	Embryo_65hpf_rep2	PRJNA900235	Montipora capitata coral holobiont	2020-07-23	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_65hpf_rep2																		Embryo_65hpf_rep2							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685112	Successfully loaded	AH7	Embryo_65hpf_rep3	PRJNA900235	Montipora capitata coral holobiont	2020-07-23	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_65hpf_rep3																		Embryo_65hpf_rep3							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685113	Successfully loaded	AH8	Embryo_65hpf_rep4	PRJNA900235	Montipora capitata coral holobiont	2020-07-23	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_65hpf_rep4																		Embryo_65hpf_rep4							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685114	Successfully loaded	AH9	Larvae_93hpf_rep1	PRJNA900235	Montipora capitata coral holobiont	2020-07-24	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_93hpf_rep1																		Larvae_93hpf_rep1							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685115	Successfully loaded	AH10	Larvae_93hpf_rep2	PRJNA900235	Montipora capitata coral holobiont	2020-07-24	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_93hpf_rep2																		Larvae_93hpf_rep2							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
