GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0031514,4.159369724736297e-6,0.9999991329792676,16,105,motile cilium,CC,0.04258206400076526
GO:0097729,4.522549413282912e-6,0.9999992451171248,13,70,9+2 motile cilium,CC,0.04258206400076526
