"","Metabolite","colors"
"S-adenosyl-L-methionine","S-adenosyl-L-methionine",4
"S-Carboxymethyl-L-cysteine","S-Carboxymethyl-L-cysteine",1
"Sedoheptulose","Sedoheptulose",1
"Serine","Serine",3
"Sorbitol","Sorbitol",1
"Succinate","Succinate",2
"Sucrose","Sucrose",3
"Taurine","Taurine",2
"Thiamine","Thiamine",0
"Threonic acid","Threonic acid",1
"Threonine","Threonine",2
"Thymidine","Thymidine",1
"Trigonelline","Trigonelline",1
"Tryptamine","Tryptamine",3
"Tryptophan","Tryptophan",7
"Tyrosine","Tyrosine",7
"UDP","UDP",4
"UDP-D-Glucose","UDP-D-Glucose",1
"UDP-N-acetyl-glucosamine","UDP-N-acetyl-glucosamine",1
"UMP","UMP",3
"Uric acid","Uric acid",0
"Uridine","Uridine",3
"Urocanate","Urocanate",6
"UTP","UTP",8
"Valine","Valine",1
