"","Sample.ID","Module","value","lifestage","hpf","group","Cluster"
"1","Egg-rep1","4",0.378393945175021,"Egg (1 hpf)","1","Egg","Cluster3"
"2","Egg-rep1","1",0.155589427781524,"Egg (1 hpf)","1","Egg","Cluster3"
"3","Egg-rep1","8",-0.0738650235069915,"Egg (1 hpf)","1","Egg","Cluster3"
"4","Egg-rep1","0",-0.00193692846497244,"Egg (1 hpf)","1","Egg","Cluster1"
"5","Egg-rep1","3",-0.00616968301009901,"Egg (1 hpf)","1","Egg","Cluster2"
"6","Egg-rep1","7",-0.173488386296076,"Egg (1 hpf)","1","Egg","Cluster2"
"7","Egg-rep1","6",-0.0877240620559137,"Egg (1 hpf)","1","Egg","Cluster2"
"8","Egg-rep1","2",-0.121357273016819,"Egg (1 hpf)","1","Egg","Cluster1"
"9","Egg-rep1","5",-0.229477846765704,"Egg (1 hpf)","1","Egg","Cluster1"
"10","Egg-rep2","7",-0.18364141962063,"Egg (1 hpf)","1","Egg","Cluster2"
"11","Egg-rep2","8",-0.0583985222845296,"Egg (1 hpf)","1","Egg","Cluster3"
"12","Egg-rep2","0",-0.0361412497003193,"Egg (1 hpf)","1","Egg","Cluster1"
"13","Egg-rep2","3",-0.0373868428173002,"Egg (1 hpf)","1","Egg","Cluster2"
"14","Egg-rep2","4",0.427646059972943,"Egg (1 hpf)","1","Egg","Cluster3"
"15","Egg-rep2","1",0.192986432580377,"Egg (1 hpf)","1","Egg","Cluster3"
"16","Egg-rep2","5",-0.244626051647855,"Egg (1 hpf)","1","Egg","Cluster1"
"17","Egg-rep2","6",-0.104127072808731,"Egg (1 hpf)","1","Egg","Cluster2"
"18","Egg-rep2","2",-0.117610910074997,"Egg (1 hpf)","1","Egg","Cluster1"
"19","Egg-rep3","2",-0.100378358807542,"Egg (1 hpf)","1","Egg","Cluster1"
"20","Egg-rep3","6",-0.0609647547351417,"Egg (1 hpf)","1","Egg","Cluster2"
"21","Egg-rep3","4",0.529997879724154,"Egg (1 hpf)","1","Egg","Cluster3"
"22","Egg-rep3","5",-0.246057215515701,"Egg (1 hpf)","1","Egg","Cluster1"
"23","Egg-rep3","8",-0.0725285617187226,"Egg (1 hpf)","1","Egg","Cluster3"
"24","Egg-rep3","0",-0.102709039916783,"Egg (1 hpf)","1","Egg","Cluster1"
"25","Egg-rep3","3",-0.0657493944908914,"Egg (1 hpf)","1","Egg","Cluster2"
"26","Egg-rep3","1",0.20570157837503,"Egg (1 hpf)","1","Egg","Cluster3"
"27","Egg-rep3","7",-0.181162740543824,"Egg (1 hpf)","1","Egg","Cluster2"
"28","Egg-rep4","4",0.489078380126484,"Egg (1 hpf)","1","Egg","Cluster3"
"29","Egg-rep4","1",0.233816137060056,"Egg (1 hpf)","1","Egg","Cluster3"
"30","Egg-rep4","8",-0.0350987475898502,"Egg (1 hpf)","1","Egg","Cluster3"
"31","Egg-rep4","0",-0.0116059479087774,"Egg (1 hpf)","1","Egg","Cluster1"
"32","Egg-rep4","3",-0.0683743759081277,"Egg (1 hpf)","1","Egg","Cluster2"
"33","Egg-rep4","7",-0.172420405056736,"Egg (1 hpf)","1","Egg","Cluster2"
"34","Egg-rep4","6",-0.101645765252725,"Egg (1 hpf)","1","Egg","Cluster2"
"35","Egg-rep4","2",-0.0908576883102763,"Egg (1 hpf)","1","Egg","Cluster1"
"36","Egg-rep4","5",-0.252711924832158,"Egg (1 hpf)","1","Egg","Cluster1"
"37","Embryo-rep1","7",-0.157016924807979,"Embryo (5 hpf)","5","Embryo","Cluster2"
"38","Embryo-rep1","6",-0.139402907920746,"Embryo (5 hpf)","5","Embryo","Cluster2"
"39","Embryo-rep1","0",-0.102801950429734,"Embryo (5 hpf)","5","Embryo","Cluster1"
"40","Embryo-rep1","3",-0.0729356308758232,"Embryo (5 hpf)","5","Embryo","Cluster2"
"41","Embryo-rep1","4",0.0117729353868328,"Embryo (5 hpf)","5","Embryo","Cluster3"
"42","Embryo-rep1","1",0.316726949559158,"Embryo (5 hpf)","5","Embryo","Cluster3"
"43","Embryo-rep1","8",0.73354614156798,"Embryo (5 hpf)","5","Embryo","Cluster3"
"44","Embryo-rep1","2",-0.130392397201367,"Embryo (5 hpf)","5","Embryo","Cluster1"
"45","Embryo-rep1","5",-0.102511829053764,"Embryo (5 hpf)","5","Embryo","Cluster1"
"46","Embryo-rep2","4",0.0158332315543473,"Embryo (5 hpf)","5","Embryo","Cluster3"
"47","Embryo-rep2","1",0.274841861472566,"Embryo (5 hpf)","5","Embryo","Cluster3"
"48","Embryo-rep2","2",-0.114074860789458,"Embryo (5 hpf)","5","Embryo","Cluster1"
"49","Embryo-rep2","5",-0.166349506248207,"Embryo (5 hpf)","5","Embryo","Cluster1"
"50","Embryo-rep2","3",-0.0933923921893502,"Embryo (5 hpf)","5","Embryo","Cluster2"
"51","Embryo-rep2","7",-0.173248977845346,"Embryo (5 hpf)","5","Embryo","Cluster2"
"52","Embryo-rep2","8",0.0873268566802407,"Embryo (5 hpf)","5","Embryo","Cluster3"
"53","Embryo-rep2","0",0.0337749884083419,"Embryo (5 hpf)","5","Embryo","Cluster1"
"54","Embryo-rep2","6",-0.118028652210221,"Embryo (5 hpf)","5","Embryo","Cluster2"
"55","Embryo-rep3","4",0.0484403517576198,"Embryo (5 hpf)","5","Embryo","Cluster3"
"56","Embryo-rep3","1",0.319221337156488,"Embryo (5 hpf)","5","Embryo","Cluster3"
"57","Embryo-rep3","7",-0.172167033073441,"Embryo (5 hpf)","5","Embryo","Cluster2"
"58","Embryo-rep3","8",0.0600393968913284,"Embryo (5 hpf)","5","Embryo","Cluster3"
"59","Embryo-rep3","0",0.0107150291111631,"Embryo (5 hpf)","5","Embryo","Cluster1"
"60","Embryo-rep3","3",-0.083777406317239,"Embryo (5 hpf)","5","Embryo","Cluster2"
"61","Embryo-rep3","6",-0.0925216738720098,"Embryo (5 hpf)","5","Embryo","Cluster2"
"62","Embryo-rep3","2",-0.11564492990684,"Embryo (5 hpf)","5","Embryo","Cluster1"
"63","Embryo-rep3","5",-0.147142094444652,"Embryo (5 hpf)","5","Embryo","Cluster1"
"64","Embryo-rep4","8",0.0771691374071636,"Embryo (5 hpf)","5","Embryo","Cluster3"
"65","Embryo-rep4","6",-0.118978924087587,"Embryo (5 hpf)","5","Embryo","Cluster2"
"66","Embryo-rep4","0",-0.0661517794257428,"Embryo (5 hpf)","5","Embryo","Cluster1"
"67","Embryo-rep4","3",-0.0723775103530965,"Embryo (5 hpf)","5","Embryo","Cluster2"
"68","Embryo-rep4","7",-0.161875410867361,"Embryo (5 hpf)","5","Embryo","Cluster2"
"69","Embryo-rep4","4",0.0258796823434184,"Embryo (5 hpf)","5","Embryo","Cluster3"
"70","Embryo-rep4","1",0.349044569679691,"Embryo (5 hpf)","5","Embryo","Cluster3"
"71","Embryo-rep4","2",-0.118373537913795,"Embryo (5 hpf)","5","Embryo","Cluster1"
"72","Embryo-rep4","5",-0.131591261573568,"Embryo (5 hpf)","5","Embryo","Cluster1"
"73","Larvae1-rep1","4",-0.0415589546223923,"Embryo (38 hpf)","38","Embryo","Cluster3"
"74","Larvae1-rep1","1",0.124424514099345,"Embryo (38 hpf)","38","Embryo","Cluster3"
"75","Larvae1-rep1","2",-0.110431861506506,"Embryo (38 hpf)","38","Embryo","Cluster1"
"76","Larvae1-rep1","5",-0.122335288814367,"Embryo (38 hpf)","38","Embryo","Cluster1"
"77","Larvae1-rep1","3",-0.0331492456959254,"Embryo (38 hpf)","38","Embryo","Cluster2"
"78","Larvae1-rep1","7",-0.132974584947444,"Embryo (38 hpf)","38","Embryo","Cluster2"
"79","Larvae1-rep1","8",0.0610725033708679,"Embryo (38 hpf)","38","Embryo","Cluster3"
"80","Larvae1-rep1","0",0.0480718602521151,"Embryo (38 hpf)","38","Embryo","Cluster1"
"81","Larvae1-rep1","6",-0.0868056301169163,"Embryo (38 hpf)","38","Embryo","Cluster2"
"82","Larvae1-rep2","4",-0.0282648183852937,"Embryo (38 hpf)","38","Embryo","Cluster3"
"83","Larvae1-rep2","1",0.195656578987504,"Embryo (38 hpf)","38","Embryo","Cluster3"
"84","Larvae1-rep2","8",0.0162669902812059,"Embryo (38 hpf)","38","Embryo","Cluster3"
"85","Larvae1-rep2","0",-0.0645472998684458,"Embryo (38 hpf)","38","Embryo","Cluster1"
"86","Larvae1-rep2","3",-0.0775498150151391,"Embryo (38 hpf)","38","Embryo","Cluster2"
"87","Larvae1-rep2","7",-0.127172646540943,"Embryo (38 hpf)","38","Embryo","Cluster2"
"88","Larvae1-rep2","6",-0.0847720841044935,"Embryo (38 hpf)","38","Embryo","Cluster2"
"89","Larvae1-rep2","2",-0.126006605464354,"Embryo (38 hpf)","38","Embryo","Cluster1"
"90","Larvae1-rep2","5",-0.117570190731025,"Embryo (38 hpf)","38","Embryo","Cluster1"
"91","Larvae1-rep3","7",-0.118546219334516,"Embryo (38 hpf)","38","Embryo","Cluster2"
"92","Larvae1-rep3","8",0.375308126778974,"Embryo (38 hpf)","38","Embryo","Cluster3"
"93","Larvae1-rep3","0",-0.131030726863917,"Embryo (38 hpf)","38","Embryo","Cluster1"
"94","Larvae1-rep3","3",-0.11813283321505,"Embryo (38 hpf)","38","Embryo","Cluster2"
"95","Larvae1-rep3","4",-0.0328320789572555,"Embryo (38 hpf)","38","Embryo","Cluster3"
"96","Larvae1-rep3","1",0.184146771899569,"Embryo (38 hpf)","38","Embryo","Cluster3"
"97","Larvae1-rep3","6",-0.134705495513573,"Embryo (38 hpf)","38","Embryo","Cluster2"
"98","Larvae1-rep3","2",-0.14251561215932,"Embryo (38 hpf)","38","Embryo","Cluster1"
"99","Larvae1-rep3","5",-0.132818273416228,"Embryo (38 hpf)","38","Embryo","Cluster1"
"100","Larvae1-rep4","6",-0.126149226419964,"Embryo (38 hpf)","38","Embryo","Cluster2"
"101","Larvae1-rep4","4",-0.00942518570202218,"Embryo (38 hpf)","38","Embryo","Cluster3"
"102","Larvae1-rep4","2",-0.116672928905517,"Embryo (38 hpf)","38","Embryo","Cluster1"
"103","Larvae1-rep4","5",-0.129219237811837,"Embryo (38 hpf)","38","Embryo","Cluster1"
"104","Larvae1-rep4","0",-0.0307362739634599,"Embryo (38 hpf)","38","Embryo","Cluster1"
"105","Larvae1-rep4","3",-0.124944847463768,"Embryo (38 hpf)","38","Embryo","Cluster2"
