"% GC"	"AH10_S41_L002_R1_001"	"AH11_S42_L002_R1_001"	"AH12_S43_L002_R1_001"	"AH13_S44_L002_R1_001"	"AH14_S45_L002_R1_001"	"AH15_S46_L002_R1_001"	"AH16_S47_L002_R1_001"	"AH17_S48_L002_R1_001"	"AH18_S49_L002_R1_001"	"AH19_S50_L002_R1_001"	"AH1_S32_L002_R1_001"	"AH20_S51_L002_R1_001"	"AH21_S52_L002_R1_001"	"AH22_S53_L002_R1_001"	"AH23_S54_L002_R1_001"	"AH24_S55_L002_R1_001"	"AH25_S56_L002_R1_001"	"AH26_S57_L002_R1_001"	"AH27_S58_L002_R1_001"	"AH28_S59_L002_R1_001"	"AH29_S60_L002_R1_001"	"AH2_S33_L002_R1_001"	"AH30_S61_L002_R1_001"	"AH31_S62_L002_R1_001"	"AH32_S63_L002_R1_001"	"AH33_S64_L002_R1_001"	"AH34_S65_L002_R1_001"	"AH35_S66_L002_R1_001"	"AH36_S67_L002_R1_001"	"AH37_S68_L002_R1_001"	"AH38_S69_L002_R1_001"	"AH39_S70_L002_R1_001"	"AH3_S34_L002_R1_001"	"AH4_S35_L002_R1_001"	"AH5_S36_L002_R1_001"	"AH6_S37_L002_R1_001"	"AH7_S38_L002_R1_001"	"AH8_S39_L002_R1_001"	"AH9_S40_L002_R1_001"
0	0.03174786423458785	0.023266324065535825	0.014866094058624636	0.03504696204461186	0.021996418490692463	0.030583335196547833	0.029334704240341646	0.039701159547977094	0.04408112678897123	0.030935400028532192	0.0210251411672694	0.026383012154360553	0.028390335672686284	0.027249808559567903	0.03906728214139116	0.0417612800835124	0.027329347579600385	0.013244451462472419	0.024104309099309416	0.014182247634341588	0.009145187284893387	0.030310074944925998	0.011353327370068155	0.012741015754524245	0.02866854889176316	0.04245098449370126	0.032146315223238305	0.036251616801934186	0.05924686640026348	0.051198813023436845	0.03558794076532493	0.049546184517154895	0.035252816866414856	0.04496251873197849	0.031374685949550125	0.03360502493961156	0.026275938683840816	0.03604325190228274	0.03236998680547889
1	0.02338050448217056	0.0165840193629924	0.011155297082511862	0.02440314266875245	0.015895222121011344	0.02117077478847192	0.02024793574775311	0.0277889719634937	0.030546283524446646	0.021181206874067358	0.014951928100036675	0.018819882003443863	0.01989848102523768	0.019038773530029227	0.026284899505267783	0.02873785352859334	0.01929417746906551	0.009518719525498254	0.016839382449843135	0.010106091146429425	0.006723220102850193	0.02144288355307584	0.008314700165170396	0.008838362280165468	0.01972874436343934	0.030289905360964615	0.02270037654653039	0.02582423317583595	0.040943167534274974	0.03521551010572489	0.024418003152850677	0.033990332868033026	0.024984074385362976	0.030640525470585957	0.022134498708250527	0.023462331838090142	0.018198259588897793	0.02476485295868556	0.023390233291376208
2	0.011937095683100616	0.008278482748899956	0.006150302395594323	0.010919005841717266	0.008215207392509229	0.009552301495788604	0.009210781462090364	0.013245984649927484	0.014251393790293526	0.009730632301434726	0.007771562916122586	0.009075756181100032	0.009467270383979863	0.008887768685819333	0.0107634348756894	0.012617237812465449	0.009537185191987445	0.005022146498115644	0.008016084188840108	0.004938992532798679	0.003728422508456534	0.010151328971693623	0.0043576454449659185	0.00470614095437382	0.008828578344456646	0.015411553066191545	0.010941366325981711	0.012402427775237002	0.018031090585005686	0.015550659886742218	0.011063669707070158	0.014880733313536114	0.012220123450971393	0.013975772634606252	0.010288954013012214	0.01117814204924054	0.008418162661444979	0.01147322733225817	0.01231440999148829
3	0.011177577399976506	0.007304543601970549	0.006493894708197357	0.009149949989773875	0.007733533994902826	0.007995186518418674	0.008004473486027121	0.012105358193961505	0.010907491336705101	0.011827548221114365	0.009265680821158601	0.006695422195617723	0.007963982601796395	0.005880063546794177	0.008628751256377047	0.010053171375726998	0.008523630299625143	0.005641155252534549	0.007231292729792825	0.005107592679500643	0.0040701108245954085	0.010859818670917605	0.004416268477857836	0.005179624647954113	0.009398612536775895	0.014663021214007924	0.01066164604626143	0.009981405915002382	0.016343515512254977	0.013828250838919325	0.010709443355723193	0.012967898029376462	0.014640688916390683	0.01506059726520327	0.009118751088785505	0.010883980416365789	0.007631528214699075	0.010791327971944712	0.012540690252453742
4	0.033114997144211254	0.019397621343010683	0.02362769803000202	0.02684050850920779	0.019574671686060266	0.02053195838749964	0.021093478721629214	0.034365971286200746	0.021403629593802105	0.051975241784418896	0.035654597777010535	0.011092590888011148	0.016650920396551253	0.007053068551013988	0.01838914202178715	0.02184533830508354	0.017389182731613474	0.022120803412630303	0.016379718880972585	0.015937672691179672	0.013114801545918538	0.03754995405887107	0.01367870767478091	0.016356709414591934	0.03270049805694809	0.04347637059258293	0.03312533620225928	0.02440135190710157	0.0495498004053036	0.04398265378990397	0.03123095664375727	0.03623135067643576	0.045372273371625894	0.05185230920502551	0.024629459659903704	0.029686791989719876	0.02110998112312144	0.029310848694108608	0.037121872285753386
5	0.11559868269148976	0.06710711260995536	0.07961033883012315	0.09261990193730289	0.06633713070368202	0.0719067711344421	0.07250249153329635	0.1215871007657927	0.0683111501233064	0.19784048289381936	0.12648406754358846	0.035447042552280865	0.05029702556725302	0.016858187304235994	0.06015692753700718	0.07278394528840733	0.053510813714838644	0.07860243240074019	0.05051814734952941	0.05453718863024083	0.043032628520784044	0.12088605493009198	0.042677567945316436	0.05468019261316655	0.10334302808558465	0.15590995633495836	0.11933297471759009	0.07809919202642822	0.1696012948114466	0.16064117370666672	0.10897183321937084	0.1249812818753137	0.1436984150307945	0.16775543436551318	0.08592159772883484	0.09832058417205679	0.07055054314173345	0.10413577373929797	0.12610956228227224
6	0.27175564170180705	0.16064585151296712	0.17287274554767357	0.21753490126063904	0.15289116429023283	0.16568302249591957	0.16520782318907243	0.28709751868672684	0.16069309013077712	0.44573599805010383	0.2852582803154373	0.08454289672575092	0.11694660907047127	0.039912247194863804	0.14486271669610645	0.1692791584175445	0.12703628367765096	0.17545978335160772	0.11882863820631652	0.12227477698167653	0.09406478350176055	0.25585334263226067	0.09362098352839333	0.11641959665789382	0.21668250944623124	0.36417612687881495	0.28291554599246904	0.1815554024837348	0.3898038791119876	0.37143628670159806	0.2535788373842462	0.28726285179174066	0.2952983234971647	0.3454243193446736	0.20097683241082337	0.2242688289037102	0.16291551616486824	0.2403965840089188	0.2945930808021802
7	0.4391787885784653	0.26316647365988344	0.2696397938537749	0.35120672705109496	0.24903852637911122	0.2668256254811086	0.272084455087012	0.46983691525301813	0.26939645878076274	0.6821691582072406	0.44273185807642745	0.14290211961119648	0.19803234547435214	0.0711923806407254	0.2406534292277795	0.2801306049127767	0.21786545583898595	0.27592607213484205	0.20118689618004998	0.1909247896564405	0.14620240068200988	0.3838575050092436	0.15018243976361237	0.18335297334128978	0.3226671593986612	0.5879256275157848	0.45016675632060243	0.3018844363441678	0.6210276267722622	0.5901985619272174	0.41024134503996323	0.4560705656188299	0.4379517366970734	0.5094636523160141	0.3256917610427965	0.35959494649141066	0.2657298124358218	0.38374698286592557	0.4767963288290461
8	0.5594991432633766	0.3394583735026869	0.3449323226221866	0.44822961244212367	0.32397887915670764	0.34754606664771515	0.35554518356174264	0.6051483278922078	0.3572137065500016	0.8449746526452889	0.5568975146907262	0.19444866246922715	0.26416553241117147	0.09944977042186673	0.3150330078669521	0.372475076829966	0.29640985424470073	0.35341896054181254	0.26762509884168145	0.24526362517291433	0.18841095738151784	0.4699832840711589	0.19404223887224917	0.23638314702228258	0.39806460878761935	0.7526231427181591	0.5684776761699839	0.40075344748734565	0.7870460698907918	0.7469459483551565	0.5282341426736367	0.5815488096022831	0.5374828294469572	0.6182461732522638	0.41927487603024777	0.45559753699641437	0.34353617778783835	0.4877420472134128	0.6055974352680653
9	0.6196529912868063	0.38818238471434974	0.38472031242161797	0.5069524386385779	0.3638641124418379	0.39668502199125455	0.40155399524692104	0.6757843807580364	0.4123615581258488	0.9251522355067474	0.6185648126849105	0.23149041153394936	0.3034460978952479	0.12271436967222632	0.36236897414820984	0.4307631613720599	0.3434607819588206	0.3978474379344448	0.30559779415301214	0.2761075343636852	0.21356524724315315	0.5141199783025029	0.22404746120742927	0.2684222102878824	0.4333094058005289	0.8368996261852437	0.6379881656804733	0.46005786454616293	0.8736965592031841	0.8259155461212164	0.5897396448125145	0.6469321450750539	0.5831643380542535	0.66402808080097	0.4728061399885055	0.5036635478081487	0.3866954050451211	0.5442098085269891	0.6717308189070734
