"Sequence Duplication Level"	"AH10_S41_L002_R1_001"	"AH11_S42_L002_R1_001"	"AH12_S43_L002_R1_001"	"AH13_S44_L002_R1_001"	"AH14_S45_L002_R1_001"	"AH15_S46_L002_R1_001"	"AH16_S47_L002_R1_001"	"AH17_S48_L002_R1_001"	"AH18_S49_L002_R1_001"	"AH19_S50_L002_R1_001"	"AH1_S32_L002_R1_001"	"AH20_S51_L002_R1_001"	"AH21_S52_L002_R1_001"	"AH22_S53_L002_R1_001"	"AH23_S54_L002_R1_001"	"AH24_S55_L002_R1_001"	"AH25_S56_L002_R1_001"	"AH26_S57_L002_R1_001"	"AH27_S58_L002_R1_001"	"AH28_S59_L002_R1_001"	"AH29_S60_L002_R1_001"	"AH2_S33_L002_R1_001"	"AH30_S61_L002_R1_001"	"AH31_S62_L002_R1_001"	"AH32_S63_L002_R1_001"	"AH33_S64_L002_R1_001"	"AH34_S65_L002_R1_001"	"AH35_S66_L002_R1_001"	"AH36_S67_L002_R1_001"	"AH37_S68_L002_R1_001"	"AH38_S69_L002_R1_001"	"AH39_S70_L002_R1_001"	"AH3_S34_L002_R1_001"	"AH4_S35_L002_R1_001"	"AH5_S36_L002_R1_001"	"AH6_S37_L002_R1_001"	"AH7_S38_L002_R1_001"	"AH8_S39_L002_R1_001"	"AH9_S40_L002_R1_001"
1	74.81531981911024	73.15210834163211	52.91889125648973	71.5613973666025	72.15627914881672	71.8100803545412	71.29216181635482	68.6556587235255	74.89144433152697	54.46111383677105	57.54386725733698	72.82073913260272	72.24253218856472	72.25043232671044	71.76237434580071	75.01783630369056	74.12107513701486	54.77747214187666	73.09961978774632	50.69284467424235	47.935098723202834	62.78727771308334	50.02070629419949	58.44190371997002	60.508870842700844	76.55044762574185	76.07697434273791	76.02921543389208	77.1590748903213	73.99205404593546	75.215184606982	71.89510240998773	60.8720515668788	63.50805586777879	70.19806022607463	71.55505280474388	72.77136756976444	72.25065587775693	73.3893426096252
2	11.711463164443895	12.750024350241226	14.865537602383174	13.606868775729131	13.73410412579266	12.804351115105053	13.000743592677399	14.630461119613663	13.17242533150697	13.359888554843302	13.61847071774479	14.475941549860938	14.095127409212163	14.932891041293667	12.513355250067962	12.473758072552773	13.78166068436897	15.728288817771713	13.453095492880928	15.060284406153245	15.452922691447235	13.615188195148843	16.262996958540267	12.161662494691218	12.500349074241973	12.469846997617822	12.972325727425583	13.000133009959383	12.128874049452977	12.80424839247392	12.59814239396579	14.85358435727868	13.627605795367748	12.16255938915252	13.557688112646426	12.018729676478834	12.467936842067047	12.161613481078104	12.68201778379191
3	2.7610041964412217	3.133022315809466	5.363381299126196	3.4134486808469124	3.4366247620504975	3.2418939480830202	3.3217306390984587	4.071346265662172	3.1627442193770015	4.743176243253045	4.404107338016759	3.7429248586018136	3.5421746246829278	3.81230027544564	3.146959059482178	2.9465202529777286	3.5009871522757754	5.646501980984124	3.2514514334447595	5.679575383093085	6.4177919396634415	4.360325904905771	6.392409872588013	3.917966162436853	3.8315076098154996	2.889889840528219	3.014294727861373	3.0905037119455914	2.7157697990812997	3.1691512217458593	2.990841214904609	3.804291730577699	4.500361216336792	3.6105548772683425	3.502111639668818	2.92984851837914	3.1336657561643535	3.0595059832888722	3.058434434043698
4	1.1246409501968153	1.2590658204875105	2.5587208394289096	1.3751210504762057	1.345899473771964	1.3479413515794596	1.3105324085801677	1.573219111785068	1.2104124531367129	2.3365839482749635	2.0799098764773354	1.3090902903150194	1.437938889904671	1.3998972738202644	1.332310570501386	1.1939900091858795	1.22339912024573	2.6170776062835985	1.288913579296042	2.677742976641377	3.002067919531674	1.9514656289089871	3.0427021612504728	1.9797540729991348	1.8769047444839675	1.137245649404715	1.1553720588960597	1.175909778216033	1.0947412003296497	1.2727767342740692	1.2284981194917393	1.4995080445400946	2.0453636496314878	1.8109685040557526	1.450725736904107	1.224729835104737	1.2219186139369407	1.232673397534378	1.2566693244537004
5	0.7355599965193627	0.7675101065066023	1.504314791837933	0.792837949720916	0.7889359894275284	0.7650288922065579	0.8680465693123135	0.9151264727486307	0.64849411306279	1.48110937320258	1.334421706324986	0.7111321905236522	0.773897480424417	0.7225733174779589	0.8512595572177973	0.7050916010334354	0.6753672940596984	1.472548255333746	0.7114074085678826	1.654623203849197	1.7321195473058522	1.146589385806336	1.7124902360264396	1.3257282648716104	1.2765025326173114	0.6698902383461511	0.6674822497339821	0.567213131304967	0.6943383208105556	0.7649361682880625	0.6862493719966979	0.8084927837637303	1.3085526887924386	1.2209436351095506	0.802114690720509	0.827383461307688	0.794315928105861	0.7809655919720587	0.7553956740851386
6	0.5539825693133112	0.5183591180982837	1.0787260621859702	0.5605529675668062	0.584038828341171	0.5531289444281071	0.6236631860291603	0.6393270380858722	0.4518518569289795	1.0713950314663312	1.0013291868514833	0.545471990345796	0.5040078121354529	0.5174165546913252	0.5923603759027053	0.5191804680267834	0.46119207036604737	1.0731146283898565	0.5147925286158049	1.1173979868029265	1.2081695911515709	0.9476001923974223	1.180123893520521	1.0752052688011227	0.9492615573320096	0.47844315301584955	0.4474981620327319	0.5221037530522299	0.4942650723673457	0.5352050618070281	0.5688288143183428	0.5484970787724318	0.9658776723453184	0.9559826349394458	0.6588199564674294	0.6014426965524865	0.5784396962053305	0.641113485869752	0.5743678417829472
7	0.41944854785781005	0.4452751324854374	0.8610374298681712	0.4464195000802803	0.4517156130373742	0.42636266816270024	0.46256455740685326	0.48296746536241375	0.3929473236283774	0.9004056569482857	0.8455335137360138	0.377450185255231	0.46250074585262496	0.3425039008411781	0.5115772881382007	0.41087680081997235	0.3747706355563253	0.7647305064030958	0.3901184928469693	0.8874017945780247	0.94040936440876	0.7191872598146404	0.9413540895556887	0.8186083991309668	0.7694787645330983	0.3618236207062093	0.3940848682944488	0.3618541495313484	0.39321425583357755	0.4293481129878229	0.3904597553847223	0.3957944506941762	0.7584139151088962	0.7843328508641308	0.46452899948687726	0.4503780002458605	0.46877170009067826	0.5141699094832742	0.4674745686032532
8	0.3839068977526614	0.3922343930033241	0.7133973676899433	0.35255187340961786	0.39648051473856183	0.3887016874513537	0.40890695087910706	0.42106801881895756	0.30112752763516	0.7888609791555413	0.7408181035873376	0.2920516818965844	0.32173117813918245	0.2646518940437608	0.4114973362552619	0.3292438537915534	0.30512004866095316	0.65337880202257	0.3412382198320238	0.763312709403812	0.7755094716846864	0.647780792210341	0.7016391762502617	0.7485680136718197	0.7215537470987384	0.30893786304686255	0.2905533670524682	0.27821792901931136	0.29453133792840075	0.3504847452427864	0.3381106541227886	0.3277325463045486	0.6360931195328098	0.6079071916805787	0.4328095802469528	0.398097818378956	0.37819272003741466	0.3986065074199318	0.3491774971622123
9	0.3461997665083265	0.3180139538932035	0.6279504589278382	0.29649943938210704	0.3221144355035857	0.28951777274695933	0.35486744952444227	0.328692009125027	0.28155572174966986	0.7066788007291344	0.5913294537201111	0.2699884599055092	0.2937415769971549	0.24805616614325227	0.36928473788343114	0.28088399137746833	0.2583831817137118	0.5954923395281327	0.2974684334107074	0.6750426557798102	0.7039004106671025	0.5878366429876284	0.6518071130573556	0.6007689936441281	0.589872039225175	0.24201732701740045	0.2735697062387622	0.25893844230912344	0.25835921364873554	0.28164044604990823	0.28862852157935376	0.26664151850959383	0.5767414004029451	0.5739736639520129	0.32859735954270436	0.32538792421253043	0.31390252666762475	0.3380940042477157	0.2853707133223896
">10"	3.9423962979002325	3.9162134787838374	9.003066517863855	3.9232677631217023	3.8233396704923197	4.023326140446145	4.20819538277451	3.9528520469367576	2.922256985380485	9.37540168711605	8.293986210015916	2.9489388781065253	3.2788954310474376	2.980904409167094	4.342857829728577	3.3500435885225786	2.951790396371729	8.091668184308526	3.5166990827347817	9.33036936232768	9.494741256566073	7.019209154627483	8.780551939246301	9.11025108184164	7.947462484095287	2.6934832508107838	2.738670018914766	2.676782610115769	2.648544825176289	3.4703461355481613	3.2761341336406278	3.0982867373150698	7.1950163360182495	7.2401384240434545	4.199051050126937	4.6815300800690895	4.096899939082326	4.38564439725847	3.779076440088657
