"Position (bp)"	"AH10_S41_L002_R1_001"	"AH11_S42_L002_R1_001"	"AH12_S43_L002_R1_001"	"AH13_S44_L002_R1_001"	"AH14_S45_L002_R1_001"	"AH15_S46_L002_R1_001"	"AH16_S47_L002_R1_001"	"AH17_S48_L002_R1_001"	"AH18_S49_L002_R1_001"	"AH19_S50_L002_R1_001"	"AH1_S32_L002_R1_001"	"AH20_S51_L002_R1_001"	"AH21_S52_L002_R1_001"	"AH22_S53_L002_R1_001"	"AH23_S54_L002_R1_001"	"AH24_S55_L002_R1_001"	"AH25_S56_L002_R1_001"	"AH26_S57_L002_R1_001"	"AH27_S58_L002_R1_001"	"AH28_S59_L002_R1_001"	"AH29_S60_L002_R1_001"	"AH2_S33_L002_R1_001"	"AH30_S61_L002_R1_001"	"AH31_S62_L002_R1_001"	"AH32_S63_L002_R1_001"	"AH33_S64_L002_R1_001"	"AH34_S65_L002_R1_001"	"AH35_S66_L002_R1_001"	"AH36_S67_L002_R1_001"	"AH37_S68_L002_R1_001"	"AH38_S69_L002_R1_001"	"AH39_S70_L002_R1_001"	"AH3_S34_L002_R1_001"	"AH4_S35_L002_R1_001"	"AH5_S36_L002_R1_001"	"AH6_S37_L002_R1_001"	"AH7_S38_L002_R1_001"	"AH8_S39_L002_R1_001"	"AH9_S40_L002_R1_001"
1	36.037994350818956	36.05209935333748	36.03508223346998	36.061722744742085	36.04495979056678	36.074378785815625	36.05155816948067	36.08787418822342	36.05659501882289	35.891948293836094	36.0387442929983	36.07861509612306	36.05473983920112	36.07190327346081	36.0425875359012	36.04024368289027	36.07430739092415	36.058143715302556	36.036020887836195	36.03564082610401	36.04110035101035	36.03493648977871	36.015411697756875	35.97311675673473	36.03515362538101	36.03061652941011	36.04110719894085	36.04347371716744	36.04803326286703	36.07355443079483	36.06450735941738	36.09973780162286	35.96316402103085	36.00661845576753	36.07408965468964	36.01627504824472	36.0429638640799	36.02114398722735	36.033482265693586
2	35.978476139110136	35.99708000757596	35.98605072028021	35.99491405699992	35.98119554317459	36.03189339398758	35.989077817142004	36.00385571450416	36.003762188689706	35.92230266618155	35.975858321230426	36.02891302894657	35.998177894262774	36.023750271106366	35.9902688297206	35.99325535081342	36.014490441970324	36.00278221949166	35.983590947886704	35.992515607032274	36.00234509404597	35.96601989474677	35.98810920605837	35.953868564624734	35.99440813624936	35.980119901287686	35.96631841632211	35.98058774375507	35.97066489375516	35.99401101382951	35.989171735170096	36.01483958779069	35.93053779509705	35.949132684016064	36.00512651324888	35.965270858914984	35.996297870641534	35.96931419745041	35.96643459264756
3	35.73431706566698	35.75704266890338	35.760217303905904	35.76321779966024	35.74490688095283	35.79237567829717	35.76330076200227	35.76312307354581	35.76676341346488	35.70846191694363	35.75227823185343	35.78414605686113	35.76369919141476	35.78891244911397	35.75963939954803	35.75951016610749	35.77551600658534	35.778624798662854	35.75039502193869	35.77020691876885	35.77811333998115	35.73012684329333	35.76252337237588	35.72385622743814	35.76176608004984	35.7354875525545	35.738279396387114	35.74187737977554	35.72443709194035	35.75215127636246	35.751437883503506	35.7827591342689	35.701045036635904	35.72872503996284	35.773009741368895	35.73466472063721	35.7674473766407	35.735360231134074	35.73370298416616
4	35.98275366557405	35.997737222327444	36.00125580857281	36.00155448594131	35.99062185790624	36.02892683594962	36.001778155634284	36.002117386026505	35.98959604716685	35.95484806554324	35.98796990379664	36.021021708460914	35.99594926934432	36.018127201752165	35.98358930957799	35.9986978931922	36.01062985778981	36.01918236385871	35.9919907984444	36.002613288973144	36.02259306256579	35.97994050442364	36.011682670360386	35.97039620477262	36.001261485749886	35.97578549455743	35.97607361527501	35.9765315845572	35.96420190414851	35.984762983185966	35.9830229246495	36.01435075607598	35.949907223749356	35.96775615233807	36.01030381685087	35.970195951609114	36.003815560497785	35.976171443492404	35.99002752727416
5	36.067799541431334	36.09767255607565	36.08983429603591	36.08995198924855	36.07939171874887	36.120729208637	36.08638701777254	36.09865119915592	36.0957679159869	36.05094220288467	36.08327153771647	36.11875376007524	36.09391580117792	36.12187046996683	36.09094292979507	36.0941064177767	36.113161892944206	36.115468883409584	36.087345708220624	36.091512722178656	36.110162134499895	36.07398793525018	36.10154535178943	36.06469575878002	36.092205263977576	36.08095152237549	36.074260887118385	36.08278655757915	36.06347187667184	36.083776402473454	36.08516904446025	36.11318067377742	36.04438072839222	36.05458309823517	36.10267004886253	36.061513642800975	36.092612885119856	36.06351358783082	36.070629434767746
6	35.98212620386935	36.00183581806867	35.99838957784261	36.00573844569886	35.994209648925846	36.033460530482394	35.993231958542026	36.00715461923025	36.00091738687022	35.95157919839234	35.9944514021997	36.02062133740819	35.996433832863005	36.01916139168635	35.99561018211377	35.98611382312829	36.01386732585236	36.02376496669396	35.993652738601995	36.00753696026527	36.02052535171888	35.98358535028829	36.00994166286247	35.970934288625884	36.00472334082364	35.98173830406568	35.9831338140848	35.98154294630602	35.967555200049866	35.986401242150414	35.99856465557048	36.020787915689844	35.95088415265602	35.962492877795434	36.01710398264825	35.974412348766705	36.00666824797033	35.97770999896506	35.977702788818995
7	36.19272468535125	36.20888741578506	36.21039214810386	36.214810022236996	36.20440051694593	36.23595556991337	36.209287452332575	36.215366514608164	36.20581770864579	36.17287033493635	36.208336119421595	36.23087665311378	36.20693479028339	36.226302596514614	36.19808947099672	36.20694128559686	36.22349032960913	36.22732415193114	36.202122959800825	36.213162176857416	36.22223359002	36.19724661345989	36.21730153804304	36.1861417149292	36.21749755267315	36.19520419463745	36.197505225692005	36.19317245771046	36.18033990037761	36.19967130306583	36.19745091143309	36.22961547364342	36.16779329890761	36.17854085536638	36.21674253199627	36.186393751804985	36.21440293652788	36.188948512303895	36.195699265423194
8	36.17288848881242	36.18342487621418	36.166884405821804	36.18768073331945	36.17456131453494	36.21947458100213	36.18923274332092	36.190402998897234	36.17209922855621	36.12884926073457	36.17078015129803	36.18834256469675	36.160311332634606	36.16946967835129	36.15310907919293	36.180587842314054	36.17757319354949	36.182400300881504	36.16837689600439	36.17018732009338	36.17510497848572	36.16829267536558	36.169719015577414	36.13956747241495	36.177424522215055	36.17575423415396	36.16242890465665	36.16462067392227	36.16280885278429	36.175887480089244	36.17253633651068	36.19378819818431	36.14324486723046	36.151128794391994	36.194669486193746	36.16891502738163	36.18911812573243	36.162618341677096	36.17760463878046
9	36.17710802950944	36.19997077843015	36.18161598876599	36.20351419591477	36.192627659497596	36.23134840025892	36.19134307691961	36.20062467211982	36.1844000698658	36.15109838837686	36.18422991624535	36.207210900787956	36.18695153768004	36.190065640077236	36.17118540517389	36.189246547880735	36.201958504521315	36.197880747671846	36.18957016500099	36.18524854512565	36.186405328812654	36.17425994792698	36.18332463057576	36.1537803475706	36.18006763521481	36.193338826467226	36.188950219648	36.185740909645105	36.18014408368696	36.19951061259324	36.19248708083727	36.21834233151344	36.148695618601835	36.155842608744635	36.201595965391014	36.17319685707299	36.202868422226864	36.171639654979046	36.185639601158265
10	36.073236530020296	36.085771260044915	36.07155085028228	36.09200720564294	36.08604489529276	36.12718104309915	36.097736544311815	36.102521450333064	36.08174246168662	36.02982911968691	36.07539896604771	36.102712648746525	36.07959719022022	36.08413787875552	36.06893750458211	36.08830610073096	36.09175464222729	36.0822588538704	36.08532092645259	36.07231693041895	36.0661424258206	36.06242163913546	36.06152719325125	36.03325157328544	36.075019467372684	36.08014150050347	36.06610745180559	36.06659526897543	36.06583362333595	36.08421552511655	36.07882372142272	36.10751971740049	36.03360976724136	36.04950151494024	36.10008040333723	36.06670470226902	36.088787695891824	36.061676674710924	36.080438959371364
12	36.12338687521286	36.136312670797366	36.12245851673934	36.142526917456536	36.1329321266266	36.171703971929304	36.13903372970681	36.149332481496565	36.13625318603469	36.09168333462152	36.12933562813838	36.16370133304562	36.13176914117716	36.15792423220121	36.12610906247227	36.138535734173175	36.15199318993439	36.13871221314932	36.138420486333345	36.1269502219431	36.12405521372878	36.112092739405036	36.12253886536886	36.09167026106681	36.128011046343474	36.136692678029945	36.128917977779324	36.121801813206815	36.12042622593195	36.141785826381785	36.13667303836458	36.17065178937543	36.085295278895074	36.09366726353126	36.14744086181071	36.10866366759708	36.14148409263308	36.10757611909017	36.12376219579742
14	36.03986382207232	36.05353851565248	36.032789386332944	36.0622466735436	36.043582053123174	36.094559686357066	36.05342675509712	36.06800752447636	36.057913231553655	36.00415819130225	36.04944803201833	36.079693541407444	36.043452791668905	36.07199050879558	36.04125708538215	36.05499826952849	36.069970004445594	36.05121900225544	36.04716290601595	36.041987385038794	36.03858601301249	36.024059747128305	36.03459033462363	35.99639986029908	36.04189601085723	36.059357844853636	36.04918402161681	36.043056971024455	36.04337028053208	36.06744019097344	36.05929670721076	36.09086942640869	35.99973507735763	36.009240858413804	36.064651923772956	36.02958703833288	36.06043108529881	36.02638754709742	36.0449858313749
