"Position (bp)"	"AH10_S41_L002_R1_001 - illumina_universal_adapter"	"AH11_S42_L002_R1_001 - illumina_universal_adapter"	"AH12_S43_L002_R1_001 - illumina_universal_adapter"	"AH13_S44_L002_R1_001 - illumina_universal_adapter"	"AH14_S45_L002_R1_001 - illumina_universal_adapter"	"AH15_S46_L002_R1_001 - illumina_universal_adapter"	"AH16_S47_L002_R1_001 - illumina_universal_adapter"	"AH17_S48_L002_R1_001 - illumina_universal_adapter"	"AH18_S49_L002_R1_001 - illumina_universal_adapter"	"AH19_S50_L002_R1_001 - illumina_universal_adapter"	"AH1_S32_L002_R1_001 - illumina_universal_adapter"	"AH20_S51_L002_R1_001 - illumina_universal_adapter"	"AH21_S52_L002_R1_001 - illumina_universal_adapter"	"AH22_S53_L002_R1_001 - illumina_universal_adapter"	"AH23_S54_L002_R1_001 - illumina_universal_adapter"	"AH24_S55_L002_R1_001 - illumina_universal_adapter"	"AH25_S56_L002_R1_001 - illumina_universal_adapter"	"AH26_S57_L002_R1_001 - illumina_universal_adapter"	"AH27_S58_L002_R1_001 - illumina_universal_adapter"	"AH28_S59_L002_R1_001 - illumina_universal_adapter"	"AH29_S60_L002_R1_001 - illumina_universal_adapter"	"AH2_S33_L002_R1_001 - illumina_universal_adapter"	"AH30_S61_L002_R1_001 - illumina_universal_adapter"	"AH31_S62_L002_R1_001 - illumina_universal_adapter"	"AH32_S63_L002_R1_001 - illumina_universal_adapter"	"AH33_S64_L002_R1_001 - illumina_universal_adapter"	"AH34_S65_L002_R1_001 - illumina_universal_adapter"	"AH35_S66_L002_R1_001 - illumina_universal_adapter"	"AH36_S67_L002_R1_001 - illumina_universal_adapter"	"AH37_S68_L002_R1_001 - illumina_universal_adapter"	"AH38_S69_L002_R1_001 - illumina_universal_adapter"	"AH39_S70_L002_R1_001 - illumina_universal_adapter"	"AH3_S34_L002_R1_001 - illumina_universal_adapter"	"AH4_S35_L002_R1_001 - illumina_universal_adapter"	"AH5_S36_L002_R1_001 - illumina_universal_adapter"	"AH6_S37_L002_R1_001 - illumina_universal_adapter"	"AH7_S38_L002_R1_001 - illumina_universal_adapter"	"AH8_S39_L002_R1_001 - illumina_universal_adapter"	"AH9_S40_L002_R1_001 - illumina_universal_adapter"
1	0	0.000027057009118212074	0.000022907854301465073	0	0	0.000019966065674779144	0	0	0	0.000023564497915955804	0	0	0	0	0	0	0	0	0	0	0.000020100231815973532	0	0	0	0	0	0	0	0	0.000016330332580287262	0	0	0	0	0.000022082762217895472	0	0	0.00004330299669728044	0
2	0	0.000027057009118212074	0.000022907854301465073	0	0	0.000019966065674779144	0	0	0	0.000023564497915955804	0	0	0	0	0	0	0	0	0	0	0.000020100231815973532	0	0.000019542120304419333	0	0	0	0	0	0	0.000016330332580287262	0	0	0	0	0.000022082762217895472	0	0	0.00004330299669728044	0
3	0	0.000027057009118212074	0.000022907854301465073	0	0	0.000019966065674779144	0	0	0	0.000023564497915955804	0	0.00002345466038238133	0	0	0	0	0	0	0	0	0.000020100231815973532	0	0.000019542120304419333	0	0	0	0	0	0	0.000016330332580287262	0	0	0	0	0.000022082762217895472	0	0	0.00004330299669728044	0
4	0	0.000027057009118212074	0.000022907854301465073	0	0	0.000019966065674779144	0	0	0	0.000023564497915955804	0	0.00002345466038238133	0	0	0	0	0	0	0	0	0.000020100231815973532	0	0.000019542120304419333	0	0	0	0	0	0	0.000016330332580287262	0	0	0	0	0.000022082762217895472	0	0	0.00004330299669728044	0
5	0	0.000027057009118212074	0.000022907854301465073	0	0	0.000019966065674779144	0	0	0	0.000023564497915955804	0	0.00002345466038238133	0	0	0	0	0	0	0	0	0.000020100231815973532	0	0.000019542120304419333	0	0	0	0	0	0	0.000016330332580287262	0	0	0	0	0.000022082762217895472	0	0	0.00004330299669728044	0
6	0	0.000027057009118212074	0.000022907854301465073	0	0	0.000019966065674779144	0	0	0.00002654475897624297	0.000023564497915955804	0	0.00002345466038238133	0	0	0	0	0	0	0	0	0.000020100231815973532	0	0.000019542120304419333	0	0	0	0	0	0	0.000016330332580287262	0	0	0	0	0.000022082762217895472	0	0	0.00004330299669728044	0
7	0	0.000027057009118212074	0.000022907854301465073	0	0	0.000019966065674779144	0	0	0.00002654475897624297	0.000023564497915955804	0	0.00004690932076476266	0	0	0	0	0	0	0	0	0.000020100231815973532	0	0.000019542120304419333	0	0	0	0	0	0	0.000016330332580287262	0	0	0	0.00002308656260475528	0.000022082762217895472	0.000023536882648162912	0	0.00004330299669728044	0
8	0.000050642591178820253	0.0001082280364728483	0.00006872356290439521	0	0.00010705030641812083	0.00005989819702433744	0.0001578578242230576	0.000018400851885838906	0.00002654475897624297	0.00004712899583191161	0.0000215003595935142	0.00004690932076476266	0.00004590843379246358	0	0	0	0	0.0000934414606769133	0.00002242531584936108	0	0.00008040092726389413	0.0000664309695865735	0.000058626360913258	0	0.000027810532404832358	0	0	0.000042481767887266985	0	0.00006532133032114905	0	0	0.00004266065094607459	0.00009234625041902112	0.000022082762217895472	0.00007061064794448873	0	0.00006495449504592067	0.000047645649773504495
9	0.000050642591178820253	0.0001893990638274845	0.00006872356290439521	0.000019659617317685064	0.00010705030641812083	0.00005989819702433744	0.0001578578242230576	0.00007360340754335562	0.00002654475897624297	0.00004712899583191161	0.0000860014383740568	0.00004690932076476266	0.00004590843379246358	0	0.000025724101296366084	0	0	0.0000934414606769133	0.00002242531584936108	0	0.00008040092726389413	0.0000664309695865735	0.000058626360913258	0.00005739561101502129	0.000027810532404832358	0.000020512075766684985	0	0.000042481767887266985	0	0.00006532133032114905	0	0.000018757932260604702	0.00004266065094607459	0.00011543281302377638	0.000022082762217895472	0.00007061064794448873	0.000023484707932429797	0.00008660599339456088	0.000047645649773504495
10	0.00012660647794705064	0.0001893990638274845	0.00006872356290439521	0.000019659617317685064	0.00010705030641812083	0.00009983032837389573	0.0002029600597153598	0.00009200425942919454	0.00002654475897624297	0.00005891124478988951	0.0000967516181708139	0.00004690932076476266	0.00006886265068869537	0.000015040574959067075	0.000038586151944549126	0.000025392098436024482	0.000036639520852772634	0.00017520273876921242	0.000033637973774041616	0.000049591790138652694	0.00011055127498785443	0.00011071828264428918	0.00010748166167430634	0.00007174451376877661	0.00004171579860724854	0.00007179226518339745	0.00004304080720451464	0.00005310220985908373	0.00002597038337479938	0.00006532133032114905	0	0.000056273796781814106	0.0001279819528382238	0.00021932234474517515	0.000044165524435790945	0.00007061064794448873	0.0001056811856959341	0.00011908324091752121	0.00008337988710363286
12	0.00030385554707292153	0.00028409859574122674	0.00020617068871318564	0.00006880866061189773	0.00017395674792944636	0.00018967762391040188	0.0003833690016845685	0.00019320894480130853	0.00013272379488121484	0.00012960473853775693	0.00024725413532541334	0.0001290006321030973	0.0002410192774104338	0.0001203245996725366	0.00015434460777819653	0.00007617629530807344	0.0001709844306462723	0.0002803243820307399	0.0001345518950961665	0.00010910193830503592	0.00028140324542362945	0.0003210830196684386	0.00022473438350082233	0.00024393134681384047	0.00020857899303624268	0.00019486471978350734	0.0001291224216135439	0.0001911679554927014	0.00009089634181179782	0.000244954988704309	0.00007085787869934223	0.00017820035647574467	0.00021330325473037294	0.00036938500167608447	0.00028707590883264117	0.0001882950611853033	0.0002113623713918682	0.00023816648183504243	0.00026205107375427473
14	0.0006963356287087786	0.0007034822370735139	0.0005956042118380918	0.0003735327290360162	0.0005620141086951344	0.0006389141015929326	0.0008794935920998924	0.0005520255565751672	0.00043798852310800905	0.0005419834520669835	0.0009137652827243535	0.0005863665095595332	0.0007574891575756491	0.0008422721977077562	0.0005016199752791387	0.0007490669038627222	0.0005251664655564077	0.0005256082163076373	0.0003924430273638189	0.0004562444692756048	0.0007939591567309545	0.0010518236851207472	0.000615576789589209	0.0006887473321802555	0.0006396422453111442	0.000543570007817152	0.0002905254486304738	0.0006372265183090047	0.0004934372841211882	0.0008328469615946504	0.0004605762115457245	0.0005439800355575364	0.000725231066083268	0.0008772893789807006	0.000750813915408446	0.0005648851835559098	0.00039924003485130655	0.000790279689725368	0.0005955706221688062
16	0.001202761540496981	0.0014069644741470278	0.001088123079319591	0.0009633212485665682	0.0012310785238083895	0.0016472004181692795	0.0019281205672959179	0.0014260660211525152	0.001446689364205242	0.0012489183895456578	0.0016985284078876218	0.0014776436040900237	0.0019281542192834704	0.0030532367166906165	0.001466273773892867	0.0016758784967776158	0.0012823832298470422	0.0009110542415999047	0.0008970126339744432	0.001378651765854545	0.0016683192407258034	0.0020925755419770654	0.0015731406845057563	0.0014348902753755321	0.0016130108794802768	0.0010563719019842767	0.0008500559422891642	0.0017311320414061294	0.0011167264851163732	0.0017473455860907371	0.0013581093417373926	0.0011442338678968869	0.0016744305496334275	0.0017199489140542683	0.0017776623585405856	0.0016946555506677295	0.0012212048124863495	0.0016671653728452971	0.0012387868941111167
18	0.002038364294947515	0.0027733434346167377	0.00243968648310603	0.002064259818356932	0.0024487757593145143	0.0034241802632246233	0.004160681224164875	0.0026865243753324804	0.0035304529438403153	0.003028037982200321	0.0030530510622790163	0.002943559877988857	0.004028465065288679	0.006076392283463098	0.003035443952971198	0.004240480438816088	0.002613619154164448	0.001938910309045951	0.001928577163045053	0.0026482015934040535	0.0030753354678439504	0.0038419244077568344	0.0032830762111424484	0.0030993629948111497	0.0028366743052929003	0.0026768258875523904	0.002119759754822346	0.0037808773419667615	0.0023243493120445446	0.003453865340730756	0.003117746662771058	0.002607352584224054	0.0036261553304163404	0.003486070953318047	0.0036546971470617006	0.0035540692798725995	0.0023249860853105497	0.00295542952458939	0.0024775737882222334
20	0.004064067942100326	0.005533158364674369	0.0053375300522413615	0.004590520643679463	0.0045630193110724	0.0067385471652379614	0.008028197917629787	0.005630660677066706	0.0071272677851212385	0.006150333956064465	0.0057728465508585635	0.00548839052947723	0.007643754226445186	0.011175147194586836	0.005659302285200538	0.009268115929148935	0.005337156870887214	0.004111424269784185	0.0037898783785420224	0.00478064856936612	0.005517513633484735	0.006720599756508353	0.006302333798175235	0.006313517211652343	0.005381338020335061	0.005189555168971301	0.00441168273846275	0.0074874115901308064	0.005090195141460679	0.006385160038892321	0.005952061810744747	0.004970852049060247	0.006633731222114599	0.00713374784486938	0.007596470202956042	0.006566790258837453	0.004379898029398158	0.005586086573949177	0.004728830740020321
22	0.006355645192941942	0.009239968613869422	0.009014240667626506	0.00756895266730875	0.007520284025872988	0.010691828168844232	0.013203679440371461	0.009448837443378278	0.012024775816238066	0.010545112817390224	0.00841739078086081	0.008666497011289902	0.01269368194361618	0.01919177364776959	0.009260676466691792	0.015235259061614688	0.009135453865957977	0.006389059873783947	0.006727594754808324	0.007984278212323084	0.008974753505832184	0.009997860922779312	0.010191215738754682	0.010159023149658768	0.008134580728413464	0.008522767481057611	0.007198575004955073	0.013073764067306414	0.008622167280433394	0.010859671165891031	0.009235143523814271	0.008225353296275162	0.011347733151655841	0.011312415676330085	0.012763836561943583	0.010909345107423508	0.007444652414580246	0.008270872369180565	0.007825797975298114
24	0.01020448212253228	0.013947888200438324	0.013584357600768787	0.012051345415740943	0.011548051804854784	0.017210748611659624	0.021288255152366625	0.01482188619404324	0.01973602829883665	0.015976729587018033	0.01320122079041772	0.012583425295147582	0.019694718096966875	0.029539689219607736	0.015704563841431495	0.023817788332990964	0.014057362833847101	0.00970623172781437	0.011078106029584374	0.012477294398885019	0.013788759025757845	0.015013399126565612	0.01494972203288079	0.015310279238256931	0.011889002603065833	0.014184100392662664	0.011577977138014436	0.020762964054901738	0.013881169913830267	0.017497951359777802	0.014502245840465375	0.013496332261505085	0.01735221977231584	0.017060969764914148	0.0202388515727012	0.01769973575141851	0.011965458691572983	0.01266612653395453	0.01176847549405561
26	0.016066362051480727	0.01990043020644498	0.020113096076686335	0.018391572000694377	0.01777035086540806	0.026734561938529276	0.03254126290769602	0.02274345293089689	0.03044683854575069	0.024483513334678082	0.020382340894651463	0.01958464141928841	0.029863436181997556	0.04321157185739971	0.02425782752247322	0.03592981928697464	0.020933379580550766	0.014518466952675405	0.01799631596911227	0.018715941598327526	0.020150482395513467	0.022896540850839	0.02171129565820988	0.024120505529062697	0.018021224998331368	0.022665843722186906	0.017808133980867932	0.03292337011263191	0.023165581970321047	0.027908538379710933	0.02253280542639083	0.02102764206413787	0.026150979029943726	0.026618806683282835	0.03029754976295259	0.02790297437939713	0.017824893320714217	0.019237356282766835	0.017652713241083414
28	0.026308826117397124	0.031791985713899185	0.03116613577714323	0.02970568176702213	0.027404878443038933	0.04364581956506721	0.05149547737333601	0.03655329227121899	0.04815219278290475	0.038787163569663254	0.03436832481023245	0.030678695780154776	0.04625274704590705	0.06550170394673711	0.038997737565290985	0.05710682938261906	0.03245040230193896	0.023664049916428294	0.029119272630395363	0.02853511604578076	0.030914156532967293	0.03683597263575501	0.03284053317157669	0.03710626252121127	0.028811711571406322	0.037434538274200096	0.029031024459445123	0.05350578665401276	0.039007515828948666	0.04607603337528052	0.03512188854197396	0.03438328983368842	0.04028231965583093	0.04348354066605657	0.04900164936151005	0.04622643752099196	0.028674828385496783	0.031557058843143124	0.02931398602314864
30	0.0572514493276563	0.0649909359019454	0.062366633335738664	0.060531961721152314	0.05463580013814842	0.09164424144723628	0.10177319438837987	0.07816681881104368	0.09861377959674264	0.07812809284035147	0.07581026792673108	0.06177957544719242	0.0892459952925492	0.11924167827548376	0.0779697510292856	0.11366772864886358	0.06806401657083397	0.046895933077225865	0.05961770218552643	0.057824027301669044	0.058481624468574994	0.0736276579584523	0.06379525173377691	0.07170146706051535	0.06062696064253454	0.08199702287732322	0.06456121080677195	0.10765942026830636	0.083429856591543	0.09303390470989653	0.07023196743749804	0.06879471656576774	0.08162049042257721	0.09352366511186364	0.0965679191788569	0.09600694432185652	0.05831252979622319	0.06672991791050917	0.0666562640331328
32	0.26392386392842176	0.2705295056684434	0.24898546840262387	0.24717053872659545	0.22584938396563042	0.3894880261507542	0.4157298556502953	0.34538398989719626	0.40724969221351964	0.3074460043094754	0.359636514920712	0.25056613686497975	0.3429015691043586	0.4023955424548805	0.32984728887265413	0.455369197302445	0.2896231991675501	0.18304014128348856	0.2541797424945832	0.22632701183478315	0.2015751747664906	0.30178482300353904	0.234505443653032	0.27245696548830606	0.24392617972278463	0.3722736630895658	0.27167357507489637	0.4168523473938073	0.36237774442026316	0.3712374505476704	0.2872578402471334	0.2843702530707673	0.32767645991679895	0.3923445881865136	0.3939896021105821	0.41666166507910396	0.24877351112822885	0.2958568991849943	0.314187326018932
34	0.4352477498863707	0.4436808355204416	0.4133264151613343	0.40580399086299623	0.37197305222636534	0.6438257537489284	0.6834680010914741	0.5657341912301173	0.6675608711140464	0.502253708580682	0.594248438805139	0.4127551134091466	0.5598533500990934	0.6436914865231936	0.5490938042215823	0.7413350098889527	0.46892480104740175	0.2984987461323996	0.41806395072171393	0.3707581414345953	0.3203474445670782	0.49591825979203563	0.3813937909211999	0.44183141359363387	0.39917847687276126	0.616634021698084	0.4479256805773838	0.6752477005681087	0.594890586774842	0.6080272729618357	0.4643434887632395	0.46650039635510865	0.5337060736608661	0.6431685476058773	0.6409632147555251	0.6924550875089528	0.409866865190731	0.4872994475836711	0.5203143183515557
36	0.45951821170882035	0.4686950404502286	0.44003697327684255	0.4301720865282669	0.39539030675532927	0.6800042647516281	0.7175201888881623	0.5965464177129545	0.7066745734655404	0.5344310304849196	0.6242844411572783	0.4366788669991756	0.5936993429125872	0.6829925088912359	0.5807473108667607	0.783028835520905	0.49436484169284356	0.3160657407396592	0.4414871931263716	0.39272730446601845	0.3389100086491298	0.523907841644512	0.40329073672230176	0.46907997992301526	0.4225810398914277	0.6520276084334989	0.47618197050714767	0.7134706712246772	0.6296389597303236	0.6457993322200402	0.49242682802107884	0.49472170544118843	0.5650723172689676	0.6794952538644597	0.6760195997764341	0.7319735134752183	0.4324356695137961	0.5132920713512137	0.5475080729597834
38	0.47773688388540086	0.48583565572661597	0.4537587780034201	0.44832774312114904	0.41111332051049077	0.703065070605998	0.7420107027604823	0.6204859260164308	0.7317859154570663	0.5611767356195294	0.6428607518460747	0.4501887513794272	0.6136580345038607	0.6990408023725605	0.5997960078767198	0.8139564114159827	0.5121594356536735	0.3279912071585503	0.4571400635892256	0.4033498659137178	0.347060652650507	0.542364579361315	0.41321813383694683	0.48182180556834997	0.43801588537610964	0.6826521375531596	0.5003171031470792	0.7406165209046407	0.663153739475502	0.6811626674226522	0.5186560527862853	0.5200261560607442	0.585378787119299	0.7033205864725671	0.6980581964698938	0.754886668733205	0.44615073894633506	0.5309055652578325	0.5686270072218893
40	0.5374065169418458	0.5382180253794746	0.49451185080572646	0.5056846766454952	0.46059732465226716	0.7740444340798379	0.8155047954951887	0.6945217535791037	0.8026073324056824	0.6609841665425603	0.700997724186937	0.49225468477522816	0.6766558827755689	0.7328520148805433	0.6572507881221534	0.9060662484926616	0.5642608343063162	0.3632887189292543	0.5091331583859693	0.43219245105835824	0.36936185985032965	0.5949557636173524	0.43990289911263136	0.5174214333004169	0.48101096847398045	0.7880636949181536	0.5837301875094286	0.8256225384470619	0.770554259921985	0.8019826330179075	0.6038272229828947	0.6032457225349169	0.643407937568697	0.7720954564721332	0.765642490237763	0.8276509414400006	0.4897383568689248	0.5876433166804442	0.6349735745314944
42	0.6509345457169662	0.6350956465272328	0.5667059536367938	0.6140976363438695	0.5485525326630557	0.9035742851449676	0.9487706258160686	0.8310100724423137	0.9237708847527435	0.8251580235230244	0.8090907820433297	0.5652221332248164	0.7826584564023672	0.789314333276881	0.7567001637339048	1.0584061430595904	0.6556886520076015	0.42576601557435545	0.5967264420935736	0.4838968514569175	0.40535132491683024	0.6898966909848303	0.4868821563244555	0.578059896337787	0.5552094689300733	0.9730415941821189	0.7267978306572352	0.9712075569967259	0.9570735533197942	1.0125132806429709	0.7495700698209917	0.7460498608349005	0.7453775584925517	0.8948582531229193	0.8934685593360508	0.968860468887654	0.5703848439088888	0.6963771413873154	0.7643196022541157
44	0.8219292548322528	0.7807299981060094	0.6717728273904633	0.7736944097288369	0.683288724578563	1.0919241656879968	1.1425523806087448	1.0323889954809349	1.0956216543649404	1.062240437055456	0.9776213507170908	0.6682701836148088	0.9342825361104263	0.8699318150574806	0.9030059898569869	1.2723218763338786	0.7905098755721872	0.5207726207176071	0.7200544666071349	0.5611608604929385	0.4565164650043909	0.838857068454457	0.5562859965856007	0.670595970196755	0.6706509889425323	1.2419036272939423	0.9319518381975542	1.1837969439465819	1.2188550177377717	1.3148938838658601	0.9628050461202123	0.9507551755948797	0.8955110543345248	1.0859688183650835	1.0830049074522479	1.1779974396579056	0.6923526745559629	0.8637973523681759	0.9630972531091765
