"Position (bp)"	"AH10_S41_L002_R1_001 - illumina_universal_adapter"	"AH11_S42_L002_R1_001 - illumina_universal_adapter"	"AH12_S43_L002_R1_001 - illumina_universal_adapter"	"AH13_S44_L002_R1_001 - illumina_universal_adapter"	"AH14_S45_L002_R1_001 - illumina_universal_adapter"	"AH15_S46_L002_R1_001 - illumina_universal_adapter"	"AH16_S47_L002_R1_001 - illumina_universal_adapter"	"AH17_S48_L002_R1_001 - illumina_universal_adapter"	"AH18_S49_L002_R1_001 - illumina_universal_adapter"	"AH19_S50_L002_R1_001 - illumina_universal_adapter"	"AH1_S32_L002_R1_001 - illumina_universal_adapter"	"AH20_S51_L002_R1_001 - illumina_universal_adapter"	"AH21_S52_L002_R1_001 - illumina_universal_adapter"	"AH22_S53_L002_R1_001 - illumina_universal_adapter"	"AH23_S54_L002_R1_001 - illumina_universal_adapter"	"AH24_S55_L002_R1_001 - illumina_universal_adapter"	"AH25_S56_L002_R1_001 - illumina_universal_adapter"	"AH26_S57_L002_R1_001 - illumina_universal_adapter"	"AH27_S58_L002_R1_001 - illumina_universal_adapter"	"AH28_S59_L002_R1_001 - illumina_universal_adapter"	"AH29_S60_L002_R1_001 - illumina_universal_adapter"	"AH2_S33_L002_R1_001 - illumina_universal_adapter"	"AH30_S61_L002_R1_001 - illumina_universal_adapter"	"AH31_S62_L002_R1_001 - illumina_universal_adapter"	"AH32_S63_L002_R1_001 - illumina_universal_adapter"	"AH33_S64_L002_R1_001 - illumina_universal_adapter"	"AH34_S65_L002_R1_001 - illumina_universal_adapter"	"AH35_S66_L002_R1_001 - illumina_universal_adapter"	"AH36_S67_L002_R1_001 - illumina_universal_adapter"	"AH37_S68_L002_R1_001 - illumina_universal_adapter"	"AH38_S69_L002_R1_001 - illumina_universal_adapter"	"AH39_S70_L002_R1_001 - illumina_universal_adapter"	"AH3_S34_L002_R1_001 - illumina_universal_adapter"	"AH4_S35_L002_R1_001 - illumina_universal_adapter"	"AH5_S36_L002_R1_001 - illumina_universal_adapter"	"AH6_S37_L002_R1_001 - illumina_universal_adapter"	"AH7_S38_L002_R1_001 - illumina_universal_adapter"	"AH8_S39_L002_R1_001 - illumina_universal_adapter"	"AH9_S40_L002_R1_001 - illumina_universal_adapter"
46	1.0288802036845017	0.9582104494169215	0.8007211392534102	0.9613257974088232	0.8478250455432148	1.3177303854369113	1.3739381242431281	1.2705696222912337	1.2995384928204392	1.3453207505198328	1.1886043794082457	0.7964733572649052	1.108734584521788	0.9603106299865146	1.0803093580421903	1.526699918465972	0.9496475278093963	0.6382869377014102	0.8666039056827095	0.6612271746347118	0.5221135715358205	1.028118900806605	0.6425839998499165	0.7903806103851044	0.810037377355552	1.5621381541634283	1.1784250206542073	1.4381565291715928	1.525941815953087	1.6634566676258016	1.210181710306066	1.1829314821505144	1.0845297335138446	1.3224329358442894	1.3071118198205598	1.4257231295298203	0.8314525996397446	1.0675487775780548	1.20443438062442
48	1.2512138396073174	1.1452149679374442	0.9401039787506744	1.159838783274148	1.0256489857920157	1.5561851077907987	1.6264317140879088	1.5229281054795714	1.5125601836047888	1.64547354272432	1.4274733744921884	0.9302821947463906	1.2885693967953158	1.059728830465948	1.2667705062888996	1.7955006725097271	1.1134383991949077	0.7699225954300117	1.022672891336338	0.7762702093983583	0.5957809211413636	1.2431338057018144	0.7396301692816629	0.9273121893641915	0.9695168754310632	1.8893878109451205	1.4321075383176165	1.7022338188008161	1.8332104068520259	2.025075552283683	1.4650811192804998	1.4201349145519913	1.2934176108712991	1.581925899521739	1.549613673116379	1.6877474756104938	0.9809797350455252	1.2865103803778535	1.468236432007871
50	1.4462384582369543	1.3128872534430043	1.0756497526524431	1.3314082636055855	1.1930221398767475	1.767755522713596	1.853487643115031	1.7425790744408303	1.6996343724898613	1.9134725775224852	1.6566027066802693	1.0503348739136094	1.445748396992263	1.145369864282876	1.4289223788105434	2.030669592174968	1.262866578406132	0.8914198546751683	1.162191993893138	0.8904305102975368	0.6672774457107814	1.4477522638567253	0.8332760097804404	1.0614744301118038	1.1262153202660912	2.1690699640238704	1.6474406967618034	1.9319964604190996	2.095290530678814	2.3288605641084765	1.681646415878589	1.6225705195084372	1.4925361991621022	1.8285019314218274	1.7582405691699465	1.9170202494862487	1.118013005831253	1.4865052706242432	1.7021289267460045
52	1.6159671025727702	1.4586027760491356	1.2082747751307752	1.4761521961070418	1.3498240762026903	1.9564348433402587	2.06201782891369	1.932475865902688	1.865552388470868	2.1431557387093063	1.884624770349284	1.1589651334746085	1.5728803272720429	1.225445885364949	1.5675624227473084	2.2464135565366496	1.3923140055789778	1.0074157479229715	1.2878746765708822	1.005304932974712	0.7361006394486748	1.6497577705412307	0.924742903865275	1.1976885639532031	1.2834699757492158	2.397543719951091	1.827717117737913	2.1267859866241903	2.3126236839508225	2.5798332803686215	1.8611648515633727	1.7883812617260524	1.6817361861079432	2.0683251437600254	1.932583976880231	2.1087281586555355	1.232970651160497	1.6550080565225356	1.9095542630349565
54	1.7575511268609572	1.5835385156524797	1.3260784158760592	1.5979435253901009	1.490702279448937	2.122233052703625	2.2492372084422367	2.0980007290417517	2.0117078313940615	2.345857549782358	2.0897812015905965	1.2610398154587321	1.6777122358371335	1.2988138100152782	1.6818288807057664	2.438276252319251	1.503356180110114	1.1087413318444994	1.3928700053775906	1.1141985857611656	0.8001902285939064	1.8322547158238127	1.0080118784824057	1.3245185153936463	1.4287661022982623	2.586029184171159	1.9707955210875205	2.2918595161921385	2.4869109267791014	2.7779528752326663	2.0083366656219064	1.9202120096535822	1.8544584966258624	2.2878668108499456	2.0683598403769614	2.2620121069016967	1.3262636534220742	1.7951473795841095	2.0849498112636695
56	1.883486590474888	1.698381990854731	1.4411102062508663	1.7087451285925739	1.620514157269211	2.271639122147997	2.4240985754458917	2.242787832105475	2.1441130891675617	2.5316989625965434	2.2924543412988583	1.3575557429322314	1.7720999757144384	1.3701512570461334	1.785741387892437	2.6155130994027016	1.603027890003273	1.2071819106676276	1.4872917977613256	1.2259189705855222	0.8653149796776607	2.007554972734516	1.0887012932193532	1.450042716683498	1.5705859122967052	2.7490078821753547	2.0962702342904818	2.4349274899944815	2.6350200231655823	2.9473310847554055	2.1345463572318852	2.0309588417201923	2.0221468503321454	2.5007595479096967	2.183057707336711	2.396407706822707	1.408096118212626	1.9325369623554058	2.242787937550847
58	1.9979261858912272	1.8038637409020808	1.5519956749971078	1.8087634316962966	1.746713087247873	2.410273499160826	2.5893982685251795	2.376681630852782	2.267917845032759	2.704933369025693	2.490160897941018	1.4459563579134265	1.8572027348572178	1.4367659635398415	1.879608633522877	2.7748231249903195	1.6906696238831054	1.301137299378264	1.5769369978691463	1.3360920915575532	0.9283392565366456	2.1775518239065574	1.1677687119710338	1.5729267198666586	1.7073859211960754	2.8956179437177356	2.2122114086976437	2.5719418118728896	2.766560014958941	3.0972598681750236	2.250906803702655	2.12953177574967	2.1796713039505256	2.7088733665102627	2.283390737473719	2.5200234144908586	1.485149444938928	2.0578125318006384	2.3918235300423687
60	2.112505048433308	1.9115100516788874	1.6681957659412894	1.9096565877706564	1.873955757714112	2.5485784360900214	2.7536944368647633	2.509995802765685	2.385604033953932	2.880206104524572	2.6985961340203417	1.5281063059027171	1.9368653445955903	1.4999514189428822	1.9665560959045945	2.924039791449617	1.7716551781413505	1.3976156075271768	1.6640929879176882	1.4532576549391338	0.9964287918132559	2.3527302907063516	1.2497967619488342	1.700574558764066	1.8504154893541283	3.0362282230983615	2.3231275688636774	2.7056000740882036	2.8922047297262203	3.2432775369416618	2.365708376842039	2.223115099797827	2.343488203583452	2.920507885908054	2.381184249955669	2.6439333331921118	1.5632008717523584	2.187429226664773	2.5398347410637605
62	2.2289070442578263	2.0184528802186206	1.785037276805912	2.009252209102049	1.9991644723584066	2.684617224565129	2.915893351253955	2.6407154545626845	2.5019098954083407	3.055231412795334	2.910213423319505	1.6115345328828474	2.015736033851043	1.5624450078978058	2.054995556161501	3.0663371110850983	1.8513583491697485	1.492365248653567	1.7467863401122075	1.5710381565184341	1.0673524597759185	2.528661641828127	1.3329973391448995	1.8315513431003445	1.993083520590918	3.173823227341284	2.430460581829936	2.840405344036473	3.0168365995418824	3.3876621724502716	2.4789038380642383	2.315619842740999	2.5049587674143443	3.12895645966639	2.48064501098507	2.769890960683756	1.6388803430646135	2.3162989448358795	2.6822475882367653
64	2.342156538781463	2.126802673232501	1.9047537233853684	2.109191873736501	2.1222857060275477	2.8228123481331133	3.081677893364785	2.768730181132466	2.6195960843295136	3.2244716368277286	3.1124565558358963	1.6954904897215815	2.0975219086523165	1.6252544489268699	2.144669773280633	3.2116306983360303	1.9330889070186665	1.5891822820974337	1.8306570213888178	1.6877673121467949	1.1401353991815588	2.7012160853292517	1.4158754713559416	1.961825031201689	2.1360018466193518	3.311961801592024	2.5389449363889147	2.973033423380521	3.1409490616900486	3.5328551594216058	2.592985022770179	2.410450569284486	2.660179545881637	3.3378321348329134	2.578515813134783	2.8991084464221704	1.7161685168702399	2.443479846135792	2.8279241624192553
