"Position in Read (bp)"	"AH10_S41_L002_R1_001"	"AH11_S42_L002_R1_001"	"AH12_S43_L002_R1_001"	"AH13_S44_L002_R1_001"	"AH14_S45_L002_R1_001"	"AH15_S46_L002_R1_001"	"AH16_S47_L002_R1_001"	"AH17_S48_L002_R1_001"	"AH18_S49_L002_R1_001"	"AH19_S50_L002_R1_001"	"AH1_S32_L002_R1_001"	"AH20_S51_L002_R1_001"	"AH21_S52_L002_R1_001"	"AH22_S53_L002_R1_001"	"AH23_S54_L002_R1_001"	"AH24_S55_L002_R1_001"	"AH25_S56_L002_R1_001"	"AH26_S57_L002_R1_001"	"AH27_S58_L002_R1_001"	"AH28_S59_L002_R1_001"	"AH29_S60_L002_R1_001"	"AH2_S33_L002_R1_001"	"AH30_S61_L002_R1_001"	"AH31_S62_L002_R1_001"	"AH32_S63_L002_R1_001"	"AH33_S64_L002_R1_001"	"AH34_S65_L002_R1_001"	"AH35_S66_L002_R1_001"	"AH36_S67_L002_R1_001"	"AH37_S68_L002_R1_001"	"AH38_S69_L002_R1_001"	"AH39_S70_L002_R1_001"	"AH3_S34_L002_R1_001"	"AH4_S35_L002_R1_001"	"AH5_S36_L002_R1_001"	"AH6_S37_L002_R1_001"	"AH7_S38_L002_R1_001"	"AH8_S39_L002_R1_001"	"AH9_S40_L002_R1_001"
52	0.00007596388676823038	0.00013528504559106035	0.0001947167615624531	0.00007863846927074026	0.00009366901811585573	0.00020964368958518103	0.00011275558873075544	0.0001380063891437918	0.00014599617436933634	0.00011782248957977903	0.00007525125857729971	0.00017590995286785997	0.00012624819292927485	0.00009024344975440245	0.00016720665842637954	0.0002158328367062081	0.00010991856255831791	0.00019856310393844077	0.00015697721094552758	0.00013885701238822756	0.00012060139089584121	0.000132861939173147	0.00021496332334861265	0.0001291401247837979	0.00016686319442899415	0.00008204830306673994	0.00015064282521580122	0.00007434309380271722	0.0001428371085613966	0.00011431232806201084	0.00015352540384857484	0.0002157162209969541	0.00012798195283822376	0.00013851937562853165	0.00007728966776263415	0.00008237908926857019	0.00005871176983107449	0.00007578024422024077	0.0002739624861976508
54	0.0007596388676823038	0.0008522957872236802	0.0008704984634556729	0.0006192779455070795	0.0010035966226698827	0.0008585408240155033	0.0007780135622422125	0.0008004370570339925	0.000875977046216018	0.0007658461822685637	0.0009137652827243537	0.0009616410756776345	0.0008493060251605763	0.0009625967973802928	0.0008360332921318978	0.0008125471499527834	0.0009404143685544977	0.001004495702276818	0.000997926555296568	0.0008133053582739042	0.000643207418111153	0.0008746744328898845	0.0008891664738510796	0.0008609341652253194	0.0011124212961932944	0.0009025313337341393	0.0008930967494936787	0.0007328104960553554	0.0008959782264305785	0.000841012127884794	0.0008621041908419971	0.0009472755791605375	0.0009598646462866782	0.0008195729724688125	0.0008281035831710802	0.0009650121885746793	0.0009159036093647622	0.0007144994455051273	0.0009529129954700898
56	0.00041780137722526706	0.0005411401823642414	0.0005956042118380918	0.000442341389647914	0.0005218702437883391	0.0006189480359181536	0.0004961245904153239	0.0003772174636596976	0.0006105294564535884	0.0004948544562350719	0.00046225773126055535	0.0006684578208978679	0.0005164698801652153	0.0005264201235673476	0.0005916543298164199	0.0005967143132465753	0.0005984455072619531	0.0005139280337230232	0.0006391215017067908	0.000515754617441988	0.00046230533176739127	0.00046501678710601454	0.000615576789589209	0.0006457006239189895	0.0007369791087280575	0.000543570007817152	0.0005272498882553043	0.0003823359109854028	0.0006492595843699845	0.0006123874717607724	0.0005078147973452859	0.000665906595251467	0.000575918787772007	0.0005887073464212596	0.0005520690554473868	0.0005648851835559098	0.00046969415864859593	0.00033559822440392344	0.0007385075714893196
58	0.0038235156340009294	0.004356178468032144	0.004249406972921771	0.004079370593419651	0.004134818085399917	0.003993213134955828	0.0041494056652918	0.004186193804028351	0.004087892882341418	0.0038881421561327073	0.004429074076263926	0.004139747557490304	0.003971079523048099	0.004587375362515458	0.004193028511307671	0.003973863405237831	0.004274610766156808	0.004158145000122642	0.004126258116282438	0.003997098285175407	0.0037386431177710774	0.0042183665687474175	0.00381071345936177	0.003931599354528958	0.004143769328320022	0.004010110812386915	0.004099636886230019	0.0037702568999949445	0.003908542697907307	0.0039029494866886557	0.004286901661310205	0.004304945453808779	0.00418074379271531	0.0040747782997393065	0.004129476534746454	0.004424933937854627	0.0040745968262765695	0.004027178692847081	0.004335754129388909
60	0.00017724906912587092	0.0002164560729456966	0.00027489425161758086	0.00020642598183569317	0.00016057545962718125	0.00018967762391040188	0.00016913338309613318	0.00022081022263006686	0.0001990856923218223	0.0002709917260334918	0.0001397523373578423	0.0003166379151621479	0.00017215662672173844	0.0001804868995088049	0.0002315169116672948	0.0001904407382701836	0.0002442634723518176	0.00017520273876921245	0.000269103790192333	0.00023804059266553293	0.00021105243406772213	0.00018822108049529158	0.00012702378197872565	0.00015783793029130856	0.0002642000578459074	0.00031793717438361726	0.00017216322881805855	0.0002124088394363349	0.00015582230024879627	0.00023678982241416533	0.00022438328254791704	0.00022509518712725642	0.00021330325473037297	0.00026549546995468566	0.00025395176550579795	0.000258905709129792	0.00023484707932429797	0.00012990899009184133	0.00023822824886752245
62	0.0008102814588611242	0.0011769798966422252	0.0010079455892644633	0.0010616193351549934	0.0013247475419242453	0.001028252382251126	0.001082453651815252	0.0010028464277782203	0.0011546970154665693	0.001072184655175989	0.000978266361504896	0.0011727330191190666	0.0011706650617078213	0.0012934894464797686	0.0010161020012064603	0.001002987888222967	0.001013693410260043	0.001004495702276818	0.0011324784503927345	0.0010414275929117066	0.0010552621703386106	0.0010961109981784628	0.0008598532933944506	0.0011909589285616917	0.0012097581596102077	0.0010563719019842767	0.0011728619963230237	0.0009558397774635071	0.0011167264851163732	0.0011267929480398213	0.001110106766289695	0.0012098866308090034	0.0011091769245979394	0.001119698286330631	0.0010268484431321396	0.0011180019257877383	0.0012094624585201347	0.0009526659273401697	0.0009886472328002182
64	0.0010508337669605204	0.001488135501501664	0.0012141162779776488	0.0011205981871080487	0.0014853230015514267	0.0013576924658849818	0.0011839336816729322	0.001297260057951643	0.0013803274667646345	0.0012489183895456576	0.001386773193781666	0.0013720976323693078	0.0012624819292927484	0.0014890169209476405	0.0011447225076882909	0.0011934286264931506	0.0013312359243174059	0.001366581362399857	0.001468858188133151	0.001269549827549509	0.0011658134453264649	0.0012954039069381833	0.0012116114588739987	0.001377494664360511	0.0013766213540392018	0.001271748697534469	0.0014633874449534975	0.0011151464070407583	0.0012206080186155707	0.0012737659412624064	0.0013226804023877216	0.0014818766485877716	0.001365140830274387	0.0012813042245639178	0.0013249657330737285	0.001447518282862019	0.0013855977680133581	0.0012124839075238524	0.0014055466683183825
66	0.0015192777353646076	0.0017045915744473604	0.0017295429997606128	0.0015531097680971202	0.0017395674792944635	0.001617251319657111	0.0015222004478651985	0.0017112792253830183	0.0016855921949914287	0.0016377326051589284	0.0016877782280908648	0.0017590995286785997	0.001526455423599414	0.001759747270210848	0.0016977906855601616	0.0015616140538155055	0.0015510730494340415	0.0018337886657844237	0.0018276632417229281	0.0016861208647141915	0.0014773670384740547	0.0016829178961931955	0.0014949722032880789	0.0017936128442194153	0.0017520635415044384	0.001589685871918086	0.0018077139025896149	0.001539964085913428	0.0016101637692375614	0.00164119842431887	0.0017360180281338845	0.0018476563276695632	0.001663765386896909	0.0016968623514495129	0.0016672485474511082	0.001729960874639974	0.001737868386999805	0.0014398246401845748	0.0017271548042895378
68	0.000392480081635857	0.0006087827051597717	0.0005726963575366269	0.0003342134944006461	0.00046834509057927867	0.0004392534448451412	0.000394644560557644	0.0003588166117738587	0.000491078041060495	0.00042416096248720444	0.00034400575349622726	0.00048082053783881723	0.00037874457878782456	0.0004361766738129452	0.0005530681778718709	0.0004316656734124162	0.0004885269447036352	0.0005372883988922515	0.0006279088437821103	0.00048599954335879647	0.00044220509995141773	0.00048716044363487237	0.000439697706849435	0.0006457006239189895	0.000542305381894231	0.000543570007817152	0.0005595304936586902	0.00047791988873175354	0.0005323928591833872	0.000465414478538187	0.0004487665650958341	0.0006283907307302576	0.00039461102125118994	0.0005887073464212596	0.0004968621499026481	0.0006001905075281543	0.0005871176983107449	0.0003464239735782435	0.0005955706221688062
70	0.0015445990309540178	0.0019481046565112692	0.0017180890726098802	0.0016120886200501753	0.0018198552091080542	0.001707098615193617	0.001657507154342105	0.0017112792253830183	0.0017784988514082793	0.0016966438499488178	0.0018060302058551928	0.0017356448682962185	0.0016986120503211526	0.001970315319637787	0.0016592045336156125	0.001637790349123579	0.0017953365217858593	0.0019155499438767228	0.0017267493204008032	0.0017456310128805747	0.0015175675021060018	0.0016939897244576242	0.0015438275040491273	0.0018366595524806812	0.0016547266780875254	0.0015999419098014288	0.0019153159206009014	0.0015187232019697947	0.0017530008777989579	0.0016493635906090138	0.0017950662603833363	0.0019414459889725867	0.001663765386896909	0.0016737757888447577	0.0016893313096690036	0.0018476452878807884	0.001643929555270086	0.0016130366269736965	0.0018343575162799231
72	0.0026587360368880634	0.0032874266078627666	0.0030811064035470522	0.002713027189840539	0.002810070543475672	0.0031147062452655467	0.002818889718268886	0.0029717375795629834	0.0030128301438035773	0.0027216995092928953	0.003020800522888745	0.0030842878402831445	0.002754506027547815	0.003384129365790092	0.003112616256860296	0.0028693071232707666	0.003297556876749537	0.0031186087500919817	0.0030162049817390652	0.003094527704651928	0.0025125289769966914	0.002989393631395808	0.002677270481705449	0.0030419673837961286	0.002906200636304981	0.002902458720985925	0.0031204585223273107	0.0028568988904187046	0.002856742171227932	0.0029149643655812765	0.0029406019660227025	0.003432701603690661	0.002879593938860035	0.0028050173564777665	0.0030915867105053662	0.003330468894715052	0.002935588491553725	0.0028038690361489086	0.0030135873481741595
74	0.00305121611852392	0.0035715252036039938	0.003413270290918296	0.0031357089621707676	0.003238271769148155	0.003364282066200286	0.003337565426430361	0.0033581554691656007	0.003424273907935343	0.0031222959738641436	0.0035583095127266003	0.003471289736592437	0.0032135903654724506	0.00380526546464397	0.003485615725657605	0.0031994044029390843	0.003688378432512445	0.0036208566012303905	0.003363797377404162	0.003382160087456114	0.003065285351935964	0.0035651287011461115	0.003068112887793835	0.003415038855393767	0.0033789796871871317	0.0032203958953695424	0.003400223769156656	0.0030586872878832225	0.0032073423467877237	0.003323222680088458	0.0033775588846686458	0.003732828519860336	0.003327530773793818	0.0033129217337823824	0.0033676212382290596	0.00363644836914117	0.0034405097121009654	0.0030961642638555513	0.0034900438459092038
