numsampled	0.03-WSH174	lci-WSH174	hci-WSH174	0.03-WSH175	lci-WSH175	hci-WSH175	0.03-WSH176	lci-WSH176	hci-WSH176	0.03-WSH177	lci-WSH177	hci-WSH177	0.03-WSH178	lci-WSH178	hci-WSH178	0.03-WSH179	lci-WSH179	hci-WSH179	0.03-WSH180	lci-WSH180	hci-WSH180	0.03-WSH181	lci-WSH181	hci-WSH181	0.03-WSH182	lci-WSH182	hci-WSH182	0.03-WSH183	lci-WSH183	hci-WSH183	0.03-WSH184	lci-WSH184	hci-WSH184	0.03-WSH185	lci-WSH185	hci-WSH185	0.03-WSH186	lci-WSH186	hci-WSH186	0.03-WSH187	lci-WSH187	hci-WSH187	0.03-WSH188	lci-WSH188	hci-WSH188	0.03-WSH189	lci-WSH189	hci-WSH189	0.03-WSH190	lci-WSH190	hci-WSH190	0.03-WSH191	lci-WSH191	hci-WSH191	0.03-WSH192	lci-WSH192	hci-WSH192	0.03-WSH193	lci-WSH193	hci-WSH193	0.03-WSH194	lci-WSH194	hci-WSH194	0.03-WSH195	lci-WSH195	hci-WSH195	0.03-WSH196	lci-WSH196	hci-WSH196	0.03-WSH201	lci-WSH201	hci-WSH201	0.03-WSH202	lci-WSH202	hci-WSH202	0.03-WSH203	lci-WSH203	hci-WSH203	0.03-WSH204	lci-WSH204	hci-WSH204	0.03-WSH205	lci-WSH205	hci-WSH205	0.03-WSH206	lci-WSH206	hci-WSH206	0.03-WSH207	lci-WSH207	hci-WSH207	0.03-WSH208	lci-WSH208	hci-WSH208	0.03-WSH209	lci-WSH209	hci-WSH209	0.03-WSH210	lci-WSH210	hci-WSH210	0.03-WSH211	lci-WSH211	hci-WSH211	0.03-WSH212	lci-WSH212	hci-WSH212	0.03-WSH213	lci-WSH213	hci-WSH213	0.03-WSH214	lci-WSH214	hci-WSH214	0.03-WSH215	lci-WSH215	hci-WSH215	0.03-WSH216	lci-WSH216	hci-WSH216
1316	328.577	311	346	246	246	246	270.207	257	287	256.042	244	272	283.275	273	298	376.809	364	396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	190.836	176	203	NA	NA	NA	283.791	270	296	204.089	198	211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.033	44	55	NA	NA	NA	32.78	30	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.095	69	77	65.124	62	68	72.989	67	79	81.356	76	88	102.411	97	111	78.948	71	88	149.219	139	171	140.13	129	155	149.474	137	164	115.505	107	125	153.293	144	167	208.886	196	225	130.869	125	136	270.574	253	288
1400	339.277	320	358	NA	NA	NA	276.425	264	290	264.024	253	282	289.064	279	299	388.758	375	409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	195.833	180	209	NA	NA	NA	290.329	274	304	207.77	201	213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.027	45	56	NA	NA	NA	33.314	31	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.174	70	77	66.024	63	69	74.335	67	81	82.545	78	89	104.395	97	112	80.24	73	89	152.755	144	174	143.488	132	156	152.961	141	165	118.51	112	127	157.079	148	170	214.741	199	231	132.759	128	137	277.348	263	295
1500	351.476	329	370	NA	NA	NA	283.743	271	296	272.746	263	289	295.039	284	307	401.658	386	424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	202.255	187	215	NA	NA	NA	297.955	283	312	211.434	205	215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.244	47	57	NA	NA	NA	33.778	31	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.25	72	79	67.323	63	71	75.676	70	83	83.689	78	90	106.706	99	115	82.069	75	90	156.926	147	176	147.109	135	159	157.899	145	170	120.98	115	131	161.007	153	173	221.458	207	235	135.416	131	139	285.603	270	302
1600	362.159	342	382	NA	NA	NA	290.883	280	308	280.683	268	295	300.428	292	312	414.044	397	435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	208.694	192	222	NA	NA	NA	305.586	292	320	215.216	213	217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.292	48	58	NA	NA	NA	34.171	31	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.276	72	79	68.439	65	72	76.929	71	83	84.663	79	90	109.24	101	119	83.661	76	93	160.168	151	181	151.052	139	164	161.64	149	173	123.553	117	132	164.876	157	177	228.338	214	243	138.004	135	141	294.06	281	309
1648	367.212	348	390	NA	NA	NA	293.908	284	312	284.602	270	298	302.619	295	314	419.772	404	443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	211.606	195	224	NA	NA	NA	308.871	295	323	217	217	217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.809	49	59	NA	NA	NA	34.437	32	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.926	73	80	68.877	65	72	77.825	72	83	85.152	81	91	110.266	102	120	84.563	77	95	162.088	152	183	152.398	140	167	163.4	150	175	124.749	118	133	166.587	158	177	231.173	216	246	139.291	137	141	297.763	284	314
1700	373.578	353	396	NA	NA	NA	297.361	287	316	288.307	272	303	304.953	297	315	426.151	411	448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	214.915	201	227	NA	NA	NA	312.316	299	326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.486	49	59	NA	NA	NA	34.75	32	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.504	74	81	69.364	66	72	78.412	72	83	85.569	81	91	111.46	103	121	85.448	79	95	164.065	153	183	153.966	142	167	165.26	153	179	125.773	119	133	168.316	159	179	234.807	220	252	140.657	139	141	301.82	289	318
1715	375.283	355	400	NA	NA	NA	298.143	287	317	289.281	274	304	305.495	298	315	428.045	412	450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	216.057	201	228	NA	NA	NA	312.862	300	327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.632	49	59	NA	NA	NA	34.75	32	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.579	74	81	69.437	67	72	78.559	72	83	85.641	81	91	111.776	103	121	85.715	79	96	164.526	156	184	154.406	143	168	165.698	153	179	126.066	119	133	168.921	160	179	235.852	222	252	141	141	141	302.803	290	318
1800	383.933	364	406	NA	NA	NA	302.973	290	320	295.406	277	310	309.128	299	318	437.969	419	457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	220.712	205	237	NA	NA	NA	318.174	305	332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.342	51	60	NA	NA	NA	35.167	33	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.457	75	81	70.317	67	72	79.582	73	85	86.437	82	92	113.696	106	124	87.319	80	98	167.188	159	186	156.958	146	168	168.622	156	180	128.231	121	135	171.565	163	181	240.816	227	258	NA	NA	NA	309.092	295	326
1900	393.127	372	413	NA	NA	NA	309.275	297	324	301.652	285	316	313.005	304	325	449.034	430	467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	226.616	211	243	NA	NA	NA	324.61	308	335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.224	52	60	NA	NA	NA	35.701	33	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.112	76	81	71.194	69	72	80.703	74	85	87.241	83	92	115.455	107	125	88.828	81	98	170.331	160	188	160.014	147	173	172.412	159	183	130.475	123	137	174.732	166	184	246.602	234	262	NA	NA	NA	316.083	299	332
1990	400.823	382	419	NA	NA	NA	313.767	301	326	307.936	295	322	316.754	308	328	458.088	439	477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	231.485	216	244	NA	NA	NA	329.086	315	341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.939	52	61	NA	NA	NA	35.968	34	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.056	77	82	72	72	72	81.673	75	87	87.802	83	92	117.339	109	127	89.806	81	98	173.055	164	189	162.434	151	177	175.748	164	186	132.313	126	138	177.438	168	187	251.179	238	267	NA	NA	NA	322.068	309	337
2000	401.537	383	419	NA	NA	NA	314.398	302	326	308.64	296	322	317.141	309	328	459.024	440	477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	231.998	216	244	NA	NA	NA	329.53	317	341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.011	52	61	NA	NA	NA	36.016	34	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.105	77	82	NA	NA	NA	81.77	76	87	87.828	83	93	117.56	109	127	89.904	81	98	173.442	164	189	162.753	151	177	176.134	164	186	132.437	126	139	177.682	168	187	251.714	238	268	NA	NA	NA	322.679	309	338
2100	411.063	393	428	NA	NA	NA	319.28	308	334	314.788	302	328	321.504	314	332	469.476	449	488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	237.286	224	251	NA	NA	NA	335.589	325	345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.572	52	61	NA	NA	NA	36.405	34	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.556	78	82	NA	NA	NA	82.891	77	87	88.248	83	93	119.367	111	128	91.366	85	98	176.248	164	190	165.486	153	180	179.127	166	191	134.002	127	141	180.817	171	191	256.821	244	272	NA	NA	NA	328.154	314	341
2200	419.175	398	438	NA	NA	NA	323.892	313	339	320.407	306	334	324.754	317	334	478.799	459	501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	241.833	230	254	NA	NA	NA	340.309	329	350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.362	53	62	NA	NA	NA	36.627	35	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.902	79	82	NA	NA	NA	83.6	79	88	88.955	84	93	121.165	111	129	92.562	87	100	179.242	165	192	168.19	154	182	182.233	168	194	136.093	131	143	183.478	173	194	262.274	250	275	NA	NA	NA	333.981	323	348
2300	427.464	409	450	NA	NA	NA	327.518	316	341	326.613	314	341	327.708	320	336	487.948	470	509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	246.349	233	259	NA	NA	NA	345.147	335	355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.116	56	63	NA	NA	NA	36.824	35	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.243	79	82	NA	NA	NA	84.487	80	89	89.347	84	93	122.732	113	132	93.637	88	101	181.951	169	194	171.249	159	185	184.978	171	195	138.065	132	145	185.744	177	196	266.813	256	281	NA	NA	NA	339.743	326	352
2400	434.95	418	455	NA	NA	NA	331.885	321	344	332.399	319	346	330.394	322	338	496.458	478	520	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	251.199	238	264	NA	NA	NA	349.451	340	359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.011	56	63	NA	NA	NA	36.996	35	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.8	80	82	NA	NA	NA	85.322	81	89	89.986	85	95	124.222	115	134	94.526	88	102	184.513	174	197	173.891	162	187	187.614	173	197	139.604	133	146	188.26	180	198	271.764	261	286	NA	NA	NA	345.247	334	357
2451	438.571	423	461	NA	NA	NA	334.261	322	346	335.323	322	348	331.974	324	339	500.826	480	523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	253.385	241	265	NA	NA	NA	351.4	342	362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.305	57	63	NA	NA	NA	37.189	35	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	82	82	82	NA	NA	NA	85.934	83	90	90.23	85	95	124.904	115	134	95.118	88	103	185.615	174	197	175.131	163	188	188.949	174	200	140.239	133	146	189.31	182	199	273.962	264	288	NA	NA	NA	348.061	337	361
2500	442.472	427	463	NA	NA	NA	336.2	323	347	337.911	322	351	333.394	325	341	505.322	486	528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	255.871	243	268	NA	NA	NA	353.61	344	363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.743	57	63	NA	NA	NA	37.337	36	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.424	83	90	90.521	85	96	125.685	119	137	95.699	90	104	187.138	174	199	176.535	165	188	190.27	174	201	140.9	134	147	190.626	183	199	276.041	266	289	NA	NA	NA	350.969	341	363
2600	449.215	433	467	NA	NA	NA	339.829	326	351	343.064	323	357	336.176	328	344	513.292	495	537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	260.081	249	274	NA	NA	NA	358.183	348	368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.309	58	64	NA	NA	NA	37.533	36	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.591	84	91	90.911	86	96	127.428	121	137	96.795	91	104	189.731	174	203	178.9	170	191	192.636	177	204	142.591	136	149	192.356	184	199	280.161	267	293	NA	NA	NA	355.771	343	369
2700	455.239	440	473	NA	NA	NA	343.072	330	354	348.099	327	364	339.032	331	349	521.107	503	543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	263.985	253	278	NA	NA	NA	362.115	352	370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.013	59	65	NA	NA	NA	37.753	36	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.274	85	92	91.398	86	97	128.602	121	138	97.801	92	105	192.01	181	205	180.924	171	193	195.148	180	206	143.953	137	151	194.261	188	199	284.597	274	299	NA	NA	NA	360.608	348	371
2800	462.52	445	481	NA	NA	NA	346.461	337	356	352.45	334	367	341.378	333	349	529.055	509	553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	268.409	257	282	NA	NA	NA	365.677	356	375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.481	60	65	NA	NA	NA	37.874	36	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.93	86	92	91.839	87	97	129.919	122	139	98.822	93	106	193.717	182	207	183.026	174	195	197.916	181	209	145.631	139	151	196.523	189	202	289.051	276	301	NA	NA	NA	365.654	357	379
2900	468.636	452	483	NA	NA	NA	350.026	343	358	357.383	340	370	343.409	335	351	536.798	516	562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	272.363	261	286	NA	NA	NA	369.104	360	378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.871	60	65	NA	NA	NA	37.946	36	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.664	87	92	92.252	88	97	131.243	124	140	100.019	94	109	195.903	185	209	185.011	175	196	200.093	183	211	146.845	140	152	198.479	192	204	293.096	280	306	NA	NA	NA	370.107	361	382
3000	474.628	460	488	NA	NA	NA	353.403	347	361	361.585	345	371	345.5	338	352	543.563	524	567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	275.905	264	291	NA	NA	NA	372.658	364	380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.433	61	65	NA	NA	NA	38.118	36	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.225	87	92	92.689	89	97	132.751	125	141	100.852	95	109	198.025	189	212	187.223	178	199	202.433	188	214	147.853	140	153	200.255	193	208	296.61	282	309	NA	NA	NA	374.468	363	386
3100	480.274	463	497	NA	NA	NA	356.142	348	364	366.572	352	379	347.452	340	353	550.008	528	573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	279.152	268	292	NA	NA	NA	376.043	368	384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.969	62	65	NA	NA	NA	38.194	36	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.928	89	92	93.029	89	97	134.125	125	143	101.877	95	109	199.947	190	214	189.321	181	201	204.997	192	215	149.262	141	154	201.575	195	209	300.502	286	313	NA	NA	NA	378.651	367	391
3200	486.277	468	501	NA	NA	NA	359.014	351	369	370.795	356	382	349.303	343	355	557.242	537	577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	282.953	271	296	NA	NA	NA	379.22	372	385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.408	63	65	NA	NA	NA	38.316	37	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.511	89	92	93.447	90	97	135.698	127	145	102.822	96	109	201.866	192	217	191.077	183	202	207.218	196	219	150.578	144	157	203.09	197	209	304.204	287	317	NA	NA	NA	382.732	370	397
3264	489.692	472	507	NA	NA	NA	361.019	353	370	373.215	357	387	350.424	343	356	561.619	541	581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	285.246	274	297	NA	NA	NA	381.411	374	389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.728	64	65	NA	NA	NA	38.342	37	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92	92	92	93.716	91	97	136.402	127	146	103.29	97	109	203.066	193	218	192.246	183	202	208.87	197	220	151.166	145	157	203.899	197	210	306.306	288	320	NA	NA	NA	385.552	373	398
3300	491.399	475	509	NA	NA	NA	362.141	355	370	374.775	360	390	350.988	345	359	564.292	543	584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	286.637	275	301	NA	NA	NA	382.511	375	389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.805	64	65	NA	NA	NA	38.438	37	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.815	91	97	136.889	127	147	103.632	98	110	203.524	193	218	192.649	184	204	209.632	199	220	151.481	146	157	204.416	198	210	307.459	289	322	NA	NA	NA	386.99	376	400
3345	493.737	480	510	NA	NA	NA	363.363	356	372	376.487	360	390	351.767	345	360	567.317	547	591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	288.122	277	302	NA	NA	NA	384.169	377	390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	65	65	NA	NA	NA	38.536	37	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.89	91	97	137.238	127	147	104.02	98	111	204.287	194	218	193.527	184	204	210.719	199	221	151.898	146	158	205.071	199	211	308.796	291	323	NA	NA	NA	388.765	379	401
3400	496.423	483	512	NA	NA	NA	364.817	357	373	379.04	362	393	352.575	346	360	570.489	550	594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	289.831	279	302	NA	NA	NA	385.849	379	392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.608	37	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.107	91	97	137.852	130	149	104.579	98	112	205.333	194	218	194.774	185	204	211.768	200	223	152.41	147	158	205.905	201	212	310.719	296	325	NA	NA	NA	391.503	380	401
3500	501.231	486	515	NA	NA	NA	367.594	358	375	382.473	365	397	354.083	347	361	576.136	556	601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	293.31	280	307	NA	NA	NA	389.169	383	396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.729	37	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.47	92	98	139.044	131	150	105.388	99	112	207.086	197	219	196.557	186	206	214.153	201	225	153.343	147	160	207.155	202	213	313.954	297	330	NA	NA	NA	395.549	384	406
3600	506.69	492	520	NA	NA	NA	370.106	362	377	386.716	367	401	355.334	349	361	581.791	562	605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	296.374	283	310	NA	NA	NA	391.734	386	398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.851	38	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.807	92	98	140.208	133	150	106.235	100	113	208.887	198	221	198.653	191	208	216.245	204	227	154.409	150	160	208.72	203	214	317.121	302	334	NA	NA	NA	399.449	390	410
3668	510.323	497	526	NA	NA	NA	371.84	362	379	389.635	369	403	356.503	350	362	586.153	565	609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	298.402	285	313	NA	NA	NA	393.486	387	399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	39	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95.078	92	98	140.942	134	151	106.772	101	113	210.202	200	222	199.816	191	209	217.398	204	229	155.04	151	160	209.431	203	214	319.121	304	335	NA	NA	NA	401.714	392	411
3700	511.573	497	530	NA	NA	NA	372.668	363	381	390.978	372	403	356.793	350	362	587.951	568	612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	299.444	287	314	NA	NA	NA	394.314	389	399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95.104	92	98	141.164	135	151	106.92	101	113	210.689	201	222	200.517	191	210	218.054	205	229	155.19	151	160	209.896	203	214	320.02	305	335	NA	NA	NA	403.01	393	413
3800	516.408	500	531	NA	NA	NA	375.186	367	382	394.095	378	407	357.916	352	363	592.984	574	617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	302.084	289	317	NA	NA	NA	396.765	393	401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95.519	93	99	142.064	136	151	107.459	102	114	212.369	203	222	202.179	193	213	219.62	207	231	156.087	152	161	211.162	206	215	323.038	308	338	NA	NA	NA	406.585	397	416
3900	520.957	507	538	NA	NA	NA	377.048	370	383	397.831	383	409	359.405	355	364	598.4	578	621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	304.766	294	320	NA	NA	NA	399.26	395	402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95.834	93	99	143.133	136	152	108.145	102	115	213.911	205	222	203.597	195	213	221.5	210	232	156.847	153	162	212.358	207	218	325.749	311	341	NA	NA	NA	410.235	402	420
4000	524.815	511	543	NA	NA	NA	379.003	371	385	401.202	386	412	360.507	357	365	604.153	584	629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	307.454	295	326	NA	NA	NA	401.217	398	403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96.028	93	99	143.789	137	152	108.877	103	116	215.519	207	224	205.404	197	214	223.158	213	235	157.854	153	163	213.704	209	218	328.169	313	344	NA	NA	NA	413.602	407	421
4071	527.726	512	545	NA	NA	NA	380.586	373	387	403.109	386	415	361.141	357	365	607.587	585	630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	309.698	299	327	NA	NA	NA	403	403	403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96.345	94	99	144.306	138	152	109.342	103	119	216.349	207	225	206.404	198	214	224.499	215	235	158.272	154	163	214.437	210	219	330.191	316	347	NA	NA	NA	415.704	409	423
4100	529.079	515	545	NA	NA	NA	381.122	375	387	404.011	389	416	361.555	358	365	608.834	587	631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	310.48	299	327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96.514	94	99	144.525	138	152	109.563	103	119	216.856	207	225	206.779	199	214	224.96	215	236	158.613	155	163	214.631	210	219	331.05	317	348	NA	NA	NA	416.562	409	423
4200	532.888	520	549	NA	NA	NA	383.313	376	390	407.107	393	419	362.727	360	365	614.773	595	636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	313.06	302	328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96.808	94	99	145.429	139	153	110.13	104	119	218.096	210	227	208.14	201	218	226.497	217	238	159.368	155	164	215.726	211	219	333.413	320	351	NA	NA	NA	419.515	413	427
4300	536.288	523	552	NA	NA	NA	385.305	377	392	410.534	398	423	363.846	362	366	619.367	601	642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	315.761	303	331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.052	95	99	146.354	140	154	110.84	104	120	218.928	211	227	209.412	201	220	228.249	218	239	159.859	155	164	216.727	212	219	336.196	324	352	NA	NA	NA	422.586	418	428
