numsampled	0.03-WSH174	lci-WSH174	hci-WSH174	0.03-WSH175	lci-WSH175	hci-WSH175	0.03-WSH176	lci-WSH176	hci-WSH176	0.03-WSH177	lci-WSH177	hci-WSH177	0.03-WSH178	lci-WSH178	hci-WSH178	0.03-WSH179	lci-WSH179	hci-WSH179	0.03-WSH180	lci-WSH180	hci-WSH180	0.03-WSH181	lci-WSH181	hci-WSH181	0.03-WSH182	lci-WSH182	hci-WSH182	0.03-WSH183	lci-WSH183	hci-WSH183	0.03-WSH184	lci-WSH184	hci-WSH184	0.03-WSH185	lci-WSH185	hci-WSH185	0.03-WSH186	lci-WSH186	hci-WSH186	0.03-WSH187	lci-WSH187	hci-WSH187	0.03-WSH188	lci-WSH188	hci-WSH188	0.03-WSH189	lci-WSH189	hci-WSH189	0.03-WSH190	lci-WSH190	hci-WSH190	0.03-WSH191	lci-WSH191	hci-WSH191	0.03-WSH192	lci-WSH192	hci-WSH192	0.03-WSH193	lci-WSH193	hci-WSH193	0.03-WSH194	lci-WSH194	hci-WSH194	0.03-WSH195	lci-WSH195	hci-WSH195	0.03-WSH196	lci-WSH196	hci-WSH196	0.03-WSH201	lci-WSH201	hci-WSH201	0.03-WSH202	lci-WSH202	hci-WSH202	0.03-WSH203	lci-WSH203	hci-WSH203	0.03-WSH204	lci-WSH204	hci-WSH204	0.03-WSH205	lci-WSH205	hci-WSH205	0.03-WSH206	lci-WSH206	hci-WSH206	0.03-WSH207	lci-WSH207	hci-WSH207	0.03-WSH208	lci-WSH208	hci-WSH208	0.03-WSH209	lci-WSH209	hci-WSH209	0.03-WSH210	lci-WSH210	hci-WSH210	0.03-WSH211	lci-WSH211	hci-WSH211	0.03-WSH212	lci-WSH212	hci-WSH212	0.03-WSH213	lci-WSH213	hci-WSH213	0.03-WSH214	lci-WSH214	hci-WSH214	0.03-WSH215	lci-WSH215	hci-WSH215	0.03-WSH216	lci-WSH216	hci-WSH216
300	139.208	129	151	136.417	127	145	130.166	121	142	118.253	105	133	149.43	141	162	159.873	147	176	75.65	69	81	70.426	66	76	NA	NA	NA	NA	NA	NA	42.903	42	43	83.137	74	92	90.311	84	98	131.183	121	146	114.228	103	123	NA	NA	NA	59.754	53	64	NA	NA	NA	NA	NA	NA	26.927	21	33	NA	NA	NA	19.51	15	24	NA	NA	NA	28.412	25	31	34.88	31	39	46.143	40	53	42.363	38	50	45.938	40	51	54.822	49	61	60.086	53	66	47.766	42	54	75.461	66	87	75.236	68	83	78.332	70	88	62.202	53	72	76.388	65	86	90.632	81	102	69.28	62	79	125.557	114	136
303	140.036	130	152	137.338	127	147	130.874	123	144	118.862	107	133	150.332	142	163	160.798	149	178	75.843	69	81	70.502	66	76	NA	NA	NA	NA	NA	NA	43	43	43	83.553	75	93	90.554	84	98	131.983	121	148	114.94	104	124	NA	NA	NA	59.948	53	64	NA	NA	NA	NA	NA	NA	27.123	21	33	NA	NA	NA	19.656	15	24	NA	NA	NA	28.461	25	31	35.049	31	39	46.315	40	54	42.483	38	50	46.134	40	52	54.991	49	61	60.353	53	66	48.007	42	54	76.093	66	88	75.453	68	83	78.6	70	88	62.546	53	72	76.729	66	86	91.312	82	103	69.479	62	79	126.287	115	137
400	166.373	154	177	157.565	150	167	152.797	145	162	139.802	130	156	174.393	165	188	192.491	175	212	81.654	76	85	75.382	72	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.418	86	111	99.563	94	105	155.815	140	170	131.982	122	141	NA	NA	NA	64.848	60	70	NA	NA	NA	NA	NA	NA	30.679	24	38	NA	NA	NA	22.258	18	26	NA	NA	NA	30.899	29	32	39.097	37	41	50.898	45	58	46.615	42	52	50.737	44	56	60.193	53	67	67.151	60	74	52.623	46	59	87.322	78	99	85.69	78	95	90.007	81	98	71.77	64	82	89.34	77	101	107.681	95	122	79.941	73	89	148.222	134	161
441	177.008	164	189	165.07	156	176	161.095	152	176	146.869	137	163	183.201	173	197	204.272	189	224	83.651	79	89	76.631	75	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	105.356	95	115	102.594	97	109	164.856	149	179	137.855	128	148	NA	NA	NA	66.669	63	71	NA	NA	NA	NA	NA	NA	32.195	27	40	NA	NA	NA	23.217	19	27	NA	NA	NA	32	32	32	40.293	38	41	52.749	48	60	48.536	44	54	51.984	45	60	61.908	54	69	69.983	62	77	54.474	48	61	91.735	83	104	89.509	82	97	93.711	86	101	74.934	67	83	93.471	82	105	114.232	103	129	84.389	76	93	156.476	143	168
463	182.518	172	195	168.232	158	180	166.206	159	182	150.971	141	168	187.625	179	201	211.009	195	231	84.872	81	89	77.238	76	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	108.105	97	117	103.96	98	110	169.695	156	182	141.143	132	151	NA	NA	NA	67.334	64	71	NA	NA	NA	NA	NA	NA	32.735	28	41	NA	NA	NA	23.653	19	27	NA	NA	NA	NA	NA	NA	41	41	41	53.577	48	62	49.389	45	54	52.69	45	60	62.86	55	69	71.445	64	79	55.472	49	62	93.89	85	105	91.718	83	100	95.715	88	104	76.113	68	86	95.634	85	105	117.475	105	132	86.679	79	94	160.315	147	173
496	190.446	179	200	173.446	164	185	173.36	165	183	156.304	145	174	194.027	182	207	219.679	204	240	86.241	81	90	78	78	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	112.357	101	123	106.1	101	112	175.732	162	189	145.549	137	155	NA	NA	NA	68.795	66	71	NA	NA	NA	NA	NA	NA	33.712	28	41	NA	NA	NA	24.551	21	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.879	49	63	50.485	46	56	53.841	47	61	64.086	57	69	73.614	66	81	56.931	51	64	96.868	87	108	94.694	87	102	98.833	89	107	78.62	70	89	99.235	88	109	122.706	110	139	89.881	83	99	166.123	153	178
500	191.082	179	200	174.247	164	185	174.039	165	183	156.937	146	174	194.906	183	209	220.679	204	240	86.41	81	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	113.037	102	124	106.273	101	112	176.39	164	191	145.798	138	155	NA	NA	NA	69.059	66	71	NA	NA	NA	NA	NA	NA	33.88	28	41	NA	NA	NA	24.647	21	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.05	50	64	50.607	46	56	53.962	47	61	64.378	57	70	73.714	66	82	57.127	51	64	97.283	88	108	94.891	87	102	99.2	90	108	78.839	71	89	99.554	89	109	123.296	110	139	90.393	83	99	167.168	153	179
599	212.822	197	228	188.618	178	200	190.467	184	201	172.511	159	191	211.076	195	225	245.945	231	263	89.999	86	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	124.927	112	139	111.204	106	115	194.562	184	209	156.377	147	165	NA	NA	NA	71	71	71	NA	NA	NA	NA	NA	NA	36.92	32	42	NA	NA	NA	26.24	23	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.271	53	65	53.167	48	58	57.106	50	64	67.158	62	74	78.621	70	88	60.932	53	67	106.226	97	119	102.496	91	111	107.301	98	117	85.102	77	95	108.928	99	119	136.384	120	152	97.597	90	105	183.852	171	194
600	213.04	197	228	188.764	178	200	190.589	184	201	172.658	159	191	211.2	195	225	246.164	232	264	90.023	86	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	124.977	112	139	111.349	106	116	194.805	184	209	156.449	147	165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.944	32	42	NA	NA	NA	26.24	23	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.271	53	65	53.191	48	58	57.107	50	64	67.182	62	74	78.695	70	88	60.932	53	67	106.299	97	119	102.594	91	111	107.376	98	117	85.102	77	95	108.952	99	119	136.456	120	153	97.695	90	105	183.951	172	195
700	233.348	220	244	200.995	192	213	206.338	196	218	187.785	175	206	226.073	210	243	269.618	252	292	92.826	91	95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	136.041	122	149	115.69	112	119	211.355	198	225	166.308	158	175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.413	35	47	NA	NA	NA	27.457	24	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.562	56	68	55.728	50	61	59.943	54	66	69.975	64	76	83.261	76	92	64.365	58	71	114.74	106	128	109.782	100	120	115.078	104	130	90.588	82	102	117.025	106	128	149.046	136	166	104.248	99	112	199.711	185	210
784	248.784	234	264	210.035	203	219	217.617	207	230	198.673	184	218	237.155	222	257	287.51	271	307	95	95	95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.931	134	158	118.967	116	122	223.023	210	236	173.395	166	183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.901	36	47	NA	NA	NA	28.507	24	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.063	61	71	57.869	53	64	61.901	57	68	72.179	65	78	86.725	79	95	66.875	61	75	120.511	112	130	114.805	103	125	121.186	112	135	94.777	85	104	123.675	113	136	158.757	145	175	109.142	103	116	212.227	199	228
800	251.83	237	267	211.906	206	221	219.565	209	232	200.89	185	220	239.03	225	257	290.325	272	311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	147.56	136	162	119.651	116	122	225.282	211	237	174.422	167	184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.265	37	48	NA	NA	NA	28.751	24	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.431	61	71	58.232	53	64	62.147	57	68	72.64	65	79	87.31	81	96	67.217	61	75	121.629	113	132	115.827	103	128	122.209	113	137	95.502	86	105	124.557	114	136	160.345	148	176	109.992	103	116	214.116	201	230
900	269.195	253	285	220.639	214	229	231.655	220	245	212.523	200	231	249.368	234	268	308.585	292	332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	157.618	145	171	122.513	121	123	239.043	224	251	181.749	172	192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.452	38	49	NA	NA	NA	29.604	25	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.575	62	73	59.696	54	66	64.346	59	71	75.008	69	81	90.989	85	101	70.007	63	77	127.696	119	138	121.134	109	137	128.548	117	143	99.982	92	108	131.395	121	141	171.399	159	188	115.254	108	121	226.419	209	243
916	271.975	258	288	221.834	214	230	233.29	222	246	214.632	201	234	250.84	235	270	311.327	294	333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	159.252	147	172	123	123	123	240.922	228	253	182.662	173	194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.72	38	50	NA	NA	NA	29.657	25	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.894	63	73	59.891	54	66	64.59	60	71	75.54	69	81	91.526	85	103	70.351	64	77	128.193	119	138	121.89	110	137	129.499	118	145	100.554	93	109	132.51	124	142	173.32	159	192	115.988	109	121	228.732	212	245
1000	286.416	272	301	227.934	222	234	242.041	229	255	224.125	208	242	259.076	245	279	326.779	311	349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	166.064	154	178	NA	NA	NA	251.273	239	264	188.299	179	197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45.225	40	52	NA	NA	NA	30.532	26	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.419	64	75	61.138	57	66	66.685	62	72	76.958	72	82	94.122	88	105	72.105	65	79	132.922	125	148	126.599	114	140	133.964	124	149	104.163	96	112	136.982	126	148	181.937	168	199	120	112	127	238.605	223	253
1100	300.849	286	317	234.414	229	238	251.607	238	265	235.212	220	250	267.784	253	283	344.027	330	360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	174.747	160	187	NA	NA	NA	262.847	251	277	193.85	184	201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.999	40	53	NA	NA	NA	31.391	28	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.101	65	75	62.241	59	67	68.822	63	74	78.448	73	84	97.096	91	107	74.784	68	82	137.963	130	157	130.983	119	143	139.29	128	151	108.342	101	117	141.858	134	151	191.329	179	207	124.069	118	130	249.336	233	265
1200	314.226	296	330	239.883	236	244	260.983	247	277	245.011	231	260	275.273	264	288	359.663	346	378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	182.669	170	194	NA	NA	NA	273.338	261	286	198.551	192	206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.585	43	55	NA	NA	NA	32.05	28	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.804	67	76	63.945	60	67	70.693	64	76	79.981	74	87	99.441	92	107	76.885	69	85	143.855	136	166	135.117	127	146	144.572	134	156	111.827	103	122	147.166	137	158	199.96	189	215	127.154	120	133	259.134	242	278
1300	326.75	310	344	245.029	243	246	268.983	256	284	254.724	242	268	281.986	272	297	374.106	361	393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	189.858	176	203	NA	NA	NA	282.497	270	296	203.427	197	210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.935	44	55	NA	NA	NA	32.707	30	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.902	69	77	65.002	62	68	72.644	67	79	81.041	76	87	102.066	96	109	78.631	71	88	148.609	139	170	139.448	129	153	149.003	137	163	115.02	106	125	152.419	142	166	207.671	195	223	130.426	125	135	269.06	253	286
