31																														
WSH174																														
WSH175	0.785097																													
WSH176	0.777543	0.710757																												
WSH177	0.680693	0.808803	0.792437																											
WSH178	0.766507	0.7505	0.746707	0.809747																										
WSH179	0.691043	0.73817	0.705113	0.718693	0.749507																									
WSH180	0.771867	0.781277	0.79251	0.77583	0.86258	0.771583																								
WSH181	0.9715	0.914603	0.94122	0.968023	0.945663	0.977767	0.88234																							
WSH185	0.911727	0.88962	0.871733	0.87335	0.926407	0.86212	0.88745	0.956307																						
WSH186	0.83241	0.800567	0.811423	0.83798	0.84676	0.806237	0.73357	0.836657	0.801503																					
WSH187	0.867703	0.82829	0.801333	0.855817	0.844813	0.812333	0.833187	0.949873	0.71095	0.704243																				
WSH188	0.88821	0.84245	0.845903	0.887087	0.865423	0.873977	0.84651	0.85906	0.76934	0.677717	0.697073																			
WSH190	0.964033	0.90459	0.945623	0.96689	0.933397	0.96802	0.883497	0.714397	0.93922	0.831527	0.936953	0.80011																		
WSH193	0.96533	0.946937	0.923493	0.95968	0.966353	0.969217	0.948027	0.86971	0.876903	0.903267	0.889113	0.892277	0.820327																	
WSH195	0.98308	0.961797	0.94838	0.980773	0.977417	0.981317	0.97129	0.893113	0.886417	0.930233	0.898723	0.896577	0.855483	0.371013																
WSH201	0.98437	0.960917	0.929413	0.981303	0.977957	0.973423	0.96373	0.916477	0.93447	0.917687	0.93084	0.92333	0.862217	0.533007	0.800267															
WSH202	0.97212	0.949997	0.924327	0.970767	0.97127	0.9723	0.95637	0.904957	0.952017	0.91559	0.940727	0.923757	0.886287	0.767093	0.830823	0.644287														
WSH203	0.95838	0.93203	0.88723	0.955597	0.961533	0.951123	0.94388	0.90954	0.86842	0.90422	0.8629	0.87444	0.857783	0.44332	0.585523	0.52035	0.711013													
WSH204	0.96939	0.947367	0.905683	0.961643	0.970533	0.968587	0.95183	0.911443	0.886047	0.910167	0.884973	0.872723	0.843547	0.508303	0.622663	0.4929	0.616983	0.349787												
WSH205	0.964677	0.931087	0.830533	0.96565	0.962563	0.954223	0.935123	0.89841	0.855253	0.894477	0.85336	0.86323	0.91751	0.679707	0.740193	0.69381	0.659733	0.627037	0.55779											
WSH206	0.947213	0.910333	0.779193	0.939867	0.952877	0.935143	0.92205	0.948317	0.849093	0.871513	0.823573	0.844167	0.944	0.675003	0.72284	0.743417	0.745987	0.58335	0.578587	0.40884										
WSH207	0.937093	0.89747	0.796183	0.939773	0.946	0.920623	0.909143	0.956167	0.839317	0.86472	0.819627	0.840393	0.947307	0.72662	0.768593	0.814657	0.808017	0.664507	0.665613	0.460847	0.36204									
WSH208	0.963133	0.927927	0.82085	0.95693	0.95923	0.946013	0.925873	0.948183	0.855443	0.89413	0.84583	0.865407	0.94734	0.595607	0.71615	0.665917	0.70532	0.561917	0.5548	0.349157	0.39755	0.43763								
WSH209	0.88539	0.896617	0.74717	0.915927	0.92825	0.90805	0.897193	0.959	0.837037	0.867063	0.817113	0.834397	0.956833	0.830043	0.846013	0.859603	0.878953	0.77642	0.789363	0.583113	0.508937	0.524867	0.60118							
WSH210	0.92716	0.874793	0.782383	0.92782	0.930073	0.911557	0.88888	0.951923	0.826283	0.86488	0.802913	0.828273	0.94451	0.78978	0.813067	0.848633	0.868183	0.741033	0.76201	0.544607	0.504673	0.497397	0.556897	0.434243						
WSH211	0.916537	0.875807	0.781513	0.925933	0.919293	0.90393	0.891693	0.963377	0.89744	0.877267	0.84775	0.854347	0.950273	0.889237	0.90684	0.86511	0.856467	0.82143	0.851287	0.636153	0.596247	0.581187	0.64501	0.493157	0.356573					
WSH212	0.934307	0.904973	0.815777	0.947017	0.938673	0.92802	0.918117	0.966653	0.91032	0.890257	0.871923	0.875553	0.953267	0.83658	0.854193	0.85672	0.83399	0.82783	0.837963	0.632133	0.615837	0.59783	0.63666	0.53422	0.40883	0.399357				
WSH213	0.9244	0.874717	0.71579	0.892173	0.918	0.883823	0.85439	0.960407	0.819753	0.779503	0.71597	0.83926	0.96183	0.911123	0.9189	0.91655	0.937117	0.88489	0.900573	0.727283	0.662987	0.689107	0.76256	0.582643	0.59981	0.632287	0.64775			
WSH214	0.89211	0.827727	0.675717	0.858557	0.894097	0.852267	0.845183	0.969923	0.839797	0.839903	0.797657	0.872223	0.966893	0.94315	0.953133	0.940883	0.94917	0.91052	0.927397	0.820067	0.758223	0.784317	0.813173	0.643987	0.748403	0.756667	0.794193	0.604413		
WSH215	0.913893	0.86007	0.83967	0.88312	0.90648	0.885653	0.87136	0.9193	0.840197	0.813503	0.774347	0.74829	0.873323	0.8918	0.921977	0.899933	0.895333	0.87129	0.8961	0.87499	0.863297	0.86919	0.864757	0.883043	0.86502	0.869007	0.885043	0.836973	0.8541	
WSH216	0.85455	0.760383	0.734723	0.83141	0.86334	0.800227	0.813447	0.958243	0.764413	0.753983	0.681553	0.80486	0.95251	0.926647	0.93955	0.920663	0.92856	0.88716	0.912127	0.867073	0.826183	0.825483	0.855037	0.80583	0.77919	0.777713	0.825183	0.676483	0.666647	0.796743
