OTU	Size	Taxonomy
Otu0810	15	Bacteria(100);Cyanobacteria_Chloroplast(100);Cyanobacteria(100);Cyanobacteria_order_incertae_sedis(100);Family_II(100);GpIIa(100);
Otu0811	15	Bacteria(100);Cyanobacteria_Chloroplast(100);Cyanobacteria(100);Cyanobacteria_order_incertae_sedis(100);Cyanobacteria_order_incertae_sedis_unclassified(100);Cyanobacteria_order_incertae_sedis_unclassified(100);
Otu0812	15	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0813	15	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0814	15	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0815	15	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0816	15	"Bacteria(100);""Bacteroidetes""(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);"
Otu0817	15	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu0818	15	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0819	15	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0820	14	"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Flavobacteriaceae(100);Flavobacteriaceae_unclassified(72);"
Otu0821	14	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Saprospiraceae""(100);""Saprospiraceae""_unclassified(100);"
Otu0822	14	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0823	14	"Bacteria(100);""Bacteroidetes""(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);"
Otu0824	14	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0825	14	Bacteria(100);Cyanobacteria_Chloroplast(100);Cyanobacteria(100);Cyanobacteria_order_incertae_sedis(100);Family_IV(100);GpIV(100);
Otu0826	14	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0827	14	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0828	14	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_order_incertae_sedis(100);Gammaproteobacteria_family_incertae_sedis(100);Spongiibacter(100);"
Otu0829	14	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0830	14	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0831	14	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0832	14	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0833	14	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0834	14	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Alteromonadales(100);Pseudoalteromonadaceae(100);Psychrosphaera(100);"
Otu0835	14	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0836	14	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0837	14	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Deltaproteobacteria_unclassified(100);Deltaproteobacteria_unclassified(100);Deltaproteobacteria_unclassified(100);"
Otu0838	14	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0839	14	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0840	14	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0841	14	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Deltaproteobacteria_unclassified(100);Deltaproteobacteria_unclassified(100);Deltaproteobacteria_unclassified(100);"
Otu0842	14	"Bacteria(100);""Verrucomicrobia""(100);Opitutae(100);Puniceicoccales(100);Puniceicoccaceae(100);Puniceicoccaceae_unclassified(100);"
Otu0843	14	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0844	14	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0845	14	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0846	14	"Bacteria(100);""Bacteroidetes""(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);"
Otu0847	14	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Saprospiraceae""(100);""Saprospiraceae""_unclassified(100);"
Otu0848	14	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0849	14	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Xanthomonadaceae_unclassified(100);"
Otu0850	14	"Bacteria(100);""Verrucomicrobia""(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiales_unclassified(100);Verrucomicrobiales_unclassified(100);"
Otu0851	14	"Bacteria(100);""Planctomycetes""(100);""Planctomycetacia""(100);Planctomycetales(100);Planctomycetaceae(100);Planctomycetaceae_unclassified(100);"
Otu0852	14	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Haemophilus(79);"
Otu0853	14	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0854	14	"Bacteria(100);""Verrucomicrobia""(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiaceae(100);Haloferula(100);"
Otu0855	14	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0856	14	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0857	14	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Peredibacter(100);"
Otu0858	14	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0859	14	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Sphingobacteriales""_unclassified(100);""Sphingobacteriales""_unclassified(100);"
Otu0860	14	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0861	14	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0862	14	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Saprospiraceae""(100);""Saprospiraceae""_unclassified(100);"
Otu0863	14	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhizobiales(100);Hyphomicrobiaceae(100);Devosia(100);"
Otu0864	14	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0865	14	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0866	13	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Sphingobacteriales""_unclassified(100);""Sphingobacteriales""_unclassified(100);"
Otu0867	13	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Thiotrichales(100);Francisellaceae(100);Francisella(100);"
Otu0868	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0869	13	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0870	13	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Chromatiales(100);Chromatiaceae(100);Rheinheimera(100);"
Otu0871	13	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_order_incertae_sedis(100);Gammaproteobacteria_family_incertae_sedis(100);Orbus(100);"
Otu0872	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0873	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0874	13	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0875	13	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0876	13	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0877	13	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0878	13	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Caulobacterales(100);Hyphomonadaceae(100);Maricaulis(100);"
Otu0879	13	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovorax(100);"
Otu0880	13	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Saprospiraceae""(100);""Saprospiraceae""_unclassified(100);"
Otu0881	13	"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);Alcaligenaceae(100);Alcaligenaceae_unclassified(100);"
Otu0882	13	"Bacteria(100);""Planctomycetes""(100);""Planctomycetacia""(100);Planctomycetales(100);Planctomycetaceae(100);Planctomycetaceae_unclassified(100);"
Otu0883	13	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Saprospiraceae""(100);Lewinella(100);"
Otu0884	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0885	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0886	13	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Sphingobacteriales""_unclassified(100);""Sphingobacteriales""_unclassified(100);"
Otu0887	13	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Saprospiraceae""(100);""Saprospiraceae""_unclassified(100);"
Otu0888	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0889	13	"Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);Actinomycetales(100);Intrasporangiaceae(100);Janibacter(100);"
Otu0890	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0891	13	"Bacteria(100);""Bacteroidetes""(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);"
Otu0892	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0893	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0894	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0895	13	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0896	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0897	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0898	13	"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Cryomorphaceae(100);Crocinitomix(100);"
Otu0899	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0900	13	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacteraceae_unclassified(100);"
Otu0901	13	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovorax(85);"
Otu0902	13	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0903	13	"Bacteria(100);""Chlamydiae""(100);Chlamydiae(100);Chlamydiales(100);Parachlamydiaceae(100);Parachlamydia(100);"
Otu0904	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0905	13	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovorax(100);"
Otu0906	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0907	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0908	13	"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Acidovorax(100);"
Otu0909	13	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Caulobacterales(100);Hyphomonadaceae(100);Hirschia(100);"
Otu0910	13	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0911	12	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0912	12	"Bacteria(100);""Bacteroidetes""(100);""Bacteroidetes""_incertae_sedis_class_incertae_sedis(100);""Bacteroidetes""_incertae_sedis_order_incertae_sedis(100);""Bacteroidetes""_incertae_sedis_family_incertae_sedis(100);Marinifilum(100);"
Otu0913	12	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0914	12	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0915	12	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0916	12	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0917	12	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0918	12	"Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Kocuria(100);"
Otu0919	12	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0920	12	Bacteria(100);Cyanobacteria_Chloroplast(100);Cyanobacteria(100);Cyanobacteria_order_incertae_sedis(100);Family_IV(100);GpIV(100);
Otu0921	12	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0922	12	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);""Parvularculales""(100);""Parvularculaceae""(100);Parvularcula(100);"
Otu0923	12	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Kordiimonadales(100);""Kordiimonadaceae""(100);Kordiimonas(100);"
Otu0924	12	"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);"
Otu0925	12	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0926	12	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhodospirillales(100);Rhodospirillaceae(100);Rhodospirillaceae_unclassified(100);"
Otu0927	12	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0928	12	"Bacteria(100);""Verrucomicrobia""(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiaceae(100);Verrucomicrobiaceae_unclassified(100);"
Otu0929	12	"Bacteria(100);""Verrucomicrobia""(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiales_unclassified(100);Verrucomicrobiales_unclassified(100);"
Otu0930	12	Bacteria(100);Cyanobacteria_Chloroplast(100);Cyanobacteria_Chloroplast_unclassified(100);Cyanobacteria_Chloroplast_unclassified(100);Cyanobacteria_Chloroplast_unclassified(100);Cyanobacteria_Chloroplast_unclassified(100);
Otu0931	12	"Bacteria(100);""Fusobacteria""(100);""Fusobacteria""(100);""Fusobacteriales""(100);""Leptotrichiaceae""(100);Leptotrichia(100);"
Otu0932	12	"Bacteria(100);""Bacteroidetes""(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);"
Otu0933	12	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Saprospiraceae""(100);""Saprospiraceae""_unclassified(100);"
Otu0934	12	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0935	12	Bacteria(100);Cyanobacteria_Chloroplast(100);Cyanobacteria(100);Cyanobacteria_order_incertae_sedis(100);Cyanobacteria_order_incertae_sedis_unclassified(100);Cyanobacteria_order_incertae_sedis_unclassified(100);
Otu0936	12	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Macrococcus(67);
Otu0937	12	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_Incertae_Sedis_XII(100);Exiguobacterium(100);
Otu0938	12	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_order_incertae_sedis(100);Gammaproteobacteria_family_incertae_sedis(100);Thioprofundum(92);"
Otu0939	12	Bacteria(100);Cyanobacteria_Chloroplast(100);Cyanobacteria(100);Cyanobacteria_order_incertae_sedis(100);Cyanobacteria_order_incertae_sedis_unclassified(100);Cyanobacteria_order_incertae_sedis_unclassified(100);
Otu0940	12	Bacteria(100);Cyanobacteria_Chloroplast(100);Cyanobacteria_Chloroplast_unclassified(100);Cyanobacteria_Chloroplast_unclassified(100);Cyanobacteria_Chloroplast_unclassified(100);Cyanobacteria_Chloroplast_unclassified(100);
Otu0941	12	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu0942	12	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhizobiales(100);Methylobacteriaceae(100);Methylobacterium(100);"
Otu0943	12	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0944	12	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0945	12	"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);""Flavobacteriales""_unclassified(100);""Flavobacteriales""_unclassified(100);"
Otu0946	12	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0947	12	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0948	12	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_2(100);Desulfotomaculum(100);
Otu0949	12	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu0950	12	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0951	12	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0952	12	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovorax(100);"
Otu0953	12	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovorax(100);"
Otu0954	12	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovorax(100);"
Otu0955	12	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovorax(100);"
Otu0956	12	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhodospirillales(100);Rhodospirillales_unclassified(100);Rhodospirillales_unclassified(100);"
Otu0957	12	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Saprospiraceae""(100);""Saprospiraceae""_unclassified(100);"
Otu0958	12	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovorax(100);"
Otu0959	12	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0960	12	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0961	12	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Saprospiraceae""(100);Lewinella(100);"
Otu0962	11	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0963	11	"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Cryomorphaceae(100);Cryomorphaceae_unclassified(100);"
Otu0964	11	Bacteria(100);Cyanobacteria_Chloroplast(100);Cyanobacteria_Chloroplast_unclassified(100);Cyanobacteria_Chloroplast_unclassified(100);Cyanobacteria_Chloroplast_unclassified(100);Cyanobacteria_Chloroplast_unclassified(100);
Otu0965	11	"Bacteria(100);""Proteobacteria""(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);""Proteobacteria""_unclassified(100);"
Otu0966	11	"Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"
