gene_id,MM.11
g23876,0.0103908566661249
g36290,0.0305603471221576
g61122,-0.0552539949921675
g50752,-0.0906079254040752
g34599,-0.0214185404478222
g39156,0.0848150511585365
g25409,-0.171062894273474
g6370,0.0335210799659574
g53887,0.0302641067059244
g48109,-0.0382567586105059
g24269,-0.0158428165914762
g35046,0.111484288773774
g48819,-0.0277007536780835
g38364,0.0965887670903091
g25687,-0.00330488652089716
g55623,0.123704235464914
g49134,0.132159677530112
g67242,0.183561037262143
g53132,-0.168725250342375
g12998,0.108690958829837
g10421,-0.116556554832852
g58926,0.110227459917024
g49267,0.0779632444452417
adi2mcaRNA35119_R0,0.0947748669229217
g32752,0.0276621031188779
g12285,-0.125817702494086
g41403,-0.190458408441419
g50380,-0.00864438707222241
g23861,-0.213583893234473
g60687,-0.0412406572437098
g27843,0.160734049629882
g46373,-0.0173653788797371
g64247,-0.203104842912355
g44633,0.160594765230738
g47990,0.256105775141704
g53997,0.3131203405812
g44802,0.0803018681278226
g7583,-0.224573738180312
g62607,-0.287116385748381
g46369,-0.199846383090474
adi2mcaRNA9037_R0,0.0830310247161357
adi2mcaRNA30198_R0,-0.041517086150953
g36451,0.0598053651067266
g68176,-0.234124221349143
g26427,-0.0145359018351599
g67827,0.0992051351059611
g57151,-0.124135948815381
g56478,0.0911929145926232
g55195,-0.126137666546046
g62002,-0.0795213103658025
g62770,-0.0141392899594797
g67111,-0.126385149421224
g69045,0.226213909695735
g12570,-0.131813404662776
g46547,-0.0348195911683634
adi2mcaRNA3152_R1,-0.188100184270584
g4664,0.102686439086217
g49490,0.171441634172354
g62715,0.0504655075895489
g17679,0.202888467209188
g27208,-0.0254043611149033
g34656,-0.099505170267413
g57675,-0.0909678409995715
g56768,-0.135810551653923
g58599,-0.00212422285087797
g21633,-0.106976852560484
g41830,-0.0426747304669311
g42218,-0.120944029106823
g53999,-0.0482878807914424
adi2mcaRNA27032_R1,0.0501704848872783
g48529,-0.215247475903584
g15170,0.139682241415151
g14606,-0.0718868129097875
g61952,-0.0965999310638392
g43098,-0.0941504724028852
g43322,0.00677881999011785
g88,-0.0224358367023453
g71132,-0.0843755207699885
adi2mcaRNA23574_R0,0.0742907602557752
g37074,-0.11897086761812
g35177,-0.318934839234152
g29880,-0.0103374972591214
adi2mcaRNA8511_R1,0.216414902615234
g35102,0.17503698211716
