gene_id,MM.8
g23876,-0.899889952080348
g36290,-0.800544237072961
g61122,-0.855721763827643
g50752,-0.799223588868299
g34599,-0.85381597821153
g39156,-0.862683436809348
g25409,-0.832149814434582
g6370,-0.853825005548557
g53887,-0.839566597485656
g48109,-0.76106982310542
g24269,-0.785581553285598
g35046,-0.910838756049798
g48819,-0.830626084145973
g38364,-0.773766074028287
g25687,-0.775315439230535
g55623,-0.854656148185071
g49134,-0.800624238990658
g67242,-0.796178619901088
g53132,-0.81564813482294
g12998,-0.768029568284624
g10421,-0.756280544249251
g58926,-0.847491580225671
g49267,-0.772684753131811
adi2mcaRNA35119_R0,-0.84116585298382
g32752,-0.750253390598255
g12285,-0.77978904351531
g41403,-0.742288235211966
g50380,-0.80541985576788
g23861,-0.880211896509788
g60687,-0.739747846983334
g27843,-0.773785899924086
g46373,-0.733669844705757
g64247,-0.761180131958841
g44633,-0.771710654622334
g47990,-0.912187711609924
g53997,-0.823368236468735
g44802,-0.750605729653314
g7583,-0.74931059139453
g62607,-0.801270112993718
g46369,-0.740381381060144
adi2mcaRNA9037_R0,-0.745833919903863
adi2mcaRNA30198_R0,-0.741296948213087
g36451,-0.752076492069073
g68176,-0.815192549366974
g26427,-0.752626682963523
g67827,-0.767451031707244
g57151,-0.74122831756354
g56478,-0.787732742757658
g55195,-0.754877675010618
g62002,-0.728787825418925
g62770,-0.784768264147231
g67111,-0.74686726257628
g69045,-0.840683565125189
g12570,-0.745005423044658
g46547,-0.789377793518241
adi2mcaRNA3152_R1,-0.719808083022019
g4664,-0.758307515979123
g49490,-0.769944751112526
g62715,-0.745344983068121
g17679,-0.848357182196755
g27208,-0.73024126929316
g34656,-0.735878895266568
g57675,-0.755902071151356
g56768,-0.701933347690161
g58599,-0.83043461789785
g21633,-0.73370148319835
g41830,-0.738025534663579
g42218,-0.707189379282861
g53999,-0.703302365862432
adi2mcaRNA27032_R1,-0.731274419963544
g48529,-0.782059723578151
g15170,-0.819740119362539
g14606,-0.777836046097927
g61952,-0.729321084097148
g43098,-0.752897655124697
g43322,-0.729489772925259
g88,-0.734347515182214
g71132,-0.719011221106501
adi2mcaRNA23574_R0,-0.771084008154784
g37074,-0.782460975398686
g35177,-0.743620214925832
g29880,-0.716198388343698
adi2mcaRNA8511_R1,-0.841827134859462
g35102,-0.800696121465486
g10624,-0.805603251180068
adi2mcaRNA9843_R0,-0.704084026939228
g58549,-0.741314514085258
g19246,-0.757849245980643
g36975,-0.735234545452104
g70558,-0.731912947596023
g27887,-0.858709199840025
g19712,-0.744923998540053
g68716,-0.741583126067807
g15364,-0.720493670181141
g27910,-0.760265056819748
g36179,-0.75464358170192
g6446,-0.747684014630846
g9360,-0.707880109171388
g63466,-0.824336395321129
g14701,-0.719612710898619
g41442,-0.814953957316648
g14605,-0.732329606953856
g55196,-0.825951668943493
g8981,-0.712385130039446
g56275,-0.733561241576063
adi2mcaRNA8957_R0,-0.709578628002108
g65827,-0.763267150697427
g38208,-0.777057702797496
g18729,-0.745538710217179
g65962,-0.776898384599337
g53780,-0.689804714986636
g62771,-0.761044405417112
g22494,-0.747219832046032
g34405,-0.713165440691234
g21698,-0.714595218615562
g11631,-0.782606622594083
adi2mcaRNA5211_R0,-0.867746350715566
g48644,-0.731598879349235
g58925,-0.736329177269753
g55624,-0.748448007149928
g32928,-0.69688856918286
g5415,-0.719167078953936
g28147,-0.720893198344184
g29934,-0.821359450660219
g17816,-0.66397213287483
g29205,-0.668974897621948
g71511,-0.80486489592563
g52048,-0.689777343425533
g68777,-0.763001654609326
g13102,-0.704245486816292
g69630,-0.697297409084491
g3409,-0.805379288675223
g24976,-0.740884597731837
g16338,-0.676186973392478
g68166,-0.731977941037654
g62791,-0.679765611405213
g62719,-0.729250274826059
g32785,-0.904508038695443
g49847,-0.715880010025658
g71123,-0.742576613111449
adi2mcaRNA16924_R2,-0.726607649119909
g70486,-0.673942599861513
g60738,-0.668364976878431
g71356,-0.718784600390471
g64090,-0.776496444355696
g28905,-0.69369126629228
g39409,-0.707879612543766
g22808,-0.720312888628084
g37399,-0.756173757812221
g63810,-0.729232418191537
g63050,-0.675914477064923
g38026,-0.677066833267278
g38253,-0.691587321099857
g66745,-0.70865766441277
g62835,-0.838987054848779
g45308,-0.769855612247096
g67731,-0.677192894067033
g54778,-0.648079736667347
g54698,-0.691573502575906
g33677,-0.673422775600859
g37742,-0.693004574761462
g34995,-0.670488795324706
g69050,-0.731158880878494
g5463,-0.65011400744651
g6182,-0.713944315326597
g41463,-0.671719538187782
g68178,-0.696463341364603
adi2mcaRNA15683_R0,-0.772081989247938
g43833,-0.766156304084725
g56978,-0.723119272759942
adi2mcaRNA4299_R0,-0.713017577610288
g60214,-0.655906433655769
g27542,-0.670946834038073
g63375,-0.716634691920852
g36767,-0.709879972253022
g57645,-0.722491182207487
adi2mcaRNA2517_R0,-0.654276050428196
g45511,-0.694201747281004
g22428,-0.700711923815984
g4181,-0.681446303186255
g28571,-0.707302704418678
adi2mcaRNA24733_R0,-0.680902294885943
g47418,-0.739570674870087
g55163,-0.837291072400876
g68355,-0.744982858399029
g13222,-0.691692530222942
adi2mcaRNA27477_R0,-0.742665629766957
g31001,-0.692758150658632
g24271,-0.661451190103356
g22623,-0.727392213713506
g44531,-0.681811733423703
g55965,-0.693884932647647
g49269,-0.706570209203906
g38203,-0.686700025062594
g10419,-0.683846467599276
g11236,-0.660080645253111
g39879,-0.710565553808966
g31456,-0.817796014607323
g41221,-0.655763918542911
g54341,-0.706400298868972
g474,-0.714496543301193
g36228,-0.727181824159274
g71424,-0.697555684738351
g60073,-0.668771411797123
g57099,-0.643385933254323
g57634,-0.75189923302872
g28318,-0.687621126964315
g31881,-0.66049875235966
g29875,-0.667448826011995
g71448,-0.78394549630719
g53865,-0.692830642371135
g23832,-0.698073323409499
g46686,-0.689653013771185
g67772,-0.87493142418638
g64765,-0.669864834542937
g8603,-0.693216710742233
g34648,-0.674849419191029
g2955,-0.713990617394099
g12287,-0.685382399075809
adi2mcaRNA12403_R0,-0.653502863923014
g24111,-0.685456442751823
g68200,-0.684274703310036
g40461,-0.688357250368097
g47453,-0.661062907882266
g18687,-0.697285690752634
g43321,-0.753626548911463
g67660,-0.642772133540168
g62597,-0.694941382617315
g42338,-0.647225588649853
g71047,-0.651698901732
adi2mcaRNA14912_R0,-0.683301253634087
adi2mcaRNA6492_R0,-0.712481668863829
g42831,-0.696477105796242
g54280,-0.714795502567703
g35004,-0.803005926808461
adi2mcaRNA6487_R1,-0.673879744526399
g13257,-0.692481782940907
g55446,-0.673054145921474
g27861,-0.629645045228828
g49928,-0.815845491790677
g31824,-0.670937863280722
g39439,-0.676841947900925
adi2mcaRNA12557_R0,-0.701263316486161
g8899,-0.662952267508315
g70612,-0.679579146903496
g56112,-0.8292996601612
g53133,-0.661839535839392
g68918,-0.6424766415595
g3320,-0.68528523296718
g7167,-0.655856369923359
g2920,-0.677820563365833
g15155,-0.712220076237668
g2144,-0.673901567233217
g56262,-0.771528956218902
g40747,-0.681725368273991
g12314,-0.651194156547032
g53229,-0.692699864628516
g70335,-0.710048530990469
g26515,-0.654351334724849
adi2mcaRNA3630_R0,-0.70496850764213
adi2mcaRNA155_R0,-0.740762886059753
adi2mcaRNA35168_R1,-0.652317000634283
g10420,-0.686584688124453
g6229,-0.672053912405346
g31738,-0.741322769856229
g33679,-0.635665240642856
g60497,-0.62683248326052
g28979,-0.674645355606385
g9989,-0.660559056274336
g32305,-0.751017173764763
g25489,-0.684874509498899
g49974,-0.670840257058117
g64064,-0.670150230465917
g63849,-0.646154958591774
g21653,-0.68093549350399
