gene_id,MM.14
g23876,-0.61350071067778
g36290,-0.468935784202609
g61122,-0.593281012173528
g50752,-0.557088197626177
g34599,-0.588198477869636
g39156,-0.547664012685599
g25409,-0.665326077854291
g6370,-0.563917534592534
g53887,-0.525270832057864
g48109,-0.468707746895888
g24269,-0.518082707862058
g35046,-0.589569859755052
g48819,-0.554770645622804
g38364,-0.411763504972593
g25687,-0.45731394190585
g55623,-0.512461637940716
g49134,-0.427268789103878
g67242,-0.39159682422321
g53132,-0.631431686151503
g12998,-0.404324532731443
g10421,-0.534258328959157
g58926,-0.513114718385608
g49267,-0.442429727650019
adi2mcaRNA35119_R0,-0.525723421252139
g32752,-0.417949288620354
g12285,-0.55872486204574
g41403,-0.561531601994989
g50380,-0.504525755255172
g23861,-0.758223872947517
g60687,-0.468066242073131
g27843,-0.370129401180027
g46373,-0.445936922632212
g64247,-0.599449183737657
g44633,-0.365897817119495
g47990,-0.546773836156992
g53997,-0.351027654818587
g44802,-0.383916801577968
g7583,-0.601690777029291
g62607,-0.716719198865402
g46369,-0.55055544567136
adi2mcaRNA9037_R0,-0.39404969582209
adi2mcaRNA30198_R0,-0.447534705622941
g36451,-0.410495812677667
g68176,-0.700909115377639
g26427,-0.458015848329872
g67827,-0.397046962308525
g57151,-0.497108424697044
g56478,-0.447115748162803
g55195,-0.517628803855937
g62002,-0.460684926237479
g62770,-0.497347179122339
g67111,-0.53346644291279
g69045,-0.440715636727901
g12570,-0.512997479810376
g46547,-0.497903807959693
adi2mcaRNA3152_R1,-0.546363661985143
g4664,-0.379527081175721
g49490,-0.360066530387353
g62715,-0.394565771651355
g17679,-0.444272601279717
g27208,-0.433051414623728
g34656,-0.483791690061645
g57675,-0.519244567472947
g56768,-0.471220664894711
g58599,-0.559522847544994
g21633,-0.541079849960942
g41830,-0.470005425666872
g42218,-0.462467952795961
g53999,-0.42279692538093
adi2mcaRNA27032_R1,-0.387675094541969
g48529,-0.623049787926659
g15170,-0.472207058369513
g14606,-0.542731703402152
g61952,-0.471115119733971
g43098,-0.493877114576044
g43322,-0.410318941765542
g88,-0.44193155043235
g71132,-0.468449792948468
adi2mcaRNA23574_R0,-0.431644611699823
g37074,-0.596791577069528
g35177,-0.686491475706717
g29880,-0.41119193187537
adi2mcaRNA8511_R1,-0.43443108988877
g35102,-0.440069649061959
g10624,-0.490483108531054
adi2mcaRNA9843_R0,-0.441746350190441
g58549,-0.547309755479121
g19246,-0.346670637834876
g36975,-0.420276064591243
g70558,-0.538753464286085
g27887,-0.702705743694488
g19712,-0.356667793157371
g68716,-0.523351134920256
g15364,-0.467364281104679
g27910,-0.507938885922365
g36179,-0.663820262965431
g6446,-0.429136458864403
g9360,-0.524372315408851
g63466,-0.460511546268532
g14701,-0.43486511857854
g41442,-0.538839351445393
g14605,-0.508896706462331
g55196,-0.503797210454764
g8981,-0.368745111708478
g56275,-0.501749163564671
adi2mcaRNA8957_R0,-0.550623334829584
g65827,-0.461073173094327
g38208,-0.406110555929731
g18729,-0.345395426370538
g65962,-0.752218882455578
g53780,-0.468634692042431
g62771,-0.348979094163249
g22494,-0.516401130596094
g34405,-0.406684137926294
g21698,-0.521368913972407
g11631,-0.479012667070313
adi2mcaRNA5211_R0,-0.642888672135539
g48644,-0.450227533090041
g58925,-0.508285409194378
g55624,-0.446537580430735
g32928,-0.54469497731288
g5415,-0.470227455482563
g28147,-0.431123420083406
g29934,-0.499759766385886
g17816,-0.391894750642909
g29205,-0.426942603802753
g71511,-0.473859960542057
g52048,-0.384668595212355
g68777,-0.446209992846268
g13102,-0.478986878022953
g69630,-0.667257514633132
g3409,-0.427000837068725
g24976,-0.272136661462866
g16338,-0.424342797912446
g68166,-0.372137513270706
g62791,-0.35862598697143
g62719,-0.405306713026856
g32785,-0.635763730163972
g49847,-0.436294046143898
g71123,-0.40502062083909
adi2mcaRNA16924_R2,-0.531254804805767
g70486,-0.401070924333242
g60738,-0.513456856520754
g71356,-0.391256250003013
g64090,-0.616289884909804
g28905,-0.370796343433168
g39409,-0.465668358657034
g22808,-0.347687554672837
g37399,-0.392376077508933
g63810,-0.433419036752239
g63050,-0.625752330827301
g38026,-0.511190557789564
g38253,-0.484296778251936
g66745,-0.629072076798464
g62835,-0.601112080944588
g45308,-0.621384465728079
g67731,-0.483014921961379
g54778,-0.535500419515507
g54698,-0.404961978870537
g33677,-0.464436589429814
g37742,-0.505114528647074
g34995,-0.359203884015005
g69050,-0.390471751264813
g5463,-0.527270658423112
g6182,-0.648591660391536
g41463,-0.566080199034623
g68178,-0.463880189178312
adi2mcaRNA15683_R0,-0.550720908313858
g43833,-0.494356452856998
g56978,-0.336185431553826
adi2mcaRNA4299_R0,-0.67231596187688
g60214,-0.440932299904067
g27542,-0.474093405179726
g63375,-0.452511265075645
g36767,-0.432633965731647
g57645,-0.419851501486179
adi2mcaRNA2517_R0,-0.533116896174606
g45511,-0.47091869426757
g22428,-0.340244172045778
g4181,-0.378847990623916
g28571,-0.489475978703451
adi2mcaRNA24733_R0,-0.369624911634436
g47418,-0.371097935719546
g55163,-0.689067394489098
g68355,-0.63782940034482
g13222,-0.42999003938312
adi2mcaRNA27477_R0,-0.438082929262057
g31001,-0.398185316765248
g24271,-0.509599675036019
g22623,-0.350273166766266
g44531,-0.411573405495924
g55965,-0.526755721696944
g49269,-0.386754354489761
g38203,-0.488515437418396
g10419,-0.530581924106626
g11236,-0.557686598355641
g39879,-0.279077568477049
g31456,-0.449134732464386
g41221,-0.271300941301567
g54341,-0.381567735826201
g474,-0.402801538495225
g36228,-0.278603646417562
g71424,-0.695908988649068
g60073,-0.312869456918127
g57099,-0.409775597128386
g57634,-0.556541201560631
g28318,-0.348144425418098
g31881,-0.30825438805987
g29875,-0.399714665755199
g71448,-0.501744239549689
g53865,-0.345629578102407
g23832,-0.472108786437796
g46686,-0.414750610131018
g67772,-0.500660947983482
g64765,-0.431100462811961
g8603,-0.568095865004669
g34648,-0.383377489638157
g2955,-0.307309859476948
g12287,-0.436106770754999
adi2mcaRNA12403_R0,-0.414797368729775
g24111,-0.399783751699535
g68200,-0.45723276221017
g40461,-0.566188641203537
g47453,-0.630121745461148
g18687,-0.302648341376925
g43321,-0.284772577803901
g67660,-0.403109789918036
g62597,-0.485576445049697
g42338,-0.288488119925165
g71047,-0.495455600303823
adi2mcaRNA14912_R0,-0.453947877417349
adi2mcaRNA6492_R0,-0.265800176072509
g42831,-0.385600104650282
g54280,-0.467617785513656
g35004,-0.60468016450773
adi2mcaRNA6487_R1,-0.424628811398248
g13257,-0.317679440317185
g55446,-0.527931069173295
g27861,-0.44606307974992
g49928,-0.456841172322619
g31824,-0.446078667767004
g39439,-0.534363019605195
adi2mcaRNA12557_R0,-0.392793216034062
g8899,-0.499936345466271
g70612,-0.453082712040511
g56112,-0.600253976256358
g53133,-0.435567158188967
g68918,-0.542591069542651
g3320,-0.39513995129559
g7167,-0.535836202835898
g2920,-0.446996087735033
g15155,-0.475158344599426
g2144,-0.413228314068183
g56262,-0.421937583743358
g40747,-0.289252260212984
g12314,-0.416845379336669
g53229,-0.382095224003905
g70335,-0.416693327287493
g26515,-0.458047119273152
adi2mcaRNA3630_R0,-0.374834930440467
adi2mcaRNA155_R0,-0.723828115352276
adi2mcaRNA35168_R1,-0.645995760758363
g10420,-0.482291023198126
g6229,-0.517728477822045
g31738,-0.551158052774378
