lifestage,sample_id,Module,Mean
Embryo (5 hpf),AH28,ME3,-0.19280373402380524
Embryo (5 hpf),AH29,ME3,-0.1916002087416871
Embryo (38 hpf),AH2,ME3,-0.1852358243893531
Embryo (5 hpf),AH30,ME3,-0.19382811213603365
Embryo (5 hpf),AH31,ME3,-0.19937370076106642
Embryo (38 hpf),AH32,ME3,-0.18760452803732305
Attached Recruit (183 hpf),AH33,ME3,0.15303574161291283
Attached Recruit (231 hpf),AH34,ME3,0.16867076009870965
Attached Recruit (231 hpf),AH35,ME3,0.16346853213207985
Attached Recruit (183 hpf),AH36,ME3,0.14991567302668826
Attached Recruit (183 hpf),AH37,ME3,0.16176214571380623
Attached Recruit (231 hpf),AH38,ME3,0.1425370199332075
Attached Recruit (183 hpf),AH39,ME3,0.17584072751690016
Embryo (38 hpf),AH3,ME3,-0.1839482679489378
Embryo (38 hpf),AH4,ME3,-0.18791080997291149
Embryo (65 hpf),AH5,ME3,-0.09983849634748349
Embryo (65 hpf),AH6,ME3,-0.10557500825997056
Embryo (65 hpf),AH7,ME3,-0.0955132650151637
Embryo (65 hpf),AH8,ME3,-0.09655259307085326
Larvae (93 hpf),AH9,ME3,-0.027695286847274615
Larvae (93 hpf),AH10,ME9,-0.05985896426387528
Larvae (93 hpf),AH11,ME9,-0.06968293642425605
Egg (1 hpf),AH12,ME9,-0.12792631689159856
Larvae (93 hpf),AH13,ME9,-0.06282404890135176
Larvae (163 hpf),AH14,ME9,-0.016364698777490465
Larvae (163 hpf),AH15,ME9,-0.027174369150483737
Larvae (163 hpf),AH16,ME9,-0.025795362635388557
Larvae (163 hpf),AH17,ME9,-0.0180271773379218
Larvae (231 hpf),AH18,ME9,0.2867297202823055
Egg (1 hpf),AH19,ME9,-0.13320792202708318
Egg (1 hpf),AH1,ME9,-0.1281756663796217
Larvae (231 hpf),AH20,ME9,0.2645289911369744
Larvae (231 hpf),AH21,ME9,0.2658958008058517
Larvae (231 hpf),AH22,ME9,0.27544623178125566
Metamorphosed Polyp (231 hpf),AH24,ME9,0.3812908308154585
Metamorphosed Polyp (231 hpf),AH25,ME9,0.4064618100203165
Egg (1 hpf),AH26,ME9,-0.12469847813189287
Metamorphosed Polyp (231 hpf),AH27,ME9,0.38582439153574133
Embryo (5 hpf),AH28,ME9,-0.11702142602608409
Embryo (5 hpf),AH29,ME9,-0.12230426358493078
Embryo (38 hpf),AH2,ME9,-0.11947190484456012
Embryo (5 hpf),AH30,ME9,-0.12811708633872135
Embryo (5 hpf),AH31,ME9,-0.12329610621709983
Embryo (38 hpf),AH32,ME9,-0.1114444977220509
Attached Recruit (183 hpf),AH33,ME9,-0.041235217859949734
Attached Recruit (231 hpf),AH34,ME9,0.044753251721585376
Attached Recruit (231 hpf),AH35,ME9,0.031145757030890616
Attached Recruit (183 hpf),AH36,ME9,-0.034265487064551174
Attached Recruit (183 hpf),AH37,ME9,-0.04000754391060782
Attached Recruit (231 hpf),AH38,ME9,-0.02326355092501058
Attached Recruit (183 hpf),AH39,ME9,-0.017900789861652402
Embryo (38 hpf),AH3,ME9,-0.11699408016274526
Embryo (38 hpf),AH4,ME9,-0.11817756669586336
Embryo (65 hpf),AH5,ME9,-0.09283877530341889
