"","Genus","Species"
"Otu0001",NA,NA
"Otu0002",NA,NA
"Otu0003",NA,NA
"Otu0005","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu0006",NA,NA
"Otu0007",NA,NA
"Otu0009",NA,NA
"Otu0010",NA,NA
"Otu0011",NA,NA
"Otu0014",NA,NA
"Otu0016",NA,NA
"Otu0018",NA,NA
"Otu0019",NA,NA
"Otu0021",NA,NA
"Otu0022",NA,NA
"Otu0025",NA,NA
"Otu0028",NA,NA
"Otu0029",NA,NA
"Otu0031",NA,NA
"Otu0033",NA,NA
"Otu0034",NA,NA
"Otu0035",NA,NA
"Otu0037",NA,NA
"Otu0038",NA,NA
"Otu0041",NA,NA
"Otu0042","Maricurvus","nonylphenolicus"
"Otu0044",NA,NA
"Otu0046",NA,NA
"Otu0048",NA,NA
"Otu0050",NA,NA
"Otu0051",NA,NA
"Otu0052",NA,NA
"Otu0053",NA,NA
"Otu0055",NA,NA
"Otu0060",NA,NA
"Otu0062",NA,NA
"Otu0063",NA,NA
"Otu0066",NA,NA
"Otu0067",NA,NA
"Otu0068",NA,NA
"Otu0069",NA,NA
"Otu0073",NA,NA
"Otu0074","Shimia","isoporae/marina"
"Otu0075",NA,NA
"Otu0076",NA,NA
"Otu0077",NA,NA
"Otu0081",NA,NA
"Otu0084",NA,NA
"Otu0085",NA,NA
"Otu0087",NA,NA
"Otu0089",NA,NA
"Otu0090",NA,NA
"Otu0092",NA,NA
"Otu0093",NA,NA
"Otu0096",NA,NA
"Otu0097",NA,NA
"Otu0098",NA,NA
"Otu0101",NA,NA
"Otu0103",NA,NA
"Otu0105",NA,NA
"Otu0107",NA,NA
"Otu0109",NA,NA
"Otu0110",NA,NA
"Otu0113",NA,NA
"Otu0114",NA,NA
"Otu0116",NA,NA
"Otu0117",NA,NA
"Otu0118",NA,NA
"Otu0119",NA,NA
"Otu0121",NA,NA
"Otu0122",NA,NA
"Otu0123",NA,NA
"Otu0127",NA,NA
"Otu0128","Neptuniibacter","caesariensis"
"Otu0131",NA,NA
"Otu0133","Algicola","bacteriolytica"
"Otu0134",NA,NA
"Otu0135",NA,NA
"Otu0137",NA,NA
"Otu0138",NA,NA
"Otu0141",NA,NA
"Otu0143",NA,NA
"Otu0146",NA,NA
"Otu0147",NA,NA
"Otu0148",NA,NA
"Otu0149",NA,NA
"Otu0151",NA,NA
"Otu0153",NA,NA
"Otu0155",NA,NA
"Otu0157",NA,NA
"Otu0159",NA,NA
"Otu0160","Aureicoccus","marinus"
"Otu0162",NA,NA
"Otu0163",NA,NA
"Otu0165",NA,NA
"Otu0167",NA,NA
"Otu0168",NA,NA
"Otu0170",NA,NA
"Otu0173",NA,NA
"Otu0176",NA,NA
"Otu0180",NA,NA
"Otu0182",NA,NA
"Otu0185",NA,NA
"Otu0186",NA,NA
"Otu0187",NA,NA
"Otu0188",NA,NA
"Otu0190",NA,NA
"Otu0195",NA,NA
"Otu0196",NA,NA
"Otu0198",NA,NA
"Otu0202",NA,NA
"Otu0203",NA,NA
"Otu0204",NA,NA
"Otu0205",NA,NA
"Otu0206",NA,NA
"Otu0208",NA,NA
"Otu0209",NA,NA
"Otu0210",NA,NA
"Otu0211",NA,NA
"Otu0212",NA,NA
"Otu0214",NA,NA
"Otu0218",NA,NA
"Otu0219",NA,NA
"Otu0221",NA,NA
"Otu0222",NA,NA
"Otu0223",NA,NA
"Otu0225",NA,NA
"Otu0226",NA,NA
"Otu0228",NA,NA
"Otu0231",NA,NA
"Otu0233",NA,NA
"Otu0235",NA,NA
"Otu0236","Vibrio","aestuarianus/fortis/pelagius"
"Otu0237",NA,NA
"Otu0238",NA,NA
"Otu0239",NA,NA
"Otu0241",NA,NA
"Otu0242",NA,NA
"Otu0243",NA,NA
"Otu0245",NA,NA
"Otu0249",NA,NA
"Otu0250",NA,NA
"Otu0251",NA,NA
"Otu0252",NA,NA
"Otu0253",NA,NA
"Otu0255",NA,NA
"Otu0257",NA,NA
"Otu0258",NA,NA
"Otu0260",NA,NA
"Otu0262",NA,NA
"Otu0266",NA,NA
"Otu0270",NA,NA
"Otu0271",NA,NA
"Otu0272",NA,NA
"Otu0273",NA,NA
"Otu0275",NA,NA
"Otu0276",NA,NA
"Otu0277",NA,NA
"Otu0278",NA,NA
"Otu0279",NA,NA
"Otu0280",NA,NA
"Otu0282",NA,NA
"Otu0283",NA,NA
"Otu0289",NA,NA
"Otu0290",NA,NA
"Otu0291",NA,NA
"Otu0292",NA,NA
"Otu0294",NA,NA
"Otu0296","Litoribrevibacter","albus"
"Otu0297",NA,NA
"Otu0298",NA,NA
"Otu0299",NA,NA
"Otu0301",NA,NA
"Otu0302",NA,NA
"Otu0303",NA,NA
"Otu0305",NA,NA
"Otu0306",NA,NA
"Otu0309",NA,NA
"Otu0311",NA,NA
"Otu0312",NA,NA
"Otu0314",NA,NA
"Otu0322",NA,NA
"Otu0326",NA,NA
"Otu0328",NA,NA
"Otu0330",NA,NA
"Otu0331",NA,NA
"Otu0332",NA,NA
"Otu0333",NA,NA
"Otu0334",NA,NA
"Otu0337",NA,NA
"Otu0342",NA,NA
"Otu0343",NA,NA
"Otu0344",NA,NA
"Otu0347",NA,NA
"Otu0349",NA,NA
"Otu0351",NA,NA
"Otu0354",NA,NA
"Otu0355",NA,NA
"Otu0357",NA,NA
"Otu0359",NA,NA
"Otu0361",NA,NA
"Otu0362",NA,NA
"Otu0363",NA,NA
"Otu0366",NA,NA
"Otu0367",NA,NA
"Otu0368",NA,NA
"Otu0369",NA,NA
"Otu0371",NA,NA
"Otu0372",NA,NA
"Otu0373","Cutibacterium","acnes/avidum"
"Otu0374",NA,NA
"Otu0375",NA,NA
"Otu0376","Winogradskyella","poriferorum"
"Otu0378","Maricaulis","maris"
"Otu0381",NA,NA
"Otu0385",NA,NA
"Otu0386",NA,NA
"Otu0387",NA,NA
"Otu0388",NA,NA
"Otu0390",NA,NA
"Otu0391",NA,NA
"Otu0392",NA,NA
"Otu0394",NA,NA
"Otu0397",NA,NA
"Otu0398",NA,NA
"Otu0399",NA,NA
"Otu0400",NA,NA
"Otu0401",NA,NA
"Otu0403",NA,NA
"Otu0404",NA,NA
"Otu0405",NA,NA
"Otu0406",NA,NA
"Otu0409",NA,NA
"Otu0411",NA,NA
"Otu0413",NA,NA
"Otu0416",NA,NA
"Otu0417",NA,NA
"Otu0419",NA,NA
"Otu0421",NA,NA
"Otu0422",NA,NA
"Otu0424",NA,NA
"Otu0435",NA,NA
"Otu0437",NA,NA
"Otu0439",NA,NA
"Otu0442",NA,NA
"Otu0444",NA,NA
"Otu0445",NA,NA
"Otu0450",NA,NA
"Otu0451",NA,NA
"Otu0453",NA,NA
"Otu0454",NA,NA
"Otu0456",NA,NA
"Otu0458",NA,NA
"Otu0459",NA,NA
"Otu0460",NA,NA
"Otu0462",NA,NA
"Otu0464",NA,NA
"Otu0465",NA,NA
"Otu0467",NA,NA
"Otu0468",NA,NA
"Otu0470",NA,NA
"Otu0472",NA,NA
"Otu0474",NA,NA
"Otu0475",NA,NA
"Otu0477",NA,NA
"Otu0478",NA,NA
"Otu0479",NA,NA
"Otu0481",NA,NA
"Otu0484",NA,NA
"Otu0486",NA,NA
"Otu0489",NA,NA
"Otu0490",NA,NA
"Otu0491",NA,NA
"Otu0492",NA,NA
"Otu0493",NA,NA
"Otu0495",NA,NA
"Otu0496",NA,NA
"Otu0499",NA,NA
"Otu0501",NA,NA
"Otu0502",NA,NA
"Otu0503",NA,NA
"Otu0504",NA,NA
"Otu0506",NA,NA
"Otu0507",NA,NA
"Otu0509",NA,NA
"Otu0511",NA,NA
"Otu0512",NA,NA
"Otu0513",NA,NA
"Otu0516",NA,NA
"Otu0517",NA,NA
"Otu0521",NA,NA
"Otu0522",NA,NA
"Otu0523","Thalassospira","australica/povalilytica/profundimaris/tepidiphila/xianhensis"
"Otu0524",NA,NA
"Otu0527",NA,NA
"Otu0528",NA,NA
"Otu0529",NA,NA
"Otu0533",NA,NA
"Otu0535",NA,NA
"Otu0537",NA,NA
"Otu0538",NA,NA
"Otu0539",NA,NA
"Otu0540",NA,NA
"Otu0541",NA,NA
"Otu0543",NA,NA
"Otu0544","Tenacibaculum","mesophilum"
"Otu0547",NA,NA
"Otu0549",NA,NA
"Otu0550",NA,NA
"Otu0553",NA,NA
"Otu0554",NA,NA
"Otu0560",NA,NA
