"","Genus","Species"
"Otu0001",NA,NA
"Otu0002",NA,NA
"Otu0006",NA,NA
"Otu0007",NA,NA
"Otu0009",NA,NA
"Otu0010",NA,NA
"Otu0011",NA,NA
"Otu0012",NA,NA
"Otu0014",NA,NA
"Otu0015",NA,NA
"Otu0017",NA,NA
"Otu0020",NA,NA
"Otu0021",NA,NA
"Otu0022",NA,NA
"Otu0023",NA,NA
"Otu0024",NA,NA
"Otu0025",NA,NA
"Otu0026",NA,NA
"Otu0027",NA,NA
"Otu0028",NA,NA
"Otu0029",NA,NA
"Otu0031",NA,NA
"Otu0032",NA,NA
"Otu0033",NA,NA
"Otu0034",NA,NA
"Otu0035",NA,NA
"Otu0036",NA,NA
"Otu0037",NA,NA
"Otu0039",NA,NA
"Otu0040",NA,NA
"Otu0042",NA,NA
"Otu0043",NA,NA
"Otu0044",NA,NA
"Otu0045",NA,NA
"Otu0047",NA,NA
"Otu0048",NA,NA
"Otu0050",NA,NA
"Otu0052",NA,NA
"Otu0053",NA,NA
"Otu0054",NA,NA
"Otu0055",NA,NA
"Otu0059",NA,NA
"Otu0060",NA,NA
"Otu0061",NA,NA
"Otu0062","Vibrio","aestuarianus/fortis/pelagius"
"Otu0063",NA,NA
"Otu0064",NA,NA
"Otu0065",NA,NA
"Otu0067",NA,NA
"Otu0068",NA,NA
"Otu0069",NA,NA
"Otu0070",NA,NA
"Otu0071",NA,NA
"Otu0072",NA,NA
"Otu0073",NA,NA
"Otu0076",NA,NA
"Otu0077",NA,NA
"Otu0078",NA,NA
"Otu0079",NA,NA
"Otu0080",NA,NA
"Otu0081",NA,NA
"Otu0083",NA,NA
"Otu0087",NA,NA
"Otu0088",NA,NA
"Otu0089",NA,NA
"Otu0090",NA,NA
"Otu0091",NA,NA
"Otu0092",NA,NA
"Otu0094",NA,NA
"Otu0095",NA,NA
"Otu0096",NA,NA
"Otu0097",NA,NA
"Otu0098",NA,NA
"Otu0099",NA,NA
"Otu0100",NA,NA
"Otu0101",NA,NA
"Otu0102",NA,NA
"Otu0103",NA,NA
"Otu0105",NA,NA
"Otu0106",NA,NA
"Otu0108",NA,NA
"Otu0110",NA,NA
"Otu0111",NA,NA
"Otu0112",NA,NA
"Otu0113",NA,NA
"Otu0114",NA,NA
"Otu0116",NA,NA
"Otu0117",NA,NA
"Otu0118","Aureicoccus","marinus"
"Otu0119",NA,NA
"Otu0120",NA,NA
"Otu0122",NA,NA
"Otu0125",NA,NA
"Otu0126",NA,NA
"Otu0127",NA,NA
"Otu0128",NA,NA
"Otu0129",NA,NA
"Otu0131",NA,NA
"Otu0133",NA,NA
"Otu0134",NA,NA
"Otu0135",NA,NA
"Otu0136",NA,NA
"Otu0140",NA,NA
"Otu0141",NA,NA
"Otu0142","Thalassospira","australica/povalilytica/profundimaris/tepidiphila/xianhensis"
"Otu0143",NA,NA
"Otu0144","Maricaulis","maris"
"Otu0145",NA,NA
"Otu0146",NA,NA
"Otu0147",NA,NA
"Otu0148",NA,NA
"Otu0149",NA,NA
"Otu0151",NA,NA
"Otu0152",NA,NA
"Otu0153","Litoribrevibacter","albus"
"Otu0154",NA,NA
"Otu0155",NA,NA
"Otu0158",NA,NA
"Otu0159",NA,NA
"Otu0162",NA,NA
"Otu0165",NA,NA
"Otu0166","Winogradskyella","poriferorum"
"Otu0170",NA,NA
"Otu0172",NA,NA
"Otu0173",NA,NA
"Otu0174",NA,NA
"Otu0175",NA,NA
"Otu0178",NA,NA
"Otu0180",NA,NA
"Otu0181",NA,NA
"Otu0182",NA,NA
"Otu0183",NA,NA
"Otu0185",NA,NA
"Otu0188",NA,NA
"Otu0189",NA,NA
"Otu0190",NA,NA
"Otu0191",NA,NA
"Otu0192",NA,NA
"Otu0193",NA,NA
"Otu0194",NA,NA
"Otu0196",NA,NA
"Otu0197",NA,NA
"Otu0200",NA,NA
"Otu0201",NA,NA
"Otu0203",NA,NA
"Otu0204",NA,NA
"Otu0206",NA,NA
"Otu0207",NA,NA
"Otu0209",NA,NA
"Otu0211",NA,NA
"Otu0213",NA,NA
"Otu0214",NA,NA
"Otu0215",NA,NA
"Otu0217",NA,NA
"Otu0218",NA,NA
"Otu0221",NA,NA
"Otu0222",NA,NA
"Otu0223",NA,NA
"Otu0224",NA,NA
"Otu0225",NA,NA
"Otu0227",NA,NA
"Otu0228",NA,NA
"Otu0229",NA,NA
"Otu0230",NA,NA
"Otu0232",NA,NA
"Otu0233",NA,NA
"Otu0234",NA,NA
"Otu0235",NA,NA
"Otu0236",NA,NA
"Otu0239",NA,NA
"Otu0240",NA,NA
"Otu0242",NA,NA
"Otu0243",NA,NA
"Otu0244",NA,NA
"Otu0245",NA,NA
"Otu0247",NA,NA
"Otu0248",NA,NA
"Otu0250",NA,NA
"Otu0251",NA,NA
"Otu0252","Tenacibaculum","mesophilum"
"Otu0253",NA,NA
"Otu0255",NA,NA
"Otu0257",NA,NA
"Otu0258",NA,NA
"Otu0259",NA,NA
"Otu0260",NA,NA
"Otu0261",NA,NA
"Otu0262",NA,NA
"Otu0263",NA,NA
"Otu0264",NA,NA
"Otu0265",NA,NA
"Otu0267",NA,NA
"Otu0268",NA,NA
"Otu0271",NA,NA
"Otu0273",NA,NA
"Otu0274",NA,NA
"Otu0275",NA,NA
"Otu0277",NA,NA
"Otu0278",NA,NA
"Otu0280",NA,NA
"Otu0284",NA,NA
"Otu0285",NA,NA
"Otu0286",NA,NA
"Otu0287",NA,NA
"Otu0289",NA,NA
"Otu0293",NA,NA
"Otu0294",NA,NA
"Otu0295",NA,NA
"Otu0297",NA,NA
"Otu0298",NA,"citreus/columbae/flavidum/ginsengisoli/koreense/maitriensis/maritimus/okeanokoites/pelagicus/plakortidis/pocheonensis/rifietoensis"
"Otu0299",NA,NA
"Otu0300",NA,NA
"Otu0301",NA,NA
"Otu0302",NA,NA
"Otu0303",NA,NA
"Otu0304",NA,NA
"Otu0305",NA,NA
"Otu0306",NA,NA
"Otu0307",NA,NA
"Otu0308",NA,NA
"Otu0311",NA,NA
"Otu0313",NA,NA
"Otu0314",NA,NA
"Otu0316",NA,NA
"Otu0317",NA,NA
"Otu0318",NA,NA
"Otu0319",NA,NA
"Otu0321",NA,NA
"Otu0322",NA,NA
"Otu0323",NA,NA
"Otu0324",NA,NA
"Otu0325",NA,NA
"Otu0326",NA,NA
"Otu0327",NA,NA
"Otu0328",NA,NA
"Otu0329",NA,NA
"Otu0330",NA,NA
"Otu0331",NA,NA
"Otu0332",NA,NA
"Otu0333",NA,NA
"Otu0334",NA,NA
"Otu0335",NA,NA
"Otu0336",NA,NA
"Otu0337",NA,NA
"Otu0339",NA,NA
"Otu0340",NA,NA
"Otu0341",NA,NA
"Otu0343",NA,NA
"Otu0344",NA,NA
"Otu0345",NA,NA
"Otu0346",NA,NA
"Otu0348",NA,NA
"Otu0352",NA,NA
"Otu0354",NA,NA
"Otu0355",NA,NA
"Otu0356",NA,NA
"Otu0357",NA,NA
"Otu0360",NA,NA
"Otu0362",NA,NA
"Otu0363",NA,NA
"Otu0364",NA,NA
"Otu0365",NA,NA
"Otu0368",NA,NA
"Otu0369",NA,NA
"Otu0375",NA,NA
"Otu0376",NA,NA
"Otu0377",NA,NA
"Otu0378",NA,NA
"Otu0379",NA,NA
"Otu0380",NA,NA
"Otu0381",NA,NA
"Otu0382",NA,NA
"Otu0385",NA,NA
"Otu0386",NA,NA
"Otu0387",NA,NA
"Otu0388",NA,NA
"Otu0389",NA,NA
"Otu0390",NA,NA
"Otu0392",NA,NA
"Otu0396",NA,NA
"Otu0398",NA,NA
"Otu0400",NA,NA
"Otu0401",NA,NA
"Otu0402",NA,NA
"Otu0404",NA,NA
"Otu0405",NA,NA
"Otu0406",NA,NA
"Otu0407",NA,NA
"Otu0408",NA,NA
"Otu0410",NA,NA
"Otu0412",NA,NA
"Otu0413","Leptobacterium","flavescens"
"Otu0414",NA,NA
"Otu0418",NA,NA
"Otu0419",NA,NA
"Otu0420",NA,NA
"Otu0421",NA,NA
"Otu0425",NA,NA
"Otu0426",NA,NA
"Otu0428",NA,NA
"Otu0429",NA,NA
"Otu0431",NA,NA
"Otu0432",NA,NA
"Otu0433",NA,NA
"Otu0436",NA,NA
"Otu0437",NA,NA
"Otu0438",NA,NA
"Otu0439",NA,NA
"Otu0440",NA,NA
"Otu0442",NA,NA
"Otu0443",NA,NA
"Otu0446",NA,NA
"Otu0448",NA,NA
