Metabolite,VIP
Montiporic Acid C,1.839510586
Montiporic Acid B,1.835648425
Montiporic Acid D,1.834177543
Montiporic Acid A,1.818870052
Cresol,1.742464536
Phenethylamine,1.650474611
Uridine,1.640196775
Glucose-6-phosphate,1.519489534
Guanosine,1.465640524
Indole,1.436702869
Carbamoyl phosphate,1.372060957
NADPH,1.350350921
UMP,1.345739209
ADP,1.310703807
O-Decanoyl-L-carnitine,1.287859479
Glycyl-L-proline,1.283848434
Adenosine,1.283662413
Mannose-6-phosphate,1.280487658
Betaine,1.263230442
Threonine,1.251571975
Serine,1.24924983
Lysine-Glutamine,1.236744811
Ribothymidine,1.234803257
NG-dimethyl-L-arginine,1.225663252
Tryptamine,1.223775397
Glucose,1.220375402
Cellobiose,1.208516263
Arginine-Alanine,1.207536041
Arginine-Glutamine,1.203018962
Pterin,1.195516218
Adipic acid,1.175242461
Sorbitol,1.172146792
Isoleucine,1.164040706
NAD+,1.145954239
N N N-Trimethyllysine,1.141723561
Homoarginine,1.141234703
Tyrosine,1.140607924
Diethanolamine,1.138582825
ATP,1.13803688
CDP-Choline ,1.137335369
Sedoheptulose,1.136860014
Lysine,1.129902161
Taurine,1.12886751
Sucrose,1.11932671
Riboflavin,1.112492338
Acetyllysine,1.112117969
Raffinose,1.111396959
Valine,1.109238368
Phenylalanine,1.100950047
CDP-ethanolamine,1.100361758
N-Acetyl-Glucosamine,1.095019298
ADP-ribose,1.091121861
Glutamine,1.090861129
Pyruvate,1.085367047
FAD,1.081819059
Trigonelline,1.079057751
3-Phenylbutyric acid,1.078438731
Acetyl glycine,1.078050269
CMP,1.076869532
O-Phosphorylethanolamine,1.074697352
GDP-Mannose,1.07418722
Malonic acid,1.073983708
4-Guanidinobutanoic acid,1.068884373
GDP,1.066664348
Fructose,1.066628055
Glutamate,1.064549937
L-Octanoylcarnitine,1.063986656
Nicotinamide riboside,1.06265784
1-Methylhistidine,1.05604259
Proline,1.053072845
Glutaric acid,1.050811265
5-Hydroxytryptophan,1.049564703
UDP-N-acetyl-glucosamine,1.046335302
UDP-D-Glucose,1.039725901
Pantothenate,1.034921131
NADP+,1.034597038
Homocitrulline,1.029096676
Acetyl CoA,1.027234923
Glutathione,1.021748941
S-Adenosyl-homocysteine,1.020274447
Pirbuterol,1.014116834
Orotate,1.011799127
Hypotaurine,0.999184729
Lumichrome,0.99545339
Aspartate,0.991044077
Ribitol,0.990372381
Inosine,0.988477191
Phosphocholine ,0.985309174
Pipecolic acid,0.984067556
Dihydroxyacetone phosphate,0.982646344
Ophthalmate,0.981249387
Coenzyme A,0.976087044
5-Hydroxylysine,0.97572045
S-adenosyl-L-methionine,0.974931538
N6-Acetyl-L-lysine,0.97423377
Glutaryl-carnitine,0.973446916
Cytosine,0.972407327
NADH,0.967473856
Uric acid,0.964136035
Methylphenyllactate,0.958539083
ADP-D-Glucose,0.94572069
N-acetyl-glutamate,0.943965649
Arginine,0.942445561
Methionine sulfoxide,0.937183981
Alanine-Alanine,0.935639244
Urocanate,0.932360305
Inositol,0.931579626
Hydroxyoctanoic acid,0.930207324
Methionine,0.926011909
Hypoxanthine,0.921908742
Citrulline,0.916903193
Isopentenyl pyrophosphate,0.908128777
2-Furoyl glycine,0.901313234
a-ketoglutarate,0.8988843
Itaconic acid,0.898825589
Creatine,0.898313426
Fumarate,0.896680387
Nicotinate,0.885334789
Thymidine,0.873114975
Deoxyadenosine,0.868666534
2-Hydroxybutyric acid,0.858417912
Nicotinamide ribotide,0.827340175
L-Palmitoylcarnitine,0.825657231
Acetyl-arginine,0.825508493
Carnitine,0.824701202
4-Aminobutyrate,0.823608821
5-Methylthioadenosine,0.822835975
Phosphoenolpyruvate,0.815770049
S-Carboxymethyl-L-cysteine,0.809137229
Pyroglutamate,0.79443167
Dopamine,0.793182702
Dihydroorotate,0.792027706
Asparagine,0.786834359
Threonic acid,0.775796824
UDP,0.77464411
Carnosine,0.760501407
N-octanoylglycine,0.759116338
Glycine,0.756946828
3-Methylindole,0.756678569
GMP,0.748729982
3-Indo-L-tyrosine,0.745373941
UTP,0.73937604
Glucuronic acid,0.721464427
Alanine,0.711233972
N-Acetylaspartate,0.70859025
1-Methylimidazole acetic acid,0.704206018
Creatinine,0.6803079
GTP,0.670505053
Lactate,0.664681678
Homocysteine,0.656174564
Guanine,0.643526722
Guanidinoacetate,0.641143088
Succinate,0.639322974
Galactitol,0.62329327
Citrate,0.62237379
AMP,0.618819859
Thiamine,0.591217038
NAADP,0.586739386
O-Acylcarnitine,0.583040387
Ornithine,0.577522979
Tryptophan,0.546786594
Histidine,0.539621818
Deoxycarnitine,0.535516204
Cyclic AMP,0.515509318
5-Methylcytosine,0.491142178
Ribose phosphate,0.476635106
O-Butanoylcarnitine,0.474615407
Norvaline,0.465132591
Porphobilinogen,0.459394466
N-carbomoyl-L-aspartate,0.454373322
CTP,0.436354092
Malate,0.417380276
2-Hydroxyglutarate,0.39413297
Isocitrate,0.392857196
IMP,0.390753298
N-acetyl-L-ornithine,0.342212573
Glycerol-3-phosphate,0.323686935
Glycerophosphocholine ,0.320440444
Hippuric acid,0.246180494
Deoxyguanosine,0.232511599
Arginine-Valine,0.218123272
