group,lifestage,sym_density_ind,sym_density_mm
individual,Egg (1 hpf),0,NA
individual,Embryo (5 hpf),0.24434256494715625,NA
individual,Embryo (38 hpf),-0.06822329738093784,NA
individual,Embryo (65 hpf),0.7977380699472806,NA
individual,Larvae (93 hpf),0.8292718341209716,NA
individual,Larvae (163 hpf),0.9351756575725014,NA
individual,Larvae (183 hpf),1.3603807431342636,NA
individual,Larvae (231 hpf),2.4937324629049065,NA
individual,Metamorphosed Polyp (183 hpf),2.2815038527154776,NA
individual,Metamorphosed Polyp (231 hpf),3.3650377170795602,NA
surface area,Attached Recruit (183 hpf),NA,0
surface area,Attached Recruit (231 hpf),NA,0.2513444777880757
surface area,Attached Recruit (255 hpf),NA,0.9460037088077347
