category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,bh_adjust
K22614,7.82014855095107e-7,1,13,13,0.003917112409171391
K20478,1.896322626718878e-5,0.9999979127023091,16,20,0.0474934001861743
