sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
222	WSH083	WSH083_S35_L001_R1_001.fastq.gz	9726790516cd6bd4f1520c86b7dd49fdfe932b65559c58389f7420e88de34fd9	WSH083_S35_L001_R2_001.fastq.gz	dcab75c8e05abe611874ce5e7248d58217b9a52a5de934963493f05c2d2571c2	73978	36838	796	36362	780	451	11	25	5	32705	49	0	0	2726	1122	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
220	WSH081	WSH081_S11_L001_R1_001.fastq.gz	3d4de85eb5c02262c303b8ba2eb3f6fcb71465306ddb777433ee4bf88b2b4684	WSH081_S11_L001_R2_001.fastq.gz	28a7a2bb1fc91a2cf59a964b9ff275bd0a9fa94971a808051a34f4d139c9446f	94677	47252	947	46900	937	338	8	14	2	41857	43	0	0	2746	1219	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
191	WSH052	WSH052_S43_L001_R1_001.fastq.gz	6cb7db231f290f96dfd2bde030e192c0bc174f6658619e2edfac2f1fb7a893d4	WSH052_S43_L001_R2_001.fastq.gz	2e7de24dd7672f407bd5150f0c1d3f65637d34c81d55037ac87b79b98af18dea	72686	37224	771	36752	756	381	9	91	6	33530	48	0	0	2453	838	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
214	WSH075	WSH075_S34_L001_R1_001.fastq.gz	15f00ac981fff31c5940d42b5540141fa16e616d797883f3a8de886926c33d59	WSH075_S34_L001_R2_001.fastq.gz	2163724da589de4f17645ace68af10c443205ff820fdde3e06fb4fc528ae1dd1	61817	30928	669	30441	655	470	12	17	2	27662	41	0	0	1661	767	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
217	WSH078	WSH078_S70_L001_R1_001.fastq.gz	61b06bbb449b00acba3e8a237f396f2b987d5748c7b3df6b05d846562d4825b1	WSH078_S70_L001_R2_001.fastq.gz	3fede7c8862e69eed855918fc065da4b7380069b94f2a833c96beaf11cb01b97	62312	30696	657	30083	643	595	11	18	3	27465	48	0	0	2191	875	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
215	WSH076	WSH076_S46_L001_R1_001.fastq.gz	9e10db99c071b560132f25fcd3d3fa22afa1a54a37c970b4289150b6d7d8dd30	WSH076_S46_L001_R2_001.fastq.gz	34b57700c441559e482fd448e543076794d4fa9e9d25ec84e1aa30dbc865bb14	70131	37940	839	36995	815	912	18	33	6	32939	48	0	0	2065	1060	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
208	WSH069	WSH069_S57_L001_R1_001.fastq.gz	920ab57902282226d013abe1621ca7516444d1bec5426f6d7d6edbca033a0d72	WSH069_S57_L001_R2_001.fastq.gz	03f6f410dccccc8e28c1b046c6176abf3c1774f4bdd342f36f6f79b59922a042	61358	30843	671	30438	659	395	10	10	2	27587	44	0	0	2094	850	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
216	WSH077	WSH077_S58_L001_R1_001.fastq.gz	2b922ec1e86d43c8083726db295a47718cce3a1e0ba846168aa3d9414f21ab49	WSH077_S58_L001_R2_001.fastq.gz	e6bb73d437c9b8dbc1d803eab6ad89d5e991486702832e2667b96984a5f88ac9	63145	30726	683	30302	669	412	11	12	3	27625	47	0	0	2070	815	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
210	WSH071	WSH071_S81_L001_R1_001.fastq.gz	f5f4b1073d02a9e3b242793726fe6093d2665176cb8a132efe8752c180134c7b	WSH071_S81_L001_R2_001.fastq.gz	e4c836c745b47bed9fd9ba0119f81997f4f828001bc9323747784826c134239c	72203	38481	820	37919	804	532	11	30	5	34275	47	0	0	2498	968	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
218	WSH079	WSH079_S82_L001_R1_001.fastq.gz	2948caf351a275a0b4ca1e274f343e84a49f82a6f42b2ac9604e6b3ddf0822db	WSH079_S82_L001_R2_001.fastq.gz	6d720a3797c539fd7ec4dc5280439db9720c10a298468aa77aa9ef96ad5b59ce	59764	30700	661	30217	649	467	9	16	3	27259	42	0	0	1929	696	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
199	WSH060	WSH060_S44_L001_R1_001.fastq.gz	06a49cc53ad2e022ef3f9f27057aa2d2a326a067143ce9117a56191473749904	WSH060_S44_L001_R2_001.fastq.gz	fadc4c5d5e5b7bc2d493a733a2b5ea0a545e044c64d2679941c269bd6b0d604d	129155	66721	1360	66465	1342	186	10	70	8	58846	48	0	0	3871	1908	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
212	WSH073	WSH073_S10_L001_R1_001.fastq.gz	4b047f2e05faf06b95583e2e1462dc5837575da5c391aa5486f7d8951173d4d9	WSH073_S10_L001_R2_001.fastq.gz	6f97eb3a65e91933e6e91e9368376e2743155588ee07b17b4c6e55022897daca	54144	26307	588	25796	576	501	10	10	2	23421	50	0	0	1507	662	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
188	WSH049	WSH049_S7_L001_R1_001.fastq.gz	ce87e97efb97feef2c42f64ef982af5597144d2d1aa676e30c4b4fc2c916f790	WSH049_S7_L001_R2_001.fastq.gz	4d8cee490f5702cbe4377e7c1055c9c7cc5a03373d76b52a65f94a99bb5e990a	87444	44397	915	43986	900	387	10	24	5	40139	42	0	0	2557	1233	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
213	WSH074	WSH074_S22_L001_R1_001.fastq.gz	f02b3f2daaa2101d6bff490af106d95b38d44d76c12ef52dc19606fae90073a0	WSH074_S22_L001_R2_001.fastq.gz	196ea2d00d453743e840e4ed672546a4d7958a2c7e3eae29e4c6a4f07969188e	62148	27288	674	26840	657	428	13	20	4	24076	45	0	0	1634	799	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
197	WSH058	WSH058_S20_L001_R1_001.fastq.gz	760f727b331bc797a723bcece4aa21b7a27aa495ce824a4fec78b5a80bc6679a	WSH058_S20_L001_R2_001.fastq.gz	5c327478af7514bfe3ae4066ed10c141908575bc6eb816fef27c632257a25666	57366	28834	656	28425	644	353	10	56	2	25766	48	0	0	1622	756	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
223	WSH084	WSH084_S47_L001_R1_001.fastq.gz	af1f9d1ed9091f5385ebe2e6140e6077cf52fba83bfca849b4238771bff92aaf	WSH084_S47_L001_R2_001.fastq.gz	0094cc17ab9fb9cde8e9e14ab0f2c017f6b98b1eebfd0ce3f5f6e17eba0a3c46	64138	31751	722	31317	708	418	11	16	3	28159	45	0	0	1711	836	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
219	WSH080	WSH080_S94_L001_R1_001.fastq.gz	bcc3d189a10fa8295699f3ee06ffd4a8643be4914956d1dcb768efab893c8aaa	WSH080_S94_L001_R2_001.fastq.gz	714c09f33cd77c8ebcdad443e2a92aafeae2f7f2435b3a555b45ab5a78f5c752	32237	11420	254	11265	250	155	4	0	0	10551	46	0	0	802	287	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
185	WSH046	WSH046_S66_L001_R1_001.fastq.gz	21b1e5c9b71c90179e59c2c1b779bed8ca9db1ceab94ec04a49fe76957e05ea4	WSH046_S66_L001_R2_001.fastq.gz	5097cb313223b7cd8d7d2d4bf7142af47ca75376d2ef0056cc2cb1304e318321	56640	26192	612	25820	597	345	12	27	3	23586	42	0	0	1406	643	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
221	WSH082	WSH082_S23_L001_R1_001.fastq.gz	0fe3ee77a6c921f3d5da247473586338fca32f024ce69cd9618d6ab570918150	WSH082_S23_L001_R2_001.fastq.gz	4d2e4cd9b9390545affd5e3ceb6b3172b1e2175270fe27b66300e6469b651eda	69809	34134	659	33893	650	227	6	14	3	31364	44	0	0	2138	849	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
209	WSH070	WSH070_S69_L001_R1_001.fastq.gz	e84745f1f97d727cf272a0888c2b8a3268c8e84423b1da8c774a3ac3f9273ba7	WSH070_S69_L001_R2_001.fastq.gz	59e86eb08912b91d00ae00ed24d5a7eef40b1205b16b6b83c1114a2252e35a32	54297	25701	562	25349	552	337	7	15	3	23199	48	0	0	1917	642	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
203	WSH064	WSH064_S92_L001_R1_001.fastq.gz	923a39f106bfd63aa0b66236072c0e97080d21dc46a6e6a45cbdde430d5876cc	WSH064_S92_L001_R2_001.fastq.gz	7dad6135f379b781b665786c9592a3a1bea5a6775206b9ef98f478006d6d66d7	50592	25614	573	25335	561	269	10	10	2	23212	45	0	0	1501	668	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
198	WSH059	WSH059_S32_L001_R1_001.fastq.gz	ea2ed05e57837110d73aeebc7cadbf8b828dbfd7dc07913b2e582e9ff8be1b5c	WSH059_S32_L001_R2_001.fastq.gz	6b9f33936b3ff67cbe84d6c920c5d5209518d23b8a9cf67b90fcfec36958a511	61140	30658	697	30118	683	492	11	48	3	27251	47	0	0	2109	828	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
189	WSH050	WSH050_S19_L001_R1_001.fastq.gz	6c178aed85914bf9fe4cf7ddf973bf6ef9bdc70d300f7c0f54da62ab97b32fe6	WSH050_S19_L001_R2_001.fastq.gz	c473e2355be0f6c4035573efcb929095960487b3eff876de650ddf5df26391a6	83996	42821	887	42373	875	398	9	50	3	38322	45	0	0	2639	1073	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
186	WSH047	WSH047_S78_L001_R1_001.fastq.gz	2c79208e2ca09f0b949fc84f5b9b2abe1d9da1a105ee0540f0a65f1d4a182fa9	WSH047_S78_L001_R2_001.fastq.gz	1e22c12d95ea8f660d8df9fb9ef399fd7ed9555791e864b4765f85a89818cfc4	59374	29534	647	29229	634	290	11	15	2	26560	42	0	0	1683	683	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
206	WSH067	WSH067_S33_L001_R1_001.fastq.gz	a3e35dd3160e21e8c96fc08d59628d503201534b33b71554f589557dd318df9b	WSH067_S33_L001_R2_001.fastq.gz	2a4f19f76115d4de90c520b1c47f830e5018427887abda85c74a34631aa087f6	61794	32179	739	31758	725	398	10	23	4	28385	45	0	0	2092	773	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
211	WSH072	WSH072_S93_L001_R1_001.fastq.gz	2b918dfb71c25636b84d1cd78f3f5161414fc17c3b1639a1f0007faa56a13750	WSH072_S93_L001_R2_001.fastq.gz	45f4df0a20fe170ee0be2bbad6616958d225521a9f2b38a92856cef0b39c18ed	66914	34258	744	33645	728	593	14	20	2	30530	51	0	0	2617	1061	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
190	WSH051	WSH051_S31_L001_R1_001.fastq.gz	1befb5b7624aadb2dad741a07e2c4db7fb7f3eb92c0759c396c6c143c5dc99c7	WSH051_S31_L001_R2_001.fastq.gz	f538d9f949d5fa1c8a3faca20f429ca2c5258bf10f0e631bed1cf81b27be3f58	80296	40809	844	40463	826	328	14	18	4	36655	45	0	0	2739	1127	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
204	WSH065	WSH065_S9_L001_R1_001.fastq.gz	442550f520d732f8f16abc06bd81114b90a22201f40782d5f0abc5eda506b181	WSH065_S9_L001_R2_001.fastq.gz	bc1cbf432258c2eae9ae00658b107de5dbdb03e2174aa30459048f1678ac13bd	40736	20826	532	20483	520	335	10	8	2	18660	48	0	0	1525	509	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
