gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g23056.t1,59.05626291893965,-2.284784961346334,0.22267204849134464,562.8458594362264,1.9593139615725002e-115,1.2344431126370839e-114
Montipora_capitata_HIv3___RNAseq.g22956.t1,3.198071888803451,-4.429660730016116,1.3653585430464457,47.11321637026268,3.738607056209896e-7,6.134587922754024e-7
Montipora_capitata_HIv3___RNAseq.g26739.t1,56.48654677511541,4.329124109063649,0.41273921155939813,1185.7520067050307,1.4438419466054634e-249,1.796659289957102e-248
Montipora_capitata_HIv3___RNAseq.g36841.t1,15.16827621729937,0.5529579578652157,0.47069331586075497,65.89874588672606,9.643409854090377e-11,1.7813370029943468e-10
Montipora_capitata_HIv3___RNAseq.g30231.t1,18.30407826486298,4.242259242315758,0.6797748836802576,228.76204494123255,2.9986317638826376e-44,1.0050628754608677e-43
Montipora_capitata_HIv3___RNAseq.g15942.t1,21.232474681856132,-0.8929340515023809,0.6034542399002987,50.07276773965617,1.0438252200831738e-7,1.7454899795968886e-7
Montipora_capitata_HIv3___RNAseq.g36999.t1,48.00367774708299,7.139415608513265,1.052725531213238,1156.2031788708496,3.448838044470279e-243,4.17830188851188e-242
Montipora_capitata_HIv3___RNAseq.g33488.t1,51.37499213171495,9.007432377039398,1.0737378615396964,972.868005046811,1.2202983664886121e-203,1.2248891652426812e-202
Montipora_capitata_HIv3___RNAseq.g6231.t1,5.051789224236849,6.937785815550281,1.6819902692650148,45.98346835601964,6.06479804511067e-7,9.86550800674248e-7
Montipora_capitata_HIv3___RNAseq.g32618.t1,15.73715368752465,8.654478916845282,1.0895200915104113,597.492762905258,7.229542792277365e-123,4.7396882546170407e-122
Montipora_capitata_HIv3___RNAseq.g14916.t1,8.24800929680471,4.196440924122549,1.2405279929985398,366.84276306776235,1.6064140651016226e-73,7.299163789667689e-73
Montipora_capitata_HIv3___TS.g38124.t1,11.702247849396883,0.9306467007162073,0.4991754389880834,81.30421215037441,8.89652015212062e-14,1.7835012354583238e-13
Montipora_capitata_HIv3___RNAseq.g9640.t1,48.16145144062802,3.0511767435013892,0.31295190373576803,233.14543443045858,3.578322403968029e-45,1.2117500867982642e-44
Montipora_capitata_HIv3___RNAseq.g37069.t1,23.71080103311931,-2.77195521983562,0.37728927218046127,367.5606220542182,1.1296181470894568e-73,5.1408603734856553e-73
Montipora_capitata_HIv3___TS.g21730.t1,37.07484041850298,6.796444069191928,1.0555403543702455,397.62392901461374,4.40189486856541e-80,2.106922812976677e-79
Montipora_capitata_HIv3___RNAseq.g30129.t1,10.897780732691192,5.498832606670725,0.9481912180262457,197.83995496605783,9.395733795785475e-38,2.8616207549521304e-37
Montipora_capitata_HIv3___RNAseq.g22595.t1,114.42873435157385,-2.8391154406516033,0.2699077744450877,457.5455664358557,6.985211770329896e-93,3.694851758459884e-92
