sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39
WSH046,185,-0.06054428408036216,0.03709010379089116,-0.038611241730761865,0.01061634949950455,0.010915487673222063,0.017867048605088212,0.008600837118308178,0.006234714241507033,-0.010141555061696518,0.00016032119342078663,-0.0004600872748355639,0.012153756222677599,-0.003915732311832183,0.00022608896343700134,0.003631714140572802,0.006524943013768373,0.0007278878636328877,0.00041773848845189104,0.004332453739446903,-0.0023298326418641317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH047,186,-0.06744526357008446,0.06082817916179638,-0.008547260516248373,-0.0040265199270046,-0.012468496486120835,0.0039562117670846105,0.003854290308510268,0.0074914131095094845,-0.005244249657945834,0.005164244131582586,0.0250682920622808,-0.006151885816414075,5.831807392364634e-05,0.009911831803638265,0.0019752032331954226,-0.0011678620186131561,-0.0030760546154672314,0.00029454669104161024,-0.000941860500618947,0.0001617661347257827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH048,187,0.018262156176534927,0.021155193762428127,-0.029494640399054785,-0.006746582963944644,-0.0073439351037164905,0.006661917918591864,0.022879736950796346,0.003836252347256348,-0.010165227558560629,-0.004195217372386982,-0.004440502536245915,0.01946376088622052,0.009249228924229835,0.004813774800138876,-0.00790998823149659,0.0036952527609622945,-0.002530208107541376,0.004935943970253726,-0.005222031874377121,0.00018642766677205944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH049,188,-0.06951705567258432,0.006094350928907122,-0.027222091033366164,-0.012648083426955614,0.0037321891265858333,-0.009275309785998895,-0.010358854248469126,0.016811448232095835,-0.014512638426446595,0.004894552748844109,0.0012895381502240873,0.0009045081585672986,-0.0038263628358032506,0.0017771317893314769,0.0011120130293403245,0.003927015768485038,0.0021571326396913138,-0.004553859635323653,0.0037739743710933477,0.0029518590444530435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH050,189,-0.00296913876134468,-0.015871968735513855,-0.024036896788397547,-0.001567927165295134,-0.011689948857564154,-0.019810454814588076,-0.007934332200899008,0.01424980257560037,-0.011043684976391946,-0.021655023865188642,0.0008677563852444031,0.005384096812180452,0.011227732078378296,-0.0031994405435610096,-0.00999998263963178,0.002788268304919358,-0.0004340096202506823,0.0025431312660074397,-0.0002425161580064755,0.00046293153723383465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH051,190,-0.08028660407811121,-0.008056223000315844,-0.02686244987333892,-0.00017199688905051346,-0.01267870187949753,-0.008485087986489755,-0.029409781067633308,0.0057283336398641855,0.004136080566865693,-0.007911839479439627,0.007256889923443303,-0.001279012489930264,-0.009525177826171738,0.0005773328211025369,0.0008647854008081983,-0.0011193912669749972,0.006040402546534343,-4.1677660366448855e-05,-0.0020256371812602996,-0.0015551372231997727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH052,191,-0.06688884662260752,0.023677138759649094,-0.04150627780471087,0.026824061210387964,-0.005989406224838165,0.024260486124852702,-0.01430780718585468,-0.010172878644713498,0.004290285144282143,-0.010534247751026477,0.006778259092161729,-0.0054573886395085135,-0.0020596585783143394,0.0005051616966253441,-0.004811427271324454,-0.005645924645085914,0.0008990810861592396,-0.000514338711654474,-0.001648516449685433,0.001207694988916709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH053,192,0.029821457560774922,0.015190512341395228,0.03654548052101352,-0.026510436330952653,0.007092138846998162,-0.013212052571319926,0.016733276341245988,0.025343341184464952,0.014607116072510192,-0.005448195859094769,0.011612903717625009,0.013733042289713117,-0.005071496658160469,0.0012056522852428738,-0.004332218749028583,0.0036175468300532294,0.00133245121378086,0.002836621258056256,-0.0003767230420001805,0.0011501525806664067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH054,193,0.057449632039521706,0.026966450902412568,0.03571223703510038,-0.007446560915168164,0.016276551786089038,-0.03682861177080289,0.008718778425608538,0.015124613927251064,0.005968877982456728,0.013374643715585536,0.0016997618669890228,-0.0165832426248831,-0.0045656769732455825,-0.0031213315237469327,-0.004538055098437749,-0.00263401446431982,0.0027611602126493134,0.0005437296788867785,-0.0015138320060613367,0.0001771790744057182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH055,194,0.029121309966849203,0.05731325657843198,0.0007458579660991039,0.017667392089974702,-0.048382465625564114,-0.02716485660878435,0.020473366084179677,0.0042882828334121995,0.011482209520354546,-0.01727884194303179,-0.010037398729031448,-0.0042555933259112435,0.008753632825669646,-0.00023028042003639344,0.00866939315863647,-0.0052414350375557155,-0.0027423332653016977,-0.003994659906336872,0.0005912326647998559,-0.0008681187257025788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
