Measurement Name :,0723_Run4_Juvs,,Generated On :,"23/07/2020, 21:29:29",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
23.07.20 21:07:39,6.55,238.48,217.01,235.92,216.07,208.67,189.01,227.34,312.37,239.77,195.9,274.08,227.34,224.19,311.3,223.25,267.34,253.74,192.6,268.69,200.74,215.14,354.07,208.67,211.43,,27.5,965,34,27.51,
23.07.20 21:07:54,6.8,235.28,169.07,248.83,212.98,192,208.36,205.3,326.48,229.24,193.2,307.38,219.5,204.69,297.85,222.94,283.97,264.34,208.67,259.35,219.18,208.67,305.25,226.4,208.36,,27.5,965,34,27.51,
23.07.20 21:08:09,7.05,234,200.74,242.35,236.88,206.83,212.36,208.97,282.94,264,207.13,289.14,232.09,201.34,343.88,225.14,279.86,272.73,183.08,282.25,238.16,212.36,327.58,214.52,215.45,,27.5,965,34,27.54,
23.07.20 21:08:24,7.3,270.03,214.83,244.93,233.37,200.74,208.67,212.67,340.89,273.74,189.01,293.31,218.56,198.01,331.99,218.25,295.05,271.72,223.88,275.78,213.6,222.94,306.31,237.2,225.45,,27.5,965,34,27.55,
23.07.20 21:08:39,7.55,264.34,205.6,262,250.79,227.34,202.25,214.21,306.67,272.39,200.43,312.02,219.5,176.33,326.48,224.19,274.76,277.81,204.99,272.39,202.86,199.22,288.45,220.75,197.41,,27.5,965,34,27.58,
23.07.20 21:08:54,7.8,275.78,210.2,266.34,246.23,182.79,201.34,241.06,321.75,256.71,201.65,286.72,233.05,215.76,289.14,247.53,276.11,250.79,182.2,295.75,235.6,234,342.38,214.52,213.29,,27.5,965,34,27.58,
23.07.20 21:09:09,8.05,257.7,234.96,263,235.28,234.64,224.82,230.51,334.94,252.43,212.05,309.87,236.24,210.82,323.93,257.04,308.45,281.23,219.81,295.4,235.28,215.14,332.36,216.38,215.45,,27.5,965,34,27.61,
23.07.20 21:09:25,8.32,245.91,214.83,242.67,213.9,204.08,208.05,211.13,298.55,254.73,204.99,302.77,222.62,190.8,323.93,218.25,293.65,290.18,190.8,295.05,207.44,185.75,292.96,207.75,197.41,,27.5,965,34,27.63,
23.07.20 21:09:40,8.57,244.29,209.9,248.18,220.12,192,192.6,207.44,326.85,231.14,209.59,302.07,215.45,191.4,324.66,232.09,286.72,289.49,197.11,329.05,215.14,163.6,336.79,217.01,202.25,,27.5,965,34,27.64,
23.07.20 21:09:55,8.82,277.47,237.84,266.67,234.96,186.34,223.25,244.93,320.66,242.99,212.98,295.05,227.97,204.69,336.79,212.67,305.96,274.76,220.75,296.45,223.25,226.4,303.83,222.94,228.61,,27.5,965,34,27.65,
23.07.20 21:10:10,9.07,264.34,207.44,266.34,234,224.82,209.9,233.05,315.96,275.44,215.45,302.07,229.87,226.4,326.85,227.34,303.83,291.22,196.2,301.72,235.92,204.69,311.3,215.45,227.03,,27.5,965,34,27.68,
23.07.20 21:10:25,9.32,266.67,226.71,273.4,258.69,214.21,219.18,235.28,320.3,279.18,227.97,317.05,233.69,236.24,354.07,237.84,295.4,284.66,224.19,326.85,242.99,212.67,355.21,240.09,226.4,,27.5,965,34,27.68,
23.07.20 21:10:40,9.57,264.67,231.14,278.84,221.68,205.91,188.12,235.28,318.49,267.01,204.99,290.18,222.62,212.05,325.75,208.05,290.18,284.31,221.37,322.84,210.82,214.21,334.57,205.6,216.07,,27.5,965,34,27.71,
23.07.20 21:10:55,9.82,227.66,200.43,255.06,229.87,180.14,199.52,217.94,317.05,251.78,204.99,317.77,216.69,190.21,337.54,206.52,286.03,280.54,216.07,297.5,223.25,173.42,324.66,205.6,208.97,,27.5,965,34,27.74,
23.07.20 21:11:10,10.07,256.71,222.31,267.68,239.45,208.67,207.13,238.48,320.66,273.4,220.75,292.96,236.56,204.38,326.85,216.38,305.96,292.26,225.45,303.83,230.19,211.13,315.6,229.87,228.61,,27.5,965,34,27.74,
23.07.20 21:11:25,10.32,245.58,207.13,252.1,224.82,176.91,198.92,211.13,300.31,260.34,186.34,293.31,220.12,183.67,327.58,218.87,308.09,250.79,180.43,289.14,199.52,206.52,293.31,201.95,204.69,,27.5,965,34,27.78,
23.07.20 21:11:40,10.57,284.31,230.51,292.61,229.24,229.24,204.69,227.97,337.91,282.94,225.14,297.85,236.88,216.38,366.74,221.06,312.02,286.03,202.25,288.79,214.83,186.04,310.59,239.13,212.98,,27.5,965,34,27.79,
23.07.20 21:11:55,10.82,226.71,212.98,262.67,219.18,189.01,185.15,206.83,313.81,262,211.74,315.25,202.25,195.9,345,207.44,299.96,283.28,204.08,306.31,206.83,203.17,297.5,203.47,188.42,,27.5,965,34,27.82,
23.07.20 21:12:10,11.07,237.52,180.43,273.07,232.73,189.31,179.55,222.62,300.66,259.68,198.92,302.07,211.43,204.99,351.79,207.75,291.57,275.44,201.65,302.77,214.83,167.62,319.94,219.81,203.47,,27.5,965,34,27.85,
23.07.20 21:12:25,11.32,271.72,205.6,304.54,250.79,203.77,210.51,235.28,336.79,279.52,202.56,316.32,240.41,198.31,359.8,225.14,292.61,314.17,203.47,317.05,224.19,194.1,316.68,220.12,211.74,,27.5,965,34,27.86,
23.07.20 21:12:40,11.57,247.21,209.59,279.86,206.22,186.93,187.53,231.14,302.42,271.72,197.11,301.72,230.51,196.81,375.31,220.43,306.31,297.15,195.6,309.87,214.52,207.13,329.78,221.06,221.37,,27.5,965,34,27.88,
23.07.20 21:12:55,11.82,253.09,213.9,276.11,219.81,178.67,184.56,222,330.88,279.86,198.31,316.68,217.01,209.28,348.01,224.82,315.25,304.19,224.82,317.05,216.69,174.87,294.35,205.91,218.25,,27.5,965,34,27.89,
23.07.20 21:13:10,12.07,258.36,196.81,259.02,230.82,209.59,195.3,224.82,310.94,271.04,212.05,295.4,226.4,205.6,330.15,217.01,319.94,310.59,223.25,326.85,195.3,199.83,370.23,215.14,215.14,,27.5,965,34,27.9,
23.07.20 21:13:25,12.32,237.2,217.01,268.35,223.25,194.1,203.47,241.38,334.57,253.41,192.6,325.02,222.94,227.66,362.49,206.52,313.81,309.16,210.51,329.78,201.95,212.36,329.41,213.6,196.5,,27.5,965,34,27.93,
23.07.20 21:13:40,12.57,243.32,193.2,281.57,222.94,196.2,227.66,226.08,331.25,264.34,186.64,312.73,218.56,208.67,314.53,221.68,314.53,266.34,201.95,309.87,202.56,206.52,312.37,198.01,201.95,,27.5,965,34,27.93,
23.07.20 21:13:55,12.82,254.73,197.41,288.1,214.21,194.1,208.97,213.6,310.94,263.67,201.34,333.09,206.52,185.45,342.01,200.43,301.36,284.66,197.41,293.65,181.61,187.23,316.68,204.38,208.67,,27.5,965,34,27.96,
23.07.20 21:14:10,13.07,246.23,179.85,259.68,194.4,177.21,169.64,195.3,318.85,280.54,182.49,330.52,201.95,181.61,326.48,206.83,290.18,299.25,187.23,288.45,197.71,212.36,324.66,198.62,195,,27.5,965,34,27.97,
23.07.20 21:14:25,13.32,265,214.52,277.47,226.4,200.74,193.2,223.88,337.16,314.89,203.77,352.93,220.43,190.21,307.02,218.56,315.6,296.8,211.13,340.14,219.81,217.32,331.99,234,225.45,,27.5,965,34,27.97,
23.07.20 21:14:40,13.57,252.76,215.76,282.6,219.18,200.43,194.4,218.25,326.12,256.71,191.7,286.72,220.12,191.4,343.13,211.13,313.09,331.99,218.87,331.25,208.05,204.38,355.98,212.36,218.25,,27.5,965,34,28.01,
23.07.20 21:14:55,13.82,260.34,209.59,273.07,227.97,199.22,217.32,200.74,374.92,276.79,193.8,367.12,200.43,193.2,382.8,230.82,324.66,300.66,218.25,308.09,215.76,191.4,326.12,225.14,208.67,,27.5,965,34,28.03,
23.07.20 21:15:10,14.07,270.03,215.14,270.37,214.52,214.83,203.77,212.98,326.12,287.76,212.67,321.02,214.21,212.67,366.74,211.13,303.48,309.16,214.21,309.52,206.83,214.52,334.2,210.82,204.08,,27.5,965,34,28.04,
23.07.20 21:15:25,14.32,270.03,215.45,271.72,213.9,214.52,204.38,212.98,325.39,288.1,212.36,318.85,214.52,212.36,358.27,211.43,303.83,309.87,213.9,308.09,206.22,213.9,329.41,210.51,203.47,,27.5,965,34,28.04,
23.07.20 21:15:40,14.57,270.7,215.14,273.07,214.52,213.9,204.08,212.98,323.57,289.14,212.67,314.53,214.52,212.36,348.39,211.13,303.83,309.87,213.6,305.25,206.83,213.6,321.75,210.82,204.08,,27.5,965,34,28.01,
23.07.20 21:15:55,14.82,269.69,215.14,273.07,213.29,213.9,203.77,212.67,320.66,287.41,212.67,310.23,213.9,212.05,337.91,211.13,303.13,309.87,213.29,301.36,206.52,213.29,314.89,211.43,204.38,,27.5,965,34,27.99,
23.07.20 21:16:10,15.07,269.02,215.14,273.74,214.52,214.21,204.69,212.05,318.49,286.72,212.67,306.67,215.14,212.36,327.95,211.74,303.83,309.87,213.9,298.9,207.13,212.98,307.38,212.36,205.6,,27.5,965,34,27.97,
23.07.20 21:16:25,15.32,269.02,216.38,275.44,214.21,215.45,204.99,213.29,315.6,286.03,213.29,302.42,215.14,212.98,319.21,212.05,303.48,309.87,214.21,295.75,207.75,213.9,301.01,213.6,205.3,,27.5,965,34,27.94,
23.07.20 21:16:40,15.57,268.02,215.45,275.44,214.52,214.52,204.99,213.9,313.45,285.34,212.98,298.55,215.45,212.36,309.52,211.43,302.07,309.87,214.52,290.87,207.44,214.21,294.7,213.29,205.91,,27.5,965,34,27.93,
23.07.20 21:16:55,15.82,267.01,215.76,276.45,214.21,215.14,205.6,213.9,310.23,284.31,213.6,295.05,215.14,212.67,301.72,212.05,301.36,308.45,214.83,286.38,208.36,214.52,288.1,213.29,205.6,,27.5,965,34,27.9,
23.07.20 21:17:10,16.07,266.67,215.45,275.44,214.52,214.52,205.3,212.98,306.67,282.94,213.29,289.14,215.14,212.98,292.96,211.43,298.9,307.02,214.21,281.23,207.13,214.52,281.57,212.36,205.91,,27.5,965,34,27.9,
23.07.20 21:17:25,16.32,265.67,215.76,275.44,214.83,214.52,204.99,213.29,303.83,281.91,212.98,285.34,214.83,212.36,285.69,211.13,298.2,305.25,214.52,277.13,207.75,213.9,276.11,212.67,206.22,,27.5,965,34,27.89,
23.07.20 21:17:40,16.57,265,215.14,275.44,214.21,214.21,204.99,212.05,300.66,280.88,212.36,282.25,213.9,212.05,279.18,211.43,295.4,304.19,213.29,271.38,206.52,214.21,270.03,211.74,205.6,,27.5,965,34,27.86,
23.07.20 21:17:56,16.83,264.34,215.14,275.44,213.9,214.21,204.69,212.05,298.9,280.54,212.67,278.84,214.21,212.67,273.4,210.82,294.35,302.07,213.29,267.34,206.83,213.9,266.01,212.36,205.6,,27.5,965,34,27.86,
23.07.20 21:18:11,17.08,263.34,215.45,275.44,213.9,213.9,205.3,212.67,296.1,279.52,212.67,275.78,214.83,212.67,268.02,211.13,293.31,300.66,213.29,264,207.75,213.29,261.34,212.67,206.22,,27.5,965,34,27.85,
23.07.20 21:18:26,17.33,263.67,214.52,274.76,214.52,214.52,205.6,212.67,293.65,278.15,213.29,274.08,214.52,212.36,264,211.13,291.92,299.6,213.9,259.68,206.52,214.21,257.04,212.05,205.91,,27.5,965,34,27.85,
23.07.20 21:18:41,17.58,262,215.14,274.76,213.9,214.52,204.38,212.36,291.57,277.13,212.36,270.7,213.9,212.05,260.01,211.13,290.53,298.2,213.29,255.39,206.52,213.29,253.41,212.67,205.3,,27.5,965,34,27.83,
23.07.20 21:18:56,17.83,261.67,214.52,274.08,213.6,213.9,204.99,212.36,289.49,276.45,212.36,269.02,213.6,211.43,256.05,210.82,289.83,296.45,213.29,253.09,206.22,212.98,250.14,212.36,204.99,,27.5,965,34,27.82,
23.07.20 21:19:11,18.08,261.01,214.52,274.08,214.83,213.6,204.69,212.36,287.76,275.78,211.74,266.67,214.21,212.36,252.43,211.74,289.14,295.4,213.6,249.81,206.52,213.9,246.56,211.74,205.91,,27.5,965,34,27.82,
23.07.20 21:19:26,18.33,260.34,215.14,274.08,214.52,213.9,204.69,212.67,286.38,275.78,212.36,265.34,214.52,212.67,249.49,211.13,287.07,294.35,212.98,247.21,206.52,213.29,243.96,212.05,205.6,,27.5,965,34,27.8,
23.07.20 21:19:41,18.58,259.68,214.83,273.4,213.9,213.6,204.38,212.36,284.31,274.08,211.74,263,213.9,211.74,246.88,210.2,286.03,292.61,212.67,244.29,205.6,213.9,241.38,211.74,205.3,,27.5,965,34,27.79,
23.07.20 21:19:56,18.83,259.68,214.52,273.07,214.21,213.6,204.69,212.67,282.94,273.4,212.67,261.34,213.9,212.05,244.61,210.51,285,291.22,213.29,242.67,205.91,213.29,238.48,211.74,205.6,,27.5,965,34,27.76,
23.07.20 21:20:11,19.08,258.69,214.52,272.05,213.29,213.6,204.08,211.74,281.57,272.39,211.43,260.01,212.98,212.05,242.02,210.82,283.97,289.83,212.67,240.41,205.91,213.29,236.56,211.43,205.3,,27.5,965,34,27.76,
23.07.20 21:20:26,19.33,258.03,214.52,272.39,213.29,214.52,204.69,212.05,279.86,272.73,211.74,258.03,213.9,212.05,240.09,210.82,282.94,288.79,212.98,239.13,206.22,213.29,234.32,211.13,205.91,,27.5,965,34,27.76,
23.07.20 21:20:41,19.58,257.04,214.52,272.39,213.29,213.29,204.38,212.05,278.84,271.38,211.43,256.71,213.6,212.05,237.84,210.82,281.91,287.41,213.29,236.88,206.22,213.6,232.41,211.43,205.3,,27.5,965,34,27.75,
23.07.20 21:20:56,19.83,256.71,214.52,271.38,213.6,213.9,204.38,212.36,276.79,270.7,212.05,255.06,213.6,212.36,236.56,210.51,280.88,286.38,212.67,235.6,205.6,212.36,230.51,212.05,205.6,,27.5,965,34,27.74,
23.07.20 21:21:11,20.08,256.05,214.21,270.7,213.29,213.9,203.77,212.36,276.11,270.03,211.74,254.4,213.29,211.74,233.69,210.82,279.18,284.66,213.29,234.32,205.6,212.98,228.92,211.43,205.6,,27.5,965,34,27.72,
23.07.20 21:21:26,20.33,255.39,214.21,270.03,213.29,212.98,204.08,211.43,275.1,269.69,211.43,253.09,212.67,211.74,232.73,210.51,278.15,283.63,212.05,233.37,206.22,212.98,227.03,211.74,204.69,,27.5,965,34,27.72,
23.07.20 21:21:41,20.58,254.4,213.9,269.69,213.9,213.9,203.77,211.74,273.07,268.69,211.13,251.78,213.29,211.43,231.14,210.51,277.13,283.28,212.67,232.09,206.22,212.36,225.45,211.13,204.99,,27.5,965,34,27.71,
23.07.20 21:21:57,20.85,254.4,213.9,269.02,212.98,213.6,204.08,212.36,272.39,268.69,211.13,251.12,212.98,211.74,229.55,210.2,276.45,281.91,212.67,231.14,206.22,213.29,224.19,211.43,204.99,,27.5,965,34,27.69,
23.07.20 21:22:12,21.1,253.74,213.9,268.69,213.29,213.6,204.08,211.74,271.38,268.35,211.43,249.81,212.98,211.74,228.29,210.2,275.78,281.23,212.67,229.87,205.91,212.98,223.56,211.13,205.6,,27.5,965,34,27.69,
23.07.20 21:22:27,21.35,252.43,214.21,268.69,213.6,213.29,204.08,211.74,270.37,267.01,211.43,248.18,212.98,212.05,227.34,210.2,274.42,279.86,212.67,229.87,205.91,212.36,222.62,211.43,205.3,,27.5,965,34,27.68,
23.07.20 21:22:42,21.6,252.76,214.83,267.68,213.29,212.98,204.38,212.05,269.36,267.34,211.13,247.86,213.29,212.05,226.4,209.59,273.74,279.18,212.05,228.61,205.6,213.29,221.68,211.43,204.99,,27.5,965,34,27.68,
23.07.20 21:22:57,21.85,251.45,213.9,267.01,213.29,213.6,204.08,211.43,267.68,266.34,211.43,247.21,212.67,211.74,225.45,210.2,272.73,277.81,212.05,227.66,205.6,212.67,220.12,211.43,205.3,,27.5,965,34,27.65,
23.07.20 21:23:12,22.1,251.78,214.21,266.34,213.29,213.29,203.77,211.13,267.34,266.34,211.43,245.91,212.67,211.74,224.19,210.2,271.38,277.13,212.05,227.34,205.6,212.98,219.5,211.13,204.38,,27.5,965,34,27.66,
23.07.20 21:23:27,22.35,250.47,213.6,266.34,212.67,212.67,204.08,211.74,266.34,265.67,211.74,244.93,212.98,211.74,223.56,210.51,270.37,276.45,212.05,226.71,205.6,212.05,218.56,211.13,204.69,,27.5,965,34,27.65,
23.07.20 21:23:42,22.6,249.16,213.9,265.67,212.98,212.36,203.77,211.43,265.67,265,210.82,244.29,212.05,211.43,222.62,209.59,269.69,274.76,212.05,226.08,205.3,212.36,217.32,210.82,204.99,,27.5,965,34,27.65,
23.07.20 21:23:57,22.85,249.16,213.9,265.67,213.29,213.6,203.77,211.13,265,264,211.43,243.64,212.98,211.13,221.06,209.59,268.35,274.42,212.05,225.76,205.6,212.98,217.32,211.13,205.3,,27.5,965,34,27.63,
23.07.20 21:24:12,23.1,249.16,213.9,265.34,212.98,212.98,203.77,211.43,264.67,264.67,211.13,243.64,213.29,211.43,220.75,209.9,268.35,273.4,212.36,226.08,205.3,212.98,217.01,211.43,204.99,,27.5,965,34,27.61,
23.07.20 21:24:27,23.35,248.18,213.9,264.34,213.29,212.67,203.47,211.43,263,264,210.51,242.67,212.98,211.13,219.81,209.9,266.34,272.39,212.05,225.45,205.6,212.67,216.38,211.13,204.99,,27.5,965,34,27.61,
23.07.20 21:24:42,23.6,247.86,213.6,264,212.98,213.6,203.47,211.74,262.34,263.67,211.43,241.7,212.36,211.43,219.5,209.59,265.67,272.05,212.67,224.82,205.6,213.29,216.07,210.82,204.99,,27.5,965,34,27.6,
23.07.20 21:24:57,23.85,247.21,214.52,263,212.67,213.29,203.47,211.74,261.67,263,211.13,240.73,212.67,210.82,218.87,210.2,265.67,271.38,212.05,224.82,205.91,211.74,215.45,211.43,204.69,,27.5,965,34,27.6,
23.07.20 21:25:12,24.1,246.88,213.6,263.34,212.05,213.29,203.77,210.82,261.01,263,211.13,240.41,212.98,211.13,217.94,209.9,264.34,270.7,211.74,224.19,205.91,212.98,215.45,211.13,204.99,,27.5,965,34,27.6,
23.07.20 21:25:27,24.35,246.23,213.29,262,212.67,212.67,203.17,210.82,260.34,262.67,211.13,239.77,212.36,211.43,217.63,209.59,263.34,270.03,211.74,223.25,205.6,212.36,214.83,211.13,204.69,,27.5,965,34,27.58,
23.07.20 21:25:42,24.6,245.58,214.21,262,212.98,212.67,203.17,210.51,259.35,262.34,211.13,239.77,213.29,210.82,216.07,209.59,262.34,269.02,212.36,222.94,205.6,212.67,213.6,210.82,204.69,,27.5,965,34,27.58,
