Measurement Name :,0723_Run3_Juvs,,Generated On :,"23/07/2020, 20:09:58",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
23.07.20 19:42:02,4.03,232.3,224.57,222.01,226.49,203.12,199.71,227.78,236.85,230.03,219.46,260.08,216.28,197.86,219.46,215.02,223.93,276.46,215.97,239.14,215.34,213.44,226.49,223.29,232.62,,26.5,965,34,26.65,
23.07.20 19:42:17,4.28,208.73,226.81,215.65,222.65,197.55,210.92,232.62,239.47,222.65,216.92,236.2,233.6,190.81,208.42,223.93,229.07,266.52,202.19,251.69,210.92,195.09,219.46,221.69,257.72,,26.5,965,34,26.68,
23.07.20 19:42:32,4.53,232.95,195.4,215.02,221.69,192.64,202.19,228.1,255.03,223.29,215.65,256.71,225.53,199.09,197.24,209.04,217.24,244.73,202.19,266.86,217.24,204.67,215.02,229.39,259.74,,26.5,965,34,26.69,
23.07.20 19:42:47,4.78,217.55,218.5,204.67,222.65,202.5,217.55,226.17,248.03,237.5,210.92,245.06,215.34,199.71,220.41,224.89,201.88,256.04,202.5,250.69,213.13,204.36,217.24,222.97,235.22,,26.5,965,34,26.72,
23.07.20 19:43:02,5.03,217.24,194.78,197.86,215.34,187.46,196.32,203.43,236.2,219.14,174.54,214.07,209.67,188.68,203.12,206.54,190.81,221.05,196.63,236.53,208.42,156.92,182.93,188.98,227.78,,26.5,965,34,26.74,
23.07.20 19:43:17,5.28,241.11,230.36,220.09,249.36,196.63,204.98,220.41,252.69,226.81,206.23,250.03,228.74,206.85,213.13,233.27,210.3,246.38,210.92,250.36,235.22,180.82,231,215.97,255.37,,26.5,965,34,26.76,
23.07.20 19:43:32,5.53,217.55,209.36,207.79,212.18,202.19,203.43,209.04,219.78,203.74,191.11,238.16,202.19,203.74,204.98,216.28,201.88,259.06,192.03,243.08,204.36,196.94,207.79,215.34,232.3,,26.5,965,34,26.78,
23.07.20 19:43:56,5.93,232.3,222.01,208.73,231.65,215.02,216.6,219.14,260.41,238.81,219.46,249.03,218.82,200.64,203.74,225.21,212.81,243.41,186.55,224.89,227.46,229.39,213.44,232.3,245.06,,26.5,965,34,26.79,
23.07.20 19:44:11,6.18,217.24,197.24,219.78,225.53,207.48,217.55,228.42,248.7,225.21,226.81,251.03,215.02,200.95,215.97,214.39,209.04,272.33,201.88,266.52,227.78,215.34,213.13,210.92,256.37,,26.5,965,34,26.82,
23.07.20 19:44:26,6.43,224.89,227.78,218.19,220.41,206.23,193.25,219.14,231.33,222.97,207.17,235.22,225.21,202.5,216.28,215.97,239.47,228.42,198.78,222.01,228.42,212.18,244.4,219.78,246.71,,26.5,965,34,26.85,
23.07.20 19:44:41,6.68,241.11,222.33,216.28,240.12,204.05,217.55,222.33,262.1,249.03,223.61,245.39,236.2,198.78,221.69,245.06,211.55,252.69,217.87,273.71,213.76,195.09,195.71,208.73,260.08,,26.5,965,34,26.86,
23.07.20 19:44:56,6.93,231.65,217.55,225.85,235.55,216.6,215.02,213.76,242.75,254.03,210.3,249.03,219.78,191.11,197.86,218.19,222.97,243.41,229.39,241.11,226.81,206.23,214.7,221.05,255.03,,26.5,965,34,26.88,
23.07.20 19:45:11,7.18,242.09,203.74,213.76,230.68,216.28,204.67,210.3,247.7,218.19,200.64,245.39,218.5,205.92,227.46,225.85,215.65,249.69,182.02,266.86,222.97,194.17,237.5,216.28,240.45,,26.5,965,34,26.9,
23.07.20 19:45:26,7.43,223.29,210.61,228.1,227.46,205.92,202.19,220.09,266.18,232.62,202.19,262.44,222.97,186.25,201.26,214.7,196.94,271.3,201.26,235.22,219.78,215.65,230.03,222.65,255.7,,26.5,965,34,26.91,
23.07.20 19:45:41,7.68,246.38,214.39,213.76,241.11,209.04,215.02,219.46,221.37,220.73,202.19,251.03,228.42,183.83,214.07,207.79,204.98,232.62,176.63,252.03,214.39,220.41,256.04,201.88,239.14,,26.5,965,34,26.93,
23.07.20 19:45:56,7.93,223.93,208.73,200.02,234.9,214.7,224.89,211.55,264.82,231,213.13,260.08,242.75,174.54,192.95,218.5,229.39,260.08,208.42,269.93,242.75,221.05,226.49,241.76,267.54,,26.5,965,34,26.94,
23.07.20 19:46:11,8.18,220.73,208.73,213.76,222.65,196.32,200.02,222.01,254.36,236.53,221.69,235.22,208.1,181.12,215.97,217.24,209.67,255.7,181.12,258.73,198.17,203.12,207.17,200.64,261.09,,26.5,965,34,26.97,
23.07.20 19:46:26,8.43,220.41,188.98,202.81,218.19,184.44,172.46,195.4,225.53,213.13,186.25,230.36,213.76,210.3,197.55,207.79,212.5,252.03,181.72,234.57,197.86,206.54,202.81,197.55,278.19,,26.5,965,34,26.97,
23.07.20 19:46:41,8.68,219.78,222.33,206.54,237.83,218.19,207.17,228.42,271.3,246.38,216.92,247.7,244.4,222.01,232.3,209.67,236.85,239.14,222.33,260.75,219.78,222.97,258.73,237.5,255.7,,26.5,965,34,27.01,
23.07.20 19:46:56,8.93,228.74,227.46,219.14,230.36,203.74,208.42,231.33,247.37,235.22,201.88,261.09,232.3,186.25,231,240.78,211.24,267.2,196.32,252.69,217.24,227.46,212.5,238.81,269.93,,26.5,965,34,27.03,
23.07.20 19:47:11,9.18,238.16,217.87,212.18,230.03,208.1,207.17,211.24,266.18,230.68,227.46,252.36,212.18,184.44,235.22,210.92,203.74,247.7,223.61,258.39,220.41,199.4,231.33,217.24,261.09,,26.5,965,34,27.04,
23.07.20 19:47:26,9.43,216.6,204.05,212.18,239.47,192.95,218.19,216.28,244.07,213.44,222.01,256.37,215.97,203.74,204.98,231.65,214.7,249.69,197.55,264.48,204.98,171.28,231.65,214.07,251.69,,26.5,965,34,27.04,
23.07.20 19:47:41,9.68,237.5,227.46,217.87,224.25,210.3,211.87,213.44,258.39,253.03,209.98,248.37,229.71,203.74,214.39,225.21,246.38,259.4,207.17,246.71,215.34,202.19,215.34,209.36,265.16,,26.5,965,34,27.08,
23.07.20 19:47:56,9.93,251.69,240.12,234.57,251.03,209.98,229.39,221.69,241.11,239.79,210.3,258.39,233.27,199.4,237.18,234.57,222.01,278.19,219.78,282.01,214.07,207.48,228.42,217.55,285.16,,26.5,965,34,27.08,
23.07.20 19:48:11,10.18,232.62,220.41,225.85,238.16,223.29,224.57,235.55,255.7,258.05,215.65,287.26,231.65,223.61,229.07,215.02,204.98,257.72,206.23,289.01,235.55,201.88,228.42,264.82,261.43,,26.5,965,34,27.11,
23.07.20 19:48:26,10.43,219.78,215.65,210.61,231.98,194.78,187.16,220.09,248.37,219.78,191.72,241.76,222.65,202.19,233.92,222.01,219.78,278.89,177.52,258.05,236.2,204.36,216.28,223.61,264.14,,26.5,965,34,27.11,
23.07.20 19:48:41,10.68,255.7,205.92,219.78,240.45,203.74,220.41,232.3,262.78,224.25,208.42,252.03,238.81,194.48,217.24,220.09,242.09,266.86,214.07,245.39,228.42,201.57,237.18,235.22,239.47,,26.5,965,34,27.14,
23.07.20 19:48:56,10.93,237.5,230.03,223.29,243.08,230.03,219.46,224.25,276.46,252.69,214.07,269.93,229.71,206.23,223.61,244.4,215.97,244.73,199.4,267.2,228.42,232.95,211.24,229.39,282.01,,26.5,965,34,27.16,
23.07.20 19:49:11,11.18,221.37,225.85,215.65,226.49,201.57,213.44,219.46,238.16,238.16,198.17,264.48,226.17,222.65,230.68,205.92,202.81,243.08,207.79,254.7,223.61,210.92,214.7,234.9,243.41,,26.5,965,34,27.18,
23.07.20 19:49:26,11.43,254.7,229.71,222.97,239.79,192.95,209.36,199.4,261.43,247.7,189.89,257.38,229.07,217.87,221.69,224.89,200.64,261.43,197.24,244.73,220.09,213.76,198.78,215.97,266.18,,26.5,965,34,27.21,
23.07.20 19:49:41,11.68,217.87,224.89,236.2,245.39,203.43,212.5,219.14,260.08,228.42,203.74,273.36,220.73,211.87,231.65,246.38,209.98,257.05,209.36,271.99,219.46,228.74,240.45,223.93,273.36,,26.5,965,34,27.22,
23.07.20 19:49:57,11.95,224.89,230.36,215.02,243.41,214.7,206.54,229.07,252.36,234.9,199.4,271.99,231.98,205.61,247.04,225.85,240.12,262.78,219.46,280.97,222.97,191.42,247.7,231,264.14,,26.5,965,34,27.22,
23.07.20 19:50:12,12.2,239.47,195.71,216.28,221.37,182.63,205.29,197.24,251.36,230.68,209.36,270.62,221.69,192.34,200.95,207.17,228.42,254.36,209.04,259.4,198.17,197.24,231.33,239.47,264.14,,26.5,965,34,27.25,
23.07.20 19:50:27,12.45,213.13,210.92,215.34,207.17,198.48,215.65,217.24,240.78,200.33,200.02,258.39,215.02,215.34,223.93,202.81,209.67,254.7,176.63,262.1,199.09,194.17,218.5,215.34,283.76,,26.5,965,34,27.26,
23.07.20 19:50:42,12.7,226.81,224.57,237.5,242.09,212.5,200.64,211.24,260.75,260.41,227.78,269.93,216.92,211.87,212.81,237.83,213.13,268.22,206.85,247.7,239.79,190.2,214.07,242.75,257.72,,26.5,965,34,27.29,
23.07.20 19:50:58,12.97,248.03,220.73,209.67,238.49,213.13,204.67,236.85,272.67,244.73,215.34,248.7,235.55,222.33,240.12,203.43,234.25,253.36,215.97,266.52,231.65,210.61,239.14,236.53,277.16,,26.5,965,34,27.29,
23.07.20 19:51:13,13.22,212.18,226.49,225.21,231.65,199.09,203.74,233.27,267.88,215.65,202.81,257.05,224.25,220.09,228.74,231.33,211.24,282.36,190.5,250.69,226.49,215.65,244.07,210.61,288.66,,26.5,965,34,27.32,
23.07.20 19:51:28,13.47,231,203.12,212.81,248.03,204.36,218.5,211.24,268.91,243.74,211.55,246.38,231.98,175.73,211.55,226.81,216.92,262.78,206.54,257.38,199.71,193.25,239.47,222.97,259.4,,26.5,965,34,27.35,
23.07.20 19:51:43,13.72,224.57,237.5,231.33,235.87,194.78,203.12,223.93,264.82,218.82,202.5,276.46,196.63,216.6,229.71,215.34,215.97,263.12,195.71,276.12,213.44,212.18,222.01,239.47,269.93,,26.5,965,34,27.36,
23.07.20 19:51:58,13.97,200.33,205.92,207.79,207.79,200.64,197.86,229.39,242.42,231.98,206.85,251.69,207.79,193.87,230.03,206.85,219.46,249.36,222.01,275.08,213.44,191.72,230.36,219.14,273.71,,26.5,965,34,27.39,
23.07.20 19:52:13,14.22,231.98,217.87,208.42,215.34,212.81,212.5,213.13,248.03,242.75,215.65,257.05,210.61,216.92,235.22,210.61,209.67,278.89,215.02,264.48,210.61,217.55,245.06,215.65,266.86,,26.5,965,34,27.4,
23.07.20 19:52:28,14.47,231.98,218.5,207.48,215.34,213.13,211.55,213.13,248.37,243.41,215.65,256.71,210.92,216.92,235.87,211.55,209.98,277.85,215.65,265.16,211.87,217.55,245.72,215.65,268.22,,26.5,965,34,27.39,
23.07.20 19:52:43,14.72,232.62,217.87,206.85,215.65,213.44,212.5,213.76,248.7,244.4,215.97,256.71,211.24,217.24,236.2,211.87,210.3,276.12,215.97,265.16,211.55,218.19,246.38,216.6,268.22,,26.5,965,34,27.38,
23.07.20 19:52:58,14.97,231.98,218.19,206.54,215.97,213.44,212.18,213.13,248.37,244.73,215.65,255.7,210.92,217.55,235.87,211.87,209.98,274.74,215.97,264.82,212.18,218.19,246.38,217.55,268.22,,26.5,965,34,27.35,
23.07.20 19:53:13,15.22,231.98,218.5,206.23,216.28,213.44,212.81,214.07,248.7,245.06,215.97,254.36,210.61,217.87,236.53,212.18,210.92,272.67,215.97,265.16,212.81,219.78,246.38,217.24,267.54,,26.5,965,34,27.33,
23.07.20 19:53:28,15.47,231.65,218.19,205.61,216.28,213.44,212.5,213.76,249.03,245.06,215.97,253.36,211.24,217.87,236.85,212.18,211.24,270.27,215.97,264.48,211.87,218.82,246.71,216.6,267.2,,26.5,965,34,27.32,
23.07.20 19:53:43,15.72,231,218.82,205.29,216.28,214.39,213.76,213.76,248.37,245.72,216.28,252.69,212.18,218.5,237.18,212.81,210.92,269.25,216.28,264.48,212.81,218.5,247.04,217.24,266.52,,26.5,965,34,27.29,
23.07.20 19:53:58,15.97,230.68,218.82,204.67,216.92,213.76,213.44,214.7,249.69,245.72,216.6,252.36,212.5,218.5,237.83,213.44,211.87,267.54,217.24,264.14,213.44,218.82,246.05,218.19,266.86,,26.5,965,34,27.28,
23.07.20 19:54:13,16.22,235.87,223.93,209.36,221.37,220.73,220.41,221.69,255.7,252.36,223.93,259.74,219.14,225.21,246.05,220.41,219.78,272.33,223.93,271.3,220.09,224.89,254.36,225.21,273.36,,26.5,965,34,27.28,
23.07.20 19:54:28,16.47,235.22,224.25,209.36,221.69,220.73,220.09,221.37,255.7,251.36,223.29,258.39,219.46,224.89,244.73,219.78,219.78,269.93,224.25,269.93,220.09,224.57,253.36,224.89,271.3,,26.5,965,34,27.26,
23.07.20 19:54:43,16.72,235.22,223.61,208.73,221.05,220.41,219.46,221.37,255.03,251.69,223.29,257.72,219.46,225.21,245.06,219.78,219.46,268.56,224.57,269.93,219.78,224.57,253.36,224.57,270.96,,26.5,965,34,27.26,
23.07.20 19:54:58,16.97,234.9,224.25,207.79,221.37,220.41,219.78,221.05,254.36,250.69,223.61,256.37,219.78,225.85,245.06,220.09,220.09,266.86,223.93,268.22,220.41,225.21,252.36,225.21,268.91,,26.5,965,34,27.25,
23.07.20 19:55:13,17.22,234.25,224.57,207.48,221.37,221.05,219.78,221.69,255.03,251.36,224.25,256.71,220.41,225.21,245.72,221.69,219.78,264.82,224.25,269.25,220.73,225.21,253.69,225.21,267.54,,26.5,965,34,27.22,
23.07.20 19:55:28,17.47,234.57,224.57,207.48,222.01,221.05,220.41,222.33,255.37,250.36,224.57,255.03,220.41,225.53,245.72,220.73,220.41,264.48,224.57,268.91,220.73,226.17,253.36,226.17,266.18,,26.5,965,34,27.24,
23.07.20 19:55:43,17.72,233.6,224.57,206.85,222.01,221.37,220.41,222.01,254.7,249.36,224.25,253.69,220.73,225.85,245.72,221.37,220.41,263.12,224.57,266.86,220.73,225.53,252.03,226.17,264.82,,26.5,965,34,27.22,
23.07.20 19:55:58,17.97,233.27,224.89,206.54,222.33,221.37,219.46,221.37,254.7,249.36,224.57,252.69,221.05,225.85,246.05,221.37,221.05,261.43,224.89,267.2,221.05,225.85,252.03,226.17,263.8,,26.5,965,34,27.22,
23.07.20 19:56:14,18.23,232.95,224.89,205.92,222.01,221.05,220.09,222.01,254.03,248.7,224.57,252.36,220.09,225.53,245.39,222.01,220.73,261.09,224.25,265.84,221.37,225.21,252.03,225.85,262.1,,26.5,965,34,27.21,
23.07.20 19:56:29,18.48,232.62,224.57,205.61,222.01,221.69,220.09,221.37,254.03,248.03,224.89,251.69,220.73,225.85,245.72,220.73,220.73,260.08,224.57,265.84,221.05,224.89,252.36,225.21,261.09,,26.5,965,34,27.19,
23.07.20 19:56:44,18.73,232.95,224.57,205.61,222.65,221.69,220.09,222.65,254.7,247.04,224.57,250.69,220.73,226.17,246.05,220.73,220.73,259.06,225.53,264.82,221.05,225.85,251.69,225.85,261.43,,26.5,965,34,27.18,
23.07.20 19:56:59,18.98,231.98,224.89,204.98,221.69,221.05,220.09,221.37,253.69,247.04,224.25,249.36,219.78,226.17,244.73,221.05,219.78,258.39,224.89,264.14,221.05,225.53,250.69,225.85,260.08,,26.5,965,34,27.18,
23.07.20 19:57:14,19.23,231.98,225.21,204.67,221.37,221.69,220.41,222.01,253.69,245.72,224.89,249.03,220.41,225.85,245.72,221.37,220.41,256.71,225.21,263.12,220.41,225.53,251.69,225.53,258.73,,26.5,965,34,27.18,
23.07.20 19:57:29,19.48,231.65,224.25,204.36,222.33,221.69,220.73,222.33,253.03,245.06,224.57,249.03,220.73,226.17,245.39,222.01,220.73,256.71,224.89,262.44,221.37,224.89,250.69,225.85,258.39,,26.5,965,34,27.18,
23.07.20 19:57:44,19.73,231.33,225.21,204.36,222.33,220.73,220.09,222.33,253.36,244.73,224.25,247.7,221.05,226.17,245.06,221.69,220.41,255.7,224.89,261.77,220.41,225.21,250.69,225.85,257.38,,26.5,965,34,27.16,
23.07.20 19:57:59,19.98,231,224.57,204.36,221.37,220.73,220.09,222.65,252.69,243.74,224.25,247.04,221.05,226.17,245.06,221.37,221.37,256.04,225.21,261.43,221.37,226.17,250.69,226.17,256.04,,26.5,965,34,27.15,
23.07.20 19:58:14,20.23,231,224.89,203.74,222.65,221.37,220.09,222.01,252.36,243.08,225.21,246.38,221.05,226.17,244.4,222.33,221.69,255.03,225.21,261.09,221.69,225.85,250.69,226.17,254.7,,26.5,965,34,27.15,
23.07.20 19:58:29,20.48,231,224.25,203.43,222.65,221.37,220.41,222.65,252.36,242.09,224.57,245.72,221.05,226.17,243.74,221.69,221.05,254.7,225.53,259.4,221.05,225.85,250.03,226.17,254.7,,26.5,965,34,27.15,
23.07.20 19:58:44,20.73,230.68,224.89,204.05,222.01,221.37,219.78,222.33,252.03,241.43,225.21,245.39,221.05,225.85,244.07,221.69,220.73,253.69,225.53,259.4,221.69,225.21,249.69,226.49,253.03,,26.5,965,34,27.15,
23.07.20 19:58:59,20.98,230.36,224.89,203.12,222.65,221.05,220.41,221.37,251.69,240.45,224.25,244.4,221.37,226.17,244.07,221.05,221.37,253.03,224.89,258.05,222.01,225.21,249.36,226.17,251.03,,26.5,965,34,27.14,
23.07.20 19:59:14,21.23,230.36,224.89,203.74,222.33,221.05,219.14,222.33,251.03,239.47,223.93,244.73,220.73,225.53,243.74,221.69,220.73,252.69,224.89,258.05,221.05,225.53,249.03,226.17,250.36,,26.5,965,34,27.14,
23.07.20 19:59:29,21.48,230.03,224.89,203.12,222.01,221.37,220.09,222.01,251.03,239.14,224.57,244.07,221.69,225.53,243.74,221.69,221.37,252.69,224.89,257.38,221.37,226.17,249.69,225.53,249.36,,26.5,965,34,27.11,
23.07.20 19:59:44,21.73,230.36,224.57,203.12,222.33,221.37,220.09,222.97,251.03,238.81,224.89,243.74,221.05,227.13,243.08,222.01,221.05,252.69,225.53,257.38,221.69,225.53,248.7,226.81,248.37,,26.5,965,34,27.11,
23.07.20 19:59:59,21.98,229.39,223.61,203.12,221.69,221.69,219.78,221.69,250.69,236.85,225.21,243.08,221.05,225.85,242.75,221.69,221.05,251.36,225.21,256.04,221.05,225.21,248.37,225.85,247.7,,26.5,965,34,27.13,
23.07.20 20:00:14,22.23,229.39,224.89,203.12,221.69,221.05,219.78,222.01,250.03,236.85,224.89,242.09,220.41,226.17,243.08,221.05,220.73,250.69,224.89,255.03,221.05,224.89,247.37,225.85,246.71,,26.5,965,34,27.11,
23.07.20 20:00:29,22.48,229.07,224.25,202.19,222.33,221.37,219.78,222.01,250.36,235.55,224.57,241.43,221.37,226.49,242.09,222.01,221.05,250.69,225.53,254.7,221.37,225.21,247.7,225.53,245.39,,26.5,965,34,27.11,
23.07.20 20:00:44,22.73,229.71,224.89,202.81,221.69,221.05,220.41,222.65,250.03,236.53,224.25,240.78,220.73,226.17,242.75,222.01,221.69,249.69,224.25,254.36,221.69,225.85,247.37,225.85,244.73,,26.5,965,34,27.1,
23.07.20 20:00:59,22.98,228.74,223.93,202.5,222.01,221.37,220.09,222.33,249.69,235.87,224.25,240.45,221.05,226.17,242.09,221.69,221.37,249.69,224.89,253.03,221.05,225.21,246.71,226.49,244.07,,26.5,965,34,27.1,
23.07.20 20:01:14,23.23,228.74,224.25,202.5,221.69,221.37,220.09,222.65,249.03,235.22,224.57,239.47,220.41,225.21,242.09,222.01,221.05,249.69,225.85,253.36,221.05,225.21,246.38,226.17,243.08,,26.5,965,34,27.1,
23.07.20 20:01:30,23.5,228.74,224.57,202.5,222.33,221.37,219.78,222.97,249.36,234.57,224.89,239.79,221.05,226.49,241.43,221.69,222.01,249.03,225.85,252.69,222.01,225.85,247.04,225.85,242.42,,26.5,965,34,27.08,
23.07.20 20:01:45,23.75,228.1,225.21,201.26,222.33,221.37,220.09,222.01,248.37,234.25,224.25,239.14,221.37,226.17,241.43,221.69,221.37,248.37,224.57,252.36,221.05,225.85,246.71,226.17,241.76,,26.5,965,34,27.08,
23.07.20 20:02:00,24,227.13,223.93,201.26,221.37,220.73,219.14,222.01,248.37,233.6,224.57,238.16,220.41,225.21,240.45,221.05,221.05,247.7,224.89,251.03,220.41,224.89,246.05,225.85,241.43,,26.5,965,34,27.08,
23.07.20 20:02:15,24.25,227.78,223.61,201.88,221.69,221.05,219.78,221.37,248.37,233.27,224.89,237.5,220.73,225.85,240.45,221.37,221.37,247.04,224.57,250.69,221.69,225.21,245.39,225.53,239.47,,26.5,965,34,27.08,
23.07.20 20:02:30,24.5,227.46,224.25,201.26,221.69,220.73,219.14,222.33,248.03,232.95,224.25,237.18,221.05,225.85,240.12,221.69,221.37,246.38,225.21,250.69,220.73,225.21,244.73,225.85,239.79,,26.5,965,34,27.08,
23.07.20 20:02:45,24.75,227.46,223.93,200.95,222.33,220.73,220.09,222.01,247.7,233.27,224.57,237.18,220.73,226.17,239.79,221.37,221.05,246.05,225.21,249.69,221.69,224.57,245.39,226.17,239.79,,26.5,965,34,27.08,
