Measurement Name :,0724_Run2,,Generated On :,"24/07/2020, 20:53:53",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"24/07/2020, 20:21:30",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"24/07/2020, 20:53:30",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
24.07.20 20:21:32,0.03,193.7,212.38,218.82,224.72,184.85,190.15,212.38,216.67,194,208.72,236.02,218.52,199.07,209.63,204.78,211.15,204.48,199.37,218.21,209.33,190.15,205.69,227.84,220.99,,28,965,34,28.85,
24.07.20 20:21:47,0.28,213.6,202.97,204.18,229.09,184.27,202.07,213.91,205.99,205.38,201.16,224.09,220.06,200.26,200.56,208.41,222.54,223.78,214.82,222.85,217.59,197.57,198.17,210.85,211.76,,28,965,34,28.82,
24.07.20 20:22:02,0.53,208.72,194.59,227.21,225.65,209.02,180.76,227.84,210.54,191.03,227.21,195.78,224.09,193.1,180.18,223.47,208.11,204.78,216.67,220.37,212.07,194.29,202.97,226.59,205.69,,28,965,34,28.8,
24.07.20 20:22:17,0.78,226.27,234.76,213.91,230.03,200.56,213.91,212.07,225.96,221.3,181.35,202.97,223.47,197.87,210.54,227.84,220.68,208.11,225.96,238.56,197.87,189.26,193.7,222.23,208.41,,28,965,34,28.78,
24.07.20 20:22:32,1.03,204.78,214.21,226.59,221.61,219.44,182.22,222.54,220.06,185.44,209.33,227.52,218.82,217.59,200.56,222.23,229.72,194.89,194.59,231.29,208.41,191.92,197.87,207.81,208.72,,28,965,34,28.76,
24.07.20 20:22:47,1.28,184.85,209.63,210.85,231.92,185.73,186.02,199.66,205.08,194.89,214.82,185.73,212.68,188.96,195.78,191.33,210.85,213.29,205.08,221.3,198.47,168.08,177.86,219.75,194.29,,28,965,34,28.79,
24.07.20 20:23:02,1.53,209.93,223.16,202.07,228.15,209.33,209.33,208.41,212.99,208.41,198.77,224.09,224.72,225.03,183.1,209.33,201.47,196.67,196.38,212.68,208.11,199.96,181.64,229.72,209.02,,28,965,34,28.78,
24.07.20 20:23:17,1.78,214.82,223.78,256.95,246.24,214.52,199.96,227.21,213.29,222.54,221.92,223.78,225.03,210.24,222.85,224.72,212.68,217.9,211.15,222.23,218.82,196.08,177.28,218.52,214.82,,28,965,34,28.78,
24.07.20 20:23:32,2.03,199.66,197.57,219.44,228.78,193.7,181.35,213.6,236.02,201.16,188.96,210.24,203.27,187.2,160.42,222.23,222.23,192.22,213.6,221.3,214.52,201.77,189.85,212.99,201.47,,28,965,34,28.78,
24.07.20 20:23:47,2.28,193.7,195.78,207.2,216.67,199.37,202.37,218.21,206.59,202.67,195.78,193.1,218.52,225.65,192.22,205.08,218.52,198.47,195.78,209.02,187.79,186.9,205.38,208.11,206.29,,28,965,34,28.79,
24.07.20 20:24:02,2.53,205.38,205.99,199.07,220.68,212.07,191.62,220.06,229.72,191.92,201.77,212.07,229.4,191.62,183.97,190.44,219.13,206.29,186.02,220.06,205.08,185.73,193.4,216.98,209.02,,28,965,34,28.78,
24.07.20 20:24:17,2.78,205.38,216.05,215.44,231.29,188.96,186.02,216.67,245.6,200.56,207.81,218.21,210.24,212.99,194.59,227.84,224.72,224.09,209.33,238.56,205.69,185.73,173.53,220.99,203.87,,28,965,34,28.79,
24.07.20 20:24:32,3.03,212.68,208.41,236.34,215.13,202.67,199.96,208.11,223.16,198.77,184.27,214.21,222.23,215.75,203.87,236.34,218.82,194.89,202.67,214.52,210.24,191.33,204.18,230.35,199.37,,28,965,34,28.82,
24.07.20 20:24:47,3.28,211.46,228.15,236.02,240.16,221.3,195.78,221.92,221.3,197.57,192.22,223.47,228.46,205.08,191.62,216.98,219.13,212.07,229.09,233.81,217.59,219.75,185.73,226.59,214.52,,28,965,34,28.82,
24.07.20 20:25:02,3.53,229.4,225.34,241.11,237.29,215.44,223.16,230.66,226.59,233.49,207.5,222.85,223.47,213.29,229.4,254.66,238.88,198.47,205.38,243.03,224.4,237.61,224.09,242.71,239.2,,28,965,34,28.82,
24.07.20 20:25:17,3.78,214.21,219.44,222.85,232.86,193.7,193.7,235.71,221.61,217.9,202.37,212.38,200.26,216.98,201.47,225.34,198.17,182.51,194.29,212.68,211.46,206.29,185.73,214.21,213.29,,28,965,34,28.83,
24.07.20 20:25:32,4.03,216.05,228.46,219.13,236.02,207.2,181.64,217.9,211.76,227.84,216.98,224.4,221.3,188.38,207.5,227.21,208.41,190.15,192.51,227.84,226.27,196.08,198.17,220.68,203.27,,28,965,34,28.83,
24.07.20 20:25:47,4.28,206.29,214.82,216.36,247.21,206.9,208.41,222.54,205.08,196.97,206.29,212.38,208.11,237.61,209.63,213.29,220.68,237.61,212.68,217.9,209.02,217.59,209.93,216.67,207.81,,28,965,34,28.86,
24.07.20 20:26:02,4.53,202.67,208.72,199.66,213.29,202.37,191.92,215.13,205.99,198.17,214.82,230.35,215.13,205.69,203.27,215.44,214.52,194,192.51,218.82,213.29,160.71,183.1,223.16,225.96,,28,965,34,28.86,
24.07.20 20:26:17,4.78,198.47,213.29,206.59,225.34,213.91,178.73,217.28,222.23,206.9,200.86,209.33,207.2,187.49,176.41,220.99,245.92,197.27,191.03,202.97,214.82,227.21,195.48,212.99,216.98,,28,965,34,28.88,
24.07.20 20:26:32,5.03,207.5,227.84,244.64,232.55,207.5,209.33,243.99,241.43,225.65,217.59,241.75,226.9,219.75,220.99,232.55,237.29,204.48,198.47,235.39,235.07,247.53,219.75,226.9,214.52,,28,965,34,28.88,
24.07.20 20:26:47,5.28,203.87,208.72,222.54,223.16,173.53,179.31,205.99,218.52,205.38,211.76,239.84,210.54,182.8,172.67,240.48,231.6,215.44,185.44,225.34,224.4,205.38,199.07,220.68,205.69,,28,965,34,28.89,
24.07.20 20:27:03,5.55,235.71,243.35,254.66,265.18,217.59,253.36,247.85,241.43,251.09,243.35,264.85,240.79,247.21,228.46,238.56,248.18,216.05,210.24,237.61,230.66,230.66,240.16,247.53,228.78,,28,965,34,28.9,
