Measurement Name :,0724_Run2,,Generated On :,"24/07/2020, 20:53:53",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
24.07.20 20:27:18,5.8,225.03,215.75,225.65,224.4,209.93,196.38,218.21,234.76,201.16,209.63,226.59,227.52,226.27,190.44,216.05,228.15,213.91,200.56,214.52,210.54,213.29,195.18,215.13,216.36,,28,965,34,28.91,
24.07.20 20:27:33,6.05,231.6,209.93,212.38,230.97,198.47,209.93,236.98,233.81,216.98,197.27,220.37,229.4,214.21,205.38,213.6,228.78,203.57,205.69,225.03,224.72,211.15,212.07,232.23,213.91,,28,965,34,28.93,
24.07.20 20:27:48,6.3,237.29,214.52,224.4,243.99,225.96,190.44,233.81,242.39,204.78,197.57,245.6,241.43,212.99,199.37,227.84,218.52,224.4,231.92,253.04,221.61,227.21,208.72,221.3,238.56,,28,965,34,28.93,
24.07.20 20:28:03,6.55,231.6,225.65,225.34,230.97,173.24,196.97,217.9,210.24,201.16,187.49,227.84,212.68,210.24,200.56,216.36,221.92,196.97,198.17,225.34,210.85,204.18,198.17,202.97,215.44,,28,965,34,28.94,
24.07.20 20:28:18,6.8,225.03,229.09,216.05,243.99,214.21,220.37,246.24,250.44,233.81,211.76,249.79,243.03,206.29,215.44,236.98,246.57,235.71,208.41,218.52,241.43,234.44,208.72,232.23,218.52,,28,965,34,28.96,
24.07.20 20:28:33,7.05,230.35,209.02,208.11,220.06,186.02,211.15,225.03,233.81,221.61,208.72,236.02,207.2,185.73,197.87,220.68,214.21,200.86,185.14,201.77,227.84,196.97,187.79,223.16,218.82,,28,965,34,28.97,
24.07.20 20:28:48,7.3,223.47,227.84,240.16,236.98,220.68,205.99,241.43,237.93,240.16,235.07,265.84,216.67,225.34,199.37,205.08,231.92,197.27,209.63,274.18,243.35,226.9,215.75,244.32,227.21,,28,965,34,28.97,
24.07.20 20:29:03,7.55,215.75,214.21,229.4,228.15,194.29,186.32,222.54,221.92,229.72,193.7,214.21,235.07,210.54,197.87,197.57,203.27,198.47,196.67,218.21,225.96,225.34,188.67,230.03,216.36,,28,965,34,28.99,
24.07.20 20:29:18,7.8,195.48,209.02,204.78,223.47,185.14,201.77,208.41,212.38,207.5,190.44,220.37,203.87,177.57,188.67,220.99,218.52,217.59,204.48,256.95,216.36,222.23,174.97,208.41,198.77,,28,965,34,29,
24.07.20 20:29:33,8.05,212.38,212.38,240.79,244.64,193.4,206.9,245.28,251.09,215.75,227.84,231.92,218.52,208.11,207.81,244.64,227.84,240.79,208.41,215.75,249.15,197.27,215.75,231.6,214.52,,28,965,34,29.03,
24.07.20 20:29:48,8.3,219.44,233.81,240.48,220.99,188.96,197.87,222.23,242.71,217.9,197.57,225.96,212.99,210.85,180.76,205.08,234.44,232.55,216.05,209.63,217.59,203.57,187.79,221.61,208.11,,28,965,34,29.03,
24.07.20 20:30:03,8.55,219.75,219.44,237.93,234.44,184.85,206.29,233.18,226.59,214.21,197.27,239.84,207.81,199.37,225.65,238.88,213.29,223.16,203.57,243.67,217.28,195.18,177.28,221.61,218.82,,28,965,34,29.04,
24.07.20 20:30:18,8.8,229.09,217.59,217.59,222.54,238.56,208.41,212.68,223.78,213.29,194.89,235.71,214.52,209.63,201.77,218.21,231.6,211.76,219.75,222.54,236.66,203.87,210.24,208.11,214.21,,28,965,34,29.04,
24.07.20 20:30:33,9.05,218.82,211.76,214.21,224.4,205.38,199.96,215.75,221.92,222.54,199.66,232.55,205.69,215.13,206.9,224.4,232.86,202.07,207.2,226.59,198.77,221.61,178.73,222.85,218.52,,28,965,34,29.07,
24.07.20 20:30:48,9.3,219.75,221.92,240.16,227.84,223.47,216.05,230.66,242.39,238.56,188.38,267.5,225.03,221.61,209.63,225.03,225.96,212.68,197.57,217.9,233.81,225.34,223.78,236.98,230.03,,28,965,34,29.08,
24.07.20 20:31:03,9.55,233.81,220.37,219.13,217.59,191.92,201.47,228.15,244.96,225.65,202.67,243.67,233.49,214.82,210.85,225.96,240.16,208.72,213.91,242.71,209.93,201.77,185.73,236.02,235.71,,28,965,34,29.08,
24.07.20 20:31:18,9.8,212.38,233.81,221.92,224.72,216.67,205.08,219.75,222.85,218.21,224.4,237.29,217.9,194.29,198.47,237.93,227.52,209.93,207.2,234.13,195.48,187.79,215.75,207.2,214.21,,28,965,34,29.11,
24.07.20 20:31:33,10.05,230.66,204.78,236.66,231.6,206.59,214.52,223.78,227.21,238.88,225.65,223.16,244.32,232.55,192.81,234.13,254.66,231.6,212.99,248.5,228.78,214.21,210.54,215.13,232.23,,28,965,34,29.11,
24.07.20 20:31:48,10.3,270.5,230.35,215.44,250.44,209.33,216.36,234.76,233.18,225.65,208.11,232.55,219.44,219.13,219.13,233.49,240.79,220.06,222.23,255.32,225.03,199.07,196.67,223.78,246.89,,28,965,34,29.14,
24.07.20 20:32:03,10.55,213.6,196.67,215.44,230.97,171.8,200.56,206.29,257.93,220.06,180.18,229.09,223.78,191.92,204.48,214.82,232.55,219.13,193.7,218.52,199.66,220.68,192.22,225.34,225.34,,28,965,34,29.15,
24.07.20 20:32:18,10.8,237.61,225.03,235.07,226.9,232.55,211.15,236.98,248.5,236.02,190.74,258.26,212.99,224.09,212.99,218.82,241.75,227.52,215.44,268.5,240.16,214.82,230.97,257.28,228.46,,28,965,34,29.15,
24.07.20 20:32:33,11.05,225.65,192.81,207.81,241.11,221.61,209.02,204.18,226.59,198.17,206.59,233.18,217.9,219.75,178.15,191.62,235.71,204.78,209.02,223.78,219.13,187.49,200.86,220.68,217.9,,28,965,34,29.18,
24.07.20 20:32:48,11.3,181.64,207.81,215.44,238.56,217.59,211.15,216.36,236.66,230.03,202.07,235.71,228.78,205.38,214.21,213.29,255.97,231.6,195.18,227.84,222.85,201.47,193.1,222.54,236.66,,28,965,34,29.18,
24.07.20 20:33:03,11.55,227.52,241.11,234.76,229.09,206.9,235.71,230.97,237.29,251.41,244.96,247.53,211.76,202.97,189.55,239.84,245.92,230.03,222.54,230.66,232.55,230.35,205.38,237.29,245.28,,28,965,34,29.21,
24.07.20 20:33:18,11.8,228.46,238.25,251.41,248.82,220.68,205.69,236.34,234.44,219.44,233.49,265.18,246.89,244.32,212.07,247.21,262.53,232.23,216.36,261.22,228.46,217.28,200.86,243.67,223.47,,28,965,34,29.22,
24.07.20 20:33:33,12.05,221.61,225.03,228.46,237.29,193.1,200.56,220.99,238.88,219.75,204.48,246.89,240.16,225.65,178.73,222.54,255.97,195.78,213.91,254.99,216.05,211.46,212.38,220.68,236.02,,28,965,34,29.22,
24.07.20 20:33:48,12.3,201.16,186.61,214.52,215.75,214.82,201.77,228.46,223.47,191.62,209.93,237.29,218.82,220.99,214.52,209.02,216.36,223.16,211.15,227.21,216.05,183.68,202.67,218.82,228.46,,28,965,34,29.24,
24.07.20 20:34:03,12.55,220.68,219.75,233.18,228.46,203.57,183.68,228.15,224.4,237.29,215.13,236.98,226.9,212.68,214.52,214.82,236.02,200.56,212.99,226.27,213.91,203.27,185.14,210.85,214.21,,28,965,34,29.26,
24.07.20 20:34:18,12.8,228.78,213.29,224.09,244.64,209.33,212.38,227.21,259.9,246.24,220.06,229.09,227.52,196.97,209.63,251.09,228.78,233.49,216.05,246.89,225.65,217.9,188.38,214.21,224.09,,28,965,34,29.26,
24.07.20 20:34:33,13.05,240.79,221.61,210.54,226.9,216.36,192.22,234.13,236.34,234.13,204.48,229.09,222.85,206.29,199.96,234.44,236.34,210.24,213.29,241.11,218.82,244.32,221.3,221.92,221.92,,28,965,34,29.28,
24.07.20 20:34:48,13.3,223.78,208.72,223.47,236.66,199.66,209.02,213.91,232.86,250.44,211.46,237.61,216.67,224.4,210.54,201.47,237.29,193.7,183.39,240.79,226.59,214.52,176.99,215.75,216.05,,28,965,34,29.29,
24.07.20 20:35:03,13.55,241.11,240.16,221.61,236.02,209.02,210.54,240.48,259.24,245.28,219.75,238.56,246.24,210.54,172.67,235.39,235.39,242.71,221.3,241.11,212.99,222.54,213.91,241.75,219.75,,28,965,34,29.29,
24.07.20 20:35:18,13.8,202.07,218.52,246.24,250.12,203.57,206.9,240.48,247.85,229.72,211.76,254.66,219.75,205.08,216.36,220.68,219.13,196.38,211.46,227.52,223.78,181.35,215.75,227.21,232.55,,28,965,34,29.32,
24.07.20 20:35:33,14.05,248.5,223.78,243.99,251.09,201.16,210.54,238.88,255.32,248.5,238.88,237.61,247.85,215.44,222.23,246.24,294.29,238.25,203.87,244.96,236.98,213.6,223.47,271.83,210.24,,28,965,34,29.32,
24.07.20 20:35:49,14.32,214.21,246.57,256.95,253.36,225.96,226.59,249.15,259.57,279.91,206.9,272.84,245.6,225.65,221.3,245.28,264.52,249.15,238.56,278.56,246.24,247.21,212.68,253.36,265.18,,28,965,34,29.33,
24.07.20 20:36:04,14.57,230.97,216.67,213.91,215.44,215.13,211.46,214.82,228.46,237.29,215.44,230.03,214.82,213.6,212.38,213.29,231.6,228.78,216.05,228.46,207.81,217.28,210.54,216.36,215.75,,28,965,34,29.35,
24.07.20 20:36:20,14.83,230.03,216.98,213.91,215.13,215.75,211.15,214.82,228.46,236.98,214.82,230.03,214.52,213.29,212.07,212.68,231.92,227.84,215.44,228.46,207.81,217.28,211.15,216.36,215.44,,28,965,34,29.33,
24.07.20 20:36:35,15.08,230.97,217.59,214.21,216.05,215.44,210.85,215.44,229.09,236.98,214.82,230.66,215.44,213.6,211.76,212.99,231.6,228.46,216.36,228.78,207.81,217.59,210.85,216.98,216.05,,28,965,34,29.28,
24.07.20 20:36:50,15.33,230.97,217.9,214.21,216.05,216.05,212.38,215.44,229.72,236.98,216.05,230.97,215.13,214.21,212.68,213.6,232.23,228.78,216.36,229.09,208.11,217.9,211.46,216.67,215.44,,28,965,34,29.26,
24.07.20 20:37:06,15.6,231.29,217.59,213.91,216.05,216.05,211.76,215.13,229.4,235.71,215.75,230.03,215.44,214.52,212.07,213.6,231.92,229.09,216.05,229.09,208.11,217.28,211.15,216.36,215.44,,28,965,34,29.22,
24.07.20 20:37:21,15.85,230.35,216.98,213.91,215.44,215.75,211.46,216.36,228.78,236.02,215.75,230.97,214.82,214.21,212.38,213.6,231.92,229.72,216.05,228.46,208.11,217.28,211.15,216.98,216.36,,28,965,34,29.19,
24.07.20 20:37:36,16.1,230.66,217.28,214.21,215.44,215.75,212.07,215.44,229.09,235.71,215.44,230.97,214.82,214.82,212.07,213.29,231.92,229.09,216.36,228.78,208.11,217.9,210.24,216.67,215.75,,28,965,34,29.18,
24.07.20 20:37:51,16.35,230.03,217.28,214.52,216.05,215.44,212.38,215.44,228.15,235.07,215.44,230.35,215.75,213.6,211.76,213.6,232.23,229.09,216.05,229.09,208.11,217.59,210.24,216.98,216.05,,28,965,34,29.15,
24.07.20 20:38:06,16.6,230.03,217.59,213.91,216.36,216.05,211.76,215.75,229.09,236.34,215.75,230.66,215.44,214.82,212.68,213.91,231.92,229.72,216.36,228.46,208.41,217.9,210.85,216.98,216.98,,28,965,34,29.14,
24.07.20 20:38:21,16.85,230.03,217.28,213.6,216.05,215.75,211.15,215.44,228.15,235.71,215.13,229.72,215.75,213.91,212.68,213.6,231.6,228.46,216.36,228.46,208.72,217.59,210.85,216.98,215.44,,28,965,34,29.11,
24.07.20 20:38:36,17.1,229.09,216.98,213.29,214.82,215.44,211.46,214.82,228.15,234.76,215.13,230.03,215.44,213.6,212.38,212.99,230.66,228.15,216.05,227.21,208.41,217.9,209.63,216.67,215.75,,28,965,34,29.1,
24.07.20 20:38:51,17.35,229.09,217.28,213.91,214.82,215.44,211.46,214.82,227.52,235.07,215.13,229.4,215.44,213.91,212.07,213.91,230.66,228.15,216.05,227.52,208.11,217.28,209.93,215.75,215.44,,28,965,34,29.07,
24.07.20 20:39:06,17.6,229.09,216.67,214.52,216.05,215.75,211.15,214.82,228.15,234.76,215.13,229.4,215.75,213.91,212.07,213.6,230.35,227.84,216.36,227.52,208.41,218.21,209.93,217.28,215.13,,28,965,34,29.04,
24.07.20 20:39:21,17.85,227.84,217.9,214.52,214.82,215.75,210.85,215.13,227.52,234.44,214.82,228.46,215.44,213.91,212.38,213.29,229.72,227.84,216.36,226.9,208.41,217.59,209.33,216.98,215.13,,28,965,34,29.03,
24.07.20 20:39:36,18.1,227.52,216.98,213.29,215.13,214.82,211.15,215.44,225.96,233.49,214.82,228.78,215.13,214.52,211.46,213.29,229.4,227.52,216.05,227.21,208.11,217.9,209.33,216.67,215.13,,28,965,34,29.01,
24.07.20 20:39:51,18.35,227.21,217.59,213.6,215.44,215.13,211.46,215.13,225.96,233.18,214.82,228.15,215.44,214.21,212.68,213.29,229.09,227.21,216.36,226.9,208.41,217.59,208.41,216.36,215.13,,28,965,34,29.01,
24.07.20 20:40:06,18.6,227.52,217.59,213.91,215.13,215.75,211.46,215.13,225.96,233.18,215.75,228.15,215.75,214.82,211.76,213.29,228.46,226.9,216.36,226.9,208.41,217.9,209.02,216.98,214.82,,28,965,34,28.99,
24.07.20 20:40:21,18.85,225.96,217.59,213.6,215.44,215.75,210.54,214.82,225.96,233.18,215.44,227.84,215.13,213.91,211.76,212.99,227.21,225.96,216.05,226.59,208.72,217.28,209.02,216.36,214.52,,28,965,34,28.97,
24.07.20 20:40:36,19.1,226.27,217.28,213.6,215.44,216.05,209.63,214.82,225.34,232.23,214.52,227.21,214.82,213.91,211.46,213.29,226.9,225.96,215.44,225.65,207.81,217.28,208.72,216.36,214.21,,28,965,34,28.97,
24.07.20 20:40:51,19.35,226.27,216.98,213.29,214.82,215.44,209.93,214.52,225.34,231.6,214.52,225.96,215.13,213.6,211.46,212.68,225.96,225.65,215.44,225.34,208.11,216.67,207.81,216.05,214.21,,28,965,34,28.93,
24.07.20 20:41:06,19.6,225.65,217.28,213.29,215.13,214.82,210.24,214.82,224.09,231.29,214.52,225.03,215.13,213.6,211.15,212.68,226.27,225.34,215.75,224.72,207.81,216.98,208.11,216.36,213.29,,28,965,34,28.93,
24.07.20 20:41:21,19.85,225.65,217.28,213.29,214.82,214.21,210.24,214.82,224.09,230.35,214.21,224.09,214.82,213.6,211.46,212.99,226.27,225.03,215.75,224.4,207.5,216.36,207.5,216.36,214.21,,28,965,34,28.9,
24.07.20 20:41:36,20.1,225.65,216.98,213.91,215.13,215.13,209.93,214.52,224.4,230.03,214.52,224.09,214.82,213.6,211.76,213.29,224.72,224.72,215.75,224.4,208.41,216.98,208.11,216.36,212.99,,28,965,34,28.9,
24.07.20 20:41:51,20.35,224.4,216.67,213.29,214.52,215.13,209.93,214.52,223.16,229.09,215.13,223.78,214.52,213.91,210.85,212.99,224.09,223.78,215.75,224.09,208.41,216.67,208.11,215.75,212.68,,28,965,34,28.88,
24.07.20 20:42:06,20.6,224.4,216.67,212.99,214.82,214.52,209.63,214.21,223.47,228.78,214.52,223.16,215.13,214.21,211.46,212.68,224.72,223.78,215.75,224.09,208.41,217.28,207.81,215.75,212.68,,28,965,34,28.88,
24.07.20 20:42:21,20.85,223.78,216.36,212.99,214.82,214.52,209.63,213.91,223.16,228.46,214.21,222.85,214.82,213.6,211.15,212.68,223.16,222.85,215.75,223.47,208.11,216.36,207.2,215.75,211.76,,28,965,34,28.86,
24.07.20 20:42:36,21.1,222.85,216.36,212.99,214.52,214.52,208.41,214.21,222.85,227.84,213.29,222.54,213.91,214.21,211.15,212.38,223.16,222.54,215.44,222.85,208.11,216.36,207.2,216.36,211.76,,28,965,34,28.85,
24.07.20 20:42:51,21.35,223.16,216.67,213.29,214.82,213.91,209.33,214.52,222.85,228.46,213.91,221.61,214.52,214.21,210.85,212.68,223.16,222.85,215.44,222.23,208.41,216.36,207.2,215.75,212.38,,28,965,34,28.82,
24.07.20 20:43:06,21.6,222.85,217.28,212.99,214.82,214.52,209.33,214.21,221.61,227.21,214.21,221.61,214.82,213.6,211.76,212.99,224.4,223.16,215.13,222.23,208.41,216.67,207.81,216.98,211.46,,28,965,34,28.79,
24.07.20 20:43:21,21.85,221.61,216.05,212.07,213.91,214.52,208.72,214.21,220.99,226.27,213.91,221.92,214.52,213.29,210.54,212.68,222.85,221.92,214.82,221.61,208.41,215.13,205.99,215.75,211.46,,28,965,34,28.79,
24.07.20 20:43:36,22.1,221.61,216.05,212.68,214.82,214.21,208.72,213.91,220.99,226.59,213.91,221.92,214.21,213.6,210.85,213.29,221.3,221.61,215.44,221.3,208.72,216.67,206.59,215.44,211.46,,28,965,34,28.78,
24.07.20 20:43:51,22.35,221.61,216.36,212.68,214.52,214.21,208.41,213.91,220.68,226.27,213.29,220.37,214.52,213.29,210.54,212.68,221.3,220.99,214.82,220.06,208.41,216.36,205.38,215.44,211.15,,28,965,34,28.76,
24.07.20 20:44:06,22.6,221.3,216.67,212.38,214.21,213.91,208.72,213.6,221.3,226.59,213.91,219.13,213.91,213.29,210.24,212.68,220.68,221.3,214.82,219.75,208.11,216.36,205.38,215.75,210.54,,28,965,34,28.76,
24.07.20 20:44:21,22.85,220.37,216.36,212.38,213.6,213.91,208.41,213.29,220.99,226.59,213.29,218.82,214.21,212.68,209.93,212.38,220.37,220.68,214.52,219.13,208.41,215.75,205.38,215.44,210.85,,28,965,34,28.74,
24.07.20 20:44:36,23.1,220.68,216.36,212.38,214.52,214.52,207.81,214.52,220.06,226.59,213.6,219.13,214.21,213.29,210.85,212.07,220.37,220.68,215.13,218.82,208.11,216.05,205.38,216.05,210.85,,28,965,34,28.72,
24.07.20 20:44:51,23.35,219.75,216.36,212.38,214.52,214.21,207.5,213.91,219.75,226.59,212.99,218.21,214.52,212.38,210.54,212.38,220.37,220.37,215.44,218.82,208.41,216.36,205.08,215.44,210.54,,28,965,34,28.72,
24.07.20 20:45:06,23.6,218.82,215.75,211.46,213.6,213.6,207.5,213.29,218.82,225.65,213.29,217.28,213.6,212.68,210.24,211.76,219.13,219.44,214.82,217.9,207.81,215.75,204.78,215.75,210.24,,28,965,34,28.69,
24.07.20 20:45:21,23.85,219.44,216.05,211.76,214.21,213.29,207.81,213.29,218.21,224.72,213.6,216.67,213.91,212.38,209.93,211.76,219.13,218.82,214.82,217.9,207.2,215.44,205.08,215.13,209.93,,28,965,34,28.68,
24.07.20 20:45:36,24.1,219.44,216.36,211.76,213.91,213.91,207.81,213.6,218.52,224.09,212.99,217.28,213.91,212.38,209.63,211.46,218.82,219.13,214.52,217.28,207.5,215.44,204.78,215.13,209.93,,28,965,34,28.68,
24.07.20 20:45:51,24.35,219.44,216.05,211.46,213.91,212.99,207.5,212.99,219.13,224.09,212.99,217.28,213.91,212.38,210.24,211.15,218.52,218.82,214.52,217.59,207.81,215.44,203.87,215.75,209.33,,28,965,34,28.65,
24.07.20 20:46:06,24.6,218.52,216.05,211.46,213.91,212.68,206.59,212.99,218.52,223.78,212.68,216.05,212.99,212.68,209.02,211.46,217.9,218.21,214.21,216.05,207.2,215.44,203.27,215.13,207.81,,28,965,34,28.65,
24.07.20 20:46:21,24.85,219.13,215.44,211.15,213.6,213.6,206.59,212.68,219.44,224.09,212.99,216.36,213.6,212.38,208.72,210.85,217.28,217.9,214.21,215.13,207.2,215.75,203.57,215.44,208.11,,28,965,34,28.65,
