GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0009404,3.5157675068543076e-6,0.9999998348910505,7,13,toxin metabolic process,BP,0.017477568663680665
GO:0005576,2.0319741385399148e-9,1,66,537,extracellular region,CC,3.8264105002845135e-5
GO:0005615,3.712509938650239e-6,0.99999865555776,34,250,extracellular space,CC,0.017477568663680665
GO:0044421,1.3599800102959827e-7,0.999999962938547,45,339,NA,NA,0.0012804891786941826
