Culture:,en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20,11:30:16 AM,1.325E+17,00:02:45,46.81,50.3,50.19,49.06,47.22,50.87,47.86,43.39,51.81,47.91,47.19,54.3,49.19,49.5,45.01,51.83,51.29,42.44,55.07,49.28,52.53,43.52,50.73,53.99,35017,41164,43564,56425,60035,50607,39241,41639,43660,47957,51841,58454,36455,40337,32504,53657,56776,47701,32096,38192,44962,45435,49904,52238,0.2288,0.1176,0.1208,0.1549,0.2147,0.1012,0.1933,0.36,0.075,0.1916,0.2157,0.0107,0.1509,0.1414,0.2947,0.0745,0.0893,0.4014,-0.0078,0.1481,0.0557,0.3545,0.1052,0.0184
11/16/20,11:30:31 AM,1.325E+17,00:03:00,49.27,45.2,47.71,49.25,49.39,52.82,46.21,50.47,47.77,50.52,50.87,50.24,47.25,56.92,37.78,44.54,47.91,54.13,46.24,46.05,45.62,46.95,47.24,44.82,35910,41493,40510,53816,56480,52922,32688,40461,39852,48703,54879,58039,39448,36929,37010,54767,49806,44526,31600,35533,50796,45268,48244,54605,0.1484,0.2874,0.1982,0.1491,0.1448,0.0481,0.2501,0.1127,0.1963,0.1112,0.1012,0.1194,0.2137,-0.0501,0.6461,0.313,0.1916,0.0149,0.249,0.2559,0.2716,0.224,0.214,0.302
11/16/20,11:30:46 AM,1.325E+17,00:03:15,46.79,53.38,53.49,45.18,51.51,49.95,45.32,45.01,48.57,49.36,53.99,48.09,48.95,49.29,46.72,47.93,49.75,49.7,52.32,49.24,48.9,48.06,48.23,45.39,35544,40292,44474,57480,54731,57496,35297,39866,41096,46880,48976,60790,37729,41045,37009,50991,51386,51209,32478,36601,44921,43505,47367,55422,0.2295,0.0337,0.0309,0.2882,0.0832,0.1279,0.2829,0.2947,0.1703,0.1457,0.0184,0.1857,0.1583,0.1478,0.232,0.191,0.1339,0.1354,0.0613,0.1494,0.1599,0.1867,0.1812,0.2802
11/16/20,11:31:01 AM,1.325E+17,00:03:30,45.46,50.09,48.54,49.05,47.55,48.84,42.91,47.5,47.89,52.57,54.09,49.78,49.52,47.45,45.07,45.68,50.61,49.06,48.69,46.19,46.19,47.65,46.32,47.69,35123,40790,45017,56313,52904,59387,33865,37581,38627,50160,47464,56685,37294,43303,38938,50330,51061,49531,31908,36898,44229,43715,47683,48478,0.2776,0.1238,0.1713,0.1552,0.2036,0.1618,0.3806,0.2053,0.1923,0.0547,0.0159,0.133,0.1408,0.2069,0.2924,0.2694,0.1086,0.1549,0.1665,0.2508,0.2508,0.2002,0.2461,0.1989
11/16/20,11:31:16 AM,1.325E+17,00:03:45,49.25,52.92,50.87,50.73,51.62,51.94,50.14,48.46,50.26,52.37,51.8,51.72,50,49.88,47.99,50,49.31,49.7,49.68,49.6,48.67,48.34,49.6,47.59,34383,40769,43685,53394,52355,58732,34378,39135,39543,49395,51834,60770,38518,39615,34924,51616,49234,50679,31327,37430,45596,44036,48717,53709,0.1491,0.0455,0.1012,0.1052,0.0802,0.0715,0.1223,0.1738,0.1188,0.0599,0.0753,0.0775,0.1264,0.13,0.189,0.1264,0.1472,0.1354,0.136,0.1384,0.1671,0.1777,0.1384,0.2022
11/16/20,11:31:31 AM,1.325E+17,00:04:00,47.8,52.53,51.21,53.29,50.95,50.73,47.63,47.04,45.61,50.73,48.34,48.05,49.97,49.53,45.86,48.82,48.57,53.03,49.01,48.22,48.43,48.05,49.7,48.76,34198,40828,43027,56969,57669,54151,34121,40148,39401,48910,50269,61082,38113,39951,38250,50599,50021,52610,31205,36389,45462,44488,49488,55304,0.1953,0.0557,0.0916,0.036,0.0989,0.1052,0.2009,0.2209,0.272,0.1052,0.1777,0.187,0.1273,0.1405,0.2628,0.1624,0.1703,0.0427,0.1565,0.1815,0.1748,0.187,0.1354,0.1643
11/16/20,11:31:46 AM,1.325E+17,00:04:15,48.64,51.75,51.21,52.04,49.95,51.58,48.96,48.72,50.57,52.89,51.91,51.25,51.03,49.61,49.77,51.62,50.3,49.02,49.99,50.09,46.18,49.35,50.78,49.42,34327,40880,42959,53720,56209,59621,33994,39208,40292,49544,51926,60501,38185,41218,37943,49810,48889,51800,30828,37357,44956,44406,47764,54208,0.1681,0.0766,0.0916,0.0688,0.1279,0.0813,0.158,0.1656,0.1098,0.0463,0.0723,0.0905,0.0966,0.1381,0.1333,0.0802,0.1176,0.1562,0.1267,0.1238,0.2512,0.146,0.1037,0.1439
11/16/20,11:32:01 AM,1.325E+17,00:04:30,45.09,51.03,48.84,49.87,46.66,53.08,51.12,46.11,45.42,51.97,53.35,48.1,47.83,48,45.6,48.44,47.55,47.18,47.73,48.34,45.12,46.37,49.92,46.33,33449,40187,42817,54533,53034,64186,32640,38666,40237,50134,51159,56459,38960,39502,38332,51657,48652,51129,29318,37371,45266,45292,47512,56953,0.2916,0.0966,0.1618,0.1303,0.2341,0.0414,0.0941,0.2537,0.2791,0.0707,0.0345,0.1854,0.1943,0.1887,0.2724,0.1744,0.2036,0.2161,0.1976,0.1777,0.2905,0.2443,0.1288,0.2458
11/16/20,11:32:16 AM,1.325E+17,00:04:45,47.92,50.83,50.01,51.41,57.25,51.17,47.66,47.44,49.57,50.21,50.74,50.02,50.81,51.98,48.21,49.7,48.98,49.67,48.6,48.95,45.97,46.58,49.66,47.23,34204,40636,43082,53193,51173,56412,35589,38681,39947,47933,50702,60755,38792,41334,36299,50400,50788,50431,31271,37300,46241,44344,49912,54445,0.1913,0.1023,0.1261,0.086,-0.0573,0.0927,0.1999,0.2073,0.1393,0.1202,0.1049,0.1258,0.1029,0.0704,0.1818,0.1354,0.1574,0.1363,0.1693,0.1583,0.2588,0.2369,0.1366,0.2144
11/16/20,11:32:31 AM,1.325E+17,00:05:00,48.72,52.08,51.51,52.72,51.9,51.5,50.01,48.97,50,52.7,51.95,51.45,50.21,49.86,48.06,50.26,49.9,49.84,50.26,50.29,48.57,48.58,50.14,49.08,34366,41263,44053,53726,53368,57885,34412,39413,40614,49658,51542,61304,38750,41206,35699,51860,49251,51397,31564,37140,45729,44303,48265,55134,0.1656,0.0677,0.0832,0.0507,0.0726,0.0835,0.1261,0.1577,0.1264,0.0512,0.0712,0.0849,0.1202,0.1306,0.1867,0.1188,0.1294,0.1312,0.1188,0.1179,0.1703,0.17,0.1223,0.1543
