"","Gene","module"
"g23508","g23508",0
"g23507","g23507",0
"g30622","g30622",4
"g30626","g30626",0
"g30627","g30627",0
"g9294","g9294",0
"adi2mcaRNA16920_R1","adi2mcaRNA16920_R1",2
"adi2mcaRNA16920_R0","adi2mcaRNA16920_R0",2
"adi2mcaRNA40105_R0","adi2mcaRNA40105_R0",1
"g57661","g57661",0
"g57660","g57660",0
"g57667","g57667",1
"g60147","g60147",0
"g68948","g68948",0
"adi2mcaRNA3320_R1","adi2mcaRNA3320_R1",0
"g29640","g29640",0
"g27501","g27501",0
"g26550","g26550",0
"adi2mcaRNA14031_R0","adi2mcaRNA14031_R0",6
"g56131","g56131",0
"g56133","g56133",1
"g56134","g56134",5
"g54997","g54997",7
"adi2mcaRNA14845_R1","adi2mcaRNA14845_R1",0
"g64135","g64135",1
"g61841","g61841",3
"g54998","g54998",5
"g54999","g54999",1
"g21217","g21217",0
"g2079","g2079",2
"g21212","g21212",0
"g21211","g21211",0
"g21218","g21218",2
"g42822","g42822",1
"g24364","g24364",3
"g24365","g24365",8
"g24360","g24360",1
"g24362","g24362",0
"g24369","g24369",3
"adi2mcaRNA15418_R1","adi2mcaRNA15418_R1",3
"g9579","g9579",0
"adi2mcaRNA33038_R6","adi2mcaRNA33038_R6",0
"g67741","g67741",4
"g4253","g4253",1
"g58087","g58087",1
"g58084","g58084",5
"g58081","g58081",0
"g25017","g25017",5
"g25016","g25016",0
"g60933","g60933",5
"g60932","g60932",2
"g60935","g60935",0
"g11180","g11180",0
"g11181","g11181",0
"g11632","g11632",2
"g54883","g54883",3
"g56958","g56958",0
"g56957","g56957",0
"g63355","g63355",6
"g63358","g63358",0
"g35088","g35088",5
"g2856","g2856",0
"g2855","g2855",2
"g2854","g2854",0
"g42577","g42577",2
"adi2mcaRNA17590_R1","adi2mcaRNA17590_R1",1
"adi2mcaRNA17590_R0","adi2mcaRNA17590_R0",1
"adi2mcaRNA13816_R0","adi2mcaRNA13816_R0",3
"g1501","g1501",1
"g1502","g1502",1
"g39164","g39164",5
"g39161","g39161",0
"g54361","g54361",1
"g17726","g17726",2
"g7900","g7900",0
"g7907","g7907",0
"g7904","g7904",0
"g287","g287",2
"g286","g286",0
"g285","g285",0
"g289","g289",1
"g288","g288",2
"adi2mcaRNA1250_R1","adi2mcaRNA1250_R1",4
"g17677","g17677",2
"adi2mcaRNA331_R0","adi2mcaRNA331_R0",3
"g13113","g13113",2
"g28996","g28996",0
"g64065","g64065",0
"adi2mcaRNA25316_R4","adi2mcaRNA25316_R4",8
"adi2mcaRNA25316_R5","adi2mcaRNA25316_R5",8
"g55377","g55377",2
"g55376","g55376",5
"g55374","g55374",2
"adi2mcaRNA25316_R8","adi2mcaRNA25316_R8",8
"g38611","g38611",1
"g46063","g46063",0
"g33732","g33732",2
"g33731","g33731",2
"g33737","g33737",4
"g33736","g33736",1
"g33735","g33735",2
"g11061","g11061",1
"g15612","g15612",2
"g23749","g23749",3
"adi2mcaRNA36665_R0","adi2mcaRNA36665_R0",1
"g36513","g36513",4
"g32462","g32462",2
"g32463","g32463",2
"g32465","g32465",1
"g32466","g32466",2
"g40899","g40899",0
"g40892","g40892",7
"g40893","g40893",4
"g40895","g40895",0
"g41768","g41768",1
"g41765","g41765",0
"g41766","g41766",0
"adi2mcaRNA26902_R0","adi2mcaRNA26902_R0",2
"adi2mcaRNA21901_R0","adi2mcaRNA21901_R0",3
"g42236","g42236",0
"g47034","g47034",1
"g43720","g43720",2
"g34922","g34922",1
"g11332","g11332",0
"adi2mcaRNA38379_R0","adi2mcaRNA38379_R0",1
"g71122","g71122",0
"adi2mcaRNA10681_R1","adi2mcaRNA10681_R1",0
"g30002","g30002",0
"g25660","g25660",0
"adi2mcaRNA36431_R2","adi2mcaRNA36431_R2",3
"adi2mcaRNA16154_R0","adi2mcaRNA16154_R0",0
"g29279","g29279",1
"g29278","g29278",0
"g29270","g29270",4
"g29272","g29272",0
"g29275","g29275",0
"g29274","g29274",0
"g29277","g29277",4
"g33831","g33831",1
"g65571","g65571",0
"g70185","g70185",1
"g33835","g33835",2
"g53431","g53431",1
"g35452","g35452",0
"g31833","g31833",0
"g27093","g27093",1
"g27092","g27092",4
"g27091","g27091",4
"g27090","g27090",9
"g37362","g37362",3
"g37364","g37364",5
"g37368","g37368",2
"g37369","g37369",1
"g2270","g2270",2
"g757","g757",0
"g27544","g27544",3
"g756","g756",0
"g31223","g31223",0
"g31222","g31222",0
"g38345","g38345",1
"adi2mcaRNA14143_R3","adi2mcaRNA14143_R3",2
"adi2mcaRNA6696_R0","adi2mcaRNA6696_R0",2
"g63628","g63628",3
"g63629","g63629",0
"g1376","g1376",1
"g63626","g63626",3
"g9313","g9313",1
"g9312","g9312",1
"g58050","g58050",1
"g20041","g20041",0
"g57149","g57149",1
"g57146","g57146",0
"g57144","g57144",6
"g57143","g57143",1
"adi2mcaRNA22551_R1","adi2mcaRNA22551_R1",0
"g59503","g59503",0
"adi2mcaRNA33574_R1","adi2mcaRNA33574_R1",0
"g44672","g44672",1
"adi2mcaRNA26694_R0","adi2mcaRNA26694_R0",1
"g25633","g25633",2
"g25632","g25632",0
"g30067","g30067",1
"g61662","g61662",0
"g61660","g61660",0
"adi2mcaRNA1705_R0","adi2mcaRNA1705_R0",0
"g65965","g65965",0
"g65966","g65966",2
"g65962","g65962",1
"g62897","g62897",1
"g65969","g65969",0
"g51668","g51668",2
"g27772","g27772",5
"g27773","g27773",1
"g51666","g51666",1
"g51660","g51660",0
"g51662","g51662",3
"g7254","g7254",0
"g61084","g61084",0
"g61085","g61085",0
"g61083","g61083",1
"g61089","g61089",0
"g56361","g56361",3
"g56360","g56360",4
"g56364","g56364",1
"g12080","g12080",6
"g58435","g58435",0
"g58439","g58439",1
"g2555","g2555",1
"g48375","g48375",0
"g48377","g48377",1
"adi2mcaRNA11044_R0","adi2mcaRNA11044_R0",0
"g15364","g15364",1
"g15365","g15365",8
"g15366","g15366",2
"g26557","g26557",0
"g26556","g26556",1
"g26553","g26553",6
"g26552","g26552",0
"g26558","g26558",2
"g8815","g8815",4
"g4255","g4255",0
"g4254","g4254",0
"adi2mcaRNA18251_R0","adi2mcaRNA18251_R0",4
"g45600","g45600",2
"g12756","g12756",0
"g18337","g18337",0
"g54436","g54436",6
"adi2mcaRNA25029_R0","adi2mcaRNA25029_R0",1
"g11062","g11062",6
"g54439","g54439",0
"adi2mcaRNA12045_R0","adi2mcaRNA12045_R0",1
"g3102","g3102",4
"g5125","g5125",4
"g43521","g43521",0
"g43527","g43527",0
"g60871","g60871",10
"g33919","g33919",0
"g17760","g17760",0
"g43299","g43299",1
"g43293","g43293",1
"g43292","g43292",2
"g43291","g43291",2
"g43296","g43296",1
"g43294","g43294",1
"g26387","g26387",4
"g38701","g38701",2
"g65880","g65880",0
"g27845","g27845",0
"g65886","g65886",0
"g27847","g27847",1
"adi2mcaRNA16184_R1","adi2mcaRNA16184_R1",3
"adi2mcaRNA16184_R0","adi2mcaRNA16184_R0",3
"g34497","g34497",0
"g32792","g32792",8
"g32796","g32796",2
"g32797","g32797",0
"g32794","g32794",2
"g32798","g32798",0
"g32799","g32799",2
"g59067","g59067",4
"g36626","g36626",1
"g21258","g21258",1
"g36628","g36628",0
"g30492","g30492",0
"g30490","g30490",0
"adi2mcaRNA32162_R3","adi2mcaRNA32162_R3",1
"adi2mcaRNA32162_R2","adi2mcaRNA32162_R2",1
"adi2mcaRNA32162_R1","adi2mcaRNA32162_R1",1
"adi2mcaRNA32162_R4","adi2mcaRNA32162_R4",1
"adi2mcaRNA32162_R8","adi2mcaRNA32162_R8",1
"g47995","g47995",0
"g14841","g14841",0
"g22627","g22627",0
"g22625","g22625",1
"g22623","g22623",1
"g22622","g22622",1
"g16578","g16578",2
"g16579","g16579",0
"g22628","g22628",1
"g38790","g38790",2
"g38793","g38793",1
"g33679","g33679",1
"g33677","g33677",1
"g33670","g33670",0
"g33671","g33671",3
"adi2mcaRNA26870_R0","adi2mcaRNA26870_R0",0
"adi2mcaRNA2910_R0","adi2mcaRNA2910_R0",0
"g30180","g30180",3
"g66858","g66858",2
"g66859","g66859",9
"g39673","g39673",0
"g66857","g66857",4
"g30189","g30189",1
"g30188","g30188",0
"adi2mcaRNA11548_R0","adi2mcaRNA11548_R0",7
"g46223","g46223",9
"g46224","g46224",9
"g46226","g46226",3
"g32239","g32239",1
"g32231","g32231",1
"g32230","g32230",1
"g35955","g35955",1
"g35957","g35957",1
"g35956","g35956",4
"g35951","g35951",1
"g35953","g35953",0
"g35952","g35952",0
"g35958","g35958",0
"adi2mcaRNA29133_R0","adi2mcaRNA29133_R0",2
"g19167","g19167",0
"g42613","g42613",0
"adi2mcaRNA368_R0","adi2mcaRNA368_R0",1
"g45715","g45715",0
"g19801","g19801",1
"g19800","g19800",0
"g57634","g57634",1
"g21628","g21628",1
"g25531","g25531",0
"g25538","g25538",1
"g25539","g25539",1
"g28065","g28065",4
"g25289","g25289",0
"g25286","g25286",2
"adi2mcaRNA32510_R1","adi2mcaRNA32510_R1",6
"g45711","g45711",1
"adi2mcaRNA4104_R0","adi2mcaRNA4104_R0",1
"adi2mcaRNA9523_R9","adi2mcaRNA9523_R9",0
"g26393","g26393",0
"g26397","g26397",6
"g26396","g26396",1
"g26398","g26398",2
"g19073","g19073",1
"g71424","g71424",1
"g71423","g71423",5
"adi2mcaRNA19491_R0","adi2mcaRNA19491_R0",0
"g33980","g33980",4
"g11268","g11268",0
"g11263","g11263",0
"adi2mcaRNA4985_R0","adi2mcaRNA4985_R0",1
"g47990","g47990",1
"adi2mcaRNA31050_R0","adi2mcaRNA31050_R0",2
"g47993","g47993",1
"adi2mcaRNA22481_R1","adi2mcaRNA22481_R1",1
"g27088","g27088",4
"adi2mcaRNA7128_R0","adi2mcaRNA7128_R0",2
"adi2mcaRNA25078_R0","adi2mcaRNA25078_R0",0
"g66332","g66332",1
"g22626","g22626",2
"g16577","g16577",0
"g71012","g71012",0
"g16572","g16572",1
"g56501","g56501",0
"g56505","g56505",2
"g56506","g56506",0
"g20113","g20113",2
"adi2mcaRNA24654_R0","adi2mcaRNA24654_R0",0
"g10609","g10609",6
"g17952","g17952",4
"g61785","g61785",3
"g61784","g61784",2
"g1931","g1931",0
"g1930","g1930",1
"g67176","g67176",7
"g1932","g1932",0
"g45823","g45823",2
"g45827","g45827",0
"g45828","g45828",1
"g45829","g45829",1
"g34400","g34400",4
"g44961","g44961",0
"g30168","g30168",6
"g34403","g34403",1
"g57759","g57759",1
"g57753","g57753",5
"g50902","g50902",2
"adi2mcaRNA38320_R0","adi2mcaRNA38320_R0",0
"g59625","g59625",2
"g59626","g59626",1
"g25058","g25058",3
"g16776","g16776",4
"g16777","g16777",0
"g16778","g16778",1
"adi2mcaRNA24582_R1","adi2mcaRNA24582_R1",1
"g12472","g12472",0
"g25057","g25057",4
"g16312","g16312",1
"g58574","g58574",1
"g58575","g58575",3
"g58572","g58572",2
"g58571","g58571",2
"g32689","g32689",1
"g58579","g58579",1
"g3508","g3508",1
"g51367","g51367",1
"g51360","g51360",0
"g3500","g3500",2
"g12296","g12296",2
"g12290","g12290",1
"g12293","g12293",2
"g55629","g55629",1
"g55628","g55628",1
"g55625","g55625",1
"g55624","g55624",1
"g55627","g55627",1
"g55626","g55626",0
"g55623","g55623",1
"g55622","g55622",1
"g34639","g34639",3
"g48555","g48555",0
"g8083","g8083",1
"g34638","g34638",5
"g53607","g53607",1
"g35264","g35264",0
"g35301","g35301",1
"adi2mcaRNA36915_R1","adi2mcaRNA36915_R1",0
"adi2mcaRNA2250_R1","adi2mcaRNA2250_R1",7
"g49922","g49922",2
"g49921","g49921",1
"g49920","g49920",2
"g49928","g49928",1
"g40759","g40759",0
"g62478","g62478",1
"g40752","g40752",1
"g40751","g40751",2
"g40750","g40750",1
"g40755","g40755",7
"g40754","g40754",0
"g34633","g34633",1
"adi2mcaRNA12377_R0","adi2mcaRNA12377_R0",0
"g53523","g53523",2
"g62470","g62470",1
"g8085","g8085",1
"adi2mcaRNA32220_R0","adi2mcaRNA32220_R0",0
"adi2mcaRNA10043_R1","adi2mcaRNA10043_R1",3
"adi2mcaRNA13742_R0","adi2mcaRNA13742_R0",0
"g47025","g47025",0
"g43310","g43310",0
"g28269","g28269",2
"g28268","g28268",2
"g28265","g28265",0
"g28267","g28267",0
"g28266","g28266",0
"g28263","g28263",1
"g28262","g28262",6
"g44838","g44838",1
"g44839","g44839",0
"g44832","g44832",0
"g44837","g44837",0
"g34515","g34515",2
"g18997","g18997",7
"g18990","g18990",1
"g18992","g18992",1
"g50880","g50880",5
"g47563","g47563",2
"g47562","g47562",1
"g47565","g47565",0
"g47567","g47567",0
"g18033","g18033",2
"g18032","g18032",2
"g6295","g6295",2
"g6297","g6297",2
"g6296","g6296",2
"g6290","g6290",2
"g18030","g18030",4
"g62252","g62252",0
"g62257","g62257",2
"g47022","g47022",0
"adi2mcaRNA35429_R0","adi2mcaRNA35429_R0",1
"adi2mcaRNA35429_R1","adi2mcaRNA35429_R1",1
"adi2mcaRNA32128_R5","adi2mcaRNA32128_R5",5
"adi2mcaRNA14013_R4","adi2mcaRNA14013_R4",0
"g40033","g40033",1
"g40031","g40031",4
"adi2mcaRNA27649_R0","adi2mcaRNA27649_R0",0
"g36200","g36200",0
"g36202","g36202",0
"g23855","g23855",1
"g23853","g23853",5
"g23850","g23850",4
"g23859","g23859",2
"g23858","g23858",1
"g41636","g41636",6
"g64357","g64357",1
"g11829","g11829",3
"g22454","g22454",0
"g22455","g22455",9
"g22452","g22452",0
"g42290","g42290",1
"g48009","g48009",1
"g62096","g62096",8
"g20181","g20181",8
"g42291","g42291",0
"g23587","g23587",5
"g11822","g11822",6
"g48005","g48005",0
"g63310","g63310",0
"g35042","g35042",0
"g18176","g18176",0
"g18175","g18175",1
"g18170","g18170",2
"g18171","g18171",1
"g33353","g33353",6
"g33354","g33354",5
"g7523","g7523",2
"g2817","g2817",7
"g22674","g22674",2
"g67370","g67370",4
"g40436","g40436",5
"g30117","g30117",1
"g40434","g40434",0
"g32006","g32006",0
"g32002","g32002",0
"g32000","g32000",1
"g20743","g20743",2
"g48529","g48529",1
"g48524","g48524",2
"g48520","g48520",0
"g48521","g48521",4
"g24052","g24052",0
"g24050","g24050",2
"g24056","g24056",8
"g24057","g24057",1
"g24054","g24054",0
"g24055","g24055",0
"adi2mcaRNA6018_R0","adi2mcaRNA6018_R0",5
"adi2mcaRNA4636_R0","adi2mcaRNA4636_R0",0
"g26227","g26227",3
"g32238","g32238",0
"g48639","g48639",1
"g57614","g57614",3
"g64510","g64510",0
"g22845","g22845",2
"g25095","g25095",5
"g25094","g25094",1
"g25702","g25702",0
"g25093","g25093",3
"g53242","g53242",4
"g63042","g63042",1
"g27867","g27867",0
"g4389","g4389",0
"g49669","g49669",1
"g5375","g5375",0
"g5372","g5372",1
"g35009","g35009",0
"g66109","g66109",1
"g35002","g35002",0
"g35005","g35005",0
"g35004","g35004",1
"adi2mcaRNA30835_R0","adi2mcaRNA30835_R0",0
"g45179","g45179",0
"g52752","g52752",3
"adi2mcaRNA15057_R4","adi2mcaRNA15057_R4",0
"adi2mcaRNA37989_R0","adi2mcaRNA37989_R0",0
"g16449","g16449",1
"adi2mcaRNA15538_R0","adi2mcaRNA15538_R0",0
"g39252","g39252",0
"g19374","g19374",6
"g53868","g53868",0
"g55048","g55048",1
"g55041","g55041",0
"g55043","g55043",0
"g55042","g55042",2
"g10415","g10415",3
"g16444","g16444",5
"g63287","g63287",1
"g58837","g58837",4
"g58835","g58835",0
"g52775","g52775",0
"adi2mcaRNA9928_R5","adi2mcaRNA9928_R5",3
"g61572","g61572",2
"g61573","g61573",1
"g61571","g61571",2
"adi2mcaRNA30490_R0","adi2mcaRNA30490_R0",2
"g48645","g48645",1
"g48644","g48644",1
"g48640","g48640",2
"g48649","g48649",1
"g54391","g54391",0
"g54396","g54396",0
"g54026","g54026",3
"g54021","g54021",7
"g54029","g54029",0
"g50734","g50734",3
"g50737","g50737",2
"g7091","g7091",1
"g50732","g50732",2
"g7093","g7093",4
"g50739","g50739",1
"adi2mcaRNA27434_R0","adi2mcaRNA27434_R0",1
"g15695","g15695",1
"g15690","g15690",0
"adi2mcaRNA1009_R0","adi2mcaRNA1009_R0",1
"adi2mcaRNA11889_R1","adi2mcaRNA11889_R1",1
"g49063","g49063",1
"g49065","g49065",1
"g49069","g49069",0
"g4549","g4549",9
"g23497","g23497",2
"g44571","g44571",1
"g33177","g33177",6
"g55811","g55811",2
"g23491","g23491",2
"g45192","g45192",0
"g45190","g45190",1
"adi2mcaRNA12162_R1","adi2mcaRNA12162_R1",2
"g18563","g18563",6
"g40658","g40658",1
"g29323","g29323",0
"g45222","g45222",0
"g45223","g45223",0
"g1397","g1397",0
"g43101","g43101",3
"g34426","g34426",1
"g30089","g30089",1
"g46558","g46558",1
"g3105","g3105",5
"g34427","g34427",1
"g817","g817",1
"g815","g815",0
"g818","g818",5
"g819","g819",0
"g22353","g22353",1
"g22351","g22351",1
"g65069","g65069",2
"g46883","g46883",6
"g46887","g46887",0
"g46886","g46886",0
"g46888","g46888",0
"g34425","g34425",0
"adi2mcaRNA13035_R0","adi2mcaRNA13035_R0",0
"g33579","g33579",1
"g33570","g33570",0
"g33572","g33572",1
"g70101","g70101",5
"g6556","g6556",8
"g6557","g6557",2
"g6558","g6558",0
"g28765","g28765",0
"g28766","g28766",0
"g28767","g28767",0
"g28768","g28768",0
"g28769","g28769",0
"g37050","g37050",3
"g43436","g43436",7
"adi2mcaRNA26284_R0","adi2mcaRNA26284_R0",0
"g62599","g62599",2
"g62595","g62595",1
"g62594","g62594",0
"g62597","g62597",1
"g37237","g37237",1
"g37234","g37234",2
"g37235","g37235",2
"g55595","g55595",0
"g44633","g44633",1
"g44634","g44634",1
"g66742","g66742",1
"g66743","g66743",1
"g66744","g66744",2
"g66745","g66745",1
"g29411","g29411",0
"g29410","g29410",0
"g29413","g29413",1
"g25287","g25287",2
"g43593","g43593",1
"g9390","g9390",7
"g36011","g36011",0
"g36012","g36012",5
"g36015","g36015",1
"g36017","g36017",3
"g10223","g10223",0
"g51428","g51428",3
"adi2mcaRNA32703_R1","adi2mcaRNA32703_R1",5
"g10122","g10122",1
"adi2mcaRNA10451_R0","adi2mcaRNA10451_R0",0
"g60350","g60350",1
"g60352","g60352",0
"g60357","g60357",1
"g60356","g60356",0
"g60359","g60359",3
"g60358","g60358",0
"g24981","g24981",5
"g49654","g49654",1
"adi2mcaRNA12175_R1","adi2mcaRNA12175_R1",0
"g40420","g40420",1
"g64070","g64070",2
"g48481","g48481",0
"g61006","g61006",0
"g61007","g61007",2
"g61004","g61004",0
"g48488","g48488",1
"g61002","g61002",2
"g58310","g58310",2
"g15064","g15064",1
"adi2mcaRNA4547_R0","adi2mcaRNA4547_R0",0
"g20957","g20957",0
"g24241","g24241",0
"g24245","g24245",0
"g24244","g24244",3
"g40424","g40424",0
"g59956","g59956",2
"adi2mcaRNA23565_R0","adi2mcaRNA23565_R0",0
"g12008","g12008",7
"adi2mcaRNA10737_R0","adi2mcaRNA10737_R0",4
"g48805","g48805",4
"g4705","g4705",0
"g25115","g25115",2
"g4707","g4707",0
"g25117","g25117",2
"g4709","g4709",1
"g23405","g23405",0
"g24191","g24191",1
"g10337","g10337",1
"g53168","g53168",9
"g53169","g53169",0
"g63099","g63099",0
"adi2mcaRNA39490_R0","adi2mcaRNA39490_R0",0
"g61839","g61839",1
"g61833","g61833",1
"g39598","g39598",0
"g39592","g39592",0
"g39596","g39596",0
"adi2mcaRNA33759_R0","adi2mcaRNA33759_R0",7
"g39042","g39042",1
"g39041","g39041",3
"g48259","g48259",2
"adi2mcaRNA28124_R0","adi2mcaRNA28124_R0",0
"g17647","g17647",1
"g17642","g17642",0
"g17648","g17648",1
"adi2mcaRNA7671_R0","adi2mcaRNA7671_R0",0
"g60015","g60015",5
"g30556","g30556",1
"g6395","g6395",0
"g6397","g6397",0
"g6398","g6398",1
"g9718","g9718",0
"g55233","g55233",2
"g7118","g7118",0
"adi2mcaRNA27324_R1","adi2mcaRNA27324_R1",5
"g38715","g38715",5
"g13010","g13010",8
"g30558","g30558",1
"g45402","g45402",3
"adi2mcaRNA28656_R0","adi2mcaRNA28656_R0",0
"g23174","g23174",4
"g15084","g15084",1
"g15087","g15087",3
"g15083","g15083",0
"g49180","g49180",2
"g49182","g49182",0
"adi2mcaRNA17575_R0","adi2mcaRNA17575_R0",0
"g49186","g49186",3
"g45996","g45996",1
"g32423","g32423",0
"adi2mcaRNA31375_R0","adi2mcaRNA31375_R0",0
"adi2mcaRNA31375_R1","adi2mcaRNA31375_R1",0
"adi2mcaRNA3618_R0","adi2mcaRNA3618_R0",0
"g49239","g49239",7
"g14689","g14689",0
"g29158","g29158",0
"g40319","g40319",0
"adi2mcaRNA22827_R0","adi2mcaRNA22827_R0",0
"g40316","g40316",2
"g41404","g41404",0
"g44434","g44434",0
"g41407","g41407",4
"g41409","g41409",3
"g42178","g42178",4
"g70499","g70499",0
"g19882","g19882",2
"g43808","g43808",6
"g43801","g43801",2
"g41417","g41417",1
"adi2mcaRNA34558_R0","adi2mcaRNA34558_R0",0
"g64271","g64271",0
"g18687","g18687",1
"g18682","g18682",3
"g18688","g18688",1
"g37202","g37202",0
"g58238","g58238",1
"g32334","g32334",3
"g30169","g30169",0
"g40445","g40445",0
"g30162","g30162",0
"g26312","g26312",0
"g26311","g26311",0
"g26310","g26310",6
"adi2mcaRNA966_R1","adi2mcaRNA966_R1",0
"g37206","g37206",4
"adi2mcaRNA33119_R0","adi2mcaRNA33119_R0",0
"adi2mcaRNA23838_R0","adi2mcaRNA23838_R0",1
"g47496","g47496",1
"g47492","g47492",0
"g56854","g56854",0
"g56853","g56853",0
"g27197","g27197",0
"g22343","g22343",2
"adi2mcaRNA13419_R0","adi2mcaRNA13419_R0",0
"g27198","g27198",0
"g22348","g22348",1
"g56858","g56858",1
"g37245","g37245",0
"g37242","g37242",1
"g37240","g37240",0
"g66331","g66331",3
"g63125","g63125",1
"g37208","g37208",5
"adi2mcaRNA29360_R2","adi2mcaRNA29360_R2",3
"g66627","g66627",0
"g10682","g10682",1
"g10683","g10683",5
"g24425","g24425",1
"g67460","g67460",3
"g69295","g69295",0
"g56238","g56238",1
"g67283","g67283",1
"g35454","g35454",1
"g61709","g61709",0
"g35456","g35456",7
"g48859","g48859",2
"adi2mcaRNA23004_R0","adi2mcaRNA23004_R0",1
"g48850","g48850",4
"g48851","g48851",2
"g2189","g2189",1
"g21105","g21105",0
"g2183","g2183",0
"g7357","g7357",0
"g2187","g2187",5
"g51052","g51052",2
"g51050","g51050",2
"g51051","g51051",1
"g51054","g51054",1
"g53744","g53744",0
"g53742","g53742",1
"g20850","g20850",2
"g24166","g24166",3
"g24167","g24167",3
"g24164","g24164",6
"g24165","g24165",3
"g24162","g24162",0
"g13566","g13566",1
"g24168","g24168",2
"g24169","g24169",0
"g15242","g15242",0
"g15246","g15246",3
"adi2mcaRNA35549_R0","adi2mcaRNA35549_R0",1
"g3326","g3326",0
"g4112","g4112",9
"g3320","g3320",1
"g4118","g4118",1
"g4119","g4119",1
"g3328","g3328",0
"g3329","g3329",0
"g45721","g45721",4
"g45722","g45722",1
"g52838","g52838",8
"g71097","g71097",3
"g5869","g5869",1
"g5868","g5868",0
"g5864","g5864",0
"g15965","g15965",0
"g45092","g45092",3
"g54578","g54578",9
"adi2mcaRNA7829_R0","adi2mcaRNA7829_R0",0
"g15669","g15669",4
"g23799","g23799",1
"g34843","g34843",2
"g34844","g34844",1
"g51874","g51874",5
"g6745","g6745",0
"g6742","g6742",5
"g18918","g18918",0
"g18919","g18919",1
"g18917","g18917",1
"adi2mcaRNA11890_R0","adi2mcaRNA11890_R0",0
"adi2mcaRNA11890_R1","adi2mcaRNA11890_R1",0
"adi2mcaRNA5086_R1","adi2mcaRNA5086_R1",7
"g34594","g34594",0
"g34598","g34598",0
"g34599","g34599",1
"g52068","g52068",4
"g52063","g52063",3
"g52061","g52061",0
"g16180","g16180",8
"g16183","g16183",8
"g14965","g14965",1
"g14964","g14964",0
"g14966","g14966",2
"g18520","g18520",2
"g29689","g29689",3
"g29684","g29684",3
"g67172","g67172",1
"g4698","g4698",0
"adi2mcaRNA9790_R0","adi2mcaRNA9790_R0",7
"adi2mcaRNA27174_R0","adi2mcaRNA27174_R0",1
"g15766","g15766",1
"g15769","g15769",1
"g34994","g34994",1
"g32498","g32498",0
"adi2mcaRNA15472_R0","adi2mcaRNA15472_R0",6
"adi2mcaRNA15472_R1","adi2mcaRNA15472_R1",6
"g60646","g60646",4
"g31772","g31772",2
"g31775","g31775",3
"g40961","g40961",4
"g40963","g40963",0
"g31779","g31779",2
"g46494","g46494",0
"g46493","g46493",4
"g66636","g66636",1
"g66637","g66637",8
"g60642","g60642",2
"g67911","g67911",0
"g46333","g46333",2
"g70519","g70519",1
"g31191","g31191",3
"adi2mcaRNA10923_R0","adi2mcaRNA10923_R0",6
"g46330","g46330",4
"g1060","g1060",0
"g34966","g34966",1
"g3318","g3318",2
"g57754","g57754",2
"g18493","g18493",0
"adi2mcaRNA25897_R3","adi2mcaRNA25897_R3",0
"g20386","g20386",1
"g64759","g64759",6
"g54211","g54211",8
"g64751","g64751",5
"g64750","g64750",0
"g64754","g64754",0
"g67664","g67664",1
"g62752","g62752",2
"g63279","g63279",1
"adi2mcaRNA21700_R0","adi2mcaRNA21700_R0",0
"g8820","g8820",1
"adi2mcaRNA19270_R0","adi2mcaRNA19270_R0",0
"g65406","g65406",4
"g65405","g65405",2
"g65409","g65409",1
"adi2mcaRNA560_R4","adi2mcaRNA560_R4",5
"g50909","g50909",1
"g37082","g37082",1
"g59876","g59876",1
"g59870","g59870",1
"g59871","g59871",1
"g38586","g38586",5
"adi2mcaRNA32866_R1","adi2mcaRNA32866_R1",0
"g67588","g67588",5
"g67581","g67581",0
"g66182","g66182",0
"g66187","g66187",1
"g66184","g66184",4
"g66185","g66185",1
"g9888","g9888",3
"g67107","g67107",8
"adi2mcaRNA36872_R0","adi2mcaRNA36872_R0",0
"g12405","g12405",4
"adi2mcaRNA11884_R1","adi2mcaRNA11884_R1",6
"adi2mcaRNA4311_R0","adi2mcaRNA4311_R0",0
"adi2mcaRNA14923_R0","adi2mcaRNA14923_R0",4
"adi2mcaRNA14923_R1","adi2mcaRNA14923_R1",0
"g9222","g9222",0
"g68058","g68058",1
"g68059","g68059",1
"g67630","g67630",1
"g67636","g67636",4
"g67639","g67639",0
"g67638","g67638",0
"adi2mcaRNA29720_R0","adi2mcaRNA29720_R0",1
"adi2mcaRNA28306_R0","adi2mcaRNA28306_R0",4
"adi2mcaRNA4390_R0","adi2mcaRNA4390_R0",0
"g20466","g20466",0
"g51796","g51796",1
"g17141","g17141",5
"g17145","g17145",1
"g59096","g59096",2
"g29879","g29879",1
"adi2mcaRNA34160_R0","adi2mcaRNA34160_R0",1
"g12530","g12530",0
"g12531","g12531",0
"g12532","g12532",0
"g27604","g27604",5
"g27608","g27608",0
"g27609","g27609",0
"g21730","g21730",2
"g21732","g21732",2
"g21739","g21739",0
"g56326","g56326",1
"g60774","g60774",3
"g60772","g60772",6
"g56215","g56215",1
"g56214","g56214",0
"g56217","g56217",4
"g56216","g56216",1
"g56211","g56211",2
"g47061","g47061",4
"g47063","g47063",2
"g55540","g55540",0
"g55541","g55541",2
"g55542","g55542",2
"g55545","g55545",0
"g55547","g55547",1
"g11849","g11849",0
"g11844","g11844",0
"g11846","g11846",6
"g11840","g11840",1
"g28808","g28808",9
"g4090","g4090",2
"adi2mcaRNA19534_R0","adi2mcaRNA19534_R0",4
"g50720","g50720",5
"g49608","g49608",1
"g49606","g49606",2
