"","Gene","module"
"g17420","g17420",0
"g17429","g17429",1
"g31011","g31011",4
"g57000","g57000",1
"g22507","g22507",8
"g22504","g22504",0
"g22500","g22500",6
"g22501","g22501",1
"g22509","g22509",2
"g66531","g66531",5
"g66539","g66539",0
"g17398","g17398",0
"adi2mcaRNA36858_R4","adi2mcaRNA36858_R4",4
"adi2mcaRNA2729_R0","adi2mcaRNA2729_R0",3
"adi2mcaRNA2729_R1","adi2mcaRNA2729_R1",2
"g56758","g56758",4
"g56757","g56757",6
"adi2mcaRNA4698_R0","adi2mcaRNA4698_R0",5
"g33599","g33599",1
"g23133","g23133",1
"g47623","g47623",1
"g44547","g44547",0
"g251","g251",2
"g48218","g48218",6
"g48217","g48217",4
"g48214","g48214",1
"g48212","g48212",2
"g48211","g48211",1
"g24104","g24104",1
"g24107","g24107",10
"g24100","g24100",6
"adi2mcaRNA10072_R0","adi2mcaRNA10072_R0",0
"g2160","g2160",3
"g58599","g58599",1
"g58596","g58596",2
"g58597","g58597",3
"g58590","g58590",7
"g52858","g52858",6
"adi2mcaRNA26527_R5","adi2mcaRNA26527_R5",0
"g52856","g52856",1
"g4644","g4644",3
"g25277","g25277",0
"g4642","g4642",2
"g4648","g4648",0
"adi2mcaRNA2390_R0","adi2mcaRNA2390_R0",0
"g5593","g5593",4
"adi2mcaRNA29697_R0","adi2mcaRNA29697_R0",0
"g62576","g62576",2
"g57235","g57235",0
"g41186","g41186",0
"g18226","g18226",1
"g18225","g18225",0
"g7179","g7179",1
"g1830","g1830",7
"g35154","g35154",0
"g35150","g35150",2
"g35152","g35152",3
"g30136","g30136",8
"g59962","g59962",1
"g59960","g59960",1
"g59968","g59968",0
"g35487","g35487",0
"g35486","g35486",0
"g35482","g35482",3
"g35480","g35480",0
"adi2mcaRNA20544_R0","adi2mcaRNA20544_R0",0
"adi2mcaRNA27032_R1","adi2mcaRNA27032_R1",1
"g63470","g63470",1
"g7330","g7330",1
"g52080","g52080",0
"g52082","g52082",0
"g52086","g52086",2
"g14980","g14980",6
"adi2mcaRNA9965_R0","adi2mcaRNA9965_R0",0
"g55196","g55196",1
"g55195","g55195",1
"g67163","g67163",2
"g538","g538",8
"g55441","g55441",5
"g55440","g55440",0
"g537","g537",0
"g536","g536",0
"g533","g533",0
"g532","g532",5
"g16165","g16165",1
"g16162","g16162",1
"g67165","g67165",1
"adi2mcaRNA25456_R2","adi2mcaRNA25456_R2",4
"adi2mcaRNA25456_R0","adi2mcaRNA25456_R0",0
"g33356","g33356",2
"g45542","g45542",2
"g61944","g61944",1
"g12133","g12133",1
"adi2mcaRNA9037_R0","adi2mcaRNA9037_R0",1
"adi2mcaRNA21392_R0","adi2mcaRNA21392_R0",2
"g26437","g26437",0
"g50626","g50626",6
"g36440","g36440",1
"g36441","g36441",5
"g49310","g49310",1
"g32353","g32353",0
"g32350","g32350",9
"g32351","g32351",2
"g32357","g32357",2
"adi2mcaRNA35444_R4","adi2mcaRNA35444_R4",0
"adi2mcaRNA22623_R7","adi2mcaRNA22623_R7",5
"g16833","g16833",4
"g30052","g30052",3
"g30057","g30057",0
"adi2mcaRNA24276_R0","adi2mcaRNA24276_R0",0
"g66628","g66628",2
"g66626","g66626",0
"g35126","g35126",0
"adi2mcaRNA8162_R0","adi2mcaRNA8162_R0",2
"g41673","g41673",2
"g41672","g41672",0
"g41670","g41670",1
"g41675","g41675",6
"g41674","g41674",1
"g41679","g41679",5
"g46565","g46565",4
"g38331","g38331",2
"g34998","g34998",0
"g40781","g40781",0
"g40782","g40782",2
"g34992","g34992",1
"g52537","g52537",0
"adi2mcaRNA16924_R2","adi2mcaRNA16924_R2",1
"g54262","g54262",0
"g54266","g54266",6
"g22821","g22821",2
"g54265","g54265",1
"g45705","g45705",0
"g45704","g45704",1
"g22823","g22823",0
"g46956","g46956",1
"g46955","g46955",0
"g46959","g46959",0
"g46958","g46958",2
"g62803","g62803",1
"g62801","g62801",0
"g62808","g62808",0
"g70058","g70058",0
"g70057","g70057",7
"g70050","g70050",0
"adi2mcaRNA15462_R0","adi2mcaRNA15462_R0",0
"g7537","g7537",2
"g31923","g31923",0
"g31927","g31927",5
"g31928","g31928",5
"g8194","g8194",4
"g8197","g8197",4
"g8193","g8193",1
"g8199","g8199",2
"g62117","g62117",2
"g62116","g62116",0
"g62118","g62118",7
"g31789","g31789",0
"g57097","g57097",0
"adi2mcaRNA19991_R0","adi2mcaRNA19991_R0",5
"g9241","g9241",0
"g9240","g9240",3
"adi2mcaRNA30108_R0","adi2mcaRNA30108_R0",0
"adi2mcaRNA29029_R0","adi2mcaRNA29029_R0",1
