"","delta.rank","pval","level","nseqs","term","name","p.adj"
"7",0,5.85217812803163e-12,2,45,"GO:0000786;GO:0032993;GO:0044815","protein-DNA complex",0
"24",0,2.54439932289553e-05,2,29,"GO:0005840","ribosome",0
