"","delta.rank","pval","level","nseqs","term","name","p.adj"
"5",0,4.1551922202417e-06,2,45,"GO:0000786;GO:0032993;GO:0044815","protein-DNA complex",0
"50",0,0.000234100345186852,2,70,"GO:0140513","nuclear protein-containing complex",0
