"","delta.rank","pval","level","nseqs","term","name","p.adj"
"24",0,1.29145777001204e-06,5,29,"GO:0005840","ribosome",0
"50",0,2.05232532797385e-07,2,18,"GO:0098798","mitochondrial protein-containing complex",0
"51",0,6.65793304051573e-07,2,14,"GO:0098800","inner mitochondrial membrane protein complex",0
