"","delta.rank","pval","level","nseqs","term","name","p.adj"
"24",0,6.37632350559245e-20,3,29,"GO:0005840","ribosome",0
"30",0,0.000139462845701524,3,8,"GO:0015935","small ribosomal subunit",0
"42",0,1.930886524792e-07,2,12,"GO:0044391","ribosomal subunit",0
"51",0,0.000217695585105017,2,14,"GO:0098800","inner mitochondrial membrane protein complex",0
"63",0,0.000224417733382893,2,29,"GO:1990904","ribonucleoprotein complex",0
