"","delta.rank","pval","level","nseqs","term","name","p.adj"
"33",0,7.68689150020932e-06,6,87,"GO:0006396","RNA processing",0
"137",0,2.06813750312271e-05,2,88,"GO:0031323;GO:0051171;GO:0080090","regulation of cellular metabolic process",0
"157",0,5.3461490254835e-06,2,44,"GO:0035556","intracellular signal transduction",0
