"","delta.rank","pval","level","nseqs","term","name","p.adj"
"28",0,4.38516064318067e-16,4,37,"GO:0006412;GO:0043043;GO:0043604","amide biosynthetic process",0
"32",0,3.87665958365111e-05,2,45,"GO:0006486;GO:0043413;GO:0070085","protein glycosylation",0.00714285714285714
