"","delta.rank","pval","level","nseqs","term","name","p.adj"
"60",0,1.24391921940942e-05,2,141,"GO:0006811","ion transport",0
"177",0,7.93018283527976e-11,2,104,"GO:0044271","cellular nitrogen compound biosynthetic process",0
