"","delta.rank","pval","level","nseqs","term","name","p.adj"
"55",0,0.000228172095097815,2,7,"GO:0007059","chromosome segregation",0
"85",0,0.000267100882300583,2,49,"GO:0016071","mRNA metabolic process",0
