"","delta.rank","pval","level","nseqs","term","name","p.adj"
"24",0,3.88786079680111e-10,4,29,"GO:0005840","ribosome",0
"57",0,2.47476780421444e-06,2,9,"GO:0140534","endoplasmic reticulum protein-containing complex",0
