"","delta.rank","pval","level","nseqs","term","name","p.adj"
"183",0,3.28902458370192e-05,2,5,"GO:0046034","ATP metabolic process",0
"245",0,6.2114740145609e-06,3,6,"GO:1902600","proton transmembrane transport",0
