"","WSH174_S118_L001","WSH176_S142_L001","WSH177_S154_L001","WSH178_S166_L001","WSH179_S178_L001","WSH185_S155_L001","WSH187_S179_L001","WSH188_S191_L001","WSH193_S156_L001","WSH195_S180_L001","WSH203_S207_L001","WSH204_S214_L001","WSH205_S221_L001","WSH206_S228_L001","WSH207_S235_L001","WSH208_S242_L001","WSH209_S194_L001","WSH210_S201_L001","WSH211_S208_L001","WSH212_S215_L001","WSH213_S222_L001","WSH214_S229_L001","WSH215_S236_L001","WSH216_S243_L001"
"WSH174_S118_L001",0,0.623695980531027,0.608104546452888,0.607221657081186,0.58429203413153,0.693090292496821,0.685899818255159,0.764584691364368,0.901939678573342,0.894108140392791,0.853040298542754,0.847925086654519,0.86614074201109,0.847757012045409,0.830686187346241,0.814413135123142,0.786231531129278,0.80484377327521,0.738076812992272,0.808183281594933,0.719034226552609,0.681285985073774,0.833806866418392,0.655868628047586
"WSH176_S142_L001",0.623695980531027,0,0.68073681038183,0.591023054883088,0.644544847420641,0.678188926172994,0.67038826337203,0.718553907368408,0.886383857656181,0.872678071578638,0.815623811020846,0.798655598550942,0.807239054439259,0.798883716917512,0.783984559437411,0.773736435564956,0.776862779608845,0.765968119386086,0.699409627758171,0.767005118688144,0.692743395999691,0.677243546417451,0.807348058137619,0.636432589204215
"WSH177_S154_L001",0.608104546452888,0.68073681038183,0,0.61479176547173,0.578955070721034,0.66734720598502,0.690562635108313,0.781974267628507,0.920637567452925,0.909195315759202,0.848233726442887,0.84904960213556,0.866490721447364,0.848627111184621,0.843978857578816,0.819878495582439,0.766344114175604,0.780108185814204,0.72910886492433,0.810198495945499,0.678598258996355,0.619319679754749,0.835223618145756,0.647816612045502
"WSH178_S166_L001",0.607221657081186,0.591023054883088,0.61479176547173,0,0.604961924756194,0.709593147348702,0.648812520076454,0.734987492945234,0.90937629660944,0.89000414520045,0.827460119926547,0.806486109674775,0.812363105008389,0.82642582282597,0.805423676370609,0.778736289287725,0.770516503059058,0.771871998469104,0.729114715625823,0.775323639319184,0.714677006728314,0.709662987263278,0.834548526174168,0.676835490492945
"WSH179_S178_L001",0.58429203413153,0.644544847420641,0.578955070721034,0.604961924756194,0,0.694600839194497,0.667115158153912,0.790963915383874,0.919824699445552,0.91356159087893,0.875207426508969,0.868433216918641,0.872642075318832,0.862136604737645,0.85368068162271,0.816003316092819,0.764398875717952,0.7697956297403,0.711135339445986,0.817368954476105,0.706479242182541,0.644308948726411,0.849560651301989,0.659321460340058
"WSH185_S155_L001",0.693090292496821,0.678188926172994,0.66734720598502,0.709593147348702,0.694600839194497,0,0.590671265953777,0.625218494620066,0.865035598587038,0.85310929242561,0.811996350788268,0.808706865635198,0.807111978661863,0.79568461242075,0.794390380899187,0.752556352483079,0.741921142422506,0.785179137261496,0.723005011955744,0.783353299287171,0.581604629531995,0.596423721418959,0.737506339214959,0.597716779638881
"WSH187_S179_L001",0.685899818255159,0.67038826337203,0.690562635108313,0.648812520076454,0.667115158153912,0.590671265953777,0,0.69322844685067,0.864570461099977,0.855000662732292,0.827053493205545,0.81108136008502,0.814154834955832,0.826025203802946,0.786851327287821,0.765803704732811,0.785016120349769,0.777842719246802,0.7158646417234,0.776284859553394,0.661441901577003,0.660702993733338,0.782692819266852,0.64144801523583
"WSH188_S191_L001",0.764584691364368,0.718553907368408,0.781974267628507,0.734987492945234,0.790963915383874,0.625218494620066,0.69322844685067,0,0.803270868631622,0.80490919652162,0.795370795874693,0.811861010435507,0.777843234341324,0.802468508231123,0.781415517078573,0.756258987729998,0.789269320908044,0.820214157631241,0.782768898230231,0.768192918253448,0.734952740579119,0.746239865586724,0.688075686055959,0.694367230200407
"WSH193_S156_L001",0.901939678573342,0.886383857656181,0.920637567452925,0.90937629660944,0.919824699445552,0.865035598587038,0.864570461099977,0.803270868631622,0,0.520452719221761,0.705684625671479,0.725928599470638,0.692878804172492,0.780739830838172,0.755919098822325,0.746920338580808,0.853532048642477,0.858129414251563,0.84674207051377,0.821302332666642,0.860152107101254,0.882814342516609,0.70254323869855,0.867562323468009
"WSH195_S180_L001",0.894108140392791,0.872678071578638,0.909195315759202,0.89000414520045,0.91356159087893,0.85310929242561,0.855000662732292,0.80490919652162,0.520452719221761,0,0.624653426061387,0.711034899270955,0.620888742201503,0.718456430964597,0.710392749783689,0.731495065404572,0.836148127549934,0.839994700594736,0.838959512609235,0.785822899668513,0.820489171926197,0.86223063960741,0.686212365021739,0.861900711359822
"WSH203_S207_L001",0.853040298542754,0.815623811020846,0.848233726442887,0.827460119926547,0.875207426508969,0.811996350788268,0.827053493205545,0.795370795874693,0.705684625671479,0.624653426061387,0,0.342926237241423,0.510150465246434,0.426813479057073,0.500230744984126,0.534887775805224,0.679085378369998,0.692905546455985,0.703304792377604,0.662188253667706,0.776810480485083,0.807644147283617,0.71565245212304,0.773252694587912
"WSH204_S214_L001",0.847925086654519,0.798655598550942,0.84904960213556,0.806486109674775,0.868433216918641,0.808706865635198,0.81108136008502,0.811861010435507,0.725928599470638,0.711034899270955,0.342926237241423,0,0.549551612860836,0.528764719658018,0.581562129538966,0.589378375828478,0.714683280294973,0.718769410840069,0.723015165031222,0.693898144014453,0.794934154970703,0.812926040058303,0.763679357935491,0.775148578084721
"WSH205_S221_L001",0.86614074201109,0.807239054439259,0.866490721447364,0.812363105008389,0.872642075318832,0.807111978661863,0.814154834955832,0.777843234341324,0.692878804172492,0.620888742201503,0.510150465246434,0.549551612860836,0,0.480107296985551,0.358923512747875,0.428131210284845,0.64052380962768,0.637681711022104,0.660728395379555,0.556251877122316,0.732464417495607,0.807503591876223,0.732327147134581,0.796424847582492
"WSH206_S228_L001",0.847757012045409,0.798883716917512,0.848627111184621,0.82642582282597,0.862136604737645,0.79568461242075,0.826025203802946,0.802468508231123,0.780739830838172,0.718456430964597,0.426813479057073,0.528764719658018,0.480107296985551,0,0.431866236006797,0.469780733936778,0.518379798493941,0.555026777799873,0.610262515602656,0.533486011135374,0.696026045470138,0.783478262713692,0.757261643610292,0.774941384333807
"WSH207_S235_L001",0.830686187346241,0.783984559437411,0.843978857578816,0.805423676370609,0.85368068162271,0.794390380899187,0.786851327287821,0.781415517078573,0.755919098822325,0.710392749783689,0.500230744984126,0.581562129538966,0.358923512747875,0.431866236006797,0,0.431182725552874,0.542203926576285,0.516024823505145,0.588801208816779,0.507800074223306,0.726139408600665,0.785636296134946,0.74917823295006,0.757020810665757
"WSH208_S242_L001",0.814413135123142,0.773736435564956,0.819878495582439,0.778736289287725,0.816003316092819,0.752556352483079,0.765803704732811,0.756258987729998,0.746920338580808,0.731495065404572,0.534887775805224,0.589378375828478,0.428131210284845,0.469780733936778,0.431182725552874,0,0.509221739569864,0.549614125011903,0.552844066242115,0.536972023798537,0.746173338308094,0.761163806453311,0.730939898445069,0.755034791544212
"WSH209_S194_L001",0.786231531129278,0.776862779608845,0.766344114175604,0.770516503059058,0.764398875717952,0.741921142422506,0.785016120349769,0.789269320908044,0.853532048642477,0.836148127549934,0.679085378369998,0.714683280294973,0.64052380962768,0.518379798493941,0.542203926576285,0.509221739569864,0,0.337828595980181,0.394061246970698,0.458887350074473,0.682406654474511,0.679502908415264,0.81491472789189,0.722143282074547
