"","WSH174_S118_L001","WSH176_S142_L001","WSH177_S154_L001","WSH178_S166_L001","WSH179_S178_L001","WSH185_S155_L001","WSH187_S179_L001","WSH188_S191_L001","WSH193_S156_L001","WSH195_S180_L001","WSH203_S207_L001","WSH204_S214_L001","WSH205_S221_L001","WSH206_S228_L001","WSH207_S235_L001","WSH208_S242_L001","WSH209_S194_L001","WSH210_S201_L001","WSH211_S208_L001","WSH212_S215_L001","WSH213_S222_L001","WSH214_S229_L001","WSH215_S236_L001","WSH216_S243_L001"
"WSH174_S118_L001",0,0.344639840898302,0.20209819906364,0.258153754197416,0.243736679809255,0.35912089497664,0.36989634376719,0.431913536991452,0.746036505460838,0.752163361355339,0.626343371758266,0.697208974629551,0.676402614223138,0.454314619360094,0.478878723105793,0.643426009778814,0.409031173717446,0.532080421724945,0.48802610418155,0.621525200959577,0.460090278702481,0.382763378106524,0.639058665904282,0.270966940889578
"WSH176_S142_L001",0.344639840898302,0,0.35369601348058,0.323483490401543,0.311964908546777,0.477534734396674,0.367230501200168,0.41439868607674,0.696483908153744,0.69844322328751,0.600099613837634,0.65492317229333,0.608749778199056,0.46057085500079,0.472191951575494,0.569499611316288,0.397792113205087,0.439598413431849,0.385984610572612,0.532973726160687,0.328339606070291,0.320064156058355,0.617610316906759,0.380758579694996
"WSH177_S154_L001",0.20209819906364,0.35369601348058,0,0.298855160276935,0.284283739152134,0.359156256478371,0.370230306668699,0.447705200006222,0.677665479811528,0.692408310541471,0.565332316666814,0.63180488745596,0.640994206326745,0.455493524007853,0.466947217645604,0.610537500530651,0.419620405815496,0.507853015745402,0.46628756217289,0.598583133175439,0.435709695552337,0.356472607913384,0.632052014994366,0.283822734669708
"WSH178_S166_L001",0.258153754197416,0.323483490401543,0.298855160276935,0,0.302732325213807,0.473005810923786,0.367948301309146,0.4231030225751,0.744884641920735,0.74921563907071,0.632163767358153,0.690501658487424,0.683432799518655,0.499538684181156,0.497928598545879,0.644930395731493,0.457867119842941,0.539003860099404,0.494736621809656,0.635211454897345,0.468791709930094,0.39407126167989,0.652127424774679,0.371877295860869
"WSH179_S178_L001",0.243736679809255,0.311964908546777,0.284283739152134,0.302732325213807,0,0.409585331333624,0.369345714060983,0.454156804562952,0.782952941948572,0.788916797792776,0.669354469514834,0.730069404453185,0.713018752542693,0.511334971194212,0.524959188220741,0.673259033541776,0.453680066818897,0.547206812652966,0.490793447917112,0.636505049059994,0.463664852763254,0.407215251060747,0.656142744967279,0.346073612519164
"WSH185_S155_L001",0.35912089497664,0.477534734396674,0.359156256478371,0.473005810923786,0.409585331333624,0,0.363885568112939,0.442760345588425,0.715933257194161,0.727397614894825,0.631541875631147,0.68828345800348,0.658723408816781,0.449466743365672,0.467509003459224,0.618280223095601,0.431984912955281,0.514530979762266,0.511681244813866,0.615435055716732,0.488149474747807,0.420239481089525,0.591385235635004,0.302212052003878
"WSH187_S179_L001",0.36989634376719,0.367230501200168,0.370230306668699,0.367948301309146,0.369345714060983,0.363885568112939,0,0.288635891900221,0.691990125186223,0.704209468707853,0.581076984689764,0.649045353057925,0.619637009539958,0.469841005483256,0.458629805560285,0.578670889234442,0.444298024265443,0.463068284061054,0.448689260077326,0.588699910970018,0.407987907879195,0.38224908374629,0.547672166779272,0.355334683949529
"WSH188_S191_L001",0.431913536991452,0.41439868607674,0.447705200006222,0.4231030225751,0.454156804562952,0.442760345588425,0.288635891900221,0,0.718609467161427,0.730065858616309,0.619914622407329,0.682150539198139,0.6593551824928,0.54850534361566,0.541744032187272,0.620708316887887,0.524354826475891,0.510171457805972,0.505313817342174,0.611271878023261,0.455741077263434,0.463823249133251,0.505621853831193,0.471671199284351
"WSH193_S156_L001",0.746036505460838,0.696483908153744,0.677665479811528,0.744884641920735,0.782952941948572,0.715933257194161,0.691990125186223,0.718609467161427,0,0.187010714999263,0.341507641186861,0.32038952040808,0.434065231970656,0.541888540702424,0.480894703697794,0.410955994141147,0.615456393924825,0.558236799885781,0.633780837978643,0.566076102689519,0.620233442955183,0.625247143750804,0.707608462083495,0.702041609412053
"WSH195_S180_L001",0.752163361355339,0.69844322328751,0.692408310541471,0.74921563907071,0.788916797792776,0.727397614894825,0.704209468707853,0.730065858616309,0.187010714999263,0,0.440940390532135,0.435138681928883,0.46440331433992,0.566309784041258,0.508391126168195,0.456856644587359,0.627196414617402,0.574328330514402,0.646160225148,0.584268465022376,0.630612133952662,0.633341539495281,0.734769685355196,0.708166511811716
"WSH203_S207_L001",0.626343371758266,0.600099613837634,0.565332316666814,0.632163767358153,0.669354469514834,0.631541875631147,0.581076984689764,0.619914622407329,0.341507641186861,0.440940390532135,0,0.212455678028687,0.369425387718746,0.387748659056062,0.355158161777683,0.330850038058542,0.489592673484956,0.413848930822112,0.45655076703263,0.481579240491779,0.532997772687264,0.526082374467149,0.620052742755159,0.60535999476673
"WSH204_S214_L001",0.697208974629551,0.65492317229333,0.63180488745596,0.690501658487424,0.730069404453185,0.68828345800348,0.649045353057925,0.682150539198139,0.32038952040808,0.435138681928883,0.212455678028687,0,0.322171582055703,0.419959425704248,0.377623892195342,0.294025732585693,0.528821480631399,0.447414760626547,0.503922250983692,0.456314526212863,0.578957169162369,0.58192462997864,0.631153385021863,0.664078199953732
"WSH205_S221_L001",0.676402614223138,0.608749778199056,0.640994206326745,0.683432799518655,0.713018752542693,0.658723408816781,0.619637009539958,0.6593551824928,0.434065231970656,0.46440331433992,0.369425387718746,0.322171582055703,0,0.318216005553822,0.306967747342532,0.18213099666564,0.461918969090534,0.386509556803255,0.463985361202458,0.405540891654768,0.50191931457158,0.539972731479509,0.606167234040797,0.634588186800423
"WSH206_S228_L001",0.454314619360094,0.46057085500079,0.455493524007853,0.499538684181156,0.511334971194212,0.449466743365672,0.469841005483256,0.54850534361566,0.541888540702424,0.566309784041258,0.387748659056062,0.419959425704248,0.318216005553822,0,0.144893516753739,0.2854886320718,0.200042601379122,0.278827868236801,0.340700056323367,0.396153248058163,0.389827181472815,0.321323309331459,0.563324379036108,0.410174012591291
"WSH207_S235_L001",0.478878723105793,0.472191951575494,0.466947217645604,0.497928598545879,0.524959188220741,0.467509003459224,0.458629805560285,0.541744032187272,0.480894703697794,0.508391126168195,0.355158161777683,0.377623892195342,0.306967747342532,0.144893516753739,0,0.266392665799746,0.24551241257951,0.271494752038672,0.335853413420795,0.387944113967478,0.409501610384495,0.342324384278937,0.567019787831398,0.435826158572528
"WSH208_S242_L001",0.643426009778814,0.569499611316288,0.610537500530651,0.644930395731493,0.673259033541776,0.618280223095601,0.578670889234442,0.620708316887887,0.410955994141147,0.456856644587359,0.330850038058542,0.294025732585693,0.18213099666564,0.2854886320718,0.266392665799746,0,0.410436721700418,0.336651785433068,0.420873728319356,0.365628723528326,0.472096712894204,0.493277422293081,0.549691073307792,0.594361610688491
"WSH209_S194_L001",0.409031173717446,0.397792113205087,0.419620405815496,0.457867119842941,0.453680066818897,0.431984912955281,0.444298024265443,0.524354826475891,0.615456393924825,0.627196414617402,0.489592673484956,0.528821480631399,0.461918969090534,0.200042601379122,0.24551241257951,0.410436721700418,0,0.227941893913252,0.254450992991229,0.339164643687454,0.315825541297694,0.250147798320667,0.585676984016402,0.374179176688539
"WSH210_S201_L001",0.532080421724945,0.439598413431849,0.507853015745402,0.539003860099404,0.547206812652966,0.514530979762266,0.463068284061054,0.510171457805972,0.558236799885781,0.574328330514402,0.413848930822112,0.447414760626547,0.386509556803255,0.278827868236801,0.271494752038672,0.336651785433068,0.227941893913252,0,0.16274431725971,0.216116557013175,0.322508679883199,0.349899972328727,0.548707400539962,0.466017634730123
"WSH211_S208_L001",0.48802610418155,0.385984610572612,0.46628756217289,0.494736621809656,0.490793447917112,0.511681244813866,0.448689260077326,0.505313817342174,0.633780837978643,0.646160225148,0.45655076703263,0.503922250983692,0.463985361202458,0.340700056323367,0.335853413420795,0.420873728319356,0.254450992991229,0.16274431725971,0,0.270783489203799,0.308820265805931,0.34568970835979,0.580455999960319,0.423580513459786
"WSH212_S215_L001",0.621525200959577,0.532973726160687,0.598583133175439,0.635211454897345,0.636505049059994,0.615435055716732,0.588699910970018,0.611271878023261,0.566076102689519,0.584268465022376,0.481579240491779,0.456314526212863,0.405540891654768,0.396153248058163,0.387944113967478,0.365628723528326,0.339164643687454,0.216116557013175,0.270783489203799,0,0.384026931444642,0.471733918599922,0.59161715331062,0.570209377067084
"WSH213_S222_L001",0.460090278702481,0.328339606070291,0.435709695552337,0.468791709930094,0.463664852763254,0.488149474747807,0.407987907879195,0.455741077263434,0.620233442955183,0.630612133952662,0.532997772687264,0.578957169162369,0.50191931457158,0.389827181472815,0.409501610384495,0.472096712894204,0.315825541297694,0.322508679883199,0.308820265805931,0.384026931444642,0,0.267282093480867,0.559107522997113,0.384785357811739
"WSH214_S229_L001",0.382763378106524,0.320064156058355,0.356472607913384,0.39407126167989,0.407215251060747,0.420239481089525,0.38224908374629,0.463823249133251,0.625247143750804,0.633341539495281,0.526082374467149,0.58192462997864,0.539972731479509,0.321323309331459,0.342324384278937,0.493277422293081,0.250147798320667,0.349899972328727,0.34568970835979,0.471733918599922,0.267282093480867,0,0.565068703880492,0.332860641092244
"WSH215_S236_L001",0.639058665904282,0.617610316906759,0.632052014994366,0.652127424774679,0.656142744967279,0.591385235635004,0.547672166779272,0.505621853831193,0.707608462083495,0.734769685355196,0.620052742755159,0.631153385021863,0.606167234040797,0.563324379036108,0.567019787831398,0.549691073307792,0.585676984016402,0.548707400539962,0.580455999960319,0.59161715331062,0.559107522997113,0.565068703880492,0,0.615755102721396
"WSH216_S243_L001",0.270966940889578,0.380758579694996,0.283822734669708,0.371877295860869,0.346073612519164,0.302212052003878,0.355334683949529,0.471671199284351,0.702041609412053,0.708166511811716,0.60535999476673,0.664078199953732,0.634588186800423,0.410174012591291,0.435826158572528,0.594361610688491,0.374179176688539,0.466017634730123,0.423580513459786,0.570209377067084,0.384785357811739,0.332860641092244,0.615755102721396,0
