sep=	
Culture:	en-US
Date pattern short:	M/d/yyyy
Time pattern long:	h:mm:ss tt
Decimal separator:	.
Software version:	1.0.4

File location:	C:\Users\dcone\OneDrive\Documents\Putnam Lab\E5 Project\Data\Larval Respiration\20201112\11122020_SDR 641_Run2_P_A5.csv
File creation time:	11/12/2020 10:57:02 AM
SDR name:	SDR-641
Serial number	SEBX0007000641
MUX channel	ON - 01

PARAMETERS
Sig LED current	045
Ref LED current	095
Frequency	060
Sending interval	0000
Pulse lenght	06
Red REF comp.	ON
Temperature comp.	ON

FIRMWARE
ver.4.039.A3.ST	04/30/07, 09:14:36

SETTINGS
Barometric pressure [hPa]:	1013.25
Temperature [°C]:	25.00
Salinity [‰]:	34.00
Organisms per chamber:	6
Chamber volume [µL]:	80.00
Oxygen unit:	millimolPerLiter

TREATMENTS
ID	Name	Color
X	Not set	#ff0e0ebe

CALIBRATION
Wells	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6
Phase low [°]:	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76	54.76
Phase high [°]:	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47	47.47
Temp. low [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Temp. high [°C]:	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
Treatment ID	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
Normalization factor	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000


Date [DD-MM-YYYY]	Time [HH:MM:SS]	Time stamp	Relative time [HH:MM:SS]	A1 [Phase]	A2 [Phase]	A3 [Phase]	A4 [Phase]	A5 [Phase]	A6 [Phase]	B1 [Phase]	B2 [Phase]	B3 [Phase]	B4 [Phase]	B5 [Phase]	B6 [Phase]	C1 [Phase]	C2 [Phase]	C3 [Phase]	C4 [Phase]	C5 [Phase]	C6 [Phase]	D1 [Phase]	D2 [Phase]	D3 [Phase]	D4 [Phase]	D5 [Phase]	D6 [Phase]	A1 [Amplitude]	A2 [Amplitude]	A3 [Amplitude]	A4 [Amplitude]	A5 [Amplitude]	A6 [Amplitude]	B1 [Amplitude]	B2 [Amplitude]	B3 [Amplitude]	B4 [Amplitude]	B5 [Amplitude]	B6 [Amplitude]	C1 [Amplitude]	C2 [Amplitude]	C3 [Amplitude]	C4 [Amplitude]	C5 [Amplitude]	C6 [Amplitude]	D1 [Amplitude]	D2 [Amplitude]	D3 [Amplitude]	D4 [Amplitude]	D5 [Amplitude]	D6 [Amplitude]	A1 [Oxygen]	A2 [Oxygen]	A3 [Oxygen]	A4 [Oxygen]	A5 [Oxygen]	A6 [Oxygen]	B1 [Oxygen]	B2 [Oxygen]	B3 [Oxygen]	B4 [Oxygen]	B5 [Oxygen]	B6 [Oxygen]	C1 [Oxygen]	C2 [Oxygen]	C3 [Oxygen]	C4 [Oxygen]	C5 [Oxygen]	C6 [Oxygen]	D1 [Oxygen]	D2 [Oxygen]	D3 [Oxygen]	D4 [Oxygen]	D5 [Oxygen]	D6 [Oxygen]
11/12/2020	10:59:26 AM	132496883664824200	0:02:30	44.88	46.96	46.20	47.32	46.59	44.87	45.68	44.42	45.96	45.92	44.75	72.80	45.20	44.41	44.76	43.45	46.28	46.15	44.84	45.47	45.77	42.05	46.48	45.99	51345	52895	53888	56705	62477	51476	58855	53168	54650	62487	68322	413	60041	62350	64374	53144	62479	60504	52974	58273	57315	59538	57446	58129	0.2997	0.2236	0.2504	0.2113	0.2365	0.3001	0.2694	0.3178	0.2591	0.2606	0.3048		0.2874	0.3182	0.3044	0.3575	0.2476	0.2522	0.3013	0.2772	0.2661	0.4191	0.2404	0.2580
11/12/2020	10:59:41 AM	132496883814837960	0:02:45	45.93	46.74	45.70	44.50	46.59	45.47	45.93	45.56	43.98	46.11	44.94	31.81	45.19	44.75	45.34	46.01	45.39	44.98	45.52	45.37	46.15	45.79	45.39	45.62	51289	53229	54363	57285	64061	52028	58189	52728	55826	61529	67410	1638	57872	61058	63789	53431	63066	66054	52516	58292	58101	58989	55934	58990	0.2602	0.2313	0.2687	0.3146	0.2365	0.2772	0.2602	0.2739	0.3355	0.2537	0.2974	1.1187	0.2878	0.3048	0.2821	0.2573	0.2802	0.2959	0.2754	0.2810	0.2522	0.2654	0.2802	0.2716
11/12/2020	10:59:56 AM	132496883964848469	0:03:00	47.41	46.66	48.17	50.38	46.77	48.43	47.74	45.19	46.98	47.80	46.07	33.27	47.22	45.18	46.81	44.84	46.18	47.16	46.79	48.71	46.54	46.58	47.25	47.95	51170	50117	55503	59938	63744	52788	58157	52900	55751	62002	67575	6588	57361	60525	62719	54014	63969	67388	52783	58684	55281	61963	58545	58774	0.2083	0.2341	0.1831	0.1153	0.2302	0.1748	0.1972	0.2878	0.2230	0.1953	0.2551	0.9798	0.2147	0.2882	0.2288	0.3013	0.2512	0.2168	0.2295	0.1659	0.2383	0.2369	0.2137	0.1903
11/12/2020	11:00:11 AM	132496884114851447	0:03:15	46.01	48.83	45.14	45.99	46.39	46.89	46.81	44.46	47.09	46.02	45.04	71.35	44.87	43.98	45.31	45.70	45.84	45.38	45.31	45.14	44.30	45.36	43.91	46.07	48176	52951	54670	56467	62048	51578	57342	53240	53778	60513	69278	694	60231	62762	63009	53852	62271	64724	53179	58047	57158	60918	57054	61029	0.2573	0.1621	0.2897	0.2580	0.2436	0.2261	0.2288	0.3162	0.2192	0.2569	0.2935		0.3001	0.3355	0.2833	0.2687	0.2635	0.2806	0.2833	0.2897	0.3226	0.2814	0.3384	0.2551
11/12/2020	11:00:26 AM	132496884264858535	0:03:30	47.67	47.29	46.07	44.29	48.42	46.42	48.65	43.48	45.69	44.53	46.75	91.95	44.73	47.01	45.46	46.69	45.32	44.95	51.88	48.33	47.11	47.03	47.15	45.60	51988	56175	57678	56838	63872	51776	58387	53901	54116	65672	68997	496	60582	60684	63093	54090	63600	65880	48518	56465	56360	59872	56831	57995	0.1996	0.2123	0.2551	0.3230	0.1751	0.2426	0.1678	0.3562	0.2690	0.3134	0.2309		0.3056	0.2219	0.2776	0.2330	0.2829	0.2970	0.0731	0.1780	0.2185	0.2212	0.2171	0.2724
11/12/2020	11:00:41 AM	132496884414857095	0:03:45	44.28	46.90	46.38	44.72	46.34	46.01	45.72	46.52	44.67	45.34	45.14	8.35	45.25	45.87	44.10	45.44	44.12	45.17	44.73	43.76	44.75	43.93	45.57	45.04	50793	53471	53171	56434	62479	52434	58702	53821	54717	62346	68470	1054	58522	60337	63592	53373	62827	66463	52528	60473	56448	60526	58766	59014	0.3234	0.2257	0.2440	0.3059	0.2454	0.2573	0.2679	0.2390	0.3079	0.2821	0.2897	20.5164	0.2855	0.2624	0.3306	0.2784	0.3298	0.2886	0.3056	0.3445	0.3048	0.3375	0.2735	0.2935
11/12/2020	11:00:56 AM	132496884564864749	0:04:00	44.98	47.23	45.35	44.92	45.97	45.91	46.01	45.87	44.84	46.29	47.28	79.55	45.55	44.24	44.72	45.10	45.25	45.19	45.07	44.94	45.96	44.83	44.82	45.94	51519	52811	53334	57525	64418	50926	56932	53079	55937	61175	64163	1433	61580	60463	63991	53103	62001	66680	53279	58431	57084	60161	57444	58915	0.2959	0.2144	0.2818	0.2982	0.2588	0.2610	0.2573	0.2624	0.3013	0.2472	0.2127	-0.4109	0.2742	0.3250	0.3059	0.2912	0.2855	0.2878	0.2924	0.2974	0.2591	0.3017	0.3020	0.2599
11/12/2020	11:01:11 AM	132496884714870182	0:04:15	47.34	48.07	45.78	43.50	46.18	46.10	46.67	46.68	45.86	46.83	45.95	31.60	45.00	45.43	45.48	45.51	45.22	44.94	46.90	45.17	46.06	46.02	46.96	45.27	52335	54028	56755	55310	63348	50784	59224	53747	54834	62460	68357	3500	59236	62403	63303	52416	63171	65469	52083	55858	58260	60091	54198	57695	0.2106	0.1864	0.2657	0.3554	0.2512	0.2540	0.2337	0.2334	0.2628	0.2281	0.2595	1.1402	0.2951	0.2787	0.2769	0.2757	0.2867	0.2974	0.2257	0.2886	0.2555	0.2569	0.2236	0.2848
11/12/2020	11:01:26 AM	132496884864872015	0:04:30	46.35	47.74	45.50	46.43	46.14	45.31	47.09	45.30	45.82	46.69	45.30	64.06	45.79	44.46	44.46	45.82	43.96	44.13	44.31	46.24	46.04	45.11	44.53	45.54	50894	52862	54434	57577	61021	51493	57716	55332	53943	62408	68896	780	60914	60244	63572	53514	62762	66472	52780	58158	55839	57982	57471	59858	0.2451	0.1972	0.2761	0.2422	0.2526	0.2833	0.2192	0.2836	0.2643	0.2330	0.2836		0.2654	0.3162	0.3162	0.2643	0.3363	0.3294	0.3222	0.2490	0.2562	0.2909	0.3134	0.2746
11/12/2020	11:01:41 AM	132496885014872092	0:04:45	44.68	45.67	44.85	43.07	44.84	43.19	43.37	42.41	42.21	43.96	42.72	33.96	42.98	42.98	43.04	43.88	42.92	42.85	43.31	43.18	42.96	43.71	42.94	43.41	51274	53928	53813	56751	64879	51672	58298	53049	54173	61491	67398	1764	62435	62965	63058	53939	62258	67272	52891	58194	57604	61038	56375	58747	0.3075	0.2698	0.3009	0.3737	0.3013	0.3685	0.3609	0.4027	0.4117	0.3363	0.3889	0.9203	0.3776	0.3776	0.3750	0.3396	0.3802	0.3832	0.3634	0.3689	0.3784	0.3466	0.3793	0.3592
