sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39
WSH046,185,0.01700588047613721,0.03184491380040084,-0.0037939751366647466,0.00416018419730913,-0.048172598121236546,-0.05248258554851346,0.0036304590313155226,-0.024588564391569225,0.03785818525995881,-0.005198958065580675,0.010703001999169523,-0.003054154284672798,0.012343918743338025,-0.003650687738381245,0.0017928406690050438,-0.008830923643493855,-0.00025402168014516263,0.00311232104979054,0.0012019730700747733,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH047,186,-0.03665355122261132,0.06120185155229592,-0.01540718223138443,0.014762628087564513,-0.062178006153747856,0.019363437421249352,-0.02228713920613107,0.02132148619111296,-0.0008215301756510112,0.008683913026497101,0.009981792394530191,-0.012140275016748183,-0.021839128155622174,-0.010873510012550621,0.006157784739022566,-0.003585565266516136,0.0030147610713764186,0.00037236800157836335,0.0010478324391148884,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH048,187,-0.04809316507374827,0.055744726529493686,-0.02738285885989929,-0.010210013075241532,-0.022924468766860263,-0.054745502824931486,0.020541322398665258,0.014864731295360253,-0.007499191444271642,-0.010822807763539019,-0.01057516279051936,0.020886530527282347,0.0021731360352898383,0.00867290194261995,-0.011989095360151573,0.002169342457441588,-0.0014376900882874296,-0.0004790712056110708,-0.0017535960796064664,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH049,188,0.054739333110663174,0.00397226583062863,-0.06524162248802515,-0.023433174265451388,-0.021014035600604566,0.0016397884180844717,0.0027419229220406183,-0.0032545232277616156,0.017862049813843678,0.010109940813705922,-0.013687681316639402,-0.00355740631861302,-0.0002475096964714823,0.01212573314054596,0.011606458598091077,0.006411264000589571,-0.005373710442019788,0.006546662432467854,-0.0008007674529840903,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH050,189,-0.0006202966536936644,-0.014953358927929289,-0.06365410234459734,0.008507713439469489,-7.647019008186806e-07,0.014236563162089192,0.06046371056055664,0.012863861461561777,0.0037970884710572866,-0.01685513376846808,-0.006709201848633266,-0.004131434996362199,-0.0002982233781878402,-0.00906023346916333,-0.009404963087850922,-0.005577025007165103,0.0028315389298543187,0.0009365795975825825,0.00043113290740460586,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH051,190,-0.08656418014130354,0.05569133422173386,-0.05498710919943941,-0.03222305188847505,-0.016919572467802953,0.02059126793543793,-0.013333442346245368,0.033198404561503116,0.02354558111416855,-0.0054020540556628475,0.005307909397919509,0.01804557284401725,0.01493704065512332,-0.006031866758829472,0.006659767425579891,-0.005259238395143566,0.0005573656383682618,-0.0009204972637002486,6.75443235747905e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH052,191,0.005756167362878823,-0.009470566241334785,-0.022537451527737302,-0.07622197277985154,-0.013743228039280663,-0.011941291095542185,-0.02661936906322946,-0.007213980418794195,0.0013524423600656777,-0.000922826999538317,-0.00365007698444536,-0.016092473650114625,0.0028544939738489967,0.015252037506278014,-0.00979297268068039,0.011121863454103948,0.010804364305511965,-0.007055626213778147,0.0010634545285159458,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH053,192,-0.04751407705701866,0.0075052927779642046,-0.0068692398178644976,0.04665329916786545,0.01823283749877519,0.02548140225538203,0.002618932398968648,0.0031226719391459017,-0.01581072515088004,-0.031159950513282752,-0.007956537722592161,-0.024078553807182785,0.012106747415556993,0.009346804831670883,0.006752190311716124,0.010647988912904834,-0.0013764760952740171,-0.0010047580366483943,0.00025351386717078155,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH054,193,-0.050151178094272914,0.03484732304379143,0.00909431185527227,0.048811829117933137,0.023251995450561436,-0.040561143615431054,0.007120325874666661,-0.00538036996460126,-0.006721683063270783,0.00869550499108712,0.013586851324890207,-0.005044488899377578,-0.01155820482195673,0.012021913211781317,-0.005803358306122493,0.002014559072038294,0.008177414083628529,-0.0027461187777072043,0.0043926876819419146,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH055,194,-0.12348734778620724,-0.0002684542516987594,0.029777492603570526,0.017775644701445728,0.04078112773372914,-0.011201599958490252,-0.03392631142956108,0.021503178584263268,0.022392648939676622,-0.00010389858992439763,0.012412439811653882,-0.0009490583933402598,-0.008219912196911015,0.005033336645769947,0.004540588442406811,-0.0024384961641288902,-5.758856163230155e-05,0.0071627137100889445,0.00562083576245888,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
