,compound,Egg-Fertilized_F1_8,Egg-Fertilized_F2_4,Egg-Fertilized_F3_18,Egg-Fertilized_F4_12,Embryo-1_F5_39,Embryo-1_F6_7,Embryo-1_F7_23,Embryo-1_F8_29,Larvae-1_F9_6,Larvae-1_F10_19,Larvae-1_F11_44,Larvae-1_F12_5,Larvae-2_F15_46,Larvae-2_F16_11,Larvae-3_F17_43,Larvae-3_F18_26,Larvae-3_F19_17,Larvae-3_F20_9,Larvae-4_F23_1,Larvae-4_F24_24,Larvae-5_F25_2,Larvae-5_F26_22,Larvae-5_F27_15,Larvae-5_F28_13,Larvae-6_F31_16,Larvae-6_F32_14,Recruit-1_F33_3,Recruit-1_F34_47,Recruit-1_F35_10,Recruit-1_F36_28,Recruit-1_Plug_20,Recruit-1_Plug_32,Recruit-1_Plug_35,Recruit-1_Plug_37,Recruit-2_F37_45,Recruit-2_F38_27,Recruit-2_F39_21,Recruit-2_F40_25,Recruit-2_Plug_31,Recruit-2_Plug_34,Recruit-2_Plug_40,Recruit-2_Plug_41,Recruit-2_Plug_42,Recruit-3_Plug_30,Recruit-3_Plug_33,Recruit-3_Plug_36,Recruit-3_Plug_38
86,2-Hydroxybutyric acid,66774.22335,18880.90411,581637.7981,36623.71037,33596.26256,27853.31059,35585.71655,45919.65294,40909.95034,18284.96916,50838.81973,18677.15313,50974.52071,152828.9069,124255.7205,18364.22087,53659.25782,18657.25855,15579.61119,51029.15343,21955.08635,39043.33404,45663.76311,57626.86775,34152.64449,86096.11956,34085.13775,409787.2526,18886.65554,34226.29244,58362.76417,94269.66922,54491.16048,69804.5447,106807.4909,16279.23739,36350.44012,26575.28718,161639.1501,152213.4657,130660.1031,187954.415,77047.01439,80630.10406,64008.015,130372.8926,54779.39087
34,2-Hydroxyglutarate,3190402.547,3076397.331,6441783.578,4240837.628,128328.9517,241047.7265,195583.4672,210105.0561,350482.157,100034.3785,234362.5015,261981.4159,195265.0968,208263.8518,75998.64877,82843.74147,70305.17278,88305.11586,201769.0217,97552.79243,131380.5381,80487.88534,92827.17526,113628.3791,87840.00449,67090.63183,244526.968,200825.762,194935.1387,67439.79711,126182.5611,84191.89637,98516.66588,92765.84045,134269.6297,115648.4374,91437.65324,102346.015,71959.59872,107300.1504,117261.092,132093.4001,96970.04137,213258.6829,86020.34264,107494.9062,159190.3412
80,3-Indo-L-tyrosine,0,1989.549507,3376.342264,0,2125.925636,0,8276.729201,13196.95167,1799.836555,25485.87295,35252.20565,24354.63071,80855.13701,5443.532765,0,1600.067223,1765.144327,20086.24902,0,4337.275139,47003.96487,0,0,101044.4831,32377.47837,0,17264.99381,15463.57129,9451.477257,0,8648.434805,0,1826.710303,0,14127.42225,34255.44729,0,76835.97519,0,0,82444.51719,0,0,18692.50794,0,0,718.7037898
96,3-Phenylbutyric acid,38171.17802,41465.03334,62649.20289,31005.11036,123950.3055,69323.77993,124815.7989,123335.6515,99732.89917,88119.07491,133032.0199,71229.21902,176525.1625,84258.80457,146882.5651,252106.7581,64852.3478,70876.26949,52176.63553,260082.8403,71108.97752,190733.0143,137697.5378,104407.8037,116753.4364,58101.10687,65162.70742,240418.8733,65360.39883,195342.8424,266931.8797,131801.9892,150468.2691,72272.63664,220916.2583,235860.4781,158960.042,194862.7862,152558.3918,120514.651,132750.9509,84141.3758,139700.3708,247933.5502,125490.6783,175685.7518,85745.82217
4,5-Hydroxylysine,491025.1298,395694.4256,900894.4285,749505.2609,133044.6715,92307.21356,128815.7691,147203.4058,26358.88167,32283.53589,76959.8968,40992.27938,50739.84195,31492.04165,3925.956281,5503.365967,1637.720506,7757.77719,4193.914034,6998.633463,850.9151832,1056.134467,1823.21898,880.3796314,2469.272943,0,1240.309302,8174.027834,1190.383186,922.132911,3967.36949,1595.344015,3471.47918,1782.707417,2420.30595,0,1166.191144,4742.689544,990.6507109,1054.146164,2072.393397,0,1883.632269,5420.281572,1016.010684,1463.046383,4448.974168
74,5-Hydroxytryptophan,40701.28844,35668.12105,62715.38649,64204.45543,21431.09217,21425.99629,22668.69457,28223.23066,8183.698182,5821.352799,23974.46887,11808.12187,12836.60387,8165.319089,1242.908362,1421.295754,588.9653232,2033.245772,710.7189998,2039.77913,0,838.6655469,1517.687065,0,0,863.0186524,0,1421.470747,0,893.2610014,0,977.1299218,1288.02478,1178.216886,0,2361.797307,1018.610694,0,1085.403068,1018.156286,1396.950828,0,884.8449229,2362.641327,975.5260878,1251.217413,1256.679734
98,5-Methylthioadenosine,24314.2002,14140.89186,73660.81994,25078.18889,2910.014594,23139.25755,42383.32688,54964.92455,25968.10445,38098.72806,10061.2347,51540.50758,15947.86395,54675.81929,0,5578.41035,2891.0046,10310.48997,5377.551751,16822.65973,1444.858759,3915.155107,9909.148761,0,2212.536935,0,2285.786594,0,0,0,0,0,0,0,0,0,2085.131138,3045.350388,0,0,0,0,0,0,0,0,0
47,a-ketoglutarate,1497750.366,1167580.318,2279500.978,1931349.184,591148.8167,544577.8626,640562.9243,704555.7874,403027.2421,393843.7371,958526.061,544251.3227,464186.4038,321331.5594,70833.10863,93403.37785,43935.38293,82199.85369,62208.48314,120993.2526,36362.26092,39059.67008,58300.36828,20452.9799,42429.27338,19176.34306,173499.6466,155803.5161,61526.8994,61154.63114,97452.71393,57366.86838,107671.8877,64502.90711,55205.97617,40310.25347,40345.45192,109482.9132,26859.76923,55577.00004,48730.26974,39003.17226,34625.80772,90606.5156,48688.55706,44348.33851,140224.271
127,Acetyl CoA,16459.15511,18338.36684,60980.86601,37563.22905,20341.89806,14739.65661,19179.93355,22074.09495,3791.125122,4174.119353,9436.189083,7943.5982,16910.53733,8574.002332,1293.095748,1267.420873,1107.110478,1281.462842,1480.739242,2491.336934,925.0252905,689.555031,964.4192079,0,0,0,1204.524213,2843.228341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283.95816
71,Acetyl glycine,192150.4316,100904.6146,91755.4042,60464.15412,44837.23779,133381.5097,79772.26653,119777.3366,202539.4185,42862.5431,103033.9327,137706.7739,189842.2135,54622.66365,106206.1633,51612.4911,41153.53127,124313.1268,85452.26569,79934.70003,97616.90084,49488.23206,55765.47705,5901.676151,33316.99355,14028.31895,247414.5718,83476.5679,169064.1324,191813.6219,127947.2823,16834.03813,57534.33863,45330.05756,54394.03229,24259.61666,36732.92277,101957.7395,6657.105626,24432.02154,96251.46634,23815.63365,57366.97827,155004.2992,17076.23407,20591.52534,44484.65475
