,compound,Egg-Fertilized_F1_8,Egg-Fertilized_F2_4,Egg-Fertilized_F3_18,Egg-Fertilized_F4_12,Embryo-1_F5_39,Embryo-1_F6_7,Embryo-1_F7_23,Embryo-1_F8_29,Larvae-1_F9_6,Larvae-1_F10_19,Larvae-1_F11_44,Larvae-1_F12_5,Larvae-2_F15_46,Larvae-2_F16_11,Larvae-3_F17_43,Larvae-3_F18_26,Larvae-3_F19_17,Larvae-3_F20_9,Larvae-4_F23_1,Larvae-4_F24_24,Larvae-5_F25_2,Larvae-5_F26_22,Larvae-5_F27_15,Larvae-5_F28_13,Larvae-6_F31_16,Larvae-6_F32_14,Recruit-1_F33_3,Recruit-1_F34_47,Recruit-1_F35_10,Recruit-1_F36_28,Recruit-1_Plug_20,Recruit-1_Plug_32,Recruit-1_Plug_35,Recruit-1_Plug_37,Recruit-2_F37_45,Recruit-2_F38_27,Recruit-2_F39_21,Recruit-2_F40_25,Recruit-2_Plug_31,Recruit-2_Plug_34,Recruit-2_Plug_40,Recruit-2_Plug_41,Recruit-2_Plug_42,Recruit-3_Plug_30,Recruit-3_Plug_33,Recruit-3_Plug_36,Recruit-3_Plug_38
29,Acetyl CoA,0,9012.866621,7871.634977,21150.85721,6881.006695,2143.544105,2471.486476,0,0,1788.192791,0,0,0,3312.262407,0,0,0,2237.287587,0,0,0,0,2343.421557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Acetyl glycine,321164.9835,260591.2892,544255.2596,463494.6441,220922.454,196111.3815,302262.2355,335399.3299,125224.7851,169063.0213,252614.1243,393352.5535,295668.1222,309148.03,181801.4839,98471.46008,50685.54599,201368.3392,61068.34258,109553.887,125052.1419,106741.1956,79354.40868,43506.73328,69479.42246,26852.87833,117016.5145,160691.3281,61917.81582,63029.06809,224377.3785,81920.14573,73375.65962,90846.89012,77420.10412,110507.4389,84425.83881,116788.7703,18558.40333,55589.94437,110554.3347,42623.53072,54875.96496,89854.85329,40902.66431,113029.0022,65599.6249
50,Acetyl-arginine,0,0,0,0,0,0,0,0,2217.524798,13299.0185,0,0,24841.56408,9561.298221,5586.452876,7546.806048,3211.431178,16545.86467,4242.069995,12026.43243,2835.807741,2224.805918,5213.531859,0,3487.891687,1650.90349,0,5691.873666,3282.739689,1932.904033,7152.797389,5054.048335,8719.026003,8356.127056,2606.223451,2181.2159,1301.204701,6647.451181,1305.071284,2946.646398,8042.898796,3318.946389,5692.418054,3764.450776,1209.721955,3664.712174,5393.245054
39,Acetyllysine,1516066.979,1310467.408,2973077.891,2098761.58,951360.2158,678859.1925,919683.2379,1201603.023,242845.8471,351990.1035,851259.4504,421387.0481,613277.3826,358038.4688,71006.05452,87306.43478,46925.66025,85431.65871,63422.49138,146200.2928,41169.62053,38047.37826,55663.09007,14562.47375,41083.82986,8331.796172,54882.92436,285777.4843,45987.01744,33877.23279,78032.9715,29353.64391,58016.84598,46261.61474,64761.36645,29283.29349,17545.51975,42997.18036,4611.921374,28406.92548,53107.59002,15397.45555,32571.34601,23564.24406,17073.86077,18185.1326,52648.01882
76,Adenosine,8194536.623,9653931.395,2905463.023,2997415.666,179619.2525,159761.4056,210396.803,343283.0263,349682.3258,62594.1473,68083.63679,45971.4585,116863.7952,182737.8651,111118.4763,199845.1468,153342.1017,1583681.326,1455383.912,728166.1726,64176.13213,125094.2222,249218.3528,55805.01121,801914.3669,248644.4304,1412416.02,5362370.795,719968.0347,425154.4198,12020336.33,8555520.399,3104974.672,5138415.376,993519.0693,639655.3006,476923.2805,1337748.032,504251.9135,3466011.642,2248236.389,1304749.361,2089043.755,3050931.749,1820254.933,2009117.484,4397536.047
14,ADP,216464.5256,160569.8649,394887.8377,267719.9078,57655.58641,36166.84203,41997.34712,54458.29642,17879.50809,27815.32814,62481.60596,23258.57201,51821.40239,37727.47857,8706.949994,10143.59808,8180.477432,17529.91228,12085.70088,28560.44456,8863.902735,8196.969579,11709.10184,3829.520772,3245.53458,2561.823348,6257.837528,20590.97606,9158.209963,5258.283116,1911.728941,0,792.4121303,0,6168.339829,2517.783547,1037.071758,3664.187377,0,1053.39041,1662.911494,835.6562708,921.2138964,1234.908658,826.1404565,0,838.6948098
23,ADP-D-Glucose,12614.98782,10544.96489,31666.40456,20508.78902,5161.365971,6264.88833,7203.54384,11634.2096,2776.19002,4549.557496,9418.636221,4779.423112,14929.39296,7058.252245,1233.166396,0,714.6117271,1256.357202,1630.670644,7980.52576,721.1684283,1082.290867,1067.485691,0,0,0,0,2780.833723,0,0,3121.94702,0,1763.00032,0,0,0,0,1615.843037,0,0,0,0,0,0,0,0,696.107551
102,ADP-ribose,412578.1956,382053.8375,685554.7577,400210.5155,191282.4991,188969.8385,288955.2786,371985.0131,27324.77676,32898.97442,73991.36621,11773.94645,13196.67401,6405.917598,0,1165.990716,550.3086328,5075.216142,1642.182682,0,0,0,0,0,0,0,1106.40908,2911.039943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Alanine,326527.7068,168176.1735,513612.1628,356917.9744,64122.49694,29110.18492,32632.14963,96154.66985,50869.37057,53854.79619,96439.03116,71457.7308,63341.39264,99777.07994,42125.37619,21518.3478,15876.4797,66446.88353,35341.6531,57226.54806,15598.69964,20927.72464,44526.93936,40171.07571,44331.46828,42623.10872,43690.74181,62338.32795,40350.34473,36622.07215,131182.5048,59272.38261,79999.56003,104762.8452,30020.11117,54836.49261,44762.16944,81222.51635,47557.71545,62142.73099,115963.2043,50206.97728,73883.28542,129163.1531,64202.40925,58839.94761,169463.3612
27,AMP,4189180.926,2892301.955,5354149.251,3054711.752,180055.4888,278824.6935,353540.8276,506508.6982,163267.9653,164243.8895,200764.8126,87495.35101,302022.1346,226153.6589,59202.24847,107416.6263,100160.2699,514539.6849,494911.6691,442579.9677,94965.3551,146568.5946,191109.0504,37754.77488,188774.9288,37458.43217,463978.6166,1643688.706,237368.09,140828.618,321457.4372,49120.88396,315208.188,193864.6443,248994.2524,149305.1544,98709.01744,446496.6736,18083.88911,90475.18082,220262.6412,37675.61609,159075.0614,60875.72576,50773.21872,26819.29906,299080.0273
8,Arginine,4392155.429,3218643.481,6574656.365,4796700.003,1604565.287,1327403.878,1767479.876,2340071.873,670675.89,919937.8481,1596274.983,836241.4213,977519.4578,1457664.877,81167.73448,100327.3512,106940.4684,162207.9818,228320.5146,347466.7468,74551.03397,61691.31306,181231.598,13268.23137,43942.89468,14826.1845,57004.97775,124488.6526,42096.68483,15537.84366,130212.0712,23146.29156,233019.5224,120920.6563,51259.30325,15716.40967,13783.28512,50738.09298,21145.86555,41177.27909,109008.5906,21364.46261,83660.84929,53797.7309,21389.70364,21061.75927,205395.6201
121,Arginine-Alanine,331617.3274,335858.8681,697365.4711,543775.7913,35997.18634,55570.43934,72776.139,76292.46514,20804.93526,17392.49032,62299.86425,12546.82527,57098.33839,38907.42397,3231.52856,3996.533374,4104.380864,4604.224171,10440.89428,5006.627932,2021.309796,3426.729991,8298.316287,0,2790.9445,0,2231.619217,16618.32784,1614.715037,1519.844718,13596.68454,10153.43651,11255.33651,8626.857872,2026.521306,4168.475182,1381.44048,8219.810982,1203.388513,3237.385579,4301.916411,2421.809994,3770.962449,2208.006481,1616.066016,1360.336097,8697.605499
122,Arginine-Glutamine,2451574.966,2121166.033,3006890.635,2416432.452,311985.7671,267866.5339,469738.8259,399092.2998,41529.149,40519.69601,180810.8707,89474.68795,127768.3187,113693.7959,21218.94834,20399.09793,11107.5967,20421.93172,30396.39218,72022.44606,26902.99206,44296.07755,50035.29174,2668.54181,87457.53188,17877.93414,21036.75222,24427.80865,7020.336019,6323.593652,94742.58999,24740.34794,75475.5374,88759.90049,8677.811228,3154.054441,4711.531891,14993.16929,3407.501203,17157.85014,47066.91627,8272.583441,41297.50698,56108.43589,22944.15113,30321.84048,148534.0766
123,Arginine-Valine,152021.6837,118165.4269,164537.2763,183090.2236,25730.19671,49260.62578,56826.06952,57604.05465,15902.6161,17632.80736,33993.58847,16754.7646,30123.52446,33567.15566,2882.4969,14405.8706,10784.7453,7584.131817,19556.74826,20122.86878,6795.981869,11942.77851,17513.20486,1991.504684,6817.568086,2894.318078,5978.644381,8788.613045,4281.486753,4152.699229,13814.69067,6261.672252,19636.42125,18541.37931,5311.629451,3310.994471,3962.198569,4790.806649,2053.289157,6004.591752,3737.314791,3169.757066,4537.564995,3549.397645,2229.353702,2110.047651,19656.7738
43,Asparagine,203318.332,139359.0242,462329.0216,257050.5287,79676.71728,66026.37537,95958.17947,123863.9339,39871.54352,49318.81928,131522.9671,68109.78228,131563.9463,91765.17198,19180.95684,19299.42883,11526.76655,21989.8226,12194.23157,31349.92457,10615.83471,10028.94883,20962.18599,2276.186939,13955.94781,2088.266619,14467.36743,38447.04555,13018.32945,9760.948551,35874.21668,13540.94865,29405.92193,20179.80025,13115.02076,8082.833011,5151.04211,22442.93848,6315.083608,17209.80145,18803.00784,8224.891315,15164.53116,18106.75604,9271.279571,8219.976461,28772.41547
33,Aspartate,205809.5126,218837.6985,523710.0219,374198.901,118879.7659,97932.07878,147414.1061,188108.695,73428.15103,100651.4662,193831.6739,99102.16283,141849.9923,75187.02272,17950.59272,18816.97793,12144.96629,28509.09861,21530.22257,42267.02884,17262.69044,16760.91703,23973.92593,7508.41012,18008.01392,3465.410525,21183.60427,68622.68436,16835.44541,16479.7143,44704.0358,15535.94145,34166.234,25762.51358,24744.27735,10371.09498,7885.354456,35649.75367,4948.636745,17930.8879,24531.55712,10199.08552,16794.98367,30489.26405,8404.725114,5599.952383,26692.25993
4,ATP,31231.56393,15448.57938,148463.8134,130272.3087,289340.9387,92957.90314,96426.69588,116039.6779,19963.97451,34054.79704,167874.2625,33771.45354,139246.3689,57483.21456,15383.76506,12072.13653,9368.164774,7085.677934,8402.326795,28700.5736,9313.184643,7491.495596,9158.820864,3382.14848,1456.096206,1232.830103,3028.610795,11913.34945,5688.192317,4122.101239,1964.980845,1115.645679,0,0,6568.367743,1833.995156,1178.590238,2243.974075,1065.549361,0,7309.037721,1387.726105,1052.705935,2220.535192,0,0,736.2987258
63,Betaine,3467238586,2932739430,6334635091,4776337539,2745656569,2280839166,3093447837,3789438303,1605865446,1846139675,3592062961,2023069693,3842086410,2000988669,1206557198,1223455927,510924930.2,1281914912,773856515.2,1735366042,782172418.9,735152670.1,878547940.3,432315062.4,819477022.2,318126329.6,854522526.5,1794949382,854286278.5,731503162.4,1226575931,634684681.7,809773004.2,844183499.9,1025593019,734468066.8,493377366.4,1356865082,264906121.4,572398304.9,1057672641,458362904,725862143,793497502.3,469645694.7,552680295.1,830379378.6
51,Carnitine,290227088.6,248095436.3,504552461.7,375959664.7,259766953.6,205486672.1,285943868.1,343525833.4,129399199.5,149226492,329052169,169598139.4,257609533.4,116887042.1,49508981.38,51607203.83,21037803.05,52546252.13,39001641.74,97412437.82,24408478.87,26068377.2,32728537.74,5530962.944,27523705.79,4280459.719,29845009.68,98051015.35,24586611.34,19947220.91,63022126.81,21474908.73,50861069.91,37760757.24,37150676.91,19803666.11,13131617.38,56324358.94,3762096.896,18425203.2,41245745.57,10165813.41,32081609.8,30469291.95,12931707.86,17626795.35,46747404.39
30,Carnosine,61281.22705,34530.09807,506355.5335,80401.6068,38154.83233,28649.43556,21902.83027,35671.47811,4844.314927,7619.522434,41118.80964,15638.90923,52785.29611,71828.96438,0,0,2753.270701,2797.606493,0,3484.873717,0,0,1992.05523,0,1601.584451,0,0,21495.13236,0,0,0,0,1386.342683,1403.202095,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CDP-Choline,4678920.563,3930144.791,11135886.36,6985476.397,3499472.749,2766318.227,4326135.284,5350785.058,308695.8738,465423.6481,1194273.81,549190.2535,80471.32756,40170.80276,7438.00612,7784.491405,4731.65293,11055.2745,8691.662257,20467.24851,6342.492762,5082.992874,6887.183358,0,3377.948997,0,3174.892189,28949.45407,6553.274797,4844.528187,9971.081294,1695.78383,8576.801968,3771.698855,7655.051097,3466.553111,876.6165543,10086.12344,0,1201.177315,6664.066895,0,3591.723012,1032.834164,0,0,1196.721451
101,CDP-ethanolamine,879342.2734,739017.7622,1625464.213,1328240.764,426346.4118,333877.7179,481219.5465,610130.386,131147.0844,193001.1044,494914.6229,235340.0637,196396.3509,99375.73179,26406.05079,30486.5536,14786.62378,31665.74183,27493.52502,57260.86452,11650.30762,10383.81339,16272.36129,1491.375959,10161.11592,0,11361.74872,39864.83965,9735.578911,7537.151314,13597.36675,6728.325959,15867.32125,11008.93048,13425.08604,6964.105566,5740.876877,19579.02197,0,2929.273402,12221.42513,2011.621047,6969.199955,7913.819084,1284.66931,4198.375424,10556.11765
83,Citrulline,163717.5161,205049.4852,481423.2033,190368.0381,20490.61096,23537.91632,37465.01937,45425.83116,16971.41982,18612.41373,49169.77813,22202.15755,56919.03341,63345.448,7437.119581,12072.4267,11880.09742,16787.87276,18426.09733,26091.96383,14537.68527,9958.999759,15764.8138,3368.58254,10961.86769,5496.756744,21166.08719,92051.16434,16993.26964,10957.92891,34735.46032,11337.74622,20716.27875,28012.68186,24677.50143,14696.10046,6008.509353,29860.31192,6824.166429,12534.85403,18472.31312,7409.829371,12736.87388,37559.91012,15562.13584,12641.71128,33919.73309
100,CMP,134355.8908,105687.3837,222977.8865,192999.1315,63745.75077,50364.23113,67255.92157,96201.18425,21794.74065,29108.24359,74573.38623,33449.51958,31560.24637,12742.60441,2455.643367,4852.319048,1699.759084,3383.115644,4456.115529,9911.74506,1274.615096,845.7307934,1047.240467,1047.378279,1422.562009,0,1219.837028,5144.303862,0,0,4965.572823,0,2346.556812,964.9591036,0,1479.083108,806.3233734,1908.331307,0,0,0,0,1033.792905,1204.163709,0,0,0
26,Coenzyme A,2244.400252,1615.536476,0,0,14427.32837,3732.686071,0,3168.981558,1280.209448,0,12452.79601,1518.184576,12968.37178,1738.607052,1191.366564,0,0,0,728.5399974,0,0,0,0,0,0,0,0,2373.54957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Creatine,103904.0978,101131.0914,236355.5821,108907.6825,109924.1932,62901.06284,103660.4002,67635.47528,76661.37682,55841.78431,103502.0315,90288.93614,466693.9881,189171.4684,138998.7915,96681.97186,31569.91198,163995.9592,44651.92967,39182.72334,75145.9767,24630.63974,28965.10804,39387.47959,62148.27601,27850.89681,47235.7244,18603.2496,50875.98862,35700.12137,144438.4638,72136.72984,100731.4387,127078.6175,20143.04918,40633.53692,39283.21786,82874.25173,41986.07024,81025.08152,99720.53152,426927.2655,79635.69633,142271.9572,78155.65175,84519.78346,136338.9548
74,Creatinine,1486480.449,1194220.32,1705705.443,2027172.779,594050.3418,447344.7699,655117.0328,675454.8421,138847.21,129240.1667,376015.4708,245724.0814,117503.2908,113360.9812,51205.63068,41873.95481,42909.15272,48660.13422,44427.89995,56518.86357,29623.50695,29564.76769,39019.39539,23077.49684,37901.05197,32368.31683,61396.70083,100943.0509,45939.28396,42460.36198,94048.75401,52730.36053,40532.99591,59107.08153,41200.82118,34318.05282,34249.10756,35087.53485,34281.83524,81023.87053,45987.17665,71664.23392,41180.66835,94302.18803,48341.2155,42823.59261,43347.3434
2,CTP,1317.715824,0,0,0,9391.334731,737.7161562,1747.564831,1784.239848,931.3320785,1012.158846,7914.702599,1100.990239,2382.704308,897.6091089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173.055437,0,0,0,0,0,0
84,Cytosine,1337741.488,1122398.445,2421796.591,1988024.248,1859848.293,1001122.388,1828333.321,2476344.299,139530.8442,220956.5477,582832.2546,250132.1509,201589.1382,114058.2815,39270.24992,38489.74154,21575.50946,36857.43131,21467.29496,71481.81863,13909.34852,16111.13493,19518.54248,12788.4853,16471.01257,6544.795904,15505.16539,54686.64972,17400.00226,13583.42076,29176.21863,9078.455838,21079.0603,21769.14297,25305.77929,16395.67928,10312.93441,36562.66255,5738.878553,13284.02605,24930.65246,5137.16885,12487.10302,19340.99558,8709.169652,8992.716096,16408.87131
79,Deoxyadenosine,423061.9624,331427.4535,233630.9101,286969.1064,134119.0371,101512.275,141923.1247,181335.1116,138144.4772,78283.22361,359607.0274,194770.0005,85125.58626,94375.55113,11279.71849,15732.14049,4352.00737,15185.98262,8374.081447,20317.17509,11078.55818,11162.65198,25594.48262,0,8902.629883,1775.181386,8498.067527,39890.52029,13546.27255,21475.02815,64453.68337,24384.20197,34681.47388,36981.27531,25786.24183,8862.031014,8900.595017,7894.912011,7168.143703,13025.17307,21276.35976,9896.235736,26512.50896,17053.65213,10949.84764,11686.22221,27370.07015
107,Deoxycarnitine,4237116.528,3837840.897,8276432.871,5872409.956,2470719.126,1717622.954,2499762.534,3067369.338,970257.9875,1461539.416,3606399.058,1839509.993,7377795.892,3510643.64,790798.6748,649364.2058,246857.1796,615264.2207,400265.3802,942940.1978,192239.2028,202650.8907,300484.5872,82072.64112,256355.629,61584.72291,544659.9335,1111454.901,267375.968,211429.9163,572543.46,252105.9367,498221.1464,323000.4152,484578.1615,128721.0049,76093.72978,512655.8199,69447.39015,223721.4943,365077.4492,123769.0374,245410.8242,471363.1452,185493.5656,216619.386,776569.0916
110,Diethanolamine,6942474.966,7772438.106,10873002.27,10244912.66,8407991.304,13481212,6263375.362,7576338.923,18608408.39,9022794.589,13970288.66,14429555.54,26092466.58,17124458.08,16577716.86,8405599.641,14369745.95,18406946.79,12920717.6,9579007.366,12551186.86,9484575.352,19387695.23,16820870.86,12523234.22,28270759.15,15209342.73,19546818.35,18985330.83,7414147.304,8279512.047,15298912.69,10057689.93,13450291.97,22672599,9040672.927,6425439.003,9669300.008,10340818.64,11996258.55,16138465.46,15288946.39,14958946.08,9219919.891,12217409.87,14941940.08,7945890.415
36,FAD,118679.0574,113084.5675,255825.0295,204466.9091,67909.59108,50168.51898,69256.0258,110014.1999,14595.51544,32400.06064,73115.56003,32578.0073,54867.51595,24576.93946,2476.23758,2973.330296,2334.491471,4481.125144,4764.662079,8500.845447,2123.649159,0,1752.259294,0,0,0,2405.903486,5090.651237,1963.570814,0,2720.032239,0,1848.632918,0,0,0,0,2793.954829,0,0,0,0,1740.570232,0,0,0,1435.118657
85,GDP,17678.43234,13556.51026,35529.66156,25225.96968,9084.729223,7496.250349,11237.06755,15170.26606,2730.89905,5295.905218,7557.006467,1613.042921,2374.515727,1839.032648,0,0,0,0,1149.1778,1332.070914,0,0,0,0,0,0,0,1087.326483,0,0,1401.158759,0,678.615819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
