sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
222	WSH083	WSH083_S35_L001_R1_001.fastq.gz	9726790516cd6bd4f1520c86b7dd49fdfe932b65559c58389f7420e88de34fd9	WSH083_S35_L001_R2_001.fastq.gz	dcab75c8e05abe611874ce5e7248d58217b9a52a5de934963493f05c2d2571c2	2.2619782907812263	1.1263721143556031	0.02433878611833053	1.1118177648677572	0.023849564286806298	0.013789940376089284	0.00033634000917290936	0.0007644091117566122	0.00015288182235132243	1.0	0.0014982418590429598	0	0	0.08335116954594098	0.03430668093563675	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
220	WSH081	WSH081_S11_L001_R1_001.fastq.gz	3d4de85eb5c02262c303b8ba2eb3f6fcb71465306ddb777433ee4bf88b2b4684	WSH081_S11_L001_R2_001.fastq.gz	28a7a2bb1fc91a2cf59a964b9ff275bd0a9fa94971a808051a34f4d139c9446f	2.2619155696777122	1.1288912248847265	0.02262465059607712	1.120481639869078	0.02238574193085983	0.008075112884344315	0.00019112693217382995	0.0003344721313042024	4.778173304345749e-05	1.0	0.0010273072604343359	0	0	0.06560431946866713	0.029122966289987336	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
191	WSH052	WSH052_S43_L001_R1_001.fastq.gz	6cb7db231f290f96dfd2bde030e192c0bc174f6658619e2edfac2f1fb7a893d4	WSH052_S43_L001_R2_001.fastq.gz	2e7de24dd7672f407bd5150f0c1d3f65637d34c81d55037ac87b79b98af18dea	2.1677900387712494	1.1101699970175962	0.022994333432746795	1.0960930509991054	0.02254697286012526	0.011362958544586937	0.0002684163435729198	0.0027139874739039666	0.0001789442290486132	1.0	0.0014315538323889055	0	0	0.07315836564270801	0.024992543990456313	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
214	WSH075	WSH075_S34_L001_R1_001.fastq.gz	15f00ac981fff31c5940d42b5540141fa16e616d797883f3a8de886926c33d59	WSH075_S34_L001_R2_001.fastq.gz	2163724da589de4f17645ace68af10c443205ff820fdde3e06fb4fc528ae1dd1	2.2347263393825463	1.1180681078736172	0.024184802255802183	1.1004627286530257	0.0236786927915552	0.01699081772829152	0.00043380811221169837	0.000614561492299906	7.230135203528306e-05	1.0	0.0014821777167233028	0	0	0.06004627286530258	0.027727568505531056	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
217	WSH078	WSH078_S70_L001_R1_001.fastq.gz	61b06bbb449b00acba3e8a237f396f2b987d5748c7b3df6b05d846562d4825b1	WSH078_S70_L001_R2_001.fastq.gz	3fede7c8862e69eed855918fc065da4b7380069b94f2a833c96beaf11cb01b97	2.2687784452940107	1.1176406335335882	0.023921354451119606	1.0953213180411432	0.02341161478245039	0.02166393591844165	0.0004005097396686692	0.0006553795740032769	0.00010922992900054615	1.0	0.0017476788640087384	0	0	0.07977425814673221	0.03185872929182596	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
215	WSH076	WSH076_S46_L001_R1_001.fastq.gz	9e10db99c071b560132f25fcd3d3fa22afa1a54a37c970b4289150b6d7d8dd30	WSH076_S46_L001_R2_001.fastq.gz	34b57700c441559e482fd448e543076794d4fa9e9d25ec84e1aa30dbc865bb14	2.129117459546434	1.1518261027960777	0.025471325784025015	1.1231367072467289	0.024742706214517744	0.027687543641276298	0.0005464646771304532	0.0010018519080724976	0.00018215489237681775	1.0	0.001457239139014542	0	0	0.06269164212635478	0.0321806976532378	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
208	WSH069	WSH069_S57_L001_R1_001.fastq.gz	920ab57902282226d013abe1621ca7516444d1bec5426f6d7d6edbca033a0d72	WSH069_S57_L001_R2_001.fastq.gz	03f6f410dccccc8e28c1b046c6176abf3c1774f4bdd342f36f6f79b59922a042	2.224163555297785	1.1180266067350564	0.024323050712292023	1.1033457788088592	0.023888063218182477	0.014318338347772502	0.0003624895784246203	0.0003624895784246203	7.249791568492405e-05	1.0	0.0015949541450683293	0	0	0.07590531772211548	0.030811614166092724	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
216	WSH077	WSH077_S58_L001_R1_001.fastq.gz	2b922ec1e86d43c8083726db295a47718cce3a1e0ba846168aa3d9414f21ab49	WSH077_S58_L001_R2_001.fastq.gz	e6bb73d437c9b8dbc1d803eab6ad89d5e991486702832e2667b96984a5f88ac9	2.28579185520362	1.1122533936651584	0.02472398190045249	1.0969049773755657	0.024217194570135745	0.014914027149321267	0.00039819004524886876	0.00043438914027149324	0.00010859728506787331	1.0	0.0017013574660633484	0	0	0.07493212669683258	0.029502262443438912	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
210	WSH071	WSH071_S81_L001_R1_001.fastq.gz	f5f4b1073d02a9e3b242793726fe6093d2665176cb8a132efe8752c180134c7b	WSH071_S81_L001_R2_001.fastq.gz	e4c836c745b47bed9fd9ba0119f81997f4f828001bc9323747784826c134239c	2.106579139314369	1.1227133479212255	0.023924142961342085	1.1063165572574762	0.023457330415754922	0.015521517140773159	0.0003209336250911743	0.00087527352297593	0.00014587892049598833	1.0	0.0013712618526622903	0	0	0.07288110867979576	0.02824215900802334	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
218	WSH079	WSH079_S82_L001_R1_001.fastq.gz	2948caf351a275a0b4ca1e274f343e84a49f82a6f42b2ac9604e6b3ddf0822db	WSH079_S82_L001_R2_001.fastq.gz	6d720a3797c539fd7ec4dc5280439db9720c10a298468aa77aa9ef96ad5b59ce	2.1924501999339667	1.126233537547232	0.024248871932205877	1.108514619024909	0.02380865035401152	0.017131956418063757	0.00033016618364576836	0.0005869621042591438	0.00011005539454858945	1.0	0.0015407755236802525	0	0	0.07076561869474303	0.025532851535272752	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
