sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,tube-id,timepoint,code,hpf,group,lifestage
WSH073,WSH073_S10_L001_R1_001.fastq.gz,WSH073_S10_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D17,TP5,Larvae3,93,Larvae,Larvae (93 hpf)
WSH074,WSH074_S22_L001_R1_001.fastq.gz,WSH074_S22_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D18,TP5,Larvae3,93,Larvae,Larvae (93 hpf)
WSH075,WSH075_S34_L001_R1_001.fastq.gz,WSH075_S34_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D19,TP5,Larvae3,93,Larvae,Larvae (93 hpf)
WSH076,WSH076_S46_L001_R1_001.fastq.gz,WSH076_S46_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D20,TP5,Larvae3,93,Larvae,Larvae (93 hpf)
WSH077,WSH077_S58_L001_R1_001.fastq.gz,WSH077_S58_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D21,TP6,Larvae4,163,Larvae,Larvae (163 hpf)
WSH078,WSH078_S70_L001_R1_001.fastq.gz,WSH078_S70_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D22,TP6,Larvae4,163,Larvae,Larvae (163 hpf)
WSH079,WSH079_S82_L001_R1_001.fastq.gz,WSH079_S82_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D23,TP6,Larvae4,163,Larvae,Larvae (163 hpf)
WSH080,WSH080_S94_L001_R1_001.fastq.gz,WSH080_S94_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D24,TP6,Larvae4,163,Larvae,Larvae (163 hpf)
WSH081,WSH081_S11_L001_R1_001.fastq.gz,WSH081_S11_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D29,TP9,Larvae6,231,Larvae,Larvae (231 hpf)
WSH082,WSH082_S23_L001_R1_001.fastq.gz,WSH082_S23_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D30,TP9,Larvae6,231,Larvae,Larvae (231 hpf)
WSH083,WSH083_S35_L001_R1_001.fastq.gz,WSH083_S35_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D31,TP9,Larvae6,231,Larvae,Larvae (231 hpf)
WSH084,WSH084_S47_L001_R1_001.fastq.gz,WSH084_S47_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D32,TP9,Larvae6,231,Larvae,Larvae (231 hpf)
