sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,tube-id,timepoint,lifestage,hpf,group
WSH063,WSH063_S80_L001_R1_001.fastq.gz,WSH063_S80_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D7,TP2,Embryo 1,5,Embryo
WSH064,WSH064_S92_L001_R1_001.fastq.gz,WSH064_S92_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D8,TP2,Embryo 1,5,Embryo
WSH065,WSH065_S9_L001_R1_001.fastq.gz,WSH065_S9_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D10,TP3,Larvae1,38,Embryo
WSH066,WSH066_S21_L001_R1_001.fastq.gz,WSH066_S21_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D11,TP3,Larvae1,38,Embryo
WSH067,WSH067_S33_L001_R1_001.fastq.gz,WSH067_S33_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D12,TP3,Larvae1,38,Embryo
WSH068,WSH068_S45_L001_R1_001.fastq.gz,WSH068_S45_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D9,TP3,Larvae1,38,Embryo
WSH069,WSH069_S57_L001_R1_001.fastq.gz,WSH069_S57_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D13,TP4,Larvae2,65,Embryo
WSH070,WSH070_S69_L001_R1_001.fastq.gz,WSH070_S69_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D14,TP4,Larvae2,65,Embryo
WSH071,WSH071_S81_L001_R1_001.fastq.gz,WSH071_S81_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D15,TP4,Larvae2,65,Embryo
WSH072,WSH072_S93_L001_R1_001.fastq.gz,WSH072_S93_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D16,TP4,Larvae2,65,Embryo
WSH073,WSH073_S10_L001_R1_001.fastq.gz,WSH073_S10_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D17,TP5,Larvae3,93,Larvae
WSH074,WSH074_S22_L001_R1_001.fastq.gz,WSH074_S22_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D18,TP5,Larvae3,93,Larvae
WSH075,WSH075_S34_L001_R1_001.fastq.gz,WSH075_S34_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D19,TP5,Larvae3,93,Larvae
WSH076,WSH076_S46_L001_R1_001.fastq.gz,WSH076_S46_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D20,TP5,Larvae3,93,Larvae
WSH077,WSH077_S58_L001_R1_001.fastq.gz,WSH077_S58_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D21,TP6,Larvae4,163,Larvae
WSH078,WSH078_S70_L001_R1_001.fastq.gz,WSH078_S70_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D22,TP6,Larvae4,163,Larvae
WSH079,WSH079_S82_L001_R1_001.fastq.gz,WSH079_S82_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D23,TP6,Larvae4,163,Larvae
WSH080,WSH080_S94_L001_R1_001.fastq.gz,WSH080_S94_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D24,TP6,Larvae4,163,Larvae
WSH081,WSH081_S11_L001_R1_001.fastq.gz,WSH081_S11_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D29,TP9,Larvae6,231,Larvae
WSH082,WSH082_S23_L001_R1_001.fastq.gz,WSH082_S23_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D30,TP9,Larvae6,231,Larvae
WSH083,WSH083_S35_L001_R1_001.fastq.gz,WSH083_S35_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D31,TP9,Larvae6,231,Larvae
WSH084,WSH084_S47_L001_R1_001.fastq.gz,WSH084_S47_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,montipora,capitata,,,,,D32,TP9,Larvae6,231,Larvae
